EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RV705 SELBUSKOGEN, NORWAY (STAID: 18397)
Blended and updated with sources:99152 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18397, 99152,20140101,-9999,    9
 18397, 99152,20140102,-9999,    9
 18397, 99152,20140103,-9999,    9
 18397, 99152,20140104, -400,    0
 18397, 99152,20140105, -400,    0
 18397, 99152,20140106, -400,    0
 18397, 99152,20140107,-9999,    9
 18397, 99152,20140108,-9999,    9
 18397, 99152,20140109,-9999,    9
 18397, 99152,20140110,-9999,    9
 18397, 99152,20140111,-9999,    9
 18397, 99152,20140112,-9999,    9
 18397, 99152,20140113,-9999,    9
 18397, 99152,20140114,-9999,    9
 18397, 99152,20140115,-9999,    9
 18397, 99152,20140116,-9999,    9
 18397, 99152,20140117, -400,    0
 18397, 99152,20140118,-9999,    9
 18397, 99152,20140119,-9999,    9
 18397, 99152,20140120, -400,    0
 18397, 99152,20140121, -400,    0
 18397, 99152,20140122,-9999,    9
 18397, 99152,20140123, -400,    0
 18397, 99152,20140124, -400,    0
 18397, 99152,20140125, -400,    0
 18397, 99152,20140126, -400,    0
 18397, 99152,20140127,-9999,    9
 18397, 99152,20140128, -400,    0
 18397, 99152,20140129, -400,    0
 18397, 99152,20140130,-9999,    9
 18397, 99152,20140131,-9999,    9
 18397, 99152,20140201,-9999,    9
 18397, 99152,20140202,-9999,    9
 18397, 99152,20140203,-9999,    9
 18397, 99152,20140204,-9999,    9
 18397, 99152,20140205, -400,    0
 18397, 99152,20140206,-9999,    9
 18397, 99152,20140207, -400,    0
 18397, 99152,20140208, -400,    0
 18397, 99152,20140209,-9999,    9
 18397, 99152,20140210,-9999,    9
 18397, 99152,20140211, -146,    0
 18397, 99152,20140212,-9999,    9
 18397, 99152,20140213,-9999,    9
 18397, 99152,20140214,-9999,    9
 18397, 99152,20140215,   22,    0
 18397, 99152,20140216,-9999,    9
 18397, 99152,20140217,-9999,    9
 18397, 99152,20140218,-9999,    9
 18397, 99152,20140219,  -38,    0
 18397, 99152,20140220,  -45,    0
 18397, 99152,20140221,-9999,    9
 18397, 99152,20140222,-9999,    9
 18397, 99152,20140223,-9999,    9
 18397, 99152,20140224,   63,    0
 18397, 99152,20140225,   37,    0
 18397, 99152,20140226,-9999,    9
 18397, 99152,20140227,-9999,    9
 18397, 99152,20140228,-9999,    9
 18397, 99152,20140301,-9999,    9
 18397, 99152,20140302,-9999,    9
 18397, 99152,20140303,-9999,    9
 18397, 99152,20140304,-9999,    9
 18397, 99152,20140305,-9999,    9
 18397, 99152,20140306,-9999,    9
 18397, 99152,20140307,-9999,    9
 18397, 99152,20140308,-9999,    9
 18397, 99152,20140309,-9999,    9
 18397, 99152,20140310,-9999,    9
