EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RV52 HEMSEDALSFJELLET, NORWAY (STAID: 18406)
Blended and updated with sources:99168 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18406, 99168,20130101,-9999,    9
 18406, 99168,20130102,-9999,    9
 18406, 99168,20130103,-9999,    9
 18406, 99168,20130104,    9,    0
 18406, 99168,20130105,    6,    0
 18406, 99168,20130106,  -11,    0
 18406, 99168,20130107,   -2,    0
 18406, 99168,20130108,  -38,    0
 18406, 99168,20130109,  -36,    0
 18406, 99168,20130110, -105,    0
 18406, 99168,20130111,-9999,    9
 18406, 99168,20130112, -166,    0
 18406, 99168,20130113, -159,    0
 18406, 99168,20130114, -168,    0
 18406, 99168,20130115, -190,    0
 18406, 99168,20130116, -184,    0
 18406, 99168,20130117, -168,    0
 18406, 99168,20130118, -172,    0
 18406, 99168,20130119,-9999,    9
 18406, 99168,20130120,-9999,    9
 18406, 99168,20130121,-9999,    9
 18406, 99168,20130122, -140,    0
 18406, 99168,20130123,-9999,    9
 18406, 99168,20130124,-9999,    9
 18406, 99168,20130125, -106,    0
 18406, 99168,20130126,-9999,    9
 18406, 99168,20130127,-9999,    9
 18406, 99168,20130128,-9999,    9
 18406, 99168,20130129,  -47,    0
 18406, 99168,20130130,  -22,    0
 18406, 99168,20130131,  -54,    0
 18406, 99168,20130201,  -84,    0
 18406, 99168,20130202,  -58,    0
 18406, 99168,20130203,-9999,    9
 18406, 99168,20130204,-9999,    9
 18406, 99168,20130205,  -59,    0
 18406, 99168,20130206,-9999,    9
 18406, 99168,20130207,-9999,    9
 18406, 99168,20130208,-9999,    9
 18406, 99168,20130209, -174,    0
 18406, 99168,20130210,-9999,    9
 18406, 99168,20130211,-9999,    9
 18406, 99168,20130212, -146,    0
 18406, 99168,20130213, -131,    0
 18406, 99168,20130214,-9999,    9
 18406, 99168,20130215,-9999,    9
 18406, 99168,20130216,-9999,    9
 18406, 99168,20130217,-9999,    9
 18406, 99168,20130218,  -16,    0
 18406, 99168,20130219,  -98,    0
 18406, 99168,20130220, -146,    0
