EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV355 VEUM, NORWAY (STAID: 18407)
Blended and updated with sources:99172 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18407, 99172,20170301,-9999,    9
 18407, 99172,20170302,-9999,    9
 18407, 99172,20170303,-9999,    9
 18407, 99172,20170304,-9999,    9
 18407, 99172,20170305,-9999,    9
 18407, 99172,20170306,-9999,    9
 18407, 99172,20170307,-9999,    9
 18407, 99172,20170308,-9999,    9
 18407, 99172,20170309,-9999,    9
 18407, 99172,20170310,-9999,    9
 18407, 99172,20170311,-9999,    9
 18407, 99172,20170312,-9999,    9
 18407, 99172,20170313,    4,    0
 18407, 99172,20170314,-9999,    9
 18407, 99172,20170315,-9999,    9
 18407, 99172,20170316,-9999,    9
 18407, 99172,20170317,-9999,    9
 18407, 99172,20170318,-9999,    9
 18407, 99172,20170319,-9999,    9
 18407, 99172,20170320,-9999,    9
 18407, 99172,20170321,-9999,    9
 18407, 99172,20170322,-9999,    9
 18407, 99172,20170323,-9999,    9
 18407, 99172,20170324,-9999,    9
 18407, 99172,20170325,-9999,    9
 18407, 99172,20170326,-9999,    9
 18407, 99172,20170327,-9999,    9
 18407, 99172,20170328,-9999,    9
 18407, 99172,20170329,-9999,    9
 18407, 99172,20170330,-9999,    9
 18407, 99172,20170331,-9999,    9
 18407, 99172,20170401,-9999,    9
 18407, 99172,20170402,-9999,    9
 18407, 99172,20170403,   40,    0
 18407, 99172,20170404,   31,    0
 18407, 99172,20170405,   42,    0
 18407, 99172,20170406,   48,    0
 18407, 99172,20170407,   68,    0
 18407, 99172,20170408,   48,    0
 18407, 99172,20170409,   62,    0
 18407, 99172,20170410,   60,    0
 18407, 99172,20170411,   22,    0
 18407, 99172,20170412,   38,    0
 18407, 99172,20170413,   28,    0
 18407, 99172,20170414,   32,    0
 18407, 99172,20170415,    1,    0
 18407, 99172,20170416,    9,    0
 18407, 99172,20170417,   10,    0
 18407, 99172,20170418,    7,    0
 18407, 99172,20170419,   15,    0
 18407, 99172,20170420,   76,    0
 18407, 99172,20170421,   50,    0
 18407, 99172,20170422,   38,    0
 18407, 99172,20170423,   22,    0
 18407, 99172,20170424,   23,    0
 18407, 99172,20170425,   24,    0
 18407, 99172,20170426,   13,    0
 18407, 99172,20170427,-9999,    9
 18407, 99172,20170428,    9,    0
 18407, 99172,20170429,   29,    0
 18407, 99172,20170430,   29,    0
 18407, 99172,20170501,   43,    0
 18407, 99172,20170502,   66,    0
 18407, 99172,20170503,   83,    0
 18407, 99172,20170504,   77,    0
 18407, 99172,20170505,  100,    0
 18407, 99172,20170506,  118,    0
 18407, 99172,20170507,   65,    0
 18407, 99172,20170508,   53,    0
 18407, 99172,20170509,   39,    0
 18407, 99172,20170510,   26,    0
 18407, 99172,20170511,   46,    0
 18407, 99172,20170512,   54,    0
 18407, 99172,20170513,   55,    0
 18407, 99172,20170514,   87,    0
 18407, 99172,20170515,  103,    0
 18407, 99172,20170516,   84,    0
 18407, 99172,20170517,  130,    0
 18407, 99172,20170518,  114,    0
 18407, 99172,20170519,  122,    0
 18407, 99172,20170520,-9999,    9
 18407, 99172,20170521,  113,    0
 18407, 99172,20170522,   94,    0
 18407, 99172,20170523,  100,    0
 18407, 99172,20170524,  119,    0
 18407, 99172,20170525,  121,    0
 18407, 99172,20170526,  158,    0
 18407, 99172,20170527,  182,    0
 18407, 99172,20170528,  144,    0
 18407, 99172,20170529,  167,    0
 18407, 99172,20170530,  146,    0
 18407, 99172,20170531,  110,    0
 18407, 99172,20170601,  109,    0
 18407, 99172,20170602,   76,    0
 18407, 99172,20170603,  109,    0
 18407, 99172,20170604,  118,    0
 18407, 99172,20170605,  118,    0
 18407, 99172,20170606,  125,    0
 18407, 99172,20170607,-9999,    9
 18407, 99172,20170608,  113,    0
 18407, 99172,20170609,-9999,    9
 18407, 99172,20170610,  139,    0
 18407, 99172,20170611,  131,    0
 18407, 99172,20170612,  124,    0
 18407, 99172,20170613,  124,    0
 18407, 99172,20170614,  127,    0
 18407, 99172,20170615,  146,    0
 18407, 99172,20170616,  147,    0
 18407, 99172,20170617,  159,    0
 18407, 99172,20170618,  163,    0
 18407, 99172,20170619,  133,    0
 18407, 99172,20170620,  108,    0
 18407, 99172,20170621,  129,    0
 18407, 99172,20170622,  125,    0
 18407, 99172,20170623,  135,    0
 18407, 99172,20170624,  108,    0
 18407, 99172,20170625,  102,    0
 18407, 99172,20170626,  114,    0
 18407, 99172,20170627,  115,    0
 18407, 99172,20170628,  138,    0
 18407, 99172,20170629,  136,    0
 18407, 99172,20170630,  152,    0
 18407, 99172,20170701,  167,    0
 18407, 99172,20170702,  135,    0
 18407, 99172,20170703,  115,    0
 18407, 99172,20170704,  124,    0
 18407, 99172,20170705,  129,    0
 18407, 99172,20170706,  141,    0
 18407, 99172,20170707,  134,    0
 18407, 99172,20170708,  149,    0
 18407, 99172,20170709,  115,    0
 18407, 99172,20170710,  124,    0
 18407, 99172,20170711,  128,    0
 18407, 99172,20170712,  114,    0
 18407, 99172,20170713,  113,    0
 18407, 99172,20170714,  110,    0
 18407, 99172,20170715,  144,    0
 18407, 99172,20170716,  137,    0
 18407, 99172,20170717,  125,    0
 18407, 99172,20170718,  145,    0
 18407, 99172,20170719,  135,    0
 18407, 99172,20170720,  145,    0
 18407, 99172,20170721,  125,    0
 18407, 99172,20170722,  149,    0
 18407, 99172,20170723,  164,    0
 18407, 99172,20170724,  145,    0
 18407, 99172,20170725,  153,    0
 18407, 99172,20170726,  147,    0
 18407, 99172,20170727,  127,    0
 18407, 99172,20170728,  128,    0
 18407, 99172,20170729,  126,    0
 18407, 99172,20170730,  119,    0
 18407, 99172,20170731,  129,    0
 18407, 99172,20170801,  128,    0
 18407, 99172,20170802,  126,    0
 18407, 99172,20170803,   95,    0
 18407, 99172,20170804,  128,    0
 18407, 99172,20170805,  131,    0
 18407, 99172,20170806,  128,    0
 18407, 99172,20170807,   91,    0
 18407, 99172,20170808,  128,    0
 18407, 99172,20170809,  123,    0
 18407, 99172,20170810,  141,    0
 18407, 99172,20170811,  131,    0
 18407, 99172,20170812,  140,    0
 18407, 99172,20170813,  103,    0
 18407, 99172,20170814,  104,    0
 18407, 99172,20170815,  118,    0
 18407, 99172,20170816,  133,    0
 18407, 99172,20170817,   94,    0
 18407, 99172,20170818,  135,    0
 18407, 99172,20170819,  115,    0
 18407, 99172,20170820,  108,    0
 18407, 99172,20170821,  131,    0
 18407, 99172,20170822,  121,    0
 18407, 99172,20170823,  129,    0
 18407, 99172,20170824,   85,    0
 18407, 99172,20170825,  126,    0
 18407, 99172,20170826,   99,    0
 18407, 99172,20170827,  120,    0
 18407, 99172,20170828,  112,    0
 18407, 99172,20170829,  140,    0
 18407, 99172,20170830,   99,    0
 18407, 99172,20170831,  111,    0
 18407, 99172,20170901,   81,    0
 18407, 99172,20170902,   90,    0
 18407, 99172,20170903,   80,    0
 18407, 99172,20170904,   87,    0
 18407, 99172,20170905,  104,    0
 18407, 99172,20170906,  124,    0
 18407, 99172,20170907,   95,    0
 18407, 99172,20170908,   92,    0
 18407, 99172,20170909,  101,    0
 18407, 99172,20170910,  102,    0
 18407, 99172,20170911,  108,    0
 18407, 99172,20170912,  101,    0
 18407, 99172,20170913,   81,    0
 18407, 99172,20170914,   83,    0
 18407, 99172,20170915,   76,    0
 18407, 99172,20170916,   86,    0
 18407, 99172,20170917,   74,    0
 18407, 99172,20170918,   97,    0
 18407, 99172,20170919,   96,    0
 18407, 99172,20170920,   83,    0
 18407, 99172,20170921,   77,    0
 18407, 99172,20170922,   84,    0
 18407, 99172,20170923,  106,    0
 18407, 99172,20170924,  113,    0
 18407, 99172,20170925,  113,    0
 18407, 99172,20170926,  113,    0
 18407, 99172,20170927,  116,    0
 18407, 99172,20170928,  108,    0
 18407, 99172,20170929,  107,    0
 18407, 99172,20170930,   99,    0
 18407, 99172,20171001,  102,    0
 18407, 99172,20171002,   97,    0
 18407, 99172,20171003,   93,    0
 18407, 99172,20171004,-9999,    9
 18407, 99172,20171005,   33,    0
 18407, 99172,20171006,   46,    0
 18407, 99172,20171007,   37,    0
 18407, 99172,20171008,   18,    0
 18407, 99172,20171009,    7,    0
 18407, 99172,20171010,   -3,    0
 18407, 99172,20171011,   32,    0
 18407, 99172,20171012,   51,    0
 18407, 99172,20171013,   44,    0
 18407, 99172,20171014,-9999,    9
 18407, 99172,20171015,   73,    0
 18407, 99172,20171016,   91,    0
 18407, 99172,20171017,-9999,    9
 18407, 99172,20171018,-9999,    9
 18407, 99172,20171019,-9999,    9
 18407, 99172,20171020,-9999,    9
 18407, 99172,20171021,-9999,    9
 18407, 99172,20171022,-9999,    9
 18407, 99172,20171023,-9999,    9
 18407, 99172,20171024,-9999,    9
 18407, 99172,20171025,   45,    0
 18407, 99172,20171026,   45,    0
 18407, 99172,20171027,   31,    0
 18407, 99172,20171028,   72,    0
 18407, 99172,20171029,   40,    0
 18407, 99172,20171030,  -10,    0
 18407, 99172,20171031,   -1,    0
 18407, 99172,20171101,-9999,    9
 18407, 99172,20171102,-9999,    9
 18407, 99172,20171103,   -8,    0
 18407, 99172,20171104,-9999,    9
 18407, 99172,20171105,-9999,    9
 18407, 99172,20171106,  -33,    0
 18407, 99172,20171107,-9999,    9
 18407, 99172,20171108,-9999,    9
 18407, 99172,20171109,   40,    0
 18407, 99172,20171110,-9999,    9
 18407, 99172,20171111,-9999,    9
 18407, 99172,20171112,  -38,    0
 18407, 99172,20171113,  -57,    0
 18407, 99172,20171114,  -38,    0
 18407, 99172,20171115,-9999,    9
 18407, 99172,20171116,  -17,    0
 18407, 99172,20171117,   12,    0
 18407, 99172,20171118,   -5,    0
 18407, 99172,20171119,  -30,    0
 18407, 99172,20171120,  -79,    0
 18407, 99172,20171121,  -78,    0
 18407, 99172,20171122,  -46,    0
 18407, 99172,20171123,    2,    0
 18407, 99172,20171124,  -11,    0
 18407, 99172,20171125,  -22,    0
 18407, 99172,20171126,  -16,    0
 18407, 99172,20171127,  -64,    0
 18407, 99172,20171128,-9999,    9
 18407, 99172,20171129,-9999,    9
 18407, 99172,20171130,  -94,    0
 18407, 99172,20171201, -114,    0
 18407, 99172,20171202,  -76,    0
 18407, 99172,20171203,-9999,    9
 18407, 99172,20171204,-9999,    9
 18407, 99172,20171205,-9999,    9
 18407, 99172,20171206,-9999,    9
 18407, 99172,20171207,-9999,    9
 18407, 99172,20171208,-9999,    9
 18407, 99172,20171209,-9999,    9
 18407, 99172,20171210,-9999,    9
 18407, 99172,20171211,-9999,    9
 18407, 99172,20171212,-9999,    9
 18407, 99172,20171213,-9999,    9
 18407, 99172,20171214,-9999,    9
 18407, 99172,20171215,-9999,    9
 18407, 99172,20171216, -159,    0
 18407, 99172,20171217, -137,    0
 18407, 99172,20171218,  -62,    0
 18407, 99172,20171219,  -43,    0
 18407, 99172,20171220,  -36,    0
 18407, 99172,20171221,  -51,    0
 18407, 99172,20171222,  -18,    0
 18407, 99172,20171223,   87,    0
 18407, 99172,20171224,    0,    0
 18407, 99172,20171225,  -24,    0
 18407, 99172,20171226,    3,    0
 18407, 99172,20171227,  -11,    0
 18407, 99172,20171228,  -27,    0
 18407, 99172,20171229, -121,    0
 18407, 99172,20171230,  -84,    0
 18407, 99172,20171231,-9999,    9
 18407, 99172,20180101,-9999,    9
 18407, 99172,20180102,  -97,    0
 18407, 99172,20180103,  -20,    0
 18407, 99172,20180104,  -12,    0
 18407, 99172,20180105,  -35,    0
 18407, 99172,20180106, -125,    0
 18407, 99172,20180107, -120,    0
 18407, 99172,20180108,-9999,    9
 18407, 99172,20180109, -163,    0
 18407, 99172,20180110,  -43,    0
 18407, 99172,20180111,  -23,    0
 18407, 99172,20180112,  -24,    0
 18407, 99172,20180113,  -37,    0
 18407, 99172,20180114,  -31,    0
 18407, 99172,20180115,  -14,    0
 18407, 99172,20180116,  -40,    0
 18407, 99172,20180117,  -72,    0
 18407, 99172,20180118,  -81,    0
 18407, 99172,20180119,-9999,    9
 18407, 99172,20180120,  -31,    0
 18407, 99172,20180121,  -40,    0
 18407, 99172,20180122,  -37,    0
 18407, 99172,20180123,  -12,    0
 18407, 99172,20180124,    7,    0
 18407, 99172,20180125,   15,    0
 18407, 99172,20180126,  -72,    0
 18407, 99172,20180127,-9999,    9
 18407, 99172,20180128,-9999,    9
 18407, 99172,20180129,-9999,    9
 18407, 99172,20180130,-9999,    9
 18407, 99172,20180131,-9999,    9
 18407, 99172,20180201,  -37,    0
 18407, 99172,20180202,  -86,    0
 18407, 99172,20180203, -143,    0
 18407, 99172,20180204, -141,    0
 18407, 99172,20180205,  -94,    0
 18407, 99172,20180206,  -74,    0
 18407, 99172,20180207,  -78,    0
 18407, 99172,20180208,  -71,    0
 18407, 99172,20180209,   -6,    0
 18407, 99172,20180210,  -22,    0
 18407, 99172,20180211,  -19,    0
 18407, 99172,20180212,  -36,    0
 18407, 99172,20180213,  -94,    0
 18407, 99172,20180214,   -8,    0
 18407, 99172,20180215,  -14,    0
 18407, 99172,20180216,  -47,    0
 18407, 99172,20180217,  -63,    0
 18407, 99172,20180218,  -34,    0
 18407, 99172,20180219,  -44,    0
 18407, 99172,20180220,  -44,    0
 18407, 99172,20180221,  -52,    0
 18407, 99172,20180222,  -98,    0
 18407, 99172,20180223,  -67,    0
 18407, 99172,20180224,  -49,    0
 18407, 99172,20180225,  -64,    0
 18407, 99172,20180226, -138,    0
 18407, 99172,20180227, -116,    0
 18407, 99172,20180228, -142,    0
 18407, 99172,20180301, -157,    0
 18407, 99172,20180302,  -91,    0
 18407, 99172,20180303,-9999,    9
 18407, 99172,20180304,  -60,    0
 18407, 99172,20180305,  -60,    0
 18407, 99172,20180306,  -55,    0
 18407, 99172,20180307,  -34,    0
 18407, 99172,20180308,  -23,    0
 18407, 99172,20180309,  -63,    0
 18407, 99172,20180310,-9999,    9
 18407, 99172,20180311,  -41,    0
 18407, 99172,20180312,  -32,    0
 18407, 99172,20180313,  -58,    0
 18407, 99172,20180314,  -48,    0
 18407, 99172,20180315,  -60,    0
 18407, 99172,20180316,  -89,    0
 18407, 99172,20180317,-9999,    9
 18407, 99172,20180318, -104,    0
 18407, 99172,20180319,  -48,    0
 18407, 99172,20180320,  -39,    0
 18407, 99172,20180321,  -15,    0
 18407, 99172,20180322,  -13,    0
 18407, 99172,20180323,  -15,    0
 18407, 99172,20180324,   26,    0
 18407, 99172,20180325,   -2,    0
 18407, 99172,20180326,  -26,    0
 18407, 99172,20180327,  -39,    0
 18407, 99172,20180328,  -79,    0
 18407, 99172,20180329,  -69,    0
 18407, 99172,20180330,  -75,    0
 18407, 99172,20180331,  -57,    0
 18407, 99172,20180401,  -54,    0
 18407, 99172,20180402,  -56,    0
 18407, 99172,20180403,  -47,    0
 18407, 99172,20180404,   12,    0
 18407, 99172,20180405,   15,    0
 18407, 99172,20180406,   14,    0
 18407, 99172,20180407,-9999,    9
 18407, 99172,20180408,   11,    0
 18407, 99172,20180409,   35,    0
 18407, 99172,20180410,   22,    0
 18407, 99172,20180411,   21,    0
 18407, 99172,20180412,   19,    0
 18407, 99172,20180413,   46,    0
 18407, 99172,20180414,   61,    0
 18407, 99172,20180415,   31,    0
 18407, 99172,20180416,   30,    0
 18407, 99172,20180417,   46,    0
 18407, 99172,20180418,-9999,    9
 18407, 99172,20180419,   79,    0
 18407, 99172,20180420,   74,    0
 18407, 99172,20180421,   70,    0
 18407, 99172,20180422,   48,    0
 18407, 99172,20180423,   48,    0
