EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E6 SNASA, NORWAY (STAID: 18408)
Blended and updated with sources:99175 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18408, 99175,20140101,  -62,    0
 18408, 99175,20140102,-9999,    9
 18408, 99175,20140103,-9999,    9
 18408, 99175,20140104,-9999,    9
 18408, 99175,20140105,  -45,    0
 18408, 99175,20140106,   -5,    0
 18408, 99175,20140107,-9999,    9
 18408, 99175,20140108,-9999,    9
 18408, 99175,20140109,  -81,    0
 18408, 99175,20140110, -114,    0
 18408, 99175,20140111, -132,    0
 18408, 99175,20140112, -178,    0
 18408, 99175,20140113, -177,    0
 18408, 99175,20140114, -102,    0
 18408, 99175,20140115, -112,    0
 18408, 99175,20140116,-9999,    9
 18408, 99175,20140117,-9999,    9
 18408, 99175,20140118,  -86,    0
 18408, 99175,20140119,-9999,    9
 18408, 99175,20140120, -122,    0
 18408, 99175,20140121,-9999,    9
 18408, 99175,20140122,-9999,    9
 18408, 99175,20140123, -115,    0
 18408, 99175,20140124, -116,    0
 18408, 99175,20140125,  -47,    0
 18408, 99175,20140126,  -62,    0
 18408, 99175,20140127,-9999,    9
 18408, 99175,20140128,  -57,    0
 18408, 99175,20140129,  -45,    0
 18408, 99175,20140130,  -58,    0
 18408, 99175,20140131,-9999,    9
 18408, 99175,20140201,  -50,    0
 18408, 99175,20140202,-9999,    9
 18408, 99175,20140203,-9999,    9
 18408, 99175,20140204,-9999,    9
 18408, 99175,20140205,  -19,    0
 18408, 99175,20140206,  -23,    0
 18408, 99175,20140207,  -10,    0
 18408, 99175,20140208,-9999,    9
 18408, 99175,20140209,    5,    0
 18408, 99175,20140210,-9999,    9
 18408, 99175,20140211,  -44,    0
 18408, 99175,20140212,  -26,    0
 18408, 99175,20140213,-9999,    9
 18408, 99175,20140214,-9999,    9
 18408, 99175,20140215,    0,    0
 18408, 99175,20140216,   19,    0
 18408, 99175,20140217,-9999,    9
 18408, 99175,20140218,  -12,    0
 18408, 99175,20140219,  -36,    0
 18408, 99175,20140220,-9999,    9
 18408, 99175,20140221,  -33,    0
 18408, 99175,20140222,  -54,    0
 18408, 99175,20140223,-9999,    9
 18408, 99175,20140224,   35,    0
 18408, 99175,20140225,   30,    0
 18408, 99175,20140226,   19,    0
 18408, 99175,20140227,-9999,    9
 18408, 99175,20140228,   -3,    0
 18408, 99175,20140301,-9999,    9
 18408, 99175,20140302,-9999,    9
 18408, 99175,20140303,-9999,    9
 18408, 99175,20140304,-9999,    9
 18408, 99175,20140305,-9999,    9
 18408, 99175,20140306,-9999,    9
 18408, 99175,20140307,   24,    0
 18408, 99175,20140308,-9999,    9
 18408, 99175,20140309,-9999,    9
 18408, 99175,20140310,   22,    0
 18408, 99175,20140311,-9999,    9
 18408, 99175,20140312,-9999,    9
 18408, 99175,20140313,-9999,    9
 18408, 99175,20140314,-9999,    9
 18408, 99175,20140315,  -30,    0
 18408, 99175,20140316,-9999,    9
 18408, 99175,20140317,  -44,    0
 18408, 99175,20140318,-9999,    9
 18408, 99175,20140319,-9999,    9
 18408, 99175,20140320,-9999,    9
 18408, 99175,20140321,-9999,    9
 18408, 99175,20140322,-9999,    9
 18408, 99175,20140323,-9999,    9
 18408, 99175,20140324,    1,    0
 18408, 99175,20140325,-9999,    9
 18408, 99175,20140326,-9999,    9
 18408, 99175,20140327,-9999,    9
 18408, 99175,20140328,-9999,    9
 18408, 99175,20140329,-9999,    9
 18408, 99175,20140330,-9999,    9
 18408, 99175,20140331,-9999,    9
 18408, 99175,20140401,-9999,    9
 18408, 99175,20140402,-9999,    9
 18408, 99175,20140403,-9999,    9
 18408, 99175,20140404,-9999,    9
 18408, 99175,20140405,-9999,    9
 18408, 99175,20140406,-9999,    9
 18408, 99175,20140407,-9999,    9
 18408, 99175,20140408,-9999,    9
 18408, 99175,20140409,-9999,    9
 18408, 99175,20140410,-9999,    9
 18408, 99175,20140411,-9999,    9
 18408, 99175,20140412,-9999,    9
 18408, 99175,20140413,-9999,    9
 18408, 99175,20140414,-9999,    9
 18408, 99175,20140415,-9999,    9
 18408, 99175,20140416,-9999,    9
 18408, 99175,20140417,-9999,    9
 18408, 99175,20140418,-9999,    9
 18408, 99175,20140419,-9999,    9
 18408, 99175,20140420,-9999,    9
 18408, 99175,20140421,-9999,    9
 18408, 99175,20140422,-9999,    9
 18408, 99175,20140423,-9999,    9
 18408, 99175,20140424,-9999,    9
 18408, 99175,20140425,-9999,    9
 18408, 99175,20140426,-9999,    9
 18408, 99175,20140427,-9999,    9
 18408, 99175,20140428,-9999,    9
 18408, 99175,20140429,-9999,    9
 18408, 99175,20140430,-9999,    9
 18408, 99175,20140501,-9999,    9
 18408, 99175,20140502,-9999,    9
 18408, 99175,20140503,-9999,    9
 18408, 99175,20140504,-9999,    9
 18408, 99175,20140505,-9999,    9
 18408, 99175,20140506,-9999,    9
 18408, 99175,20140507,-9999,    9
 18408, 99175,20140508,-9999,    9
 18408, 99175,20140509,-9999,    9
 18408, 99175,20140510,-9999,    9
 18408, 99175,20140511,-9999,    9
 18408, 99175,20140512,-9999,    9
 18408, 99175,20140513,-9999,    9
 18408, 99175,20140514,-9999,    9
 18408, 99175,20140515,-9999,    9
 18408, 99175,20140516,-9999,    9
 18408, 99175,20140517,-9999,    9
 18408, 99175,20140518,-9999,    9
 18408, 99175,20140519,-9999,    9
 18408, 99175,20140520,-9999,    9
 18408, 99175,20140521,-9999,    9
 18408, 99175,20140522,-9999,    9
 18408, 99175,20140523,-9999,    9
 18408, 99175,20140524,-9999,    9
 18408, 99175,20140525,-9999,    9
 18408, 99175,20140526,-9999,    9
 18408, 99175,20140527,-9999,    9
 18408, 99175,20140528,-9999,    9
 18408, 99175,20140529,-9999,    9
 18408, 99175,20140530,-9999,    9
 18408, 99175,20140531,-9999,    9
 18408, 99175,20140601,-9999,    9
 18408, 99175,20140602,-9999,    9
 18408, 99175,20140603,-9999,    9
 18408, 99175,20140604,-9999,    9
 18408, 99175,20140605,-9999,    9
 18408, 99175,20140606,-9999,    9
 18408, 99175,20140607,-9999,    9
 18408, 99175,20140608,-9999,    9
 18408, 99175,20140609,-9999,    9
 18408, 99175,20140610,-9999,    9
 18408, 99175,20140611,-9999,    9
 18408, 99175,20140612,-9999,    9
 18408, 99175,20140613,-9999,    9
 18408, 99175,20140614,-9999,    9
 18408, 99175,20140615,-9999,    9
 18408, 99175,20140616,-9999,    9
 18408, 99175,20140617,-9999,    9
 18408, 99175,20140618,-9999,    9
 18408, 99175,20140619,-9999,    9
 18408, 99175,20140620,-9999,    9
 18408, 99175,20140621,-9999,    9
 18408, 99175,20140622,-9999,    9
 18408, 99175,20140623,-9999,    9
 18408, 99175,20140624,-9999,    9
 18408, 99175,20140625,-9999,    9
 18408, 99175,20140626,-9999,    9
 18408, 99175,20140627,-9999,    9
 18408, 99175,20140628,-9999,    9
 18408, 99175,20140629,-9999,    9
 18408, 99175,20140630,-9999,    9
 18408, 99175,20140701,-9999,    9
 18408, 99175,20140702,-9999,    9
 18408, 99175,20140703,-9999,    9
 18408, 99175,20140704,-9999,    9
 18408, 99175,20140705,-9999,    9
 18408, 99175,20140706,-9999,    9
 18408, 99175,20140707,-9999,    9
 18408, 99175,20140708,-9999,    9
 18408, 99175,20140709,-9999,    9
 18408, 99175,20140710,-9999,    9
 18408, 99175,20140711,-9999,    9
 18408, 99175,20140712,-9999,    9
 18408, 99175,20140713,-9999,    9
 18408, 99175,20140714,-9999,    9
 18408, 99175,20140715,-9999,    9
 18408, 99175,20140716,-9999,    9
 18408, 99175,20140717,-9999,    9
 18408, 99175,20140718,-9999,    9
 18408, 99175,20140719,-9999,    9
 18408, 99175,20140720,-9999,    9
 18408, 99175,20140721,-9999,    9
 18408, 99175,20140722,-9999,    9
 18408, 99175,20140723,-9999,    9
 18408, 99175,20140724,-9999,    9
 18408, 99175,20140725,-9999,    9
 18408, 99175,20140726,-9999,    9
 18408, 99175,20140727,-9999,    9
 18408, 99175,20140728,-9999,    9
 18408, 99175,20140729,-9999,    9
 18408, 99175,20140730,-9999,    9
 18408, 99175,20140731,-9999,    9
 18408, 99175,20140801,-9999,    9
 18408, 99175,20140802,-9999,    9
 18408, 99175,20140803,-9999,    9
 18408, 99175,20140804,-9999,    9
 18408, 99175,20140805,-9999,    9
 18408, 99175,20140806,-9999,    9
 18408, 99175,20140807,-9999,    9
 18408, 99175,20140808,-9999,    9
 18408, 99175,20140809,-9999,    9
 18408, 99175,20140810,-9999,    9
 18408, 99175,20140811,-9999,    9
