EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E18 STOKKEBAKKEN, NORWAY (STAID: 18409)
Blended and updated with sources:99177 99367 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18409, 99367,20130101,-9999,    9
 18409, 99367,20130102,-9999,    9
 18409, 99367,20130103,-9999,    9
 18409, 99367,20130104,  -21,    0
 18409, 99367,20130105,  -31,    0
 18409, 99367,20130106,  -31,    0
 18409, 99367,20130107,  -11,    0
 18409, 99367,20130108,-9999,    9
 18409, 99367,20130109,  -22,    0
 18409, 99367,20130110,   -5,    0
 18409, 99367,20130111,  -22,    0
 18409, 99367,20130112,-9999,    9
 18409, 99367,20130113,-9999,    9
 18409, 99367,20130114,  -68,    0
 18409, 99367,20130115,  -49,    0
 18409, 99367,20130116,  -75,    0
 18409, 99367,20130117,  -52,    0
 18409, 99367,20130118,  -52,    0
 18409, 99367,20130119,-9999,    9
 18409, 99367,20130120,-9999,    9
 18409, 99367,20130121,-9999,    9
 18409, 99367,20130122, -125,    0
 18409, 99367,20130123,-9999,    9
 18409, 99367,20130124, -143,    0
 18409, 99367,20130125, -113,    0
 18409, 99367,20130126,-9999,    9
 18409, 99367,20130127,-9999,    9
 18409, 99367,20130128,-9999,    9
 18409, 99367,20130129,   -7,    0
 18409, 99367,20130130,   11,    0
 18409, 99367,20130131,   11,    0
 18409, 99367,20130201,  -55,    0
 18409, 99367,20130202,  -46,    0
 18409, 99367,20130203,  -35,    0
 18409, 99367,20130204,  -22,    0
 18409, 99367,20130205,  -11,    0
 18409, 99367,20130206,   -4,    0
 18409, 99367,20130207,  -32,    0
 18409, 99367,20130208,  -38,    0
 18409, 99367,20130209,  -69,    0
 18409, 99367,20130210,  -44,    0
 18409, 99367,20130211,  -67,    0
 18409, 99367,20130212,  -33,    0
 18409, 99367,20130213,  -51,    0
 18409, 99367,20130214,-9999,    9
 18409, 99367,20130215,-9999,    9
 18409, 99367,20130216,-9999,    9
 18409, 99367,20130217,-9999,    9
 18409, 99367,20130218,    6,    0
 18409, 99367,20130219,   -7,    0
 18409, 99367,20130220,  -47,    0
 18409, 99367,20130221, -102,    0
 18409, 99367,20130222,  -56,    0
 18409, 99367,20130223,-9999,    9
 18409, 99367,20130224,-9999,    9
 18409, 99367,20130225,-9999,    9
 18409, 99367,20130226,-9999,    9
 18409, 99367,20130227,  -49,    0
 18409, 99367,20130228,    0,    0
 18409, 99367,20130301,   11,    0
 18409, 99367,20130302,   33,    0
 18409, 99367,20130303,   22,    0
 18409, 99367,20130304,   24,    0
 18409, 99367,20130305,    5,    0
 18409, 99367,20130306,   11,    0
 18409, 99367,20130307,   -6,    0
 18409, 99367,20130308,  -32,    0
 18409, 99367,20130309,  -36,    0
 18409, 99367,20130310,  -68,    0
 18409, 99367,20130311,  -62,    0
 18409, 99367,20130312,  -44,    0
 18409, 99367,20130313,  -46,    0
 18409, 99367,20130314,-9999,    9
 18409, 99367,20130315,-9999,    9
 18409, 99367,20130316,-9999,    9
 18409, 99367,20130317,-9999,    9
 18409, 99367,20130318,-9999,    9
 18409, 99367,20130319,  -47,    0
 18409, 99367,20130320,  -38,    0
 18409, 99367,20130321,  -24,    0
 18409, 99367,20130322,-9999,    9
 18409, 99367,20130323,-9999,    9
 18409, 99367,20130324,-9999,    9
 18409, 99367,20130325,-9999,    9
 18409, 99367,20130326,-9999,    9
 18409, 99367,20130327,-9999,    9
 18409, 99367,20130328,-9999,    9
 18409, 99367,20130329,-9999,    9
 18409, 99367,20130330,-9999,    9
 18409, 99367,20130331,-9999,    9
 18409, 99367,20130401,-9999,    9
 18409, 99367,20130402,-9999,    9
 18409, 99367,20130403,-9999,    9
 18409, 99367,20130404,-9999,    9
 18409, 99367,20130405,-9999,    9
 18409, 99367,20130406,-9999,    9
 18409, 99367,20130407,-9999,    9
 18409, 99367,20130408,-9999,    9
 18409, 99367,20130409,-9999,    9
 18409, 99367,20130410,    3,    0
 18409, 99367,20130411,   10,    0
 18409, 99367,20130412,   19,    0
 18409, 99367,20130413,   45,    0
 18409, 99367,20130414,   22,    0
 18409, 99367,20130415,-9999,    9
 18409, 99367,20130416,-9999,    9
 18409, 99367,20130417,   69,    0
 18409, 99367,20130418,   62,    0
 18409, 99367,20130419,-9999,    9
 18409, 99367,20130420,-9999,    9
 18409, 99367,20130421,   42,    0
 18409, 99367,20130422,   53,    0
 18409, 99367,20130423,   79,    0
 18409, 99367,20130424,   62,    0
 18409, 99367,20130425,   69,    0
 18409, 99367,20130426,   72,    0
 18409, 99367,20130427,   72,    0
 18409, 99367,20130428,   43,    0
 18409, 99367,20130429,   67,    0
 18409, 99367,20130430,   86,    0
 18409, 99367,20130501,   66,    0
 18409, 99367,20130502,   61,    0
 18409, 99367,20130503,   63,    0
 18409, 99367,20130504,   74,    0
 18409, 99367,20130505,  101,    0
 18409, 99367,20130506,  111,    0
 18409, 99367,20130507,  134,    0
 18409, 99367,20130508,  111,    0
 18409, 99367,20130509,   94,    0
 18409, 99367,20130510,   69,    0
 18409, 99367,20130511,   76,    0
 18409, 99367,20130512,   82,    0
 18409, 99367,20130513,   69,    0
 18409, 99367,20130514,   55,    0
 18409, 99367,20130515,   65,    0
 18409, 99367,20130516,   81,    0
 18409, 99367,20130517,-9999,    9
 18409, 99367,20130518,-9999,    9
 18409, 99367,20130519,-9999,    9
 18409, 99367,20130520,-9999,    9
 18409, 99367,20130521,  129,    0
 18409, 99367,20130522,   96,    0
 18409, 99367,20130523,   80,    0
 18409, 99367,20130524,  111,    0
 18409, 99367,20130525,  153,    0
 18409, 99367,20130526,  179,    0
 18409, 99367,20130527,  131,    0
 18409, 99367,20130528,  147,    0
 18409, 99367,20130529,  126,    0
 18409, 99367,20130530,  132,    0
 18409, 99367,20130531,  192,    0
 18409, 99367,20130601,  185,    0
 18409, 99367,20130602,  156,    0
 18409, 99367,20130603,  162,    0
 18409, 99367,20130604,-9999,    9
 18409, 99367,20130605,-9999,    9
 18409, 99367,20130606,-9999,    9
 18409, 99367,20130607,-9999,    9
 18409, 99367,20130608,-9999,    9
 18409, 99367,20130609,-9999,    9
 18409, 99367,20130610,-9999,    9
 18409, 99367,20130611,-9999,    9
 18409, 99367,20130612,-9999,    9
 18409, 99367,20130613,-9999,    9
 18409, 99367,20130614,-9999,    9
 18409, 99367,20130615,-9999,    9
 18409, 99367,20130616,-9999,    9
 18409, 99367,20130617,-9999,    9
 18409, 99367,20130618,-9999,    9
 18409, 99367,20130619,-9999,    9
 18409, 99367,20130620,-9999,    9
 18409, 99367,20130621,-9999,    9
 18409, 99367,20130622,-9999,    9
 18409, 99367,20130623,-9999,    9
 18409, 99367,20130624,-9999,    9
 18409, 99367,20130625,-9999,    9
 18409, 99367,20130626,-9999,    9
 18409, 99367,20130627,-9999,    9
 18409, 99367,20130628,-9999,    9
 18409, 99367,20130629,-9999,    9
 18409, 99367,20130630,-9999,    9
 18409, 99367,20130701,-9999,    9
 18409, 99367,20130702,-9999,    9
 18409, 99367,20130703,-9999,    9
 18409, 99367,20130704,-9999,    9
 18409, 99367,20130705,-9999,    9
 18409, 99367,20130706,-9999,    9
 18409, 99367,20130707,-9999,    9
 18409, 99367,20130708,-9999,    9
 18409, 99367,20130709,-9999,    9
 18409, 99367,20130710,-9999,    9
 18409, 99367,20130711,-9999,    9
 18409, 99367,20130712,-9999,    9
 18409, 99367,20130713,-9999,    9
 18409, 99367,20130714,-9999,    9
 18409, 99367,20130715,-9999,    9
 18409, 99367,20130716,-9999,    9
 18409, 99367,20130717,-9999,    9
 18409, 99367,20130718,-9999,    9
 18409, 99367,20130719,-9999,    9
 18409, 99367,20130720,-9999,    9
 18409, 99367,20130721,-9999,    9
 18409, 99367,20130722,-9999,    9
 18409, 99367,20130723,-9999,    9
 18409, 99367,20130724,-9999,    9
 18409, 99367,20130725,-9999,    9
 18409, 99367,20130726,-9999,    9
 18409, 99367,20130727,-9999,    9
 18409, 99367,20130728,-9999,    9
 18409, 99367,20130729,-9999,    9
 18409, 99367,20130730,-9999,    9
 18409, 99367,20130731,-9999,    9
 18409, 99367,20130801,-9999,    9
 18409, 99367,20130802,-9999,    9
 18409, 99367,20130803,-9999,    9
 18409, 99367,20130804,-9999,    9
 18409, 99367,20130805,-9999,    9
 18409, 99367,20130806,-9999,    9
 18409, 99367,20130807,-9999,    9
 18409, 99367,20130808,-9999,    9
 18409, 99367,20130809,-9999,    9
 18409, 99367,20130810,-9999,    9
 18409, 99367,20130811,-9999,    9
 18409, 99367,20130812,-9999,    9
 18409, 99367,20130813,-9999,    9
 18409, 99367,20130814,-9999,    9
 18409, 99367,20130815,-9999,    9
 18409, 99367,20130816,-9999,    9
 18409, 99367,20130817,-9999,    9
 18409, 99367,20130818,-9999,    9
 18409, 99367,20130819,-9999,    9
 18409, 99367,20130820,-9999,    9
 18409, 99367,20130821,-9999,    9
 18409, 99367,20130822,-9999,    9
 18409, 99367,20130823,-9999,    9
 18409, 99367,20130824,-9999,    9
 18409, 99367,20130825,-9999,    9
 18409, 99367,20130826,-9999,    9
