EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E39 VATLAND, NORWAY (STAID: 18413)
Blended and updated with sources:99183 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18413, 99183,20140101,-9999,    9
 18413, 99183,20140102,-9999,    9
 18413, 99183,20140103,-9999,    9
 18413, 99183,20140104,   52,    0
 18413, 99183,20140105,   37,    0
 18413, 99183,20140106,-9999,    9
 18413, 99183,20140107,   65,    0
 18413, 99183,20140108,-9999,    9
 18413, 99183,20140109,   37,    0
 18413, 99183,20140110,-9999,    9
 18413, 99183,20140111,   30,    0
 18413, 99183,20140112,   -2,    0
 18413, 99183,20140113,  -56,    0
 18413, 99183,20140114,  -37,    0
 18413, 99183,20140115,  -25,    0
 18413, 99183,20140116,   -2,    0
 18413, 99183,20140117,  -18,    0
 18413, 99183,20140118,  -35,    0
 18413, 99183,20140119,-9999,    9
 18413, 99183,20140120,  -39,    0
 18413, 99183,20140121,  -44,    0
 18413, 99183,20140122,-9999,    9
 18413, 99183,20140123,  -28,    0
 18413, 99183,20140124,  -35,    0
 18413, 99183,20140125,  -33,    0
 18413, 99183,20140126,  -39,    0
 18413, 99183,20140127,  -34,    0
 18413, 99183,20140128,   -7,    0
 18413, 99183,20140129,  -25,    0
 18413, 99183,20140130,-9999,    9
 18413, 99183,20140131,-9999,    9
 18413, 99183,20140201,   -4,    0
 18413, 99183,20140202,-9999,    9
 18413, 99183,20140203,-9999,    9
 18413, 99183,20140204,-9999,    9
 18413, 99183,20140205,-9999,    9
 18413, 99183,20140206,   20,    0
 18413, 99183,20140207,-9999,    9
 18413, 99183,20140208,   29,    0
 18413, 99183,20140209,   37,    0
 18413, 99183,20140210,-9999,    9
 18413, 99183,20140211,-9999,    9
 18413, 99183,20140212,-9999,    9
 18413, 99183,20140213,-9999,    9
 18413, 99183,20140214,-9999,    9
 18413, 99183,20140215,   33,    0
 18413, 99183,20140216,   36,    0
 18413, 99183,20140217,-9999,    9
 18413, 99183,20140218,-9999,    9
 18413, 99183,20140219,   -3,    0
 18413, 99183,20140220,  -12,    0
 18413, 99183,20140221,-9999,    9
 18413, 99183,20140222,-9999,    9
 18413, 99183,20140223,   50,    0
 18413, 99183,20140224,-9999,    9
 18413, 99183,20140225,-9999,    9
 18413, 99183,20140226,-9999,    9
 18413, 99183,20140227,   43,    0
 18413, 99183,20140228,   21,    0
 18413, 99183,20140301,-9999,    9
 18413, 99183,20140302,-9999,    9
 18413, 99183,20140303,   31,    0
 18413, 99183,20140304,   24,    0
 18413, 99183,20140305,-9999,    9
 18413, 99183,20140306,   49,    0
 18413, 99183,20140307,-9999,    9
 18413, 99183,20140308,-9999,    9
 18413, 99183,20140309,-9999,    9
