EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E18 INNTJORHEIA, NORWAY (STAID: 18416)
Blended and updated with sources:99193 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18416, 99193,20140101,-9999,    9
 18416, 99193,20140102,-9999,    9
 18416, 99193,20140103,-9999,    9
 18416, 99193,20140104,   49,    1
 18416, 99193,20140105,   38,    1
 18416, 99193,20140106,   50,    1
 18416, 99193,20140107,   69,    1
 18416, 99193,20140108,-9999,    9
 18416, 99193,20140109,   35,    1
 18416, 99193,20140110,    8,    1
 18416, 99193,20140111,   24,    1
 18416, 99193,20140112,   -1,    1
 18416, 99193,20140113,  -68,    1
 18416, 99193,20140114,  -50,    1
 18416, 99193,20140115,  -44,    1
 18416, 99193,20140116,    3,    1
 18416, 99193,20140117,  -14,    1
 18416, 99193,20140118,-9999,    9
 18416, 99193,20140119,  -17,    1
 18416, 99193,20140120,-9999,    9
 18416, 99193,20140121,-9999,    9
 18416, 99193,20140122,-9999,    9
 18416, 99193,20140123,  -17,    1
 18416, 99193,20140124,  -24,    1
 18416, 99193,20140125,  -18,    1
 18416, 99193,20140126,-9999,    9
 18416, 99193,20140127,  -26,    1
 18416, 99193,20140128,   -2,    1
 18416, 99193,20140129,  -19,    1
 18416, 99193,20140130,  -29,    1
 18416, 99193,20140131,-9999,    9
 18416, 99193,20140201,    1,    1
 18416, 99193,20140202,-9999,    9
 18416, 99193,20140203,-9999,    9
 18416, 99193,20140204,    9,    1
 18416, 99193,20140205,    8,    1
 18416, 99193,20140206,   20,    1
 18416, 99193,20140207,   17,    1
 18416, 99193,20140208,   24,    1
 18416, 99193,20140209,   31,    1
 18416, 99193,20140210,-9999,    9
 18416, 99193,20140211,-9999,    9
 18416, 99193,20140212,-9999,    9
 18416, 99193,20140213,-9999,    9
 18416, 99193,20140214,-9999,    9
 18416, 99193,20140215,   31,    1
 18416, 99193,20140216,   37,    1
 18416, 99193,20140217,-9999,    9
 18416, 99193,20140218,-9999,    9
 18416, 99193,20140219,   -7,    1
 18416, 99193,20140220,-9999,    9
 18416, 99193,20140221,   18,    1
 18416, 99193,20140222,   34,    1
 18416, 99193,20140223,-9999,    9
 18416, 99193,20140224,   52,    1
 18416, 99193,20140225,   36,    1
 18416, 99193,20140226,-9999,    9
 18416, 99193,20140227,   37,    1
 18416, 99193,20140228,-9999,    9
 18416, 99193,20140301,   17,    1
 18416, 99193,20140302,-9999,    9
 18416, 99193,20140303,   32,    1
 18416, 99193,20140304,   33,    1
 18416, 99193,20140305,-9999,    9
 18416, 99193,20140306,-9999,    9
 18416, 99193,20140307,-9999,    9
 18416, 99193,20140308,   46,    1
 18416, 99193,20140309,   67,    1
 18416, 99193,20140310,-9999,    9
 18416, 99193,20140311,-9999,    9
 18416, 99193,20140312,-9999,    9
 18416, 99193,20140313,   66,    1
 18416, 99193,20140314,-9999,    9
 18416, 99193,20140315,-9999,    9
 18416, 99193,20140316,-9999,    9
 18416, 99193,20140317,-9999,    9
 18416, 99193,20140318,-9999,    9
 18416, 99193,20140319,-9999,    9
 18416, 99193,20140320,-9999,    9
 18416, 99193,20140321,-9999,    9
 18416, 99193,20140322,-9999,    9
 18416, 99193,20140323,-9999,    9
 18416, 99193,20140324,-9999,    9
 18416, 99193,20140325,-9999,    9
 18416, 99193,20140326,-9999,    9
 18416, 99193,20140327,-9999,    9
 18416, 99193,20140328,-9999,    9
 18416, 99193,20140329,-9999,    9
 18416, 99193,20140330,-9999,    9
 18416, 99193,20140331,-9999,    9
 18416, 99193,20140401,-9999,    9
 18416, 99193,20140402,-9999,    9
 18416, 99193,20140403,-9999,    9
 18416, 99193,20140404,-9999,    9
 18416, 99193,20140405,-9999,    9
 18416, 99193,20140406,-9999,    9
 18416, 99193,20140407,-9999,    9
 18416, 99193,20140408,-9999,    9
 18416, 99193,20140409,-9999,    9
 18416, 99193,20140410,-9999,    9
 18416, 99193,20140411,-9999,    9
 18416, 99193,20140412,-9999,    9
 18416, 99193,20140413,-9999,    9
 18416, 99193,20140414,-9999,    9
 18416, 99193,20140415,-9999,    9
 18416, 99193,20140416,-9999,    9
 18416, 99193,20140417,-9999,    9
 18416, 99193,20140418,-9999,    9
 18416, 99193,20140419,-9999,    9
 18416, 99193,20140420,-9999,    9
 18416, 99193,20140421,-9999,    9
 18416, 99193,20140422,-9999,    9
 18416, 99193,20140423,-9999,    9
 18416, 99193,20140424,-9999,    9
 18416, 99193,20140425,-9999,    9
 18416, 99193,20140426,-9999,    9
 18416, 99193,20140427,-9999,    9
 18416, 99193,20140428,-9999,    9
 18416, 99193,20140429,-9999,    9
 18416, 99193,20140430,-9999,    9
 18416, 99193,20140501,-9999,    9
 18416, 99193,20140502,-9999,    9
 18416, 99193,20140503,-9999,    9
 18416, 99193,20140504,-9999,    9
 18416, 99193,20140505,-9999,    9
 18416, 99193,20140506,-9999,    9
 18416, 99193,20140507,-9999,    9
 18416, 99193,20140508,-9999,    9
 18416, 99193,20140509,-9999,    9
 18416, 99193,20140510,-9999,    9
 18416, 99193,20140511,-9999,    9
 18416, 99193,20140512,-9999,    9
 18416, 99193,20140513,-9999,    9
 18416, 99193,20140514,-9999,    9
 18416, 99193,20140515,-9999,    9
 18416, 99193,20140516,-9999,    9
 18416, 99193,20140517,-9999,    9
 18416, 99193,20140518,-9999,    9
 18416, 99193,20140519,-9999,    9
 18416, 99193,20140520,-9999,    9
 18416, 99193,20140521,-9999,    9
 18416, 99193,20140522,-9999,    9
 18416, 99193,20140523,-9999,    9
 18416, 99193,20140524,-9999,    9
 18416, 99193,20140525,-9999,    9
 18416, 99193,20140526,-9999,    9
 18416, 99193,20140527,-9999,    9
 18416, 99193,20140528,-9999,    9
 18416, 99193,20140529,-9999,    9
 18416, 99193,20140530,-9999,    9
 18416, 99193,20140531,-9999,    9
 18416, 99193,20140601,-9999,    9
 18416, 99193,20140602,-9999,    9
 18416, 99193,20140603,-9999,    9
 18416, 99193,20140604,-9999,    9
 18416, 99193,20140605,-9999,    9
 18416, 99193,20140606,-9999,    9
 18416, 99193,20140607,-9999,    9
 18416, 99193,20140608,-9999,    9
 18416, 99193,20140609,-9999,    9
 18416, 99193,20140610,-9999,    9
 18416, 99193,20140611,-9999,    9
 18416, 99193,20140612,-9999,    9
 18416, 99193,20140613,-9999,    9
 18416, 99193,20140614,-9999,    9
 18416, 99193,20140615,-9999,    9
 18416, 99193,20140616,-9999,    9
 18416, 99193,20140617,-9999,    9
 18416, 99193,20140618,-9999,    9
 18416, 99193,20140619,-9999,    9
 18416, 99193,20140620,-9999,    9
 18416, 99193,20140621,-9999,    9
 18416, 99193,20140622,-9999,    9
 18416, 99193,20140623,-9999,    9
 18416, 99193,20140624,-9999,    9
 18416, 99193,20140625,-9999,    9
 18416, 99193,20140626,-9999,    9
 18416, 99193,20140627,-9999,    9
 18416, 99193,20140628,-9999,    9
 18416, 99193,20140629,-9999,    9
 18416, 99193,20140630,-9999,    9
 18416, 99193,20140701,-9999,    9
 18416, 99193,20140702,-9999,    9
 18416, 99193,20140703,-9999,    9
 18416, 99193,20140704,-9999,    9
 18416, 99193,20140705,-9999,    9
 18416, 99193,20140706,-9999,    9
 18416, 99193,20140707,-9999,    9
 18416, 99193,20140708,-9999,    9
 18416, 99193,20140709,-9999,    9
 18416, 99193,20140710,-9999,    9
 18416, 99193,20140711,-9999,    9
 18416, 99193,20140712,-9999,    9
 18416, 99193,20140713,-9999,    9
 18416, 99193,20140714,-9999,    9
 18416, 99193,20140715,-9999,    9
 18416, 99193,20140716,-9999,    9
 18416, 99193,20140717,-9999,    9
 18416, 99193,20140718,-9999,    9
 18416, 99193,20140719,-9999,    9
 18416, 99193,20140720,-9999,    9
 18416, 99193,20140721,-9999,    9
 18416, 99193,20140722,-9999,    9
 18416, 99193,20140723,-9999,    9
 18416, 99193,20140724,-9999,    9
 18416, 99193,20140725,-9999,    9
 18416, 99193,20140726,-9999,    9
 18416, 99193,20140727,-9999,    9
 18416, 99193,20140728,-9999,    9
 18416, 99193,20140729,-9999,    9
 18416, 99193,20140730,-9999,    9
 18416, 99193,20140731,-9999,    9
 18416, 99193,20140801,-9999,    9
 18416, 99193,20140802,-9999,    9
 18416, 99193,20140803,-9999,    9
 18416, 99193,20140804,-9999,    9
 18416, 99193,20140805,-9999,    9
 18416, 99193,20140806,  284,    1
 18416, 99193,20140807,-9999,    9
 18416, 99193,20140808,-9999,    9
 18416, 99193,20140809,-9999,    9
 18416, 99193,20140810,-9999,    9
 18416, 99193,20140811,-9999,    9
 18416, 99193,20140812,-9999,    9
 18416, 99193,20140813,-9999,    9
 18416, 99193,20140814,-9999,    9
 18416, 99193,20140815,-9999,    9
 18416, 99193,20140816,-9999,    9
 18416, 99193,20140817,-9999,    9
 18416, 99193,20140818,-9999,    9
 18416, 99193,20140819,-9999,    9
 18416, 99193,20140820,-9999,    9
 18416, 99193,20140821,-9999,    9
 18416, 99193,20140822,-9999,    9
 18416, 99193,20140823,-9999,    9
 18416, 99193,20140824,-9999,    9
 18416, 99193,20140825,-9999,    9
 18416, 99193,20140826,-9999,    9
 18416, 99193,20140827,-9999,    9
 18416, 99193,20140828,-9999,    9
 18416, 99193,20140829,-9999,    9
 18416, 99193,20140830,-9999,    9
 18416, 99193,20140831,-9999,    9
 18416, 99193,20140901,-9999,    9
 18416, 99193,20140902,-9999,    9
 18416, 99193,20140903,-9999,    9
 18416, 99193,20140904,-9999,    9
 18416, 99193,20140905,-9999,    9
 18416, 99193,20140906,-9999,    9
 18416, 99193,20140907,-9999,    9
 18416, 99193,20140908,-9999,    9
 18416, 99193,20140909,-9999,    9
 18416, 99193,20140910,-9999,    9
 18416, 99193,20140911,-9999,    9
 18416, 99193,20140912,-9999,    9
 18416, 99193,20140913,-9999,    9
 18416, 99193,20140914,-9999,    9
 18416, 99193,20140915,-9999,    9
 18416, 99193,20140916,-9999,    9
 18416, 99193,20140917,-9999,    9
 18416, 99193,20140918,-9999,    9
 18416, 99193,20140919,-9999,    9
 18416, 99193,20140920,-9999,    9
 18416, 99193,20140921,-9999,    9
 18416, 99193,20140922,-9999,    9
 18416, 99193,20140923,-9999,    9
 18416, 99193,20140924,-9999,    9
 18416, 99193,20140925,-9999,    9
 18416, 99193,20140926,-9999,    9
 18416, 99193,20140927,-9999,    9
 18416, 99193,20140928,-9999,    9
 18416, 99193,20140929,-9999,    9
 18416, 99193,20140930,-9999,    9
 18416, 99193,20141001,-9999,    9
 18416, 99193,20141002,-9999,    9
 18416, 99193,20141003,-9999,    9
 18416, 99193,20141004,-9999,    9
 18416, 99193,20141005,-9999,    9
 18416, 99193,20141006,-9999,    9
 18416, 99193,20141007,-9999,    9
 18416, 99193,20141008,-9999,    9
 18416, 99193,20141009,-9999,    9
 18416, 99193,20141010,-9999,    9
 18416, 99193,20141011,-9999,    9
 18416, 99193,20141012,-9999,    9
 18416, 99193,20141013,-9999,    9
 18416, 99193,20141014,-9999,    9
 18416, 99193,20141015,-9999,    9
 18416, 99193,20141016,-9999,    9
 18416, 99193,20141017,-9999,    9
 18416, 99193,20141018,-9999,    9
 18416, 99193,20141019,-9999,    9
