EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E134 AMBJOERNDALEN, NORWAY (STAID: 18423)
Blended and updated with sources:99206 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18423, 99206,20130101,-9999,    9
 18423, 99206,20130102,-9999,    9
 18423, 99206,20130103,-9999,    9
 18423, 99206,20130104,   -7,    0
 18423, 99206,20130105,  -16,    0
 18423, 99206,20130106,  -38,    0
 18423, 99206,20130107,  -40,    0
 18423, 99206,20130108,  -60,    0
 18423, 99206,20130109,  -50,    0
 18423, 99206,20130110, -104,    0
 18423, 99206,20130111, -110,    0
 18423, 99206,20130112, -177,    0
 18423, 99206,20130113, -193,    0
 18423, 99206,20130114, -160,    0
 18423, 99206,20130115, -140,    0
 18423, 99206,20130116, -186,    0
 18423, 99206,20130117, -130,    0
 18423, 99206,20130118, -140,    0
 18423, 99206,20130119,-9999,    9
 18423, 99206,20130120,-9999,    9
 18423, 99206,20130121,-9999,    9
 18423, 99206,20130122, -203,    0
 18423, 99206,20130123,-9999,    9
 18423, 99206,20130124,-9999,    9
 18423, 99206,20130125, -133,    0
 18423, 99206,20130126,-9999,    9
 18423, 99206,20130127,-9999,    9
 18423, 99206,20130128,-9999,    9
 18423, 99206,20130129,  -35,    0
 18423, 99206,20130130,   -1,    0
 18423, 99206,20130131,  -44,    0
 18423, 99206,20130201, -137,    0
 18423, 99206,20130202, -104,    0
 18423, 99206,20130203,-9999,    9
 18423, 99206,20130204,-9999,    9
 18423, 99206,20130205,  -48,    0
 18423, 99206,20130206,-9999,    9
 18423, 99206,20130207,-9999,    9
 18423, 99206,20130208,-9999,    9
 18423, 99206,20130209, -179,    0
 18423, 99206,20130210,-9999,    9
 18423, 99206,20130211,-9999,    9
 18423, 99206,20130212,  -99,    0
 18423, 99206,20130213, -133,    0
 18423, 99206,20130214,-9999,    9
 18423, 99206,20130215,-9999,    9
 18423, 99206,20130216,-9999,    9
 18423, 99206,20130217,-9999,    9
 18423, 99206,20130218,    5,    0
 18423, 99206,20130219,  -26,    0
 18423, 99206,20130220, -133,    0
 18423, 99206,20130221, -149,    0
 18423, 99206,20130222,  -81,    0
 18423, 99206,20130223,-9999,    9
 18423, 99206,20130224,-9999,    9
 18423, 99206,20130225,-9999,    9
 18423, 99206,20130226,-9999,    9
 18423, 99206,20130227,  -41,    0
 18423, 99206,20130228,-9999,    9
 18423, 99206,20130301,  -59,    0
 18423, 99206,20130302,    3,    0
 18423, 99206,20130303,-9999,    9
 18423, 99206,20130304,-9999,    9
 18423, 99206,20130305,-9999,    9
 18423, 99206,20130306,-9999,    9
 18423, 99206,20130307,  -69,    0
 18423, 99206,20130308, -119,    0
 18423, 99206,20130309, -102,    0
 18423, 99206,20130310, -149,    0
 18423, 99206,20130311, -132,    0
 18423, 99206,20130312,-9999,    9
 18423, 99206,20130313,-9999,    9
 18423, 99206,20130314,-9999,    9
 18423, 99206,20130315,-9999,    9
 18423, 99206,20130316,-9999,    9
 18423, 99206,20130317,-9999,    9
 18423, 99206,20130318,-9999,    9
 18423, 99206,20130319,-9999,    9
 18423, 99206,20130320,  -70,    0
 18423, 99206,20130321,-9999,    9
 18423, 99206,20130322,-9999,    9
 18423, 99206,20130323,-9999,    9
 18423, 99206,20130324,-9999,    9
 18423, 99206,20130325,-9999,    9
 18423, 99206,20130326,-9999,    9
 18423, 99206,20130327,-9999,    9
 18423, 99206,20130328,-9999,    9
 18423, 99206,20130329,-9999,    9
 18423, 99206,20130330,-9999,    9
 18423, 99206,20130331,-9999,    9
 18423, 99206,20130401,-9999,    9
 18423, 99206,20130402,-9999,    9
 18423, 99206,20130403,-9999,    9
 18423, 99206,20130404,-9999,    9
 18423, 99206,20130405,-9999,    9
 18423, 99206,20130406,-9999,    9
 18423, 99206,20130407,-9999,    9
 18423, 99206,20130408,-9999,    9
 18423, 99206,20130409,-9999,    9
 18423, 99206,20130410,-9999,    9
 18423, 99206,20130411,  -32,    0
 18423, 99206,20130412,   -8,    0
 18423, 99206,20130413,  -16,    0
 18423, 99206,20130414,-9999,    9
 18423, 99206,20130415,-9999,    9
 18423, 99206,20130416,-9999,    9
 18423, 99206,20130417,   49,    0
 18423, 99206,20130418,-9999,    9
 18423, 99206,20130419,-9999,    9
 18423, 99206,20130420,-9999,    9
 18423, 99206,20130421,-9999,    9
 18423, 99206,20130422,-9999,    9
 18423, 99206,20130423,-9999,    9
 18423, 99206,20130424,   50,    0
 18423, 99206,20130425,   36,    0
 18423, 99206,20130426,   30,    0
 18423, 99206,20130427,-9999,    9
 18423, 99206,20130428,-9999,    9
 18423, 99206,20130429,-9999,    9
 18423, 99206,20130430,   30,    0
