EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV609 HOLMEDAL VEST, NORWAY (STAID: 18424)
Blended and updated with sources:99208 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18424, 99208,20161201,-9999,    9
 18424, 99208,20161202,-9999,    9
 18424, 99208,20161203,   24,    0
 18424, 99208,20161204,   59,    0
 18424, 99208,20161205,   52,    0
 18424, 99208,20161206,    7,    0
 18424, 99208,20161207,   62,    0
 18424, 99208,20161208,   93,    0
 18424, 99208,20161209,   74,    0
 18424, 99208,20161210,   74,    0
 18424, 99208,20161211,   43,    0
 18424, 99208,20161212,   30,    0
 18424, 99208,20161213,   40,    0
 18424, 99208,20161214,   15,    0
 18424, 99208,20161215,   61,    0
 18424, 99208,20161216,   67,    0
 18424, 99208,20161217,   54,    0
 18424, 99208,20161218,   53,    0
 18424, 99208,20161219,   73,    0
 18424, 99208,20161220,   72,    0
 18424, 99208,20161221,   55,    0
 18424, 99208,20161222,   41,    0
 18424, 99208,20161223,   47,    0
 18424, 99208,20161224,   39,    0
 18424, 99208,20161225,   57,    0
 18424, 99208,20161226,   44,    0
 18424, 99208,20161227,-9999,    9
 18424, 99208,20161228,   48,    0
 18424, 99208,20161229,   75,    0
 18424, 99208,20161230,   80,    0
 18424, 99208,20161231,   47,    0
 18424, 99208,20170101,-9999,    9
 18424, 99208,20170102,-9999,    9
 18424, 99208,20170103,-9999,    9
 18424, 99208,20170104,-9999,    9
 18424, 99208,20170105,-9999,    9
 18424, 99208,20170106,-9999,    9
 18424, 99208,20170107,-9999,    9
 18424, 99208,20170108,-9999,    9
 18424, 99208,20170109,-9999,    9
 18424, 99208,20170110,-9999,    9
 18424, 99208,20170111,-9999,    9
 18424, 99208,20170112,-9999,    9
 18424, 99208,20170113,-9999,    9
 18424, 99208,20170114,-9999,    9
 18424, 99208,20170115,-9999,    9
 18424, 99208,20170116,-9999,    9
 18424, 99208,20170117,-9999,    9
 18424, 99208,20170118,-9999,    9
 18424, 99208,20170119,-9999,    9
 18424, 99208,20170120,-9999,    9
 18424, 99208,20170121,-9999,    9
 18424, 99208,20170122,-9999,    9
 18424, 99208,20170123,-9999,    9
 18424, 99208,20170124,-9999,    9
 18424, 99208,20170125,-9999,    9
 18424, 99208,20170126,-9999,    9
 18424, 99208,20170127,-9999,    9
 18424, 99208,20170128,-9999,    9
 18424, 99208,20170129,-9999,    9
 18424, 99208,20170130,-9999,    9
 18424, 99208,20170131,-9999,    9
 18424, 99208,20170201,-9999,    9
 18424, 99208,20170202,-9999,    9
 18424, 99208,20170203,-9999,    9
 18424, 99208,20170204,-9999,    9
 18424, 99208,20170205,-9999,    9
 18424, 99208,20170206,-9999,    9
 18424, 99208,20170207,-9999,    9
 18424, 99208,20170208,-9999,    9
 18424, 99208,20170209,-9999,    9
 18424, 99208,20170210,-9999,    9
 18424, 99208,20170211,-9999,    9
 18424, 99208,20170212,-9999,    9
 18424, 99208,20170213,-9999,    9
 18424, 99208,20170214,-9999,    9
 18424, 99208,20170215,-9999,    9
 18424, 99208,20170216,-9999,    9
 18424, 99208,20170217,-9999,    9
 18424, 99208,20170218,-9999,    9
 18424, 99208,20170219,-9999,    9
 18424, 99208,20170220,-9999,    9
 18424, 99208,20170221,-9999,    9
 18424, 99208,20170222,-9999,    9
 18424, 99208,20170223,-9999,    9
 18424, 99208,20170224,-9999,    9
 18424, 99208,20170225,-9999,    9
 18424, 99208,20170226,-9999,    9
 18424, 99208,20170227,-9999,    9
 18424, 99208,20170228,-9999,    9
 18424, 99208,20170301,-9999,    9
 18424, 99208,20170302,-9999,    9
 18424, 99208,20170303,-9999,    9
 18424, 99208,20170304,-9999,    9
 18424, 99208,20170305,-9999,    9
 18424, 99208,20170306,-9999,    9
 18424, 99208,20170307,-9999,    9
 18424, 99208,20170308,-9999,    9
 18424, 99208,20170309,-9999,    9
 18424, 99208,20170310,-9999,    9
 18424, 99208,20170311,-9999,    9
 18424, 99208,20170312,-9999,    9
 18424, 99208,20170313,   48,    0
 18424, 99208,20170314,-9999,    9
 18424, 99208,20170315,-9999,    9
 18424, 99208,20170316,-9999,    9
 18424, 99208,20170317,-9999,    9
 18424, 99208,20170318,-9999,    9
 18424, 99208,20170319,-9999,    9
 18424, 99208,20170320,-9999,    9
 18424, 99208,20170321,-9999,    9
 18424, 99208,20170322,-9999,    9
 18424, 99208,20170323,-9999,    9
 18424, 99208,20170324,-9999,    9
 18424, 99208,20170325,-9999,    9
 18424, 99208,20170326,-9999,    9
 18424, 99208,20170327,-9999,    9
 18424, 99208,20170328,-9999,    9
 18424, 99208,20170329,-9999,    9
 18424, 99208,20170330,-9999,    9
 18424, 99208,20170331,-9999,    9
 18424, 99208,20170401,-9999,    9
 18424, 99208,20170402,-9999,    9
 18424, 99208,20170403,   85,    0
 18424, 99208,20170404,   65,    0
 18424, 99208,20170405,   50,    0
 18424, 99208,20170406,   53,    0
 18424, 99208,20170407,   67,    0
 18424, 99208,20170408,   71,    0
 18424, 99208,20170409,   66,    0
 18424, 99208,20170410,   39,    0
 18424, 99208,20170411,   27,    0
 18424, 99208,20170412,   42,    0
 18424, 99208,20170413,   44,    0
 18424, 99208,20170414,   34,    0
 18424, 99208,20170415,   33,    0
 18424, 99208,20170416,   40,    0
 18424, 99208,20170417,   32,    0
 18424, 99208,20170418,   36,    0
 18424, 99208,20170419,   44,    0
 18424, 99208,20170420,   66,    0
 18424, 99208,20170421,   36,    0
 18424, 99208,20170422,   40,    0
 18424, 99208,20170423,   17,    0
 18424, 99208,20170424,   23,    0
 18424, 99208,20170425,   48,    0
 18424, 99208,20170426,   39,    0
 18424, 99208,20170427,-9999,    9
 18424, 99208,20170428,   62,    0
 18424, 99208,20170429,   73,    0
 18424, 99208,20170430,   66,    0
 18424, 99208,20170501,   88,    0
 18424, 99208,20170502,  108,    0
 18424, 99208,20170503,  113,    0
 18424, 99208,20170504,  125,    0
 18424, 99208,20170505,  125,    0
 18424, 99208,20170506,  134,    0
 18424, 99208,20170507,  119,    0
 18424, 99208,20170508,   72,    0
 18424, 99208,20170509,   46,    0
 18424, 99208,20170510,   56,    0
 18424, 99208,20170511,   68,    0
 18424, 99208,20170512,   94,    0
 18424, 99208,20170513,  119,    0
 18424, 99208,20170514,  109,    0
 18424, 99208,20170515,  119,    0
 18424, 99208,20170516,  112,    0
 18424, 99208,20170517,  125,    0
 18424, 99208,20170518,  110,    0
 18424, 99208,20170519,  134,    0
 18424, 99208,20170520,-9999,    9
 18424, 99208,20170521,  109,    0
 18424, 99208,20170522,  105,    0
 18424, 99208,20170523,  124,    0
 18424, 99208,20170524,  106,    0
 18424, 99208,20170525,  100,    0
 18424, 99208,20170526,  123,    0
 18424, 99208,20170527,  174,    0
 18424, 99208,20170528,  154,    0
 18424, 99208,20170529,  132,    0
 18424, 99208,20170530,  111,    0
 18424, 99208,20170531,   96,    0
 18424, 99208,20170601,   91,    0
 18424, 99208,20170602,  117,    0
 18424, 99208,20170603,  122,    0
 18424, 99208,20170604,  108,    0
 18424, 99208,20170605,  103,    0
 18424, 99208,20170606,  110,    0
 18424, 99208,20170607,  153,    0
 18424, 99208,20170608,  112,    0
 18424, 99208,20170609,-9999,    9
 18424, 99208,20170610,  130,    0
 18424, 99208,20170611,  126,    0
 18424, 99208,20170612,  123,    0
 18424, 99208,20170613,  112,    0
 18424, 99208,20170614,  128,    0
 18424, 99208,20170615,  141,    0
 18424, 99208,20170616,  123,    0
 18424, 99208,20170617,  123,    0
 18424, 99208,20170618,  121,    0
 18424, 99208,20170619,  105,    0
 18424, 99208,20170620,   99,    0
 18424, 99208,20170621,  102,    0
 18424, 99208,20170622,  112,    0
 18424, 99208,20170623,  116,    0
 18424, 99208,20170624,  104,    0
 18424, 99208,20170625,  104,    0
 18424, 99208,20170626,  105,    0
 18424, 99208,20170627,  104,    0
 18424, 99208,20170628,  147,    0
 18424, 99208,20170629,  180,    0
 18424, 99208,20170630,  191,    0
 18424, 99208,20170701,  130,    0
 18424, 99208,20170702,  110,    0
 18424, 99208,20170703,  118,    0
 18424, 99208,20170704,  119,    0
 18424, 99208,20170705,  114,    0
 18424, 99208,20170706,  115,    0
 18424, 99208,20170707,  124,    0
 18424, 99208,20170708,  123,    0
 18424, 99208,20170709,  115,    0
 18424, 99208,20170710,  120,    0
 18424, 99208,20170711,  113,    0
 18424, 99208,20170712,  113,    0
 18424, 99208,20170713,  116,    0
 18424, 99208,20170714,  128,    0
 18424, 99208,20170715,  134,    0
 18424, 99208,20170716,  124,    0
 18424, 99208,20170717,  105,    0
 18424, 99208,20170718,  122,    0
 18424, 99208,20170719,  151,    0
 18424, 99208,20170720,  183,    0
 18424, 99208,20170721,  166,    0
 18424, 99208,20170722,  175,    0
 18424, 99208,20170723,  188,    0
 18424, 99208,20170724,  157,    0
 18424, 99208,20170725,  163,    0
 18424, 99208,20170726,  168,    0
 18424, 99208,20170727,  152,    0
 18424, 99208,20170728,  135,    0
 18424, 99208,20170729,  146,    0
 18424, 99208,20170730,  152,    0
 18424, 99208,20170731,  139,    0
 18424, 99208,20170801,  140,    0
 18424, 99208,20170802,  131,    0
 18424, 99208,20170803,  152,    0
 18424, 99208,20170804,  139,    0
 18424, 99208,20170805,  149,    0
 18424, 99208,20170806,  141,    0
 18424, 99208,20170807,  129,    0
 18424, 99208,20170808,  130,    0
 18424, 99208,20170809,  156,    0
 18424, 99208,20170810,  131,    0
 18424, 99208,20170811,  130,    0
 18424, 99208,20170812,  129,    0
 18424, 99208,20170813,  104,    0
 18424, 99208,20170814,  118,    0
 18424, 99208,20170815,  131,    0
 18424, 99208,20170816,  135,    0
 18424, 99208,20170817,  143,    0
 18424, 99208,20170818,  151,    0
 18424, 99208,20170819,  130,    0
 18424, 99208,20170820,  129,    0
 18424, 99208,20170821,  134,    0
 18424, 99208,20170822,  128,    0
 18424, 99208,20170823,  121,    0
 18424, 99208,20170824,  125,    0
 18424, 99208,20170825,  121,    0
 18424, 99208,20170826,  122,    0
 18424, 99208,20170827,  132,    0
 18424, 99208,20170828,  144,    0
 18424, 99208,20170829,  128,    0
 18424, 99208,20170830,  114,    0
 18424, 99208,20170831,  118,    0
 18424, 99208,20170901,  114,    0
 18424, 99208,20170902,  115,    0
 18424, 99208,20170903,  129,    0
 18424, 99208,20170904,  147,    0
 18424, 99208,20170905,  120,    0
 18424, 99208,20170906,  125,    0
 18424, 99208,20170907,  115,    0
 18424, 99208,20170908,  133,    0
 18424, 99208,20170909,  120,    0
 18424, 99208,20170910,  113,    0
 18424, 99208,20170911,  115,    0
 18424, 99208,20170912,  121,    0
 18424, 99208,20170913,  110,    0
 18424, 99208,20170914,  103,    0
 18424, 99208,20170915,  108,    0
 18424, 99208,20170916,  112,    0
 18424, 99208,20170917,  108,    0
 18424, 99208,20170918,  115,    0
 18424, 99208,20170919,  116,    0
 18424, 99208,20170920,  106,    0
 18424, 99208,20170921,   99,    0
 18424, 99208,20170922,  122,    0
 18424, 99208,20170923,  128,    0
 18424, 99208,20170924,  137,    0
 18424, 99208,20170925,  156,    0
 18424, 99208,20170926,  148,    0
 18424, 99208,20170927,  167,    0
 18424, 99208,20170928,  168,    0
 18424, 99208,20170929,  166,    0
 18424, 99208,20170930,  134,    0
 18424, 99208,20171001,  135,    0
 18424, 99208,20171002,  110,    0
 18424, 99208,20171003,   97,    0
 18424, 99208,20171004,-9999,    9
 18424, 99208,20171005,   70,    0
 18424, 99208,20171006,   82,    0
 18424, 99208,20171007,   60,    0
 18424, 99208,20171008,   54,    0
 18424, 99208,20171009,   64,    0
 18424, 99208,20171010,   73,    0
 18424, 99208,20171011,   84,    0
 18424, 99208,20171012,   73,    0
 18424, 99208,20171013,   90,    0
 18424, 99208,20171014,-9999,    9
 18424, 99208,20171015,  111,    0
 18424, 99208,20171016,   85,    0
 18424, 99208,20171017,-9999,    9
 18424, 99208,20171018,-9999,    9
 18424, 99208,20171019,-9999,    9
 18424, 99208,20171020,-9999,    9
 18424, 99208,20171021,-9999,    9
 18424, 99208,20171022,-9999,    9
 18424, 99208,20171023,-9999,    9
 18424, 99208,20171024,-9999,    9
 18424, 99208,20171025,   93,    0
 18424, 99208,20171026,   85,    0
 18424, 99208,20171027,   79,    0
 18424, 99208,20171028,   74,    0
 18424, 99208,20171029,   47,    0
 18424, 99208,20171030,   29,    0
 18424, 99208,20171031,   56,    0
 18424, 99208,20171101,-9999,    9
 18424, 99208,20171102,-9999,    9
 18424, 99208,20171103,   61,    0
 18424, 99208,20171104,   73,    0
 18424, 99208,20171105,   45,    0
 18424, 99208,20171106,   32,    0
 18424, 99208,20171107,   90,    0
 18424, 99208,20171108,   64,    0
 18424, 99208,20171109,   65,    0
 18424, 99208,20171110,   29,    0
 18424, 99208,20171111,   30,    0
 18424, 99208,20171112,   44,    0
 18424, 99208,20171113,   23,    0
 18424, 99208,20171114,   23,    0
 18424, 99208,20171115,   45,    0
 18424, 99208,20171116,   47,    0
 18424, 99208,20171117,   49,    0
 18424, 99208,20171118,   46,    0
 18424, 99208,20171119,   19,    0
 18424, 99208,20171120,    8,    0
 18424, 99208,20171121,  -14,    0
 18424, 99208,20171122,    9,    0
 18424, 99208,20171123,   23,    0
 18424, 99208,20171124,   34,    0
 18424, 99208,20171125,   22,    0
 18424, 99208,20171126,   16,    0
 18424, 99208,20171127,    1,    0
 18424, 99208,20171128,-9999,    9
 18424, 99208,20171129,-9999,    9
 18424, 99208,20171130,  -41,    0
 18424, 99208,20171201,  -25,    0
 18424, 99208,20171202,   26,    0
 18424, 99208,20171203,   40,    0
 18424, 99208,20171204,   18,    0
 18424, 99208,20171205,   49,    0
 18424, 99208,20171206,   44,    0
 18424, 99208,20171207,   65,    0
 18424, 99208,20171208,   38,    0
 18424, 99208,20171209,   20,    0
 18424, 99208,20171210,   -1,    0
 18424, 99208,20171211,   -6,    0
 18424, 99208,20171212,  -29,    0
 18424, 99208,20171213,    1,    0
 18424, 99208,20171214,    1,    0
 18424, 99208,20171215,  -46,    0
 18424, 99208,20171216,  -41,    0
 18424, 99208,20171217,   -5,    0
 18424, 99208,20171218,   21,    0
 18424, 99208,20171219,   42,    0
 18424, 99208,20171220,   57,    0
 18424, 99208,20171221,   38,    0
 18424, 99208,20171222,   51,    0
 18424, 99208,20171223,   63,    0
 18424, 99208,20171224,   35,    0
 18424, 99208,20171225,   22,    0
 18424, 99208,20171226,   15,    0
 18424, 99208,20171227,    5,    0
 18424, 99208,20171228,  -14,    0
 18424, 99208,20171229,   -7,    0
 18424, 99208,20171230,   -2,    0
 18424, 99208,20171231,   13,    0
 18424, 99208,20180101,   16,    0
 18424, 99208,20180102,    7,    0
 18424, 99208,20180103,   21,    0
 18424, 99208,20180104,   10,    0
 18424, 99208,20180105,   -6,    0
 18424, 99208,20180106,  -26,    0
 18424, 99208,20180107,   -2,    0
 18424, 99208,20180108,   16,    0
 18424, 99208,20180109,   23,    0
 18424, 99208,20180110,   71,    0
 18424, 99208,20180111,   37,    0
 18424, 99208,20180112,    5,    0
 18424, 99208,20180113,  -16,    0
 18424, 99208,20180114,   32,    0
 18424, 99208,20180115,   29,    0
 18424, 99208,20180116,    8,    0
