EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RV4 ANEBY, NORWAY (STAID: 18426)
Blended and updated with sources:99211 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18426, 99211,20181201,-9999,    9
 18426, 99211,20181202,-9999,    9
 18426, 99211,20181203,-9999,    9
 18426, 99211,20181204,   15,    0
 18426, 99211,20181205,  -49,    0
 18426, 99211,20181206,  -51,    0
 18426, 99211,20181207,  -15,    0
 18426, 99211,20181208,  -17,    0
 18426, 99211,20181209,  -37,    0
 18426, 99211,20181210,  -15,    0
 18426, 99211,20181211,    1,    0
 18426, 99211,20181212,  -89,    0
 18426, 99211,20181213,  -79,    0
 18426, 99211,20181214, -126,    0
 18426, 99211,20181215,  -87,    0
 18426, 99211,20181216,  -21,    0
 18426, 99211,20181217,  -46,    0
 18426, 99211,20181218, -102,    0
 18426, 99211,20181219,-9999,    9
 18426, 99211,20181220,    5,    0
 18426, 99211,20181221,  -17,    0
 18426, 99211,20181222,  -38,    0
 18426, 99211,20181223,  -85,    0
 18426, 99211,20181224, -114,    0
 18426, 99211,20181225,  -72,    0
 18426, 99211,20181226,  -29,    0
 18426, 99211,20181227,  -21,    0
 18426, 99211,20181228,  -88,    0
 18426, 99211,20181229,  -70,    0
 18426, 99211,20181230,  -59,    0
 18426, 99211,20181231,    2,    0
 18426, 99211,20190101,   28,    0
 18426, 99211,20190102,  -32,    0
 18426, 99211,20190103,  -28,    0
 18426, 99211,20190104,  -18,    0
 18426, 99211,20190105,  -32,    0
 18426, 99211,20190106,  -37,    0
 18426, 99211,20190107,  -30,    0
