EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E39 HEMNEKJOELEN, NORWAY (STAID: 18427)
Blended and updated with sources:99212 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18427, 99212,20150901,-9999,    9
 18427, 99212,20150902,-9999,    9
 18427, 99212,20150903,-9999,    9
 18427, 99212,20150904,-9999,    9
 18427, 99212,20150905,-9999,    9
 18427, 99212,20150906,-9999,    9
 18427, 99212,20150907,-9999,    9
 18427, 99212,20150908,-9999,    9
 18427, 99212,20150909,-9999,    9
 18427, 99212,20150910,-9999,    9
 18427, 99212,20150911,-9999,    9
 18427, 99212,20150912,-9999,    9
 18427, 99212,20150913,-9999,    9
 18427, 99212,20150914,-9999,    9
 18427, 99212,20150915,-9999,    9
 18427, 99212,20150916,-9999,    9
 18427, 99212,20150917,-9999,    9
 18427, 99212,20150918,-9999,    9
 18427, 99212,20150919,-9999,    9
 18427, 99212,20150920,-9999,    9
 18427, 99212,20150921,-9999,    9
 18427, 99212,20150922,   82,    0
 18427, 99212,20150923,-9999,    9
 18427, 99212,20150924,-9999,    9
 18427, 99212,20150925,-9999,    9
 18427, 99212,20150926,-9999,    9
 18427, 99212,20150927,-9999,    9
 18427, 99212,20150928,-9999,    9
 18427, 99212,20150929,-9999,    9
 18427, 99212,20150930,-9999,    9
 18427, 99212,20151001,-9999,    9
 18427, 99212,20151002,-9999,    9
 18427, 99212,20151003,-9999,    9
 18427, 99212,20151004,-9999,    9
 18427, 99212,20151005,   45,    0
 18427, 99212,20151006,-9999,    9
 18427, 99212,20151007,-9999,    9
 18427, 99212,20151008,-9999,    9
 18427, 99212,20151009,   58,    0
 18427, 99212,20151010,   62,    0
 18427, 99212,20151011,   59,    0
 18427, 99212,20151012,   59,    0
 18427, 99212,20151013,   62,    0
 18427, 99212,20151014,   52,    0
 18427, 99212,20151015,   53,    0
 18427, 99212,20151016,   79,    0
 18427, 99212,20151017,   76,    0
 18427, 99212,20151018,   72,    0
 18427, 99212,20151019,   58,    0
 18427, 99212,20151020,   34,    0
 18427, 99212,20151021,   54,    0
 18427, 99212,20151022,   75,    0
 18427, 99212,20151023,-9999,    9
 18427, 99212,20151024,-9999,    9
 18427, 99212,20151025,   31,    0
 18427, 99212,20151026,   47,    0
 18427, 99212,20151027,   25,    0
 18427, 99212,20151028,   15,    0
 18427, 99212,20151029,-9999,    9
 18427, 99212,20151030,-9999,    9
 18427, 99212,20151031,   93,    0
 18427, 99212,20151101,   78,    0
 18427, 99212,20151102,   93,    0
 18427, 99212,20151103,   77,    0
 18427, 99212,20151104,   47,    0
 18427, 99212,20151105,-9999,    9
 18427, 99212,20151106,-9999,    9
 18427, 99212,20151107,   61,    0
 18427, 99212,20151108,   51,    0
 18427, 99212,20151109,   58,    0
 18427, 99212,20151110,   37,    0
 18427, 99212,20151111,-9999,    9
 18427, 99212,20151112,   22,    0
 18427, 99212,20151113,   27,    0
 18427, 99212,20151114,   16,    0
 18427, 99212,20151115,   -1,    0
 18427, 99212,20151116,   11,    0
 18427, 99212,20151117,  -20,    0
 18427, 99212,20151118,  -16,    0
 18427, 99212,20151119,  -17,    0
 18427, 99212,20151120,  -29,    0
 18427, 99212,20151121,-9999,    9
 18427, 99212,20151122,  -31,    0
 18427, 99212,20151123,   -1,    0
 18427, 99212,20151124,    1,    0
 18427, 99212,20151125,   -2,    0
 18427, 99212,20151126,   16,    0
 18427, 99212,20151127,   40,    0
 18427, 99212,20151128,   -8,    0
 18427, 99212,20151129,  -16,    0
 18427, 99212,20151130,  -27,    0
 18427, 99212,20151201,   -9,    0
 18427, 99212,20151202,    6,    0
 18427, 99212,20151203,   -2,    0
 18427, 99212,20151204,  -11,    0
 18427, 99212,20151205,   16,    0
 18427, 99212,20151206,    8,    0
 18427, 99212,20151207,   -2,    0
 18427, 99212,20151208,   18,    0
 18427, 99212,20151209,   17,    0
 18427, 99212,20151210,   16,    0
 18427, 99212,20151211,    6,    0
 18427, 99212,20151212,   -8,    0
 18427, 99212,20151213,  -30,    0
 18427, 99212,20151214,  -35,    0
 18427, 99212,20151215,    0,    0
 18427, 99212,20151216,  -32,    0
 18427, 99212,20151217,   -9,    0
 18427, 99212,20151218,   29,    0
 18427, 99212,20151219,   17,    0
 18427, 99212,20151220,-9999,    9
 18427, 99212,20151221,-9999,    9
 18427, 99212,20151222,-9999,    9
 18427, 99212,20151223,    1,    0
 18427, 99212,20151224,   36,    0
 18427, 99212,20151225,    6,    0
 18427, 99212,20151226,  -53,    0
 18427, 99212,20151227, -112,    0
 18427, 99212,20151228,  -93,    0
 18427, 99212,20151229,    8,    0
 18427, 99212,20151230,   40,    0
 18427, 99212,20151231,   32,    0
 18427, 99212,20160101,    9,    0
 18427, 99212,20160102,  -21,    0
 18427, 99212,20160103, -103,    0
 18427, 99212,20160104, -119,    0
 18427, 99212,20160105, -105,    0
 18427, 99212,20160106, -117,    0
 18427, 99212,20160107, -114,    0
 18427, 99212,20160108, -186,    0
 18427, 99212,20160109, -159,    0
 18427, 99212,20160110,  -90,    0
 18427, 99212,20160111,  -40,    0
 18427, 99212,20160112,  -73,    0
 18427, 99212,20160113,  -96,    0
 18427, 99212,20160114, -147,    0
 18427, 99212,20160115, -162,    0
 18427, 99212,20160116,  -79,    0
 18427, 99212,20160117,  -46,    0
 18427, 99212,20160118,  -35,    0
 18427, 99212,20160119,  -43,    0
 18427, 99212,20160120,  -42,    0
 18427, 99212,20160121,  -58,    0
 18427, 99212,20160122,  -87,    0
 18427, 99212,20160123,  -38,    0
 18427, 99212,20160124,    1,    0
 18427, 99212,20160125,-9999,    9
 18427, 99212,20160126,   14,    0
 18427, 99212,20160127,-9999,    9
 18427, 99212,20160128,-9999,    9
 18427, 99212,20160129,-9999,    9
 18427, 99212,20160130,  -13,    0
 18427, 99212,20160131,  -27,    0
 18427, 99212,20160201,  -27,    0
 18427, 99212,20160202,  -34,    0
 18427, 99212,20160203,  -14,    0
 18427, 99212,20160204,  -20,    0
 18427, 99212,20160205,  -26,    0
 18427, 99212,20160206,   -2,    0
 18427, 99212,20160207,   15,    0
 18427, 99212,20160208,-9999,    9
 18427, 99212,20160209,-9999,    9
