EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GOLIAT FPSO, NORWAY (STAID: 18439)
Blended and updated with sources:99236 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18439, 99236,20151101,-9999,    9
 18439, 99236,20151102,-9999,    9
 18439, 99236,20151103,-9999,    9
 18439, 99236,20151104,-9999,    9
 18439, 99236,20151105,-9999,    9
 18439, 99236,20151106,-9999,    9
 18439, 99236,20151107,-9999,    9
 18439, 99236,20151108,-9999,    9
 18439, 99236,20151109,-9999,    9
 18439, 99236,20151110,-9999,    9
 18439, 99236,20151111,-9999,    9
 18439, 99236,20151112,-9999,    9
 18439, 99236,20151113,-9999,    9
 18439, 99236,20151114,-9999,    9
 18439, 99236,20151115,-9999,    9
 18439, 99236,20151116,-9999,    9
 18439, 99236,20151117,   25,    0
 18439, 99236,20151118,-9999,    9
 18439, 99236,20151119,-9999,    9
 18439, 99236,20151120,-9999,    9
 18439, 99236,20151121,-9999,    9
 18439, 99236,20151122,-9999,    9
 18439, 99236,20151123,-9999,    9
 18439, 99236,20151124,-9999,    9
 18439, 99236,20151125,-9999,    9
 18439, 99236,20151126,-9999,    9
 18439, 99236,20151127,-9999,    9
 18439, 99236,20151128,-9999,    9
 18439, 99236,20151129,-9999,    9
 18439, 99236,20151130,-9999,    9
 18439, 99236,20151201,-9999,    9
 18439, 99236,20151202,-9999,    9
 18439, 99236,20151203,-9999,    9
 18439, 99236,20151204,-9999,    9
 18439, 99236,20151205,-9999,    9
 18439, 99236,20151206,-9999,    9
 18439, 99236,20151207,-9999,    9
 18439, 99236,20151208,-9999,    9
 18439, 99236,20151209,-9999,    9
 18439, 99236,20151210,-9999,    9
 18439, 99236,20151211,-9999,    9
 18439, 99236,20151212,-9999,    9
 18439, 99236,20151213,-9999,    9
 18439, 99236,20151214,-9999,    9
 18439, 99236,20151215,-9999,    9
 18439, 99236,20151216,-9999,    9
 18439, 99236,20151217,-9999,    9
 18439, 99236,20151218,-9999,    9
 18439, 99236,20151219,-9999,    9
 18439, 99236,20151220,-9999,    9
 18439, 99236,20151221,-9999,    9
 18439, 99236,20151222,-9999,    9
 18439, 99236,20151223,-9999,    9
 18439, 99236,20151224,-9999,    9
 18439, 99236,20151225,-9999,    9
 18439, 99236,20151226,-9999,    9
 18439, 99236,20151227,-9999,    9
 18439, 99236,20151228,-9999,    9
 18439, 99236,20151229,-9999,    9
 18439, 99236,20151230,-9999,    9
 18439, 99236,20151231,-9999,    9
 18439, 99236,20160101,-9999,    9
 18439, 99236,20160102,-9999,    9
 18439, 99236,20160103,-9999,    9
 18439, 99236,20160104,-9999,    9
 18439, 99236,20160105,-9999,    9
 18439, 99236,20160106,-9999,    9
 18439, 99236,20160107,-9999,    9
 18439, 99236,20160108,-9999,    9
 18439, 99236,20160109,-9999,    9
 18439, 99236,20160110,-9999,    9
 18439, 99236,20160111,-9999,    9
 18439, 99236,20160112,-9999,    9
 18439, 99236,20160113,-9999,    9
 18439, 99236,20160114,-9999,    9
 18439, 99236,20160115,-9999,    9
 18439, 99236,20160116,-9999,    9
 18439, 99236,20160117,-9999,    9
 18439, 99236,20160118,-9999,    9
 18439, 99236,20160119,-9999,    9
 18439, 99236,20160120,-9999,    9
 18439, 99236,20160121,-9999,    9
 18439, 99236,20160122,-9999,    9
 18439, 99236,20160123,-9999,    9
 18439, 99236,20160124,-9999,    9
 18439, 99236,20160125,-9999,    9
 18439, 99236,20160126,-9999,    9
 18439, 99236,20160127,-9999,    9
 18439, 99236,20160128,-9999,    9
 18439, 99236,20160129,-9999,    9
 18439, 99236,20160130,-9999,    9
 18439, 99236,20160131,-9999,    9
 18439, 99236,20160201,-9999,    9
 18439, 99236,20160202,-9999,    9
 18439, 99236,20160203,-9999,    9
 18439, 99236,20160204,-9999,    9
 18439, 99236,20160205,-9999,    9
 18439, 99236,20160206,-9999,    9
 18439, 99236,20160207,-9999,    9
 18439, 99236,20160208,-9999,    9
 18439, 99236,20160209,-9999,    9
 18439, 99236,20160210,-9999,    9
 18439, 99236,20160211,-9999,    9
 18439, 99236,20160212,-9999,    9
 18439, 99236,20160213,-9999,    9
 18439, 99236,20160214,-9999,    9
 18439, 99236,20160215,-9999,    9
 18439, 99236,20160216,-9999,    9
 18439, 99236,20160217,-9999,    9
 18439, 99236,20160218,-9999,    9
 18439, 99236,20160219,-9999,    9
 18439, 99236,20160220,-9999,    9
 18439, 99236,20160221,-9999,    9
 18439, 99236,20160222,-9999,    9
 18439, 99236,20160223,-9999,    9
 18439, 99236,20160224,-9999,    9
 18439, 99236,20160225,-9999,    9
 18439, 99236,20160226,-9999,    9
 18439, 99236,20160227,-9999,    9
 18439, 99236,20160228,-9999,    9
 18439, 99236,20160229,-9999,    9
 18439, 99236,20160301,-9999,    9
 18439, 99236,20160302,-9999,    9
 18439, 99236,20160303,-9999,    9
 18439, 99236,20160304,-9999,    9
 18439, 99236,20160305,-9999,    9
 18439, 99236,20160306,-9999,    9
 18439, 99236,20160307,-9999,    9
 18439, 99236,20160308,-9999,    9
 18439, 99236,20160309,-9999,    9
 18439, 99236,20160310,-9999,    9
 18439, 99236,20160311,-9999,    9
 18439, 99236,20160312,-9999,    9
 18439, 99236,20160313,-9999,    9
 18439, 99236,20160314,-9999,    9
 18439, 99236,20160315,-9999,    9
 18439, 99236,20160316,-9999,    9
 18439, 99236,20160317,-9999,    9
 18439, 99236,20160318,-9999,    9
 18439, 99236,20160319,-9999,    9
 18439, 99236,20160320,-9999,    9
 18439, 99236,20160321,-9999,    9
 18439, 99236,20160322,-9999,    9
