EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RV5 KAUPANGER, NORWAY (STAID: 18447)
Blended and updated with sources:99250 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18447, 99250,20140101,-9999,    9
 18447, 99250,20140102,-9999,    9
 18447, 99250,20140103,   39,    0
 18447, 99250,20140104,   46,    0
 18447, 99250,20140105,   53,    0
 18447, 99250,20140106,   45,    0
 18447, 99250,20140107,   39,    0
 18447, 99250,20140108,   27,    0
 18447, 99250,20140109,   14,    0
 18447, 99250,20140110,    5,    0
 18447, 99250,20140111,  -15,    0
 18447, 99250,20140112,  -75,    0
 18447, 99250,20140113,  -72,    0
 18447, 99250,20140114,  -62,    0
 18447, 99250,20140115,  -99,    0
 18447, 99250,20140116,  -17,    0
 18447, 99250,20140117,  -24,    0
 18447, 99250,20140118,  -31,    0
 18447, 99250,20140119,  -27,    0
 18447, 99250,20140120,  -47,    0
 18447, 99250,20140121,  -71,    0
 18447, 99250,20140122,-9999,    9
 18447, 99250,20140123,  -28,    0
 18447, 99250,20140124,  -32,    0
 18447, 99250,20140125,    2,    0
 18447, 99250,20140126,  -30,    0
 18447, 99250,20140127,  -21,    0
 18447, 99250,20140128,    5,    0
 18447, 99250,20140129,   -7,    0
 18447, 99250,20140130,  -34,    0
 18447, 99250,20140131,  -23,    0
 18447, 99250,20140201,   -3,    0
 18447, 99250,20140202,-9999,    9
 18447, 99250,20140203,-9999,    9
 18447, 99250,20140204,   38,    0
 18447, 99250,20140205,   32,    0
 18447, 99250,20140206,   34,    0
 18447, 99250,20140207,   29,    0
 18447, 99250,20140208,   13,    0
 18447, 99250,20140209,   55,    0
 18447, 99250,20140210,-9999,    9
 18447, 99250,20140211,-9999,    9
 18447, 99250,20140212,   34,    0
 18447, 99250,20140213,   53,    0
 18447, 99250,20140214,   48,    0
 18447, 99250,20140215,   50,    0
 18447, 99250,20140216,   23,    0
 18447, 99250,20140217,-9999,    9
 18447, 99250,20140218,-9999,    9
 18447, 99250,20140219,  -50,    0
 18447, 99250,20140220,  -47,    0
 18447, 99250,20140221,    5,    0
 18447, 99250,20140222,   27,    0
 18447, 99250,20140223,   49,    0
 18447, 99250,20140224,   64,    0
 18447, 99250,20140225,   52,    0
 18447, 99250,20140226,   55,    0
 18447, 99250,20140227,   65,    0
 18447, 99250,20140228,-9999,    9
 18447, 99250,20140301,-9999,    9
 18447, 99250,20140302,   38,    0
 18447, 99250,20140303,   44,    0
 18447, 99250,20140304,   51,    0
 18447, 99250,20140305,   58,    0
 18447, 99250,20140306,   53,    0
 18447, 99250,20140307,   32,    0
 18447, 99250,20140308,   27,    0
 18447, 99250,20140309,   56,    0
 18447, 99250,20140310,   35,    0
 18447, 99250,20140311,   33,    0
 18447, 99250,20140312,   14,    0
 18447, 99250,20140313,    5,    0
 18447, 99250,20140314,   24,    0
 18447, 99250,20140315,    6,    0
 18447, 99250,20140316,-9999,    9
 18447, 99250,20140317,-9999,    9
 18447, 99250,20140318,-9999,    9
 18447, 99250,20140319,-9999,    9
 18447, 99250,20140320,-9999,    9
 18447, 99250,20140321,-9999,    9
 18447, 99250,20140322,-9999,    9
 18447, 99250,20140323,   12,    0
 18447, 99250,20140324,   18,    0
 18447, 99250,20140325,    2,    0
 18447, 99250,20140326,   22,    0
 18447, 99250,20140327,   46,    0
 18447, 99250,20140328,   61,    0
 18447, 99250,20140329,   58,    0
 18447, 99250,20140330,-9999,    9
 18447, 99250,20140331,-9999,    9
 18447, 99250,20140401,   29,    0
 18447, 99250,20140402,   40,    0
