EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E39 OERSKOGFJELL, NORWAY (STAID: 18449)
Blended and updated with sources:99255 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18449, 99255,20140101,   33,    0
 18449, 99255,20140102,-9999,    9
 18449, 99255,20140103,   59,    0
 18449, 99255,20140104,   60,    0
 18449, 99255,20140105,   55,    0
 18449, 99255,20140106,   56,    0
 18449, 99255,20140107,   73,    0
 18449, 99255,20140108,-9999,    9
 18449, 99255,20140109,-9999,    9
 18449, 99255,20140110,  -25,    0
 18449, 99255,20140111, -102,    0
 18449, 99255,20140112,  -95,    0
 18449, 99255,20140113,  -98,    0
 18449, 99255,20140114,  -48,    0
 18449, 99255,20140115,  -61,    0
 18449, 99255,20140116,-9999,    9
 18449, 99255,20140117,  -16,    0
 18449, 99255,20140118,  -12,    0
 18449, 99255,20140119,    1,    0
 18449, 99255,20140120,   -9,    0
 18449, 99255,20140121,  -55,    0
 18449, 99255,20140122,-9999,    9
 18449, 99255,20140123,  -14,    0
 18449, 99255,20140124,   -3,    0
 18449, 99255,20140125,   11,    0
 18449, 99255,20140126,   -6,    0
 18449, 99255,20140127,  -35,    0
 18449, 99255,20140128,    2,    0
 18449, 99255,20140129,   -4,    0
 18449, 99255,20140130,  -49,    0
 18449, 99255,20140131,-9999,    9
 18449, 99255,20140201,-9999,    9
 18449, 99255,20140202,-9999,    9
 18449, 99255,20140203,-9999,    9
 18449, 99255,20140204,-9999,    9
 18449, 99255,20140205,-9999,    9
 18449, 99255,20140206,   29,    0
 18449, 99255,20140207,   29,    0
 18449, 99255,20140208,   29,    0
 18449, 99255,20140209,   49,    0
 18449, 99255,20140210,-9999,    9
 18449, 99255,20140211,   39,    0
 18449, 99255,20140212,   28,    0
 18449, 99255,20140213,-9999,    9
 18449, 99255,20140214,-9999,    9
 18449, 99255,20140215,   43,    0
 18449, 99255,20140216,   13,    0
 18449, 99255,20140217,-9999,    9
 18449, 99255,20140218,  -32,    0
 18449, 99255,20140219,-9999,    9
 18449, 99255,20140220,  -49,    0
 18449, 99255,20140221,   33,    0
 18449, 99255,20140222,-9999,    9
 18449, 99255,20140223,   65,    0
 18449, 99255,20140224,   57,    0
 18449, 99255,20140225,   64,    0
 18449, 99255,20140226,   66,    0
 18449, 99255,20140227,   58,    0
 18449, 99255,20140228,-9999,    9
 18449, 99255,20140301,-9999,    9
 18449, 99255,20140302,   17,    0
 18449, 99255,20140303,   19,    0
 18449, 99255,20140304,   39,    0
 18449, 99255,20140305,-9999,    9
 18449, 99255,20140306,-9999,    9
