EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E6 KLETT, NORWAY (STAID: 18456)
Blended and updated with sources:99265 99478 100839 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18456,100839,19270401,-9999,    9
 18456,100839,19270402,-9999,    9
 18456,100839,19270403,-9999,    9
 18456,100839,19270404,-9999,    9
 18456,100839,19270405,-9999,    9
 18456,100839,19270406,-9999,    9
 18456,100839,19270407,-9999,    9
 18456,100839,19270408,-9999,    9
 18456,100839,19270409,-9999,    9
 18456,100839,19270410,-9999,    9
 18456,100839,19270411,-9999,    9
 18456,100839,19270412,-9999,    9
 18456,100839,19270413,   30,    0
 18456,100839,19270414,-9999,    9
 18456,100839,19270415,-9999,    9
 18456,100839,19270416,-9999,    9
 18456,100839,19270417,-9999,    9
 18456,100839,19270418,   32,    0
 18456,100839,19270419,-9999,    9
 18456,100839,19270420,   26,    0
 18456,100839,19270421,-9999,    9
 18456,100839,19270422,-9999,    9
 18456,100839,19270423,-9999,    9
 18456,100839,19270424,-9999,    9
 18456,100839,19270425,    8,    0
 18456,100839,19270426,-9999,    9
 18456,100839,19270427,   15,    0
 18456,100839,19270428,-9999,    9
 18456,100839,19270429,-9999,    9
 18456,100839,19270430,-9999,    9
 18456,100839,19270501,-9999,    9
 18456,100839,19270502,   51,    0
 18456,100839,19270503,-9999,    9
 18456,100839,19270504,-9999,    9
 18456,100839,19270505,    5,    0
 18456,100839,19270506,-9999,    9
 18456,100839,19270507,-9999,    9
 18456,100839,19270508,-9999,    9
 18456,100839,19270509,-9999,    9
 18456,100839,19270510,-9999,    9
 18456,100839,19270511,-9999,    9
 18456,100839,19270512,   13,    0
 18456,100839,19270513,   21,    0
 18456,100839,19270514,   33,    0
 18456,100839,19270515,   41,    0
 18456,100839,19270516,-9999,    9
 18456,100839,19270517,-9999,    9
 18456,100839,19270518,-9999,    9
 18456,100839,19270519,-9999,    9
 18456,100839,19270520,-9999,    9
 18456,100839,19270521,-9999,    9
 18456,100839,19270522,-9999,    9
 18456,100839,19270523,-9999,    9
 18456,100839,19270524,-9999,    9
 18456,100839,19270525,-9999,    9
 18456,100839,19270526,-9999,    9
 18456,100839,19270527,-9999,    9
 18456,100839,19270528,   60,    0
 18456,100839,19270529,-9999,    9
 18456,100839,19270530,  123,    0
 18456,100839,19270531,-9999,    9
 18456,100839,19270601,-9999,    9
 18456,100839,19270602,-9999,    9
 18456,100839,19270603,-9999,    9
 18456,100839,19270604,-9999,    9
 18456,100839,19270605,-9999,    9
 18456,100839,19270606,-9999,    9
 18456,100839,19270607,-9999,    9
 18456,100839,19270608,-9999,    9
 18456,100839,19270609,-9999,    9
 18456,100839,19270610,-9999,    9
 18456,100839,19270611,   50,    0
 18456,100839,19270612,-9999,    9
 18456,100839,19270613,-9999,    9
 18456,100839,19270614,-9999,    9
 18456,100839,19270615,-9999,    9
 18456,100839,19270616,-9999,    9
 18456,100839,19270617,-9999,    9
 18456,100839,19270618,-9999,    9
 18456,100839,19270619,-9999,    9
