EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RV2 UVESUND BRU, NORWAY (STAID: 18462)
Blended and updated with sources:99279 99441 100983 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18462,100983,19710601,  195,    0
 18462,100983,19710602,  177,    0
 18462,100983,19710603,  160,    0
 18462,100983,19710604,  162,    0
 18462,100983,19710605,  154,    0
 18462,100983,19710606,  159,    0
 18462,100983,19710607,  147,    0
 18462,100983,19710608,  107,    0
 18462,100983,19710609,  112,    0
 18462,100983,19710610,  107,    0
 18462,100983,19710611,  138,    0
 18462,100983,19710612,  145,    0
 18462,100983,19710613,  144,    0
 18462,100983,19710614,  123,    0
 18462,100983,19710615,  119,    0
 18462,100983,19710616,   93,    0
 18462,100983,19710617,  104,    0
 18462,100983,19710618,  104,    0
 18462,100983,19710619,   97,    0
 18462,100983,19710620,  113,    0
 18462,100983,19710621,  118,    0
 18462,100983,19710622,  104,    0
 18462,100983,19710623,  136,    0
 18462,100983,19710624,  128,    0
 18462,100983,19710625,  144,    0
 18462,100983,19710626,  150,    0
 18462,100983,19710627,  146,    0
 18462,100983,19710628,  135,    0
 18462,100983,19710629,  130,    0
 18462,100983,19710630,  161,    0
 18462,100983,19710701,  168,    0
 18462,100983,19710702,  177,    0
 18462,100983,19710703,  211,    0
 18462,100983,19710704,  215,    0
 18462,100983,19710705,  191,    0
 18462,100983,19710706,  172,    0
 18462,100983,19710707,  180,    0
 18462,100983,19710708,  203,    0
 18462,100983,19710709,  201,    0
 18462,100983,19710710,  181,    0
 18462,100983,19710711,  180,    0
 18462,100983,19710712,  157,    0
 18462,100983,19710713,  111,    0
 18462,100983,19710714,   98,    0
 18462,100983,19710715,  115,    0
 18462,100983,19710716,  106,    0
 18462,100983,19710717,  139,    0
 18462,100983,19710718,  118,    0
 18462,100983,19710719,  125,    0
 18462,100983,19710720,  128,    0
 18462,100983,19710721,  116,    0
 18462,100983,19710722,  127,    0
 18462,100983,19710723,  113,    0
 18462,100983,19710724,  106,    0
 18462,100983,19710725,  160,    0
 18462,100983,19710726,  163,    0
 18462,100983,19710727,  161,    0
 18462,100983,19710728,  161,    0
 18462,100983,19710729,  169,    0
 18462,100983,19710730,  156,    0
 18462,100983,19710731,  164,    0
 18462,100983,19710801,  167,    0
 18462,100983,19710802,  172,    0
 18462,100983,19710803,  164,    0
 18462,100983,19710804,  129,    0
 18462,100983,19710805,  167,    0
 18462,100983,19710806,  157,    0
 18462,100983,19710807,  158,    0
 18462,100983,19710808,  160,    0
 18462,100983,19710809,  127,    0
 18462,100983,19710810,  143,    0
 18462,100983,19710811,  123,    0
 18462,100983,19710812,  125,    0
 18462,100983,19710813,  129,    0
 18462,100983,19710814,  118,    0
 18462,100983,19710815,  134,    0
 18462,100983,19710816,  128,    0
 18462,100983,19710817,  143,    0
 18462,100983,19710818,  146,    0
 18462,100983,19710819,  150,    0
 18462,100983,19710820,  153,    0
 18462,100983,19710821,  156,    0
 18462,100983,19710822,  127,    0
 18462,100983,19710823,  126,    0
 18462,100983,19710824,  117,    0
 18462,100983,19710825,  129,    0
 18462,100983,19710826,  129,    0
 18462,100983,19710827,  111,    0
 18462,100983,19710828,  129,    0
 18462,100983,19710829,   97,    0
 18462,100983,19710830,  118,    0
 18462,100983,19710831,  101,    0
 18462,100983,19710901,  107,    0
 18462,100983,19710902,  138,    0
 18462,100983,19710903,  114,    0
 18462,100983,19710904,   83,    0
 18462,100983,19710905,   80,    0
 18462,100983,19710906,   92,    0
 18462,100983,19710907,  126,    0
 18462,100983,19710908,  138,    0
 18462,100983,19710909,  139,    0
 18462,100983,19710910,  114,    0
 18462,100983,19710911,  109,    0
 18462,100983,19710912,   95,    0
 18462,100983,19710913,   47,    0
 18462,100983,19710914,   38,    0
 18462,100983,19710915,   41,    0
 18462,100983,19710916,   60,    0
 18462,100983,19710917,  104,    0
 18462,100983,19710918,  111,    0
 18462,100983,19710919,  122,    0
 18462,100983,19710920,  116,    0
 18462,100983,19710921,  117,    0
 18462,100983,19710922,  127,    0
 18462,100983,19710923,   87,    0
 18462,100983,19710924,  103,    0
 18462,100983,19710925,  100,    0
 18462,100983,19710926,   77,    0
 18462,100983,19710927,   49,    0
 18462,100983,19710928,   43,    0
 18462,100983,19710929,   50,    0
 18462,100983,19710930,  114,    0
 18462,100983,19711001,  119,    0
 18462,100983,19711002,   89,    0
 18462,100983,19711003,   93,    0
 18462,100983,19711004,   58,    0
 18462,100983,19711005,   17,    0
 18462,100983,19711006,   96,    0
 18462,100983,19711007,  144,    0
 18462,100983,19711008,   65,    0
 18462,100983,19711009,   89,    0
 18462,100983,19711010,   67,    0
 18462,100983,19711011,  126,    0
 18462,100983,19711012,   26,    0
 18462,100983,19711013,    4,    0
 18462,100983,19711014,  -23,    0
 18462,100983,19711015,  -12,    0
 18462,100983,19711016,   58,    0
 18462,100983,19711017,   51,    0
 18462,100983,19711018,   46,    0
 18462,100983,19711019,   58,    0
 18462,100983,19711020,   76,    0
 18462,100983,19711021,   44,    0
 18462,100983,19711022,   66,    0
 18462,100983,19711023,   45,    0
 18462,100983,19711024,   78,    0
 18462,100983,19711025,   41,    0
 18462,100983,19711026,   14,    0
 18462,100983,19711027,   -4,    0
 18462,100983,19711028,   -8,    0
 18462,100983,19711029,  -11,    0
 18462,100983,19711030,   23,    0
 18462,100983,19711031,   78,    0
 18462,100983,19711101,    1,    0
 18462,100983,19711102,   66,    0
 18462,100983,19711103,   76,    0
 18462,100983,19711104,   20,    0
 18462,100983,19711105,    0,    0
