EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV889 SELVIKHOEYDEN, NORWAY (STAID: 18473)
Blended and updated with sources:99299 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18473, 99299,20151101,-9999,    9
 18473, 99299,20151102,-9999,    9
 18473, 99299,20151103,-9999,    9
 18473, 99299,20151104,-9999,    9
 18473, 99299,20151105,-9999,    9
 18473, 99299,20151106,-9999,    9
 18473, 99299,20151107,-9999,    9
 18473, 99299,20151108,-9999,    9
 18473, 99299,20151109,-9999,    9
 18473, 99299,20151110,-9999,    9
 18473, 99299,20151111,-9999,    9
 18473, 99299,20151112,-9999,    9
 18473, 99299,20151113,-9999,    9
 18473, 99299,20151114,-9999,    9
 18473, 99299,20151115,-9999,    9
 18473, 99299,20151116,-9999,    9
 18473, 99299,20151117,-9999,    9
 18473, 99299,20151118,  -11,    0
 18473, 99299,20151119,    3,    0
 18473, 99299,20151120,  -13,    0
 18473, 99299,20151121,-9999,    9
 18473, 99299,20151122,  -13,    0
 18473, 99299,20151123,   -8,    0
 18473, 99299,20151124,   -4,    0
 18473, 99299,20151125,    5,    0
 18473, 99299,20151126,   16,    0
 18473, 99299,20151127,    3,    0
 18473, 99299,20151128,    8,    0
 18473, 99299,20151129,    0,    0
 18473, 99299,20151130,    0,    0
 18473, 99299,20151201,    0,    0
 18473, 99299,20151202,   13,    0
 18473, 99299,20151203,   17,    0
 18473, 99299,20151204,   23,    0
 18473, 99299,20151205,    6,    0
 18473, 99299,20151206,  -13,    0
 18473, 99299,20151207,   17,    0
 18473, 99299,20151208,    4,    0
 18473, 99299,20151209,  -17,    0
 18473, 99299,20151210,  -26,    0
 18473, 99299,20151211,  -41,    0
 18473, 99299,20151212,  -26,    0
 18473, 99299,20151213,  -24,    0
 18473, 99299,20151214,  -42,    0
 18473, 99299,20151215,-9999,    9
 18473, 99299,20151216,  -41,    0
 18473, 99299,20151217,  -52,    0
 18473, 99299,20151218,-9999,    9
 18473, 99299,20151219,-9999,    9
 18473, 99299,20151220,-9999,    9
 18473, 99299,20151221,-9999,    9
 18473, 99299,20151222,-9999,    9
 18473, 99299,20151223,  -18,    0
 18473, 99299,20151224,   22,    0
 18473, 99299,20151225,   17,    0
 18473, 99299,20151226,  -26,    0
 18473, 99299,20151227,  -47,    0
 18473, 99299,20151228,  -13,    0
 18473, 99299,20151229,   15,    0
 18473, 99299,20151230,   19,    0
 18473, 99299,20151231,    9,    0
 18473, 99299,20160101,   18,    0
 18473, 99299,20160102,   31,    0
 18473, 99299,20160103,  -25,    0
 18473, 99299,20160104,  -85,    0
 18473, 99299,20160105,  -57,    0
 18473, 99299,20160106, -125,    0
 18473, 99299,20160107, -139,    0
 18473, 99299,20160108,  -39,    0
 18473, 99299,20160109,  -34,    0
 18473, 99299,20160110,  -48,    0
 18473, 99299,20160111,  -57,    0
 18473, 99299,20160112,  -67,    0
 18473, 99299,20160113,  -72,    0
 18473, 99299,20160114,  -44,    0
 18473, 99299,20160115,  -20,    0
 18473, 99299,20160116,  -13,    0
 18473, 99299,20160117,  -95,    0
 18473, 99299,20160118,  -99,    0
 18473, 99299,20160119,  -85,    0
 18473, 99299,20160120,  -66,    0
 18473, 99299,20160121,  -34,    0
 18473, 99299,20160122,-9999,    9
 18473, 99299,20160123,-9999,    9
 18473, 99299,20160124,-9999,    9
 18473, 99299,20160125,-9999,    9
 18473, 99299,20160126,-9999,    9
 18473, 99299,20160127,-9999,    9
 18473, 99299,20160128,-9999,    9
 18473, 99299,20160129,   -6,    0
 18473, 99299,20160130,  -26,    0
 18473, 99299,20160131,  -23,    0
 18473, 99299,20160201,   -9,    0
 18473, 99299,20160202,  -33,    0
 18473, 99299,20160203,  -33,    0
 18473, 99299,20160204,-9999,    9
 18473, 99299,20160205,-9999,    9
 18473, 99299,20160206,-9999,    9
 18473, 99299,20160207,-9999,    9
 18473, 99299,20160208,-9999,    9
 18473, 99299,20160209,-9999,    9
 18473, 99299,20160210,-9999,    9
 18473, 99299,20160211,-9999,    9
 18473, 99299,20160212,-9999,    9
 18473, 99299,20160213,  -22,    0
 18473, 99299,20160214,  -33,    0
 18473, 99299,20160215,  -15,    0
 18473, 99299,20160216,    6,    0
 18473, 99299,20160217,    5,    0
 18473, 99299,20160218,   10,    0
 18473, 99299,20160219,   -7,    0
 18473, 99299,20160220,  -22,    0
 18473, 99299,20160221,  -15,    0
 18473, 99299,20160222,  -27,    0
 18473, 99299,20160223,  -30,    0
 18473, 99299,20160224,  -35,    0
 18473, 99299,20160225,  -30,    0
 18473, 99299,20160226,  -55,    0
 18473, 99299,20160227,  -62,    0
 18473, 99299,20160228,  -29,    0
 18473, 99299,20160229,   -5,    0
 18473, 99299,20160301,   -5,    0
 18473, 99299,20160302,-9999,    9
 18473, 99299,20160303,-9999,    9
 18473, 99299,20160304,-9999,    9
 18473, 99299,20160305,  -32,    0
 18473, 99299,20160306,  -20,    0
 18473, 99299,20160307,  -15,    0
 18473, 99299,20160308,  -17,    0
 18473, 99299,20160309,   -4,    0
 18473, 99299,20160310,    7,    0
 18473, 99299,20160311,   10,    0
 18473, 99299,20160312,   37,    0
 18473, 99299,20160313,   39,    0
 18473, 99299,20160314,   30,    0
 18473, 99299,20160315,-9999,    9
 18473, 99299,20160316,-9999,    9
 18473, 99299,20160317,  -65,    0
 18473, 99299,20160318,  -60,    0
 18473, 99299,20160319,  -42,    0
 18473, 99299,20160320,  -52,    0
 18473, 99299,20160321,  -52,    0
 18473, 99299,20160322,  -41,    0
 18473, 99299,20160323,  -27,    0
 18473, 99299,20160324,  -23,    0
 18473, 99299,20160325,  -31,    0
 18473, 99299,20160326,    3,    0
 18473, 99299,20160327,   34,    0
 18473, 99299,20160328,   53,    0
 18473, 99299,20160329,-9999,    9
 18473, 99299,20160330,-9999,    9
 18473, 99299,20160331,-9999,    9
 18473, 99299,20160401,   16,    0
 18473, 99299,20160402,    4,    0
 18473, 99299,20160403,   15,    0
 18473, 99299,20160404,   22,    0
 18473, 99299,20160405,   13,    0
 18473, 99299,20160406,   13,    0
 18473, 99299,20160407,-9999,    9
 18473, 99299,20160408,-9999,    9
 18473, 99299,20160409,   15,    0
 18473, 99299,20160410,    5,    0
 18473, 99299,20160411,    6,    0
 18473, 99299,20160412,  -33,    0
 18473, 99299,20160413,  -35,    0
 18473, 99299,20160414,  -15,    0
 18473, 99299,20160415,  -18,    0
 18473, 99299,20160416,-9999,    9
 18473, 99299,20160417,-9999,    9
 18473, 99299,20160418,-9999,    9
 18473, 99299,20160419,-9999,    9
 18473, 99299,20160420,-9999,    9
 18473, 99299,20160421,-9999,    9
 18473, 99299,20160422,-9999,    9
 18473, 99299,20160423,    3,    0
 18473, 99299,20160424,    5,    0
 18473, 99299,20160425,    9,    0
 18473, 99299,20160426,   26,    0
 18473, 99299,20160427,   85,    0
 18473, 99299,20160428,   82,    0
 18473, 99299,20160429,   68,    0
 18473, 99299,20160430,   84,    0
 18473, 99299,20160501,   73,    0
 18473, 99299,20160502,-9999,    9
 18473, 99299,20160503,-9999,    9
 18473, 99299,20160504,   73,    0
 18473, 99299,20160505,   68,    0
 18473, 99299,20160506,   74,    0
 18473, 99299,20160507,   80,    0
 18473, 99299,20160508,   57,    0
 18473, 99299,20160509,   46,    0
 18473, 99299,20160510,   37,    0
 18473, 99299,20160511,   51,    0
 18473, 99299,20160512,   62,    0
 18473, 99299,20160513,-9999,    9
 18473, 99299,20160514,   77,    0
 18473, 99299,20160515,-9999,    9
 18473, 99299,20160516,   55,    0
 18473, 99299,20160517,   42,    0
 18473, 99299,20160518,   51,    0
 18473, 99299,20160519,-9999,    9
 18473, 99299,20160520,-9999,    9
 18473, 99299,20160521,  113,    0
 18473, 99299,20160522,  103,    0
 18473, 99299,20160523,  112,    0
 18473, 99299,20160524,   74,    0
 18473, 99299,20160525,   57,    0
 18473, 99299,20160526,   58,    0
 18473, 99299,20160527,  120,    0
 18473, 99299,20160528,   78,    0
 18473, 99299,20160529,   84,    0
 18473, 99299,20160530,  146,    0
 18473, 99299,20160531,   74,    0
 18473, 99299,20160601,   55,    0
 18473, 99299,20160602,   51,    0
 18473, 99299,20160603,   36,    0
 18473, 99299,20160604,-9999,    9
 18473, 99299,20160605,-9999,    9
 18473, 99299,20160606,-9999,    9
 18473, 99299,20160607,   55,    0
 18473, 99299,20160608,   49,    0
 18473, 99299,20160609,   35,    0
 18473, 99299,20160610,   45,    0
 18473, 99299,20160611,   55,    0
 18473, 99299,20160612,   54,    0
 18473, 99299,20160613,   67,    0
 18473, 99299,20160614,   53,    0
 18473, 99299,20160615,   54,    0
 18473, 99299,20160616,   80,    0
 18473, 99299,20160617,   96,    0
 18473, 99299,20160618,   65,    0
 18473, 99299,20160619,   48,    0
 18473, 99299,20160620,   59,    0
 18473, 99299,20160621,-9999,    9
 18473, 99299,20160622,-9999,    9
 18473, 99299,20160623,-9999,    9
 18473, 99299,20160624,-9999,    9
 18473, 99299,20160625,-9999,    9
 18473, 99299,20160626,-9999,    9
 18473, 99299,20160627,-9999,    9
 18473, 99299,20160628,-9999,    9
 18473, 99299,20160629,-9999,    9
 18473, 99299,20160630,-9999,    9
 18473, 99299,20160701,  195,    0
 18473, 99299,20160702,  196,    0
 18473, 99299,20160703,  185,    0
 18473, 99299,20160704,  136,    0
 18473, 99299,20160705,   98,    0
 18473, 99299,20160706,  110,    0
 18473, 99299,20160707,   96,    0
 18473, 99299,20160708,   91,    0
 18473, 99299,20160709,   89,    0
 18473, 99299,20160710,   77,    0
