EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SNORRE A, NORWAY (STAID: 18485)
Blended and updated with sources:99064 99317 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18485, 99317,20140801,-9999,    9
 18485, 99317,20140802,-9999,    9
 18485, 99317,20140803,-9999,    9
 18485, 99317,20140804,-9999,    9
 18485, 99317,20140805,-9999,    9
 18485, 99317,20140806,-9999,    9
 18485, 99317,20140807,-9999,    9
 18485, 99317,20140808,-9999,    9
 18485, 99317,20140809,-9999,    9
 18485, 99317,20140810,-9999,    9
 18485, 99317,20140811,-9999,    9
 18485, 99317,20140812,-9999,    9
 18485, 99317,20140813,-9999,    9
 18485, 99317,20140814,  132,    0
 18485, 99317,20140815,-9999,    9
 18485, 99317,20140816,-9999,    9
 18485, 99317,20140817,-9999,    9
 18485, 99317,20140818,-9999,    9
 18485, 99317,20140819,-9999,    9
 18485, 99317,20140820,-9999,    9
 18485, 99317,20140821,-9999,    9
 18485, 99317,20140822,-9999,    9
 18485, 99317,20140823,-9999,    9
 18485, 99317,20140824,-9999,    9
 18485, 99317,20140825,-9999,    9
 18485, 99317,20140826,-9999,    9
 18485, 99317,20140827,-9999,    9
 18485, 99317,20140828,-9999,    9
 18485, 99317,20140829,-9999,    9
 18485, 99317,20140830,-9999,    9
 18485, 99317,20140831,-9999,    9
 18485, 99317,20140901,-9999,    9
 18485, 99317,20140902,-9999,    9
 18485, 99317,20140903,-9999,    9
 18485, 99317,20140904,-9999,    9
 18485, 99317,20140905,-9999,    9
 18485, 99317,20140906,-9999,    9
 18485, 99317,20140907,-9999,    9
 18485, 99317,20140908,-9999,    9
 18485, 99317,20140909,-9999,    9
 18485, 99317,20140910,-9999,    9
 18485, 99317,20140911,-9999,    9
 18485, 99317,20140912,-9999,    9
 18485, 99317,20140913,-9999,    9
 18485, 99317,20140914,-9999,    9
 18485, 99317,20140915,-9999,    9
 18485, 99317,20140916,-9999,    9
 18485, 99317,20140917,-9999,    9
 18485, 99317,20140918,-9999,    9
 18485, 99317,20140919,-9999,    9
 18485, 99317,20140920,-9999,    9
 18485, 99317,20140921,-9999,    9
 18485, 99317,20140922,-9999,    9
 18485, 99317,20140923,-9999,    9
 18485, 99317,20140924,-9999,    9
 18485, 99317,20140925,-9999,    9
 18485, 99317,20140926,-9999,    9
 18485, 99317,20140927,-9999,    9
 18485, 99317,20140928,-9999,    9
 18485, 99317,20140929,-9999,    9
 18485, 99317,20140930,-9999,    9
 18485, 99317,20141001,-9999,    9
 18485, 99317,20141002,-9999,    9
 18485, 99317,20141003,-9999,    9
 18485, 99317,20141004,-9999,    9
 18485, 99317,20141005,-9999,    9
 18485, 99317,20141006,-9999,    9
 18485, 99317,20141007,-9999,    9
 18485, 99317,20141008,-9999,    9
 18485, 99317,20141009,-9999,    9
 18485, 99317,20141010,-9999,    9
 18485, 99317,20141011,-9999,    9
 18485, 99317,20141012,-9999,    9
 18485, 99317,20141013,-9999,    9
 18485, 99317,20141014,-9999,    9
 18485, 99317,20141015,-9999,    9
 18485, 99317,20141016,-9999,    9
 18485, 99317,20141017,-9999,    9
 18485, 99317,20141018,-9999,    9
 18485, 99317,20141019,-9999,    9
 18485, 99317,20141020,-9999,    9
 18485, 99317,20141021,-9999,    9
 18485, 99317,20141022,-9999,    9
 18485, 99317,20141023,-9999,    9
 18485, 99317,20141024,-9999,    9
 18485, 99317,20141025,-9999,    9
 18485, 99317,20141026,-9999,    9
 18485, 99317,20141027,-9999,    9
 18485, 99317,20141028,-9999,    9
 18485, 99317,20141029,-9999,    9
 18485, 99317,20141030,-9999,    9
 18485, 99317,20141031,-9999,    9
 18485, 99317,20141101,-9999,    9
 18485, 99317,20141102,-9999,    9
 18485, 99317,20141103,-9999,    9
 18485, 99317,20141104,-9999,    9
 18485, 99317,20141105,-9999,    9
 18485, 99317,20141106,-9999,    9
 18485, 99317,20141107,-9999,    9
 18485, 99317,20141108,-9999,    9
 18485, 99317,20141109,-9999,    9
 18485, 99317,20141110,-9999,    9
 18485, 99317,20141111,-9999,    9
 18485, 99317,20141112,-9999,    9
 18485, 99317,20141113,-9999,    9
 18485, 99317,20141114,-9999,    9
 18485, 99317,20141115,-9999,    9
 18485, 99317,20141116,-9999,    9
 18485, 99317,20141117,-9999,    9
 18485, 99317,20141118,-9999,    9
 18485, 99317,20141119,-9999,    9
 18485, 99317,20141120,-9999,    9
 18485, 99317,20141121,-9999,    9
 18485, 99317,20141122,-9999,    9
 18485, 99317,20141123,-9999,    9
 18485, 99317,20141124,-9999,    9
 18485, 99317,20141125,-9999,    9
 18485, 99317,20141126,-9999,    9
 18485, 99317,20141127,-9999,    9
 18485, 99317,20141128,-9999,    9
 18485, 99317,20141129,-9999,    9
 18485, 99317,20141130,-9999,    9
 18485, 99317,20141201,-9999,    9
 18485, 99317,20141202,-9999,    9
 18485, 99317,20141203,-9999,    9
 18485, 99317,20141204,-9999,    9
 18485, 99317,20141205,-9999,    9
 18485, 99317,20141206,-9999,    9
 18485, 99317,20141207,-9999,    9
 18485, 99317,20141208,-9999,    9
 18485, 99317,20141209,-9999,    9
 18485, 99317,20141210,-9999,    9
 18485, 99317,20141211,-9999,    9
 18485, 99317,20141212,-9999,    9
 18485, 99317,20141213,-9999,    9
 18485, 99317,20141214,-9999,    9
 18485, 99317,20141215,-9999,    9
 18485, 99317,20141216,-9999,    9
 18485, 99317,20141217,-9999,    9
 18485, 99317,20141218,-9999,    9
 18485, 99317,20141219,-9999,    9
 18485, 99317,20141220,-9999,    9
 18485, 99317,20141221,-9999,    9
 18485, 99317,20141222,-9999,    9
 18485, 99317,20141223,-9999,    9
 18485, 99317,20141224,-9999,    9
 18485, 99317,20141225,-9999,    9
 18485, 99317,20141226,-9999,    9
 18485, 99317,20141227,-9999,    9
 18485, 99317,20141228,-9999,    9
 18485, 99317,20141229,-9999,    9
 18485, 99317,20141230,-9999,    9
 18485, 99317,20141231,-9999,    9
 18485, 99317,20150101,-9999,    9
 18485, 99317,20150102,-9999,    9
 18485, 99317,20150103,-9999,    9
 18485, 99317,20150104,-9999,    9
 18485, 99317,20150105,-9999,    9
 18485, 99317,20150106,-9999,    9
 18485, 99317,20150107,-9999,    9
 18485, 99317,20150108,-9999,    9
 18485, 99317,20150109,-9999,    9
 18485, 99317,20150110,-9999,    9
 18485, 99317,20150111,-9999,    9
 18485, 99317,20150112,-9999,    9
 18485, 99317,20150113,-9999,    9
 18485, 99317,20150114,-9999,    9
 18485, 99317,20150115,-9999,    9
 18485, 99317,20150116,-9999,    9
 18485, 99317,20150117,-9999,    9
 18485, 99317,20150118,-9999,    9
 18485, 99317,20150119,-9999,    9
 18485, 99317,20150120,-9999,    9
 18485, 99317,20150121,-9999,    9
 18485, 99317,20150122,-9999,    9
 18485, 99317,20150123,-9999,    9
 18485, 99317,20150124,-9999,    9
 18485, 99317,20150125,-9999,    9
 18485, 99317,20150126,-9999,    9
 18485, 99317,20150127,-9999,    9
 18485, 99317,20150128,-9999,    9
 18485, 99317,20150129,-9999,    9
 18485, 99317,20150130,-9999,    9
 18485, 99317,20150131,-9999,    9
 18485, 99317,20150201,-9999,    9
 18485, 99317,20150202,-9999,    9
 18485, 99317,20150203,-9999,    9
 18485, 99317,20150204,-9999,    9
 18485, 99317,20150205,-9999,    9
 18485, 99317,20150206,-9999,    9
 18485, 99317,20150207,-9999,    9
 18485, 99317,20150208,-9999,    9
 18485, 99317,20150209,-9999,    9
 18485, 99317,20150210,-9999,    9
 18485, 99317,20150211,-9999,    9
 18485, 99317,20150212,-9999,    9
 18485, 99317,20150213,-9999,    9
 18485, 99317,20150214,-9999,    9
 18485, 99317,20150215,-9999,    9
 18485, 99317,20150216,-9999,    9
 18485, 99317,20150217,-9999,    9
 18485, 99317,20150218,-9999,    9
 18485, 99317,20150219,-9999,    9
 18485, 99317,20150220,-9999,    9
 18485, 99317,20150221,-9999,    9
 18485, 99317,20150222,-9999,    9
 18485, 99317,20150223,-9999,    9
 18485, 99317,20150224,-9999,    9
 18485, 99317,20150225,-9999,    9
 18485, 99317,20150226,-9999,    9
 18485, 99317,20150227,-9999,    9
 18485, 99317,20150228,-9999,    9
 18485, 99317,20150301,-9999,    9
 18485, 99317,20150302,-9999,    9
 18485, 99317,20150303,-9999,    9
 18485, 99317,20150304,-9999,    9
 18485, 99317,20150305,-9999,    9
 18485, 99317,20150306,-9999,    9
 18485, 99317,20150307,-9999,    9
 18485, 99317,20150308,-9999,    9
 18485, 99317,20150309,-9999,    9
 18485, 99317,20150310,-9999,    9
 18485, 99317,20150311,-9999,    9
 18485, 99317,20150312,-9999,    9
 18485, 99317,20150313,-9999,    9
 18485, 99317,20150314,-9999,    9
 18485, 99317,20150315,-9999,    9
 18485, 99317,20150316,-9999,    9
 18485, 99317,20150317,-9999,    9
 18485, 99317,20150318,-9999,    9
 18485, 99317,20150319,-9999,    9
 18485, 99317,20150320,-9999,    9
 18485, 99317,20150321,-9999,    9
 18485, 99317,20150322,-9999,    9
 18485, 99317,20150323,-9999,    9
 18485, 99317,20150324,-9999,    9
 18485, 99317,20150325,-9999,    9
 18485, 99317,20150326,-9999,    9
 18485, 99317,20150327,-9999,    9
 18485, 99317,20150328,-9999,    9
