EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV155 RAKEN, NORWAY (STAID: 18489)
Blended and updated with sources:99194 99323 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18489, 99323,20130201,-9999,    9
 18489, 99323,20130202,-9999,    9
 18489, 99323,20130203,-9999,    9
 18489, 99323,20130204,-9999,    9
 18489, 99323,20130205,-9999,    9
 18489, 99323,20130206,-9999,    9
 18489, 99323,20130207,-9999,    9
 18489, 99323,20130208,-9999,    9
 18489, 99323,20130209,-9999,    9
 18489, 99323,20130210,-9999,    9
 18489, 99323,20130211,-9999,    9
 18489, 99323,20130212,  -57,    0
 18489, 99323,20130213,  -51,    0
 18489, 99323,20130214,-9999,    9
 18489, 99323,20130215,-9999,    9
 18489, 99323,20130216,-9999,    9
 18489, 99323,20130217,-9999,    9
 18489, 99323,20130218,   -6,    0
 18489, 99323,20130219,  -38,    0
 18489, 99323,20130220,  -88,    0
 18489, 99323,20130221, -137,    0
 18489, 99323,20130222,  -68,    0
 18489, 99323,20130223,-9999,    9
 18489, 99323,20130224,-9999,    9
 18489, 99323,20130225,-9999,    9
 18489, 99323,20130226,-9999,    9
 18489, 99323,20130227,  -44,    0
 18489, 99323,20130228,  -13,    0
 18489, 99323,20130301,  -16,    0
 18489, 99323,20130302,   21,    0
 18489, 99323,20130303,   -5,    0
 18489, 99323,20130304,  -11,    0
 18489, 99323,20130305,  -19,    0
 18489, 99323,20130306,    2,    0
