EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E6 FRYA, NORWAY (STAID: 18490)
Blended and updated with sources:99324 99520 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18490, 99520,20091101,   -5,    0
 18490, 99520,20091102,   -4,    0
 18490, 99520,20091103,   10,    0
 18490, 99520,20091104,   -8,    0
 18490, 99520,20091105,  -23,    0
 18490, 99520,20091106,  -23,    0
 18490, 99520,20091107,  -13,    0
 18490, 99520,20091108,    7,    0
 18490, 99520,20091109,  -17,    0
 18490, 99520,20091110,  -62,    0
 18490, 99520,20091111,  -53,    0
 18490, 99520,20091112,  -66,    0
 18490, 99520,20091113,  -92,    0
 18490, 99520,20091114,  -44,    0
 18490, 99520,20091115,    5,    0
 18490, 99520,20091116,   -3,    0
 18490, 99520,20091117,    0,    0
 18490, 99520,20091118,    4,    0
 18490, 99520,20091119,  -11,    0
 18490, 99520,20091120,   22,    0
 18490, 99520,20091121,  -12,    0
 18490, 99520,20091122,  -17,    0
 18490, 99520,20091123,   -7,    0
 18490, 99520,20091124,  -20,    0
 18490, 99520,20091125,  -16,    0
 18490, 99520,20091126,   37,    0
 18490, 99520,20091127,   18,    0
 18490, 99520,20091128,  -18,    0
 18490, 99520,20091129,  -14,    0
 18490, 99520,20091130,  -28,    0
 18490, 99520,20091201,  -97,    0
 18490, 99520,20091202, -119,    0
 18490, 99520,20091203, -108,    0
 18490, 99520,20091204,  -48,    0
 18490, 99520,20091205,  -25,    0
 18490, 99520,20091206,   11,    0
 18490, 99520,20091207,    5,    0
 18490, 99520,20091208,    7,    0
 18490, 99520,20091209,   19,    0
 18490, 99520,20091210,    7,    0
 18490, 99520,20091211,   -4,    0
 18490, 99520,20091212,  -24,    0
 18490, 99520,20091213,  -39,    0
 18490, 99520,20091214,  -30,    0
 18490, 99520,20091215,  -47,    0
 18490, 99520,20091216,  -70,    0
 18490, 99520,20091217, -142,    0
 18490, 99520,20091218, -216,    0
 18490, 99520,20091219, -159,    0
 18490, 99520,20091220, -122,    0
 18490, 99520,20091221, -143,    0
 18490, 99520,20091222, -176,    0
 18490, 99520,20091223, -166,    0
 18490, 99520,20091224, -124,    0
 18490, 99520,20091225,  -90,    0
 18490, 99520,20091226,  -62,    0
 18490, 99520,20091227,  -91,    0
 18490, 99520,20091228, -178,    0
 18490, 99520,20091229, -234,    0
 18490, 99520,20091230, -206,    0
 18490, 99520,20091231, -183,    0
 18490, 99520,20100101, -137,    0
 18490, 99520,20100102, -195,    0
 18490, 99520,20100103, -171,    0
 18490, 99520,20100104, -204,    0
 18490, 99520,20100105, -209,    0
 18490, 99520,20100106, -266,    0
 18490, 99520,20100107, -283,    0
 18490, 99520,20100108, -270,    0
 18490, 99520,20100109, -251,    0
 18490, 99520,20100110, -228,    0
 18490, 99520,20100111, -205,    0
 18490, 99520,20100112, -189,    0
 18490, 99520,20100113, -203,    0
 18490, 99520,20100114, -152,    0
 18490, 99520,20100115, -125,    0
 18490, 99520,20100116,  -71,    0
 18490, 99520,20100117,  -36,    0
 18490, 99520,20100118,  -55,    0
 18490, 99520,20100119, -116,    0
 18490, 99520,20100120,  -92,    0
 18490, 99520,20100121,  -73,    0
 18490, 99520,20100122,  -58,    0
 18490, 99520,20100123,  -59,    0
 18490, 99520,20100124,  -57,    0
 18490, 99520,20100125, -102,    0
 18490, 99520,20100126, -121,    0
 18490, 99520,20100127,  -87,    0
 18490, 99520,20100128, -119,    0
 18490, 99520,20100129, -130,    0
 18490, 99520,20100130, -116,    0
 18490, 99520,20100131, -175,    0
 18490, 99520,20100201, -222,    0
 18490, 99520,20100202, -202,    0
 18490, 99520,20100203, -132,    0
 18490, 99520,20100204, -103,    0
 18490, 99520,20100205,  -40,    0
 18490, 99520,20100206,  -71,    0
 18490, 99520,20100207, -133,    0
 18490, 99520,20100208, -156,    0
 18490, 99520,20100209, -103,    0
 18490, 99520,20100210, -170,    0
 18490, 99520,20100211, -129,    0
 18490, 99520,20100212, -118,    0
 18490, 99520,20100213,  -99,    0
 18490, 99520,20100214,  -86,    0
 18490, 99520,20100215, -108,    0
 18490, 99520,20100216,  -63,    0
 18490, 99520,20100217,  -45,    0
