EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E39 LOTETUNNELEN, NORWAY (STAID: 18492)
Blended and updated with sources:34552 99327 100721 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18492,100721,19570101,  -47,    0
 18492,100721,19570102,  -84,    0
 18492,100721,19570103,  -67,    0
 18492,100721,19570104,   38,    0
 18492,100721,19570105,   49,    0
 18492,100721,19570106,   10,    0
 18492,100721,19570107,   33,    0
 18492,100721,19570108,   70,    0
 18492,100721,19570109,   40,    0
 18492,100721,19570110,   18,    0
 18492,100721,19570111,    0,    0
 18492,100721,19570112,   11,    0
 18492,100721,19570113,  -38,    0
 18492,100721,19570114,  -77,    0
 18492,100721,19570115,    6,    0
 18492,100721,19570116,   17,    0
 18492,100721,19570117,   17,    0
 18492,100721,19570118,   26,    0
 18492,100721,19570119,   47,    0
 18492,100721,19570120,   47,    0
 18492,100721,19570121,   16,    0
 18492,100721,19570122,    6,    0
 18492,100721,19570123,   -4,    0
 18492,100721,19570124,   44,    0
 18492,100721,19570125,   14,    0
 18492,100721,19570126,   37,    0
 18492,100721,19570127,    8,    0
 18492,100721,19570128,   40,    0
 18492,100721,19570129,   16,    0
 18492,100721,19570130,   -5,    0
 18492,100721,19570131,   68,    0
 18492,100721,19570201,   48,    0
 18492,100721,19570202,   27,    0
 18492,100721,19570203,   37,    0
 18492,100721,19570204,   51,    0
 18492,100721,19570205,   58,    0
 18492,100721,19570206,   28,    0
 18492,100721,19570207,   22,    0
 18492,100721,19570208,    4,    0
 18492,100721,19570209,    7,    0
 18492,100721,19570210,  -17,    0
 18492,100721,19570211,  -41,    0
 18492,100721,19570212,  -14,    0
 18492,100721,19570213,    2,    0
 18492,100721,19570214,  -29,    0
 18492,100721,19570215,   -5,    0
 18492,100721,19570216,  -31,    0
 18492,100721,19570217,  -25,    0
 18492,100721,19570218,  -13,    0
 18492,100721,19570219,  -19,    0
 18492,100721,19570220,  -25,    0
 18492,100721,19570221,  -25,    0
 18492,100721,19570222,  -14,    0
 18492,100721,19570223,  -22,    0
 18492,100721,19570224,  -53,    0
 18492,100721,19570225,  -51,    0
 18492,100721,19570226,  -19,    0
 18492,100721,19570227,  -20,    0
 18492,100721,19570228,   12,    0
 18492,100721,19570301,   44,    0
 18492,100721,19570302,   64,    0
 18492,100721,19570303,   33,    0
 18492,100721,19570304,   -6,    0
 18492,100721,19570305,   11,    0
 18492,100721,19570306,   11,    0
 18492,100721,19570307,   33,    0
 18492,100721,19570308,   51,    0
 18492,100721,19570309,   75,    0
 18492,100721,19570310,   73,    0
 18492,100721,19570311,   69,    0
 18492,100721,19570312,   54,    0
 18492,100721,19570313,   76,    0
 18492,100721,19570314,   26,    0
 18492,100721,19570315,  -10,    0
 18492,100721,19570316,  -20,    0
 18492,100721,19570317,  -13,    0
 18492,100721,19570318,  -10,    0
 18492,100721,19570319,  -23,    0
 18492,100721,19570320,   22,    0
 18492,100721,19570321,   34,    0
 18492,100721,19570322,   32,    0
 18492,100721,19570323,   20,    0
 18492,100721,19570324,   41,    0
 18492,100721,19570325,   41,    0
 18492,100721,19570326,   52,    0
 18492,100721,19570327,   75,    0
 18492,100721,19570328,   72,    0
 18492,100721,19570329,   69,    0
 18492,100721,19570330,   64,    0
 18492,100721,19570331,   55,    0
 18492,100721,19570401,   48,    0
 18492,100721,19570402,   70,    0
 18492,100721,19570403,   80,    0
 18492,100721,19570404,   91,    0
 18492,100721,19570405,   58,    0
 18492,100721,19570406,   30,    0
 18492,100721,19570407,   35,    0
 18492,100721,19570408,   53,    0
 18492,100721,19570409,   41,    0
 18492,100721,19570410,   16,    0
 18492,100721,19570411,    4,    0
 18492,100721,19570412,   -2,    0
 18492,100721,19570413,    7,    0
 18492,100721,19570414,   10,    0
 18492,100721,19570415,   15,    0
 18492,100721,19570416,   60,    0
 18492,100721,19570417,   68,    0
 18492,100721,19570418,   68,    0
 18492,100721,19570419,   38,    0
 18492,100721,19570420,   53,    0
 18492,100721,19570421,   81,    0
 18492,100721,19570422,   86,    0
 18492,100721,19570423,   97,    0
 18492,100721,19570424,   75,    0
 18492,100721,19570425,   64,    0
 18492,100721,19570426,   53,    0
 18492,100721,19570427,   62,    0
 18492,100721,19570428,   59,    0
 18492,100721,19570429,   41,    0
 18492,100721,19570430,   12,    0
 18492,100721,19570501,   35,    0
 18492,100721,19570502,   50,    0
 18492,100721,19570503,   19,    0
 18492,100721,19570504,   23,    0
 18492,100721,19570505,   26,    0
 18492,100721,19570506,   14,    0
 18492,100721,19570507,   31,    0
 18492,100721,19570508,   39,    0
 18492,100721,19570509,   17,    0
 18492,100721,19570510,   66,    0
 18492,100721,19570511,   90,    0
 18492,100721,19570512,  113,    0
 18492,100721,19570513,   96,    0
 18492,100721,19570514,  106,    0
 18492,100721,19570515,   81,    0
 18492,100721,19570516,   85,    0
 18492,100721,19570517,   83,    0
 18492,100721,19570518,   84,    0
 18492,100721,19570519,   90,    0
 18492,100721,19570520,   54,    0
 18492,100721,19570521,   54,    0
 18492,100721,19570522,   92,    0
 18492,100721,19570523,  123,    0
 18492,100721,19570524,  136,    0
 18492,100721,19570525,  122,    0
 18492,100721,19570526,  126,    0
 18492,100721,19570527,  112,    0
 18492,100721,19570528,  104,    0
 18492,100721,19570529,   97,    0
 18492,100721,19570530,   97,    0
 18492,100721,19570531,   88,    0
 18492,100721,19570601,   92,    0
 18492,100721,19570602,   89,    0
 18492,100721,19570603,   78,    0
 18492,100721,19570604,   99,    0
 18492,100721,19570605,   97,    0
 18492,100721,19570606,   79,    0
 18492,100721,19570607,   82,    0
 18492,100721,19570608,   84,    0
 18492,100721,19570609,   92,    0
 18492,100721,19570610,  127,    0
 18492,100721,19570611,  100,    0
 18492,100721,19570612,  109,    0
 18492,100721,19570613,  121,    0
 18492,100721,19570614,  124,    0
 18492,100721,19570615,  140,    0
 18492,100721,19570616,  159,    0
 18492,100721,19570617,  138,    0
 18492,100721,19570618,  105,    0
 18492,100721,19570619,   99,    0
 18492,100721,19570620,   94,    0
 18492,100721,19570621,   79,    0
 18492,100721,19570622,  108,    0
 18492,100721,19570623,  120,    0
 18492,100721,19570624,   93,    0
 18492,100721,19570625,  101,    0
 18492,100721,19570626,   84,    0
 18492,100721,19570627,   92,    0
 18492,100721,19570628,  119,    0
 18492,100721,19570629,  130,    0
 18492,100721,19570630,  140,    0
 18492,100721,19570701,  129,    0
 18492,100721,19570702,  115,    0
 18492,100721,19570703,  120,    0
 18492,100721,19570704,  108,    0
 18492,100721,19570705,  105,    0
 18492,100721,19570706,  125,    0
 18492,100721,19570707,  133,    0
 18492,100721,19570708,  151,    0
 18492,100721,19570709,  141,    0
 18492,100721,19570710,  126,    0
 18492,100721,19570711,  133,    0
 18492,100721,19570712,  150,    0
 18492,100721,19570713,  143,    0
 18492,100721,19570714,  174,    0
 18492,100721,19570715,  157,    0
 18492,100721,19570716,  149,    0
 18492,100721,19570717,  154,    0
 18492,100721,19570718,  169,    0
