EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E8 BOSSOVARRI, NORWAY (STAID: 18496)
Blended and updated with sources:99338 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18496, 99338,20180601,-9999,    9
 18496, 99338,20180602,-9999,    9
 18496, 99338,20180603,-9999,    9
 18496, 99338,20180604,-9999,    9
 18496, 99338,20180605,   10,    0
 18496, 99338,20180606,-9999,    9
 18496, 99338,20180607,   14,    0
 18496, 99338,20180608,   27,    0
 18496, 99338,20180609,   43,    0
 18496, 99338,20180610,   66,    0
 18496, 99338,20180611,   45,    0
 18496, 99338,20180612,   16,    0
 18496, 99338,20180613,   31,    0
 18496, 99338,20180614,   88,    0
 18496, 99338,20180615,   97,    0
 18496, 99338,20180616,   98,    0
 18496, 99338,20180617,  106,    0
 18496, 99338,20180618,  117,    0
 18496, 99338,20180619,  113,    0
 18496, 99338,20180620,   63,    0
 18496, 99338,20180621,   55,    0
 18496, 99338,20180622,   50,    0
 18496, 99338,20180623,   44,    0
 18496, 99338,20180624,   60,    0
 18496, 99338,20180625,  101,    0
 18496, 99338,20180626,   89,    0
 18496, 99338,20180627,   66,    0
 18496, 99338,20180628,   59,    0
 18496, 99338,20180629,   55,    0
 18496, 99338,20180630,   65,    0
 18496, 99338,20180701,  127,    0
 18496, 99338,20180702,  174,    0
 18496, 99338,20180703,  131,    0
 18496, 99338,20180704,   74,    0
 18496, 99338,20180705,  109,    0
 18496, 99338,20180706,  120,    0
 18496, 99338,20180707,   76,    0
 18496, 99338,20180708,-9999,    9
 18496, 99338,20180709,  129,    0
 18496, 99338,20180710,  156,    0
 18496, 99338,20180711,  150,    0
 18496, 99338,20180712,  152,    0
 18496, 99338,20180713,   92,    0
 18496, 99338,20180714,   89,    0
 18496, 99338,20180715,  133,    0
 18496, 99338,20180716,  165,    0
 18496, 99338,20180717,  211,    0
 18496, 99338,20180718,  233,    0
 18496, 99338,20180719,  193,    0
 18496, 99338,20180720,  133,    0
 18496, 99338,20180721,  177,    0
 18496, 99338,20180722,  143,    0
 18496, 99338,20180723,  148,    0
 18496, 99338,20180724,  156,    0
 18496, 99338,20180725,  140,    0
 18496, 99338,20180726,  119,    0
 18496, 99338,20180727,  167,    0
 18496, 99338,20180728,  196,    0
 18496, 99338,20180729,  207,    0
 18496, 99338,20180730,  206,    0
 18496, 99338,20180731,  219,    0
 18496, 99338,20180801,  209,    0
 18496, 99338,20180802,  134,    0
 18496, 99338,20180803,  125,    0
 18496, 99338,20180804,  127,    0
 18496, 99338,20180805,  107,    0
 18496, 99338,20180806,   81,    0
 18496, 99338,20180807,   85,    0
 18496, 99338,20180808,  118,    0
 18496, 99338,20180809,  134,    0
 18496, 99338,20180810,  126,    0
 18496, 99338,20180811,  122,    0
 18496, 99338,20180812,   92,    0
 18496, 99338,20180813,   61,    0
 18496, 99338,20180814,   65,    0
 18496, 99338,20180815,   88,    0
 18496, 99338,20180816,   99,    0
 18496, 99338,20180817,  132,    0
 18496, 99338,20180818,  119,    0
 18496, 99338,20180819,  101,    0
 18496, 99338,20180820,   77,    0
 18496, 99338,20180821,   63,    0
 18496, 99338,20180822,   85,    0
 18496, 99338,20180823,   92,    0
 18496, 99338,20180824,   95,    0
 18496, 99338,20180825,   90,    0
 18496, 99338,20180826,   92,    0
 18496, 99338,20180827,   63,    0
 18496, 99338,20180828,   82,    0
 18496, 99338,20180829,  112,    0
 18496, 99338,20180830,  108,    0
 18496, 99338,20180831,   65,    0
 18496, 99338,20180901,   84,    0
 18496, 99338,20180902,  105,    0
 18496, 99338,20180903,  128,    0
 18496, 99338,20180904,   78,    0
 18496, 99338,20180905,   66,    0
 18496, 99338,20180906,   88,    0
 18496, 99338,20180907,   98,    0
 18496, 99338,20180908,  103,    0
 18496, 99338,20180909,  110,    0
 18496, 99338,20180910,  113,    0
 18496, 99338,20180911,   97,    0
 18496, 99338,20180912,   80,    0
 18496, 99338,20180913,   68,    0
 18496, 99338,20180914,   60,    0
 18496, 99338,20180915,   57,    0
 18496, 99338,20180916,   48,    0
 18496, 99338,20180917,   37,    0
 18496, 99338,20180918,   40,    0
 18496, 99338,20180919,   44,    0
 18496, 99338,20180920,   58,    0
 18496, 99338,20180921,   71,    0
 18496, 99338,20180922,   68,    0
 18496, 99338,20180923,   52,    0
 18496, 99338,20180924,   18,    0
 18496, 99338,20180925,   11,    0
 18496, 99338,20180926,-9999,    9
 18496, 99338,20180927,-9999,    9
 18496, 99338,20180928,-9999,    9
 18496, 99338,20180929,-9999,    9
 18496, 99338,20180930,-9999,    9
 18496, 99338,20181001,-9999,    9
 18496, 99338,20181002,-9999,    9
 18496, 99338,20181003,-9999,    9
 18496, 99338,20181004,  -21,    0
 18496, 99338,20181005,  -29,    0
 18496, 99338,20181006,  -39,    0
 18496, 99338,20181007,  -20,    0
 18496, 99338,20181008,  -17,    0
 18496, 99338,20181009,   13,    0
 18496, 99338,20181010,    6,    0
 18496, 99338,20181011,-9999,    9
 18496, 99338,20181012,   15,    0
 18496, 99338,20181013,   27,    0
 18496, 99338,20181014,   62,    0
 18496, 99338,20181015,   41,    0
 18496, 99338,20181016,   23,    0
 18496, 99338,20181017,-9999,    9
 18496, 99338,20181018,-9999,    9
 18496, 99338,20181019,   24,    0
 18496, 99338,20181020,   13,    0
