EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E6 HALOGALANDSBRUA, NORWAY (STAID: 18501)
Blended and updated with sources:33940 57134 99345 99398 901193 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18501, 57134,19530101,-9999,    9
 18501, 57134,19530102,-9999,    9
 18501, 57134,19530103,-9999,    9
 18501, 57134,19530104,-9999,    9
 18501, 57134,19530105,-9999,    9
 18501, 57134,19530106,-9999,    9
 18501, 57134,19530107,-9999,    9
 18501, 57134,19530108,-9999,    9
 18501, 57134,19530109,-9999,    9
 18501, 57134,19530110,-9999,    9
 18501, 57134,19530111,-9999,    9
 18501, 57134,19530112,-9999,    9
 18501, 57134,19530113,-9999,    9
 18501, 57134,19530114,-9999,    9
 18501, 57134,19530115,-9999,    9
 18501, 57134,19530116,-9999,    9
 18501, 57134,19530117,-9999,    9
 18501, 57134,19530118,-9999,    9
 18501, 57134,19530119,-9999,    9
 18501, 57134,19530120,-9999,    9
 18501, 57134,19530121,-9999,    9
 18501, 57134,19530122,-9999,    9
 18501, 57134,19530123,-9999,    9
 18501, 57134,19530124,-9999,    9
 18501, 57134,19530125,-9999,    9
 18501, 57134,19530126,-9999,    9
 18501, 57134,19530127,-9999,    9
 18501, 57134,19530128,-9999,    9
 18501, 57134,19530129,-9999,    9
 18501, 57134,19530130,-9999,    9
 18501, 57134,19530131,-9999,    9
 18501, 57134,19530201,-9999,    9
 18501, 57134,19530202,-9999,    9
 18501, 57134,19530203,-9999,    9
 18501, 57134,19530204,-9999,    9
 18501, 57134,19530205,-9999,    9
 18501, 57134,19530206,-9999,    9
 18501, 57134,19530207,-9999,    9
 18501, 57134,19530208,-9999,    9
 18501, 57134,19530209,-9999,    9
 18501, 57134,19530210,-9999,    9
 18501, 57134,19530211,-9999,    9
 18501, 57134,19530212,-9999,    9
 18501, 57134,19530213,-9999,    9
 18501, 57134,19530214,-9999,    9
 18501, 57134,19530215,-9999,    9
 18501, 57134,19530216,-9999,    9
 18501, 57134,19530217,-9999,    9
 18501, 57134,19530218,-9999,    9
 18501, 57134,19530219,-9999,    9
 18501, 57134,19530220,-9999,    9
 18501, 57134,19530221,-9999,    9
 18501, 57134,19530222,-9999,    9
 18501, 57134,19530223,-9999,    9
 18501, 57134,19530224,-9999,    9
 18501, 57134,19530225,-9999,    9
 18501, 57134,19530226,-9999,    9
 18501, 57134,19530227,-9999,    9
 18501, 57134,19530228,-9999,    9
 18501, 57134,19530301,-9999,    9
 18501, 57134,19530302,-9999,    9
 18501, 57134,19530303,-9999,    9
 18501, 57134,19530304,-9999,    9
 18501, 57134,19530305,-9999,    9
 18501, 57134,19530306,-9999,    9
 18501, 57134,19530307,-9999,    9
 18501, 57134,19530308,-9999,    9
 18501, 57134,19530309,-9999,    9
 18501, 57134,19530310,-9999,    9
 18501, 57134,19530311,-9999,    9
 18501, 57134,19530312,-9999,    9
 18501, 57134,19530313,-9999,    9
 18501, 57134,19530314,-9999,    9
 18501, 57134,19530315,-9999,    9
 18501, 57134,19530316,-9999,    9
 18501, 57134,19530317,-9999,    9
 18501, 57134,19530318,-9999,    9
 18501, 57134,19530319,-9999,    9
 18501, 57134,19530320,-9999,    9
 18501, 57134,19530321,-9999,    9
 18501, 57134,19530322,-9999,    9
 18501, 57134,19530323,-9999,    9
 18501, 57134,19530324,-9999,    9
 18501, 57134,19530325,-9999,    9
 18501, 57134,19530326,-9999,    9
 18501, 57134,19530327,-9999,    9
 18501, 57134,19530328,-9999,    9
 18501, 57134,19530329,-9999,    9
 18501, 57134,19530330,-9999,    9
 18501, 57134,19530331,-9999,    9
 18501, 57134,19530401,-9999,    9
 18501, 57134,19530402,-9999,    9
 18501, 57134,19530403,-9999,    9
 18501, 57134,19530404,-9999,    9
 18501, 57134,19530405,-9999,    9
 18501, 57134,19530406,-9999,    9
 18501, 57134,19530407,-9999,    9
 18501, 57134,19530408,-9999,    9
 18501, 57134,19530409,-9999,    9
 18501, 57134,19530410,-9999,    9
 18501, 57134,19530411,-9999,    9
 18501, 57134,19530412,-9999,    9
 18501, 57134,19530413,-9999,    9
 18501, 57134,19530414,-9999,    9
 18501, 57134,19530415,-9999,    9
 18501, 57134,19530416,-9999,    9
 18501, 57134,19530417,-9999,    9
 18501, 57134,19530418,-9999,    9
 18501, 57134,19530419,-9999,    9
 18501, 57134,19530420,-9999,    9
 18501, 57134,19530421,-9999,    9
 18501, 57134,19530422,-9999,    9
 18501, 57134,19530423,-9999,    9
 18501, 57134,19530424,-9999,    9
 18501, 57134,19530425,-9999,    9
 18501, 57134,19530426,-9999,    9
 18501, 57134,19530427,-9999,    9
 18501, 57134,19530428,-9999,    9
 18501, 57134,19530429,-9999,    9
 18501, 57134,19530430,-9999,    9
 18501, 57134,19530501,-9999,    9
 18501, 57134,19530502,-9999,    9
 18501, 57134,19530503,-9999,    9
 18501, 57134,19530504,-9999,    9
 18501, 57134,19530505,-9999,    9
 18501, 57134,19530506,-9999,    9
 18501, 57134,19530507,-9999,    9
 18501, 57134,19530508,-9999,    9
 18501, 57134,19530509,-9999,    9
 18501, 57134,19530510,-9999,    9
 18501, 57134,19530511,-9999,    9
 18501, 57134,19530512,-9999,    9
 18501, 57134,19530513,-9999,    9
 18501, 57134,19530514,-9999,    9
 18501, 57134,19530515,-9999,    9
 18501, 57134,19530516,-9999,    9
 18501, 57134,19530517,-9999,    9
 18501, 57134,19530518,-9999,    9
 18501, 57134,19530519,-9999,    9
 18501, 57134,19530520,-9999,    9
 18501, 57134,19530521,-9999,    9
 18501, 57134,19530522,-9999,    9
 18501, 57134,19530523,-9999,    9
 18501, 57134,19530524,-9999,    9
 18501, 57134,19530525,-9999,    9
 18501, 57134,19530526,-9999,    9
 18501, 57134,19530527,-9999,    9
 18501, 57134,19530528,-9999,    9
 18501, 57134,19530529,-9999,    9
 18501, 57134,19530530,-9999,    9
 18501, 57134,19530531,-9999,    9
 18501, 57134,19530601,-9999,    9
 18501, 57134,19530602,-9999,    9
 18501, 57134,19530603,-9999,    9
 18501, 57134,19530604,-9999,    9
 18501, 57134,19530605,-9999,    9
 18501, 57134,19530606,-9999,    9
 18501, 57134,19530607,-9999,    9
 18501, 57134,19530608,-9999,    9
 18501, 57134,19530609,-9999,    9
 18501, 57134,19530610,-9999,    9
 18501, 57134,19530611,-9999,    9
 18501, 57134,19530612,-9999,    9
 18501, 57134,19530613,-9999,    9
 18501, 57134,19530614,-9999,    9
 18501, 57134,19530615,-9999,    9
 18501, 57134,19530616,-9999,    9
 18501, 57134,19530617,-9999,    9
 18501, 57134,19530618,-9999,    9
 18501, 57134,19530619,-9999,    9
 18501, 57134,19530620,-9999,    9
 18501, 57134,19530621,-9999,    9
 18501, 57134,19530622,-9999,    9
 18501, 57134,19530623,-9999,    9
 18501, 57134,19530624,-9999,    9
 18501, 57134,19530625,-9999,    9
 18501, 57134,19530626,-9999,    9
 18501, 57134,19530627,-9999,    9
 18501, 57134,19530628,-9999,    9
 18501, 57134,19530629,-9999,    9
 18501, 57134,19530630,-9999,    9
 18501, 57134,19530701,-9999,    9
 18501, 57134,19530702,-9999,    9
 18501, 57134,19530703,-9999,    9
 18501, 57134,19530704,-9999,    9
 18501, 57134,19530705,-9999,    9
 18501, 57134,19530706,-9999,    9
 18501, 57134,19530707,-9999,    9
 18501, 57134,19530708,-9999,    9
 18501, 57134,19530709,-9999,    9
 18501, 57134,19530710,-9999,    9
 18501, 57134,19530711,-9999,    9
 18501, 57134,19530712,-9999,    9
 18501, 57134,19530713,-9999,    9
 18501, 57134,19530714,-9999,    9
 18501, 57134,19530715,-9999,    9
 18501, 57134,19530716,-9999,    9
 18501, 57134,19530717,-9999,    9
 18501, 57134,19530718,-9999,    9
 18501, 57134,19530719,-9999,    9
 18501, 57134,19530720,-9999,    9
 18501, 57134,19530721,-9999,    9
 18501, 57134,19530722,-9999,    9
 18501, 57134,19530723,-9999,    9
 18501, 57134,19530724,-9999,    9
 18501, 57134,19530725,-9999,    9
 18501, 57134,19530726,-9999,    9
 18501, 57134,19530727,-9999,    9
 18501, 57134,19530728,-9999,    9
 18501, 57134,19530729,-9999,    9
 18501, 57134,19530730,-9999,    9
 18501, 57134,19530731,-9999,    9
 18501, 57134,19530801,-9999,    9
 18501, 57134,19530802,-9999,    9
 18501, 57134,19530803,-9999,    9
 18501, 57134,19530804,-9999,    9
 18501, 57134,19530805,-9999,    9
 18501, 57134,19530806,-9999,    9
 18501, 57134,19530807,-9999,    9
 18501, 57134,19530808,-9999,    9
 18501, 57134,19530809,-9999,    9
 18501, 57134,19530810,-9999,    9
 18501, 57134,19530811,-9999,    9
 18501, 57134,19530812,-9999,    9
 18501, 57134,19530813,-9999,    9
 18501, 57134,19530814,-9999,    9
 18501, 57134,19530815,-9999,    9
 18501, 57134,19530816,-9999,    9
 18501, 57134,19530817,-9999,    9
 18501, 57134,19530818,-9999,    9
 18501, 57134,19530819,-9999,    9
 18501, 57134,19530820,-9999,    9
 18501, 57134,19530821,-9999,    9
 18501, 57134,19530822,-9999,    9
 18501, 57134,19530823,-9999,    9
 18501, 57134,19530824,-9999,    9
 18501, 57134,19530825,-9999,    9
 18501, 57134,19530826,-9999,    9
 18501, 57134,19530827,-9999,    9
 18501, 57134,19530828,-9999,    9
 18501, 57134,19530829,-9999,    9
 18501, 57134,19530830,-9999,    9
 18501, 57134,19530831,-9999,    9
 18501, 57134,19530901,-9999,    9
 18501, 57134,19530902,-9999,    9
 18501, 57134,19530903,-9999,    9
 18501, 57134,19530904,-9999,    9
 18501, 57134,19530905,-9999,    9
 18501, 57134,19530906,-9999,    9
 18501, 57134,19530907,-9999,    9
 18501, 57134,19530908,-9999,    9
 18501, 57134,19530909,-9999,    9
 18501, 57134,19530910,-9999,    9
 18501, 57134,19530911,-9999,    9
 18501, 57134,19530912,-9999,    9
 18501, 57134,19530913,-9999,    9
 18501, 57134,19530914,-9999,    9
 18501, 57134,19530915,-9999,    9
 18501, 57134,19530916,-9999,    9
 18501, 57134,19530917,-9999,    9
 18501, 57134,19530918,-9999,    9
 18501, 57134,19530919,-9999,    9
 18501, 57134,19530920,-9999,    9
 18501, 57134,19530921,-9999,    9
 18501, 57134,19530922,-9999,    9
 18501, 57134,19530923,-9999,    9
 18501, 57134,19530924,-9999,    9
 18501, 57134,19530925,-9999,    9
 18501, 57134,19530926,-9999,    9
 18501, 57134,19530927,-9999,    9
 18501, 57134,19530928,-9999,    9
 18501, 57134,19530929,-9999,    9
 18501, 57134,19530930,-9999,    9
 18501, 57134,19531001,-9999,    9
 18501, 57134,19531002,-9999,    9
 18501, 57134,19531003,-9999,    9
 18501, 57134,19531004,-9999,    9
 18501, 57134,19531005,-9999,    9
 18501, 57134,19531006,-9999,    9
 18501, 57134,19531007,-9999,    9
 18501, 57134,19531008,-9999,    9
 18501, 57134,19531009,-9999,    9
 18501, 57134,19531010,-9999,    9
 18501, 57134,19531011,-9999,    9
 18501, 57134,19531012,-9999,    9
 18501, 57134,19531013,-9999,    9
 18501, 57134,19531014,-9999,    9
 18501, 57134,19531015,-9999,    9
 18501, 57134,19531016,-9999,    9
 18501, 57134,19531017,-9999,    9
 18501, 57134,19531018,-9999,    9
 18501, 57134,19531019,-9999,    9
 18501, 57134,19531020,-9999,    9
 18501, 57134,19531021,-9999,    9
 18501, 57134,19531022,-9999,    9
 18501, 57134,19531023,-9999,    9
 18501, 57134,19531024,-9999,    9
 18501, 57134,19531025,-9999,    9
 18501, 57134,19531026,-9999,    9
 18501, 57134,19531027,-9999,    9
 18501, 57134,19531028,-9999,    9
 18501, 57134,19531029,-9999,    9
 18501, 57134,19531030,-9999,    9
 18501, 57134,19531031,-9999,    9
 18501, 57134,19531101,-9999,    9
 18501, 57134,19531102,-9999,    9
 18501, 57134,19531103,-9999,    9
 18501, 57134,19531104,-9999,    9
 18501, 57134,19531105,-9999,    9
 18501, 57134,19531106,-9999,    9
 18501, 57134,19531107,-9999,    9
 18501, 57134,19531108,-9999,    9
 18501, 57134,19531109,-9999,    9
 18501, 57134,19531110,-9999,    9
 18501, 57134,19531111,-9999,    9
 18501, 57134,19531112,-9999,    9
