EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E6 SALTFJELLET , NORWAY (STAID: 18502)
Blended and updated with sources:99351 100874 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18502,100874,19550901,   82,    0
 18502,100874,19550902,   61,    0
 18502,100874,19550903,   82,    0
 18502,100874,19550904,   65,    0
 18502,100874,19550905,   80,    0
 18502,100874,19550906,   82,    0
 18502,100874,19550907,   64,    0
 18502,100874,19550908,   88,    0
 18502,100874,19550909,  107,    0
 18502,100874,19550910,  127,    0
 18502,100874,19550911,  105,    0
 18502,100874,19550912,   62,    0
 18502,100874,19550913,   48,    0
 18502,100874,19550914,   45,    0
 18502,100874,19550915,   32,    0
 18502,100874,19550916,   52,    0
 18502,100874,19550917,   69,    0
 18502,100874,19550918,   63,    0
 18502,100874,19550919,   47,    0
 18502,100874,19550920,   48,    0
 18502,100874,19550921,   57,    0
 18502,100874,19550922,   44,    0
 18502,100874,19550923,   45,    0
 18502,100874,19550924,   43,    0
 18502,100874,19550925,   68,    0
 18502,100874,19550926,   80,    0
 18502,100874,19550927,   43,    0
 18502,100874,19550928,   33,    0
 18502,100874,19550929,   27,    0
 18502,100874,19550930,   40,    0
 18502,100874,19551001,   23,    0
 18502,100874,19551002,  -10,    0
 18502,100874,19551003,  -18,    0
 18502,100874,19551004,  -31,    0
 18502,100874,19551005,  -28,    0
 18502,100874,19551006,  -14,    0
 18502,100874,19551007,   13,    0
 18502,100874,19551008,   27,    0
 18502,100874,19551009,   34,    0
 18502,100874,19551010,   40,    0
 18502,100874,19551011,   39,    0
 18502,100874,19551012,   25,    0
 18502,100874,19551013,   43,    0
 18502,100874,19551014,  -10,    0
 18502,100874,19551015,  -49,    0
 18502,100874,19551016,  -12,    0
 18502,100874,19551017,  -68,    0
 18502,100874,19551018, -135,    0
 18502,100874,19551019, -141,    0
 18502,100874,19551020,  -76,    0
 18502,100874,19551021,  -33,    0
 18502,100874,19551022,  -52,    0
 18502,100874,19551023,   -2,    0
 18502,100874,19551024,    6,    0
 18502,100874,19551025,  -23,    0
 18502,100874,19551026,  -38,    0
 18502,100874,19551027,  -69,    0
 18502,100874,19551028, -109,    0
 18502,100874,19551029, -105,    0
 18502,100874,19551030, -154,    0
 18502,100874,19551031,  -77,    0
 18502,100874,19551101, -142,    0
 18502,100874,19551102, -173,    0
 18502,100874,19551103,  -71,    0
 18502,100874,19551104,  -78,    0
 18502,100874,19551105, -124,    0
 18502,100874,19551106, -115,    0
 18502,100874,19551107,  -16,    0
 18502,100874,19551108,   -7,    0
 18502,100874,19551109,  -34,    0
 18502,100874,19551110,  -18,    0
 18502,100874,19551111,  -27,    0
 18502,100874,19551112,   -8,    0
 18502,100874,19551113,  -26,    0
 18502,100874,19551114,  -53,    0
 18502,100874,19551115,   -3,    0
 18502,100874,19551116,   -5,    0
 18502,100874,19551117,   23,    0
 18502,100874,19551118,  -13,    0
 18502,100874,19551119,  -44,    0
 18502,100874,19551120,  -71,    0
 18502,100874,19551121,   -6,    0
 18502,100874,19551122,    7,    0
 18502,100874,19551123,  -36,    0
 18502,100874,19551124, -125,    0
 18502,100874,19551125, -106,    0
 18502,100874,19551126, -122,    0
 18502,100874,19551127, -142,    0
 18502,100874,19551128, -231,    0
 18502,100874,19551129, -148,    0
 18502,100874,19551130,  -92,    0
 18502,100874,19551201, -118,    0
 18502,100874,19551202, -144,    0
 18502,100874,19551203, -141,    0
 18502,100874,19551204, -134,    0
 18502,100874,19551205, -102,    0
 18502,100874,19551206,  -51,    0
 18502,100874,19551207,  -70,    0
 18502,100874,19551208,  -80,    0
 18502,100874,19551209, -101,    0
 18502,100874,19551210, -263,    0
 18502,100874,19551211, -196,    0
 18502,100874,19551212, -220,    0
 18502,100874,19551213, -241,    0
 18502,100874,19551214, -283,    0
 18502,100874,19551215, -194,    0
 18502,100874,19551216, -214,    0
 18502,100874,19551217, -215,    0
 18502,100874,19551218, -246,    0
 18502,100874,19551219, -208,    0
 18502,100874,19551220, -217,    0
