EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RV3 SVINGEN, NORWAY (STAID: 18513)
Blended and updated with sources:99372 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18513, 99372,20130201,-9999,    9
 18513, 99372,20130202,-9999,    9
 18513, 99372,20130203,-9999,    9
 18513, 99372,20130204,-9999,    9
 18513, 99372,20130205,-9999,    9
 18513, 99372,20130206,-9999,    9
 18513, 99372,20130207,-9999,    9
 18513, 99372,20130208,-9999,    9
 18513, 99372,20130209,-9999,    9
 18513, 99372,20130210,-9999,    9
 18513, 99372,20130211,-9999,    9
 18513, 99372,20130212,  -66,    0
 18513, 99372,20130213,-9999,    9
 18513, 99372,20130214,-9999,    9
 18513, 99372,20130215,-9999,    9
 18513, 99372,20130216,-9999,    9
 18513, 99372,20130217,-9999,    9
 18513, 99372,20130218,  -34,    0
 18513, 99372,20130219,  -60,    0
 18513, 99372,20130220, -104,    0
 18513, 99372,20130221, -148,    0
 18513, 99372,20130222,  -77,    0
 18513, 99372,20130223,-9999,    9
 18513, 99372,20130224,-9999,    9
 18513, 99372,20130225,-9999,    9
 18513, 99372,20130226,-9999,    9
 18513, 99372,20130227,  -62,    0
 18513, 99372,20130228,  -31,    0
 18513, 99372,20130301,   13,    0
 18513, 99372,20130302,   16,    0
 18513, 99372,20130303,    0,    0
 18513, 99372,20130304,  -24,    0
 18513, 99372,20130305,  -45,    0
 18513, 99372,20130306,  -18,    0
 18513, 99372,20130307,  -84,    0
 18513, 99372,20130308,  -93,    0
 18513, 99372,20130309,  -88,    0
 18513, 99372,20130310, -130,    0
 18513, 99372,20130311,  -98,    0
 18513, 99372,20130312,  -47,    0
 18513, 99372,20130313, -103,    0
 18513, 99372,20130314,-9999,    9
 18513, 99372,20130315,-9999,    9
 18513, 99372,20130316,-9999,    9
 18513, 99372,20130317,-9999,    9
 18513, 99372,20130318,-9999,    9
 18513, 99372,20130319, -112,    0
 18513, 99372,20130320,-9999,    9
 18513, 99372,20130321,-9999,    9
 18513, 99372,20130322,-9999,    9
 18513, 99372,20130323,-9999,    9
 18513, 99372,20130324,-9999,    9
 18513, 99372,20130325,-9999,    9
 18513, 99372,20130326,-9999,    9
 18513, 99372,20130327,-9999,    9
 18513, 99372,20130328,-9999,    9
 18513, 99372,20130329,-9999,    9
 18513, 99372,20130330,-9999,    9
 18513, 99372,20130331,-9999,    9
 18513, 99372,20130401,-9999,    9
 18513, 99372,20130402,-9999,    9
 18513, 99372,20130403,-9999,    9
 18513, 99372,20130404,-9999,    9
 18513, 99372,20130405,-9999,    9
 18513, 99372,20130406,-9999,    9
 18513, 99372,20130407,-9999,    9
 18513, 99372,20130408,-9999,    9
 18513, 99372,20130409,-9999,    9
 18513, 99372,20130410,  -24,    0
 18513, 99372,20130411,   -9,    0
 18513, 99372,20130412,   13,    0
 18513, 99372,20130413,-9999,    9
 18513, 99372,20130414,-9999,    9
 18513, 99372,20130415,-9999,    9
 18513, 99372,20130416,-9999,    9
 18513, 99372,20130417,-9999,    9
 18513, 99372,20130418,-9999,    9
 18513, 99372,20130419,-9999,    9
 18513, 99372,20130420,-9999,    9
 18513, 99372,20130421,-9999,    9
 18513, 99372,20130422,-9999,    9
 18513, 99372,20130423,-9999,    9
 18513, 99372,20130424,-9999,    9
 18513, 99372,20130425,-9999,    9
 18513, 99372,20130426,-9999,    9
 18513, 99372,20130427,-9999,    9
 18513, 99372,20130428,-9999,    9
 18513, 99372,20130429,-9999,    9
 18513, 99372,20130430,-9999,    9
 18513, 99372,20130501,-9999,    9
 18513, 99372,20130502,-9999,    9
 18513, 99372,20130503,-9999,    9
 18513, 99372,20130504,-9999,    9
 18513, 99372,20130505,-9999,    9
 18513, 99372,20130506,-9999,    9
 18513, 99372,20130507,-9999,    9
 18513, 99372,20130508,  120,    0
 18513, 99372,20130509,  111,    0
 18513, 99372,20130510,   98,    0
 18513, 99372,20130511,   99,    0
 18513, 99372,20130512,   73,    0
 18513, 99372,20130513,   62,    0
 18513, 99372,20130514,-9999,    9
 18513, 99372,20130515,   75,    0
 18513, 99372,20130516,-9999,    9
 18513, 99372,20130517,-9999,    9
 18513, 99372,20130518,-9999,    9
 18513, 99372,20130519,-9999,    9
 18513, 99372,20130520,-9999,    9
 18513, 99372,20130521,-9999,    9
 18513, 99372,20130522,  127,    0
 18513, 99372,20130523,  107,    0
 18513, 99372,20130524,  119,    0
 18513, 99372,20130525,  155,    0
 18513, 99372,20130526,  161,    0
 18513, 99372,20130527,  122,    0
 18513, 99372,20130528,-9999,    9
 18513, 99372,20130529,  179,    0
 18513, 99372,20130530,  187,    0
 18513, 99372,20130531,  192,    0
 18513, 99372,20130601,  147,    0
 18513, 99372,20130602,  151,    0
 18513, 99372,20130603,  116,    0
 18513, 99372,20130604,   88,    0
 18513, 99372,20130605,-9999,    9
 18513, 99372,20130606,  107,    0
 18513, 99372,20130607,  130,    0
 18513, 99372,20130608,  118,    0
 18513, 99372,20130609,  105,    0
 18513, 99372,20130610,-9999,    9
 18513, 99372,20130611,-9999,    9
 18513, 99372,20130612,-9999,    9
 18513, 99372,20130613,  125,    0
 18513, 99372,20130614,  149,    0
 18513, 99372,20130615,  133,    0
 18513, 99372,20130616,  122,    0
 18513, 99372,20130617,  140,    0
 18513, 99372,20130618,-9999,    9
 18513, 99372,20130619,-9999,    9
 18513, 99372,20130620,-9999,    9
 18513, 99372,20130621,-9999,    9
 18513, 99372,20130622,-9999,    9
 18513, 99372,20130623,-9999,    9
 18513, 99372,20130624,-9999,    9
 18513, 99372,20130625,-9999,    9
 18513, 99372,20130626,-9999,    9
 18513, 99372,20130627,-9999,    9
 18513, 99372,20130628,-9999,    9
 18513, 99372,20130629,-9999,    9
 18513, 99372,20130630,-9999,    9
 18513, 99372,20130701,-9999,    9
 18513, 99372,20130702,-9999,    9
 18513, 99372,20130703,-9999,    9
 18513, 99372,20130704,-9999,    9
 18513, 99372,20130705,-9999,    9
 18513, 99372,20130706,-9999,    9
 18513, 99372,20130707,-9999,    9
 18513, 99372,20130708,-9999,    9
 18513, 99372,20130709,-9999,    9
 18513, 99372,20130710,-9999,    9
 18513, 99372,20130711,-9999,    9
 18513, 99372,20130712,-9999,    9
 18513, 99372,20130713,-9999,    9
 18513, 99372,20130714,-9999,    9
 18513, 99372,20130715,-9999,    9
 18513, 99372,20130716,-9999,    9
 18513, 99372,20130717,-9999,    9
 18513, 99372,20130718,-9999,    9
 18513, 99372,20130719,-9999,    9
 18513, 99372,20130720,-9999,    9
 18513, 99372,20130721,-9999,    9
 18513, 99372,20130722,-9999,    9
 18513, 99372,20130723,-9999,    9
 18513, 99372,20130724,-9999,    9
 18513, 99372,20130725,-9999,    9
 18513, 99372,20130726,-9999,    9
 18513, 99372,20130727,-9999,    9
 18513, 99372,20130728,-9999,    9
 18513, 99372,20130729,-9999,    9
 18513, 99372,20130730,-9999,    9
 18513, 99372,20130731,-9999,    9
 18513, 99372,20130801,-9999,    9
 18513, 99372,20130802,-9999,    9
 18513, 99372,20130803,-9999,    9
 18513, 99372,20130804,-9999,    9
 18513, 99372,20130805,-9999,    9
 18513, 99372,20130806,-9999,    9
 18513, 99372,20130807,-9999,    9
 18513, 99372,20130808,-9999,    9
 18513, 99372,20130809,-9999,    9
 18513, 99372,20130810,-9999,    9
 18513, 99372,20130811,-9999,    9
