EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV57 MONGSTAD SOER, NORWAY (STAID: 18515)
Blended and updated with sources:99374 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18515, 99374,20140101,-9999,    9
 18515, 99374,20140102,-9999,    9
 18515, 99374,20140103,-9999,    9
 18515, 99374,20140104,-9999,    9
 18515, 99374,20140105,-9999,    9
 18515, 99374,20140106,-9999,    9
 18515, 99374,20140107,-9999,    9
 18515, 99374,20140108,-9999,    9
 18515, 99374,20140109,-9999,    9
 18515, 99374,20140110,   17,    0
 18515, 99374,20140111,    4,    0
 18515, 99374,20140112,-9999,    9
 18515, 99374,20140113,-9999,    9
 18515, 99374,20140114,   -6,    0
 18515, 99374,20140115,    7,    0
 18515, 99374,20140116,   29,    0
 18515, 99374,20140117,   18,    0
 18515, 99374,20140118,   18,    0
 18515, 99374,20140119,   33,    0
 18515, 99374,20140120,   16,    0
 18515, 99374,20140121,    0,    0
 18515, 99374,20140122,-9999,    9
 18515, 99374,20140123,    7,    0
 18515, 99374,20140124,    3,    0
 18515, 99374,20140125,    9,    0
 18515, 99374,20140126,   -7,    0
 18515, 99374,20140127,    0,    0
 18515, 99374,20140128,   25,    0
 18515, 99374,20140129,   10,    0
 18515, 99374,20140130,  -18,    0
 18515, 99374,20140131,    1,    0
