EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E6 VINGNES, NORWAY (STAID: 18517)
Blended and updated with sources:99376 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18517, 99376,20130101,-9999,    9
 18517, 99376,20130102,-9999,    9
 18517, 99376,20130103,-9999,    9
 18517, 99376,20130104,-9999,    9
 18517, 99376,20130105,  -33,    0
 18517, 99376,20130106,  -26,    0
 18517, 99376,20130107,  -27,    0
 18517, 99376,20130108,  -64,    0
 18517, 99376,20130109,  -97,    0
 18517, 99376,20130110,  -87,    0
 18517, 99376,20130111, -120,    0
 18517, 99376,20130112, -150,    0
 18517, 99376,20130113, -192,    0
 18517, 99376,20130114, -237,    0
 18517, 99376,20130115, -209,    0
 18517, 99376,20130116, -177,    0
 18517, 99376,20130117, -159,    0
 18517, 99376,20130118, -182,    0
 18517, 99376,20130119,-9999,    9
 18517, 99376,20130120,-9999,    9
 18517, 99376,20130121,-9999,    9
 18517, 99376,20130122, -173,    0
 18517, 99376,20130123,-9999,    9
 18517, 99376,20130124,-9999,    9
 18517, 99376,20130125,-9999,    9
 18517, 99376,20130126,-9999,    9
 18517, 99376,20130127,-9999,    9
 18517, 99376,20130128,-9999,    9
 18517, 99376,20130129,  -16,    0
 18517, 99376,20130130,    8,    0
 18517, 99376,20130131,  -37,    0
 18517, 99376,20130201, -157,    0
 18517, 99376,20130202, -144,    0
