EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RV15 BREIDALEN, NORWAY (STAID: 18525)
Blended and updated with sources:99393 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18525, 99393,20130101,-9999,    9
 18525, 99393,20130102,-9999,    9
 18525, 99393,20130103,-9999,    9
 18525, 99393,20130104,    6,    0
 18525, 99393,20130105,    6,    0
 18525, 99393,20130106,  -29,    0
 18525, 99393,20130107,  -21,    0
 18525, 99393,20130108,  -60,    0
 18525, 99393,20130109,  -43,    0
 18525, 99393,20130110, -163,    0
 18525, 99393,20130111, -181,    0
 18525, 99393,20130112, -229,    0
 18525, 99393,20130113, -228,    0
 18525, 99393,20130114, -230,    0
 18525, 99393,20130115, -207,    0
 18525, 99393,20130116, -203,    0
 18525, 99393,20130117, -213,    0
 18525, 99393,20130118, -243,    0
 18525, 99393,20130119,-9999,    9
 18525, 99393,20130120,-9999,    9
 18525, 99393,20130121,-9999,    9
 18525, 99393,20130122, -240,    0
 18525, 99393,20130123,-9999,    9
 18525, 99393,20130124,-9999,    9
 18525, 99393,20130125,-9999,    9
 18525, 99393,20130126,-9999,    9
 18525, 99393,20130127,-9999,    9
 18525, 99393,20130128,-9999,    9
 18525, 99393,20130129,  -45,    0
 18525, 99393,20130130,  -30,    0
 18525, 99393,20130131,  -58,    0
 18525, 99393,20130201,  -74,    0
 18525, 99393,20130202,  -54,    0
 18525, 99393,20130203,  -97,    0
 18525, 99393,20130204, -123,    0
 18525, 99393,20130205, -105,    0
 18525, 99393,20130206, -107,    0
 18525, 99393,20130207,-9999,    9
 18525, 99393,20130208,-9999,    9
 18525, 99393,20130209,-9999,    9
 18525, 99393,20130210,-9999,    9
 18525, 99393,20130211,-9999,    9
 18525, 99393,20130212, -150,    0
 18525, 99393,20130213, -139,    0
 18525, 99393,20130214,-9999,    9
 18525, 99393,20130215,-9999,    9
 18525, 99393,20130216,-9999,    9
 18525, 99393,20130217,-9999,    9
 18525, 99393,20130218,   -9,    0
 18525, 99393,20130219,-9999,    9
 18525, 99393,20130220, -126,    0
 18525, 99393,20130221, -120,    0
 18525, 99393,20130222, -102,    0
 18525, 99393,20130223,-9999,    9
 18525, 99393,20130224,-9999,    9
 18525, 99393,20130225,-9999,    9
 18525, 99393,20130226,-9999,    9
 18525, 99393,20130227,   -9,    0
 18525, 99393,20130228,  -27,    0
 18525, 99393,20130301,  -49,    0
 18525, 99393,20130302,  -43,    0
 18525, 99393,20130303,-9999,    9
 18525, 99393,20130304,-9999,    9
 18525, 99393,20130305,-9999,    9
 18525, 99393,20130306,  -57,    0
 18525, 99393,20130307, -133,    0
 18525, 99393,20130308, -159,    0
 18525, 99393,20130309, -161,    0
 18525, 99393,20130310,-9999,    9
 18525, 99393,20130311, -127,    0
 18525, 99393,20130312, -100,    0
 18525, 99393,20130313,-9999,    9
 18525, 99393,20130314,-9999,    9
 18525, 99393,20130315,-9999,    9
 18525, 99393,20130316,-9999,    9
 18525, 99393,20130317,-9999,    9
 18525, 99393,20130318,-9999,    9
 18525, 99393,20130319, -151,    0
 18525, 99393,20130320, -118,    0
 18525, 99393,20130321,-9999,    9
 18525, 99393,20130322,-9999,    9
 18525, 99393,20130323,-9999,    9
 18525, 99393,20130324,-9999,    9
 18525, 99393,20130325,-9999,    9
 18525, 99393,20130326,-9999,    9
 18525, 99393,20130327,-9999,    9
 18525, 99393,20130328,-9999,    9
 18525, 99393,20130329,-9999,    9
 18525, 99393,20130330,-9999,    9
 18525, 99393,20130331,-9999,    9
 18525, 99393,20130401,-9999,    9
