EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV211 HAGLEBU, NORWAY (STAID: 18533)
Blended and updated with sources:99410 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18533, 99410,20130101,-9999,    9
 18533, 99410,20130102,-9999,    9
 18533, 99410,20130103,-9999,    9
 18533, 99410,20130104,   18,    0
 18533, 99410,20130105,    7,    0
 18533, 99410,20130106,  -22,    0
 18533, 99410,20130107,  -23,    0
 18533, 99410,20130108,  -35,    0
 18533, 99410,20130109,  -34,    0
 18533, 99410,20130110,  -89,    0
 18533, 99410,20130111, -131,    0
 18533, 99410,20130112, -188,    0
 18533, 99410,20130113, -206,    0
 18533, 99410,20130114, -185,    0
 18533, 99410,20130115, -218,    0
 18533, 99410,20130116, -211,    0
 18533, 99410,20130117, -170,    0
 18533, 99410,20130118, -195,    0
 18533, 99410,20130119,-9999,    9
 18533, 99410,20130120,-9999,    9
 18533, 99410,20130121,-9999,    9
 18533, 99410,20130122, -202,    0
 18533, 99410,20130123,-9999,    9
 18533, 99410,20130124,-9999,    9
 18533, 99410,20130125, -114,    0
 18533, 99410,20130126,-9999,    9
 18533, 99410,20130127,-9999,    9
 18533, 99410,20130128,-9999,    9
 18533, 99410,20130129,  -53,    0
 18533, 99410,20130130,  -34,    0
 18533, 99410,20130131,  -47,    0
 18533, 99410,20130201,  -86,    0
 18533, 99410,20130202,  -51,    0
 18533, 99410,20130203,-9999,    9
 18533, 99410,20130204,-9999,    9
 18533, 99410,20130205,  -44,    0
 18533, 99410,20130206,-9999,    9
 18533, 99410,20130207,-9999,    9
 18533, 99410,20130208,-9999,    9
 18533, 99410,20130209, -175,    0
 18533, 99410,20130210,-9999,    9
