EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SLEIPNER B, NORWAY (STAID: 18543)
Blended and updated with sources:99436 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18543, 99436,20170601,-9999,    9
 18543, 99436,20170602,-9999,    9
 18543, 99436,20170603,-9999,    9
 18543, 99436,20170604,-9999,    9
 18543, 99436,20170605,-9999,    9
 18543, 99436,20170606,-9999,    9
 18543, 99436,20170607,-9999,    9
 18543, 99436,20170608,-9999,    9
 18543, 99436,20170609,-9999,    9
 18543, 99436,20170610,-9999,    9
 18543, 99436,20170611,-9999,    9
 18543, 99436,20170612,-9999,    9
 18543, 99436,20170613,-9999,    9
 18543, 99436,20170614,-9999,    9
 18543, 99436,20170615,-9999,    9
 18543, 99436,20170616,-9999,    9
 18543, 99436,20170617,-9999,    9
 18543, 99436,20170618,-9999,    9
 18543, 99436,20170619,-9999,    9
 18543, 99436,20170620,-9999,    9
 18543, 99436,20170621,-9999,    9
 18543, 99436,20170622,-9999,    9
 18543, 99436,20170623,-9999,    9
 18543, 99436,20170624,-9999,    9
 18543, 99436,20170625,-9999,    9
 18543, 99436,20170626,-9999,    9
 18543, 99436,20170627,-9999,    9
 18543, 99436,20170628,  129,    0
 18543, 99436,20170629,-9999,    9
 18543, 99436,20170630,-9999,    9
 18543, 99436,20170701,-9999,    9
 18543, 99436,20170702,-9999,    9
 18543, 99436,20170703,-9999,    9
 18543, 99436,20170704,  119,    0
 18543, 99436,20170705,  124,    0
 18543, 99436,20170706,  128,    0
 18543, 99436,20170707,  128,    0
 18543, 99436,20170708,  126,    0
 18543, 99436,20170709,  128,    0
 18543, 99436,20170710,  140,    0
 18543, 99436,20170711,  125,    0
 18543, 99436,20170712,  121,    0
 18543, 99436,20170713,  133,    0
 18543, 99436,20170714,  137,    0
 18543, 99436,20170715,  138,    0
 18543, 99436,20170716,  138,    0
 18543, 99436,20170717,  132,    0
 18543, 99436,20170718,  138,    0
 18543, 99436,20170719,  138,    0
 18543, 99436,20170720,  149,    0
 18543, 99436,20170721,  143,    0
 18543, 99436,20170722,  150,    0
 18543, 99436,20170723,  152,    0
 18543, 99436,20170724,  136,    0
 18543, 99436,20170725,  138,    0
 18543, 99436,20170726,  143,    0
 18543, 99436,20170727,  142,    0
 18543, 99436,20170728,  143,    0
 18543, 99436,20170729,  147,    0
 18543, 99436,20170730,  146,    0
 18543, 99436,20170731,  148,    0
 18543, 99436,20170801,  148,    0
 18543, 99436,20170802,  145,    0
 18543, 99436,20170803,  152,    0
 18543, 99436,20170804,  147,    0
 18543, 99436,20170805,  135,    0
 18543, 99436,20170806,  135,    0
 18543, 99436,20170807,  141,    0
 18543, 99436,20170808,  160,    0
 18543, 99436,20170809,  140,    0
 18543, 99436,20170810,  141,    0
 18543, 99436,20170811,  147,    0
 18543, 99436,20170812,  135,    0
 18543, 99436,20170813,  133,    0
 18543, 99436,20170814,  145,    0
 18543, 99436,20170815,  151,    0
 18543, 99436,20170816,  149,    0
 18543, 99436,20170817,  151,    0
 18543, 99436,20170818,  146,    0
 18543, 99436,20170819,  140,    0
 18543, 99436,20170820,  139,    0
 18543, 99436,20170821,  130,    0
 18543, 99436,20170822,  154,    0
 18543, 99436,20170823,  145,    0
 18543, 99436,20170824,  149,    0
 18543, 99436,20170825,  152,    0
 18543, 99436,20170826,  147,    0
 18543, 99436,20170827,  141,    0
 18543, 99436,20170828,  155,    0
 18543, 99436,20170829,  142,    0
 18543, 99436,20170830,  142,    0
 18543, 99436,20170831,  138,    0
 18543, 99436,20170901,  128,    0
 18543, 99436,20170902,  135,    0
 18543, 99436,20170903,  142,    0
 18543, 99436,20170904,  151,    0
 18543, 99436,20170905,  143,    0
 18543, 99436,20170906,  140,    0
 18543, 99436,20170907,  135,    0
 18543, 99436,20170908,  140,    0
 18543, 99436,20170909,  136,    0
 18543, 99436,20170910,  131,    0
 18543, 99436,20170911,  132,    0
 18543, 99436,20170912,  132,    0
 18543, 99436,20170913,  131,    0
 18543, 99436,20170914,  125,    0
 18543, 99436,20170915,  128,    0
 18543, 99436,20170916,  133,    0
 18543, 99436,20170917,  134,    0
 18543, 99436,20170918,  124,    0
 18543, 99436,20170919,  123,    0
 18543, 99436,20170920,  132,    0
 18543, 99436,20170921,  144,    0
 18543, 99436,20170922,  133,    0
 18543, 99436,20170923,  139,    0
 18543, 99436,20170924,  143,    0
 18543, 99436,20170925,  147,    0
 18543, 99436,20170926,  147,    0
 18543, 99436,20170927,  148,    0
 18543, 99436,20170928,  148,    0
 18543, 99436,20170929,  140,    0
 18543, 99436,20170930,  132,    0
 18543, 99436,20171001,  132,    0
 18543, 99436,20171002,  125,    0
 18543, 99436,20171003,  118,    0
 18543, 99436,20171004,  109,    0
 18543, 99436,20171005,  111,    0
 18543, 99436,20171006,  104,    0
 18543, 99436,20171007,   99,    0
 18543, 99436,20171008,  105,    0
 18543, 99436,20171009,  115,    0
 18543, 99436,20171010,  114,    0
 18543, 99436,20171011,  122,    0
