EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RV2 SORMA, NORWAY (STAID: 18563)
Blended and updated with sources:99467 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18563, 99467,20130101,-9999,    9
 18563, 99467,20130102,-9999,    9
 18563, 99467,20130103,-9999,    9
 18563, 99467,20130104,  -57,    0
 18563, 99467,20130105,  -36,    0
 18563, 99467,20130106,  -14,    0
 18563, 99467,20130107,   -6,    0
 18563, 99467,20130108,  -24,    0
 18563, 99467,20130109,  -62,    0
 18563, 99467,20130110,-9999,    9
 18563, 99467,20130111, -108,    0
 18563, 99467,20130112, -165,    0
 18563, 99467,20130113, -230,    0
 18563, 99467,20130114, -214,    0
 18563, 99467,20130115, -181,    0
 18563, 99467,20130116, -156,    0
 18563, 99467,20130117, -128,    0
 18563, 99467,20130118, -163,    0
 18563, 99467,20130119,-9999,    9
 18563, 99467,20130120,-9999,    9
 18563, 99467,20130121,-9999,    9
 18563, 99467,20130122, -212,    0
 18563, 99467,20130123,-9999,    9
 18563, 99467,20130124,-9999,    9
 18563, 99467,20130125,-9999,    9
 18563, 99467,20130126,-9999,    9
 18563, 99467,20130127,-9999,    9
 18563, 99467,20130128,-9999,    9
 18563, 99467,20130129,    0,    0
 18563, 99467,20130130,    9,    0
 18563, 99467,20130131,  -18,    0
 18563, 99467,20130201, -139,    0
 18563, 99467,20130202, -139,    0
 18563, 99467,20130203, -142,    0
 18563, 99467,20130204,  -45,    0
 18563, 99467,20130205,  -52,    0
 18563, 99467,20130206,  -32,    0
 18563, 99467,20130207,  -78,    0
 18563, 99467,20130208,  -90,    0
 18563, 99467,20130209, -139,    0
 18563, 99467,20130210,  -86,    0
 18563, 99467,20130211,  -74,    0
 18563, 99467,20130212,  -65,    0
 18563, 99467,20130213,  -64,    0
 18563, 99467,20130214,-9999,    9
 18563, 99467,20130215,-9999,    9
 18563, 99467,20130216,-9999,    9
 18563, 99467,20130217,-9999,    9
 18563, 99467,20130218,-9999,    9
 18563, 99467,20130219,-9999,    9
 18563, 99467,20130220,-9999,    9
 18563, 99467,20130221,-9999,    9
 18563, 99467,20130222,-9999,    9
 18563, 99467,20130223,-9999,    9
 18563, 99467,20130224,-9999,    9
 18563, 99467,20130225,-9999,    9
 18563, 99467,20130226,-9999,    9
 18563, 99467,20130227,-9999,    9
 18563, 99467,20130228,-9999,    9
 18563, 99467,20130301,-9999,    9
 18563, 99467,20130302,-9999,    9
 18563, 99467,20130303,-9999,    9
 18563, 99467,20130304,-9999,    9
 18563, 99467,20130305,-9999,    9
 18563, 99467,20130306,-9999,    9
 18563, 99467,20130307,-9999,    9
 18563, 99467,20130308,-9999,    9
 18563, 99467,20130309,-9999,    9
 18563, 99467,20130310,-9999,    9
 18563, 99467,20130311,-9999,    9
 18563, 99467,20130312,-9999,    9
 18563, 99467,20130313,-9999,    9
 18563, 99467,20130314,-9999,    9
 18563, 99467,20130315,-9999,    9
 18563, 99467,20130316,-9999,    9
 18563, 99467,20130317,-9999,    9
 18563, 99467,20130318,-9999,    9
 18563, 99467,20130319,-9999,    9
 18563, 99467,20130320,-9999,    9
 18563, 99467,20130321,-9999,    9
 18563, 99467,20130322,-9999,    9
 18563, 99467,20130323,-9999,    9
 18563, 99467,20130324,-9999,    9
 18563, 99467,20130325,-9999,    9
 18563, 99467,20130326,-9999,    9
 18563, 99467,20130327,-9999,    9
 18563, 99467,20130328,-9999,    9
 18563, 99467,20130329,-9999,    9
 18563, 99467,20130330,-9999,    9
 18563, 99467,20130331,-9999,    9
 18563, 99467,20130401,-9999,    9
 18563, 99467,20130402,-9999,    9
 18563, 99467,20130403,-9999,    9
 18563, 99467,20130404,-9999,    9
 18563, 99467,20130405,-9999,    9
 18563, 99467,20130406,-9999,    9
 18563, 99467,20130407,-9999,    9
 18563, 99467,20130408,-9999,    9
 18563, 99467,20130409,-9999,    9
 18563, 99467,20130410,-9999,    9
 18563, 99467,20130411,-9999,    9
 18563, 99467,20130412,-9999,    9
 18563, 99467,20130413,-9999,    9
 18563, 99467,20130414,-9999,    9
 18563, 99467,20130415,-9999,    9
 18563, 99467,20130416,-9999,    9
 18563, 99467,20130417,-9999,    9
 18563, 99467,20130418,-9999,    9
 18563, 99467,20130419,-9999,    9
 18563, 99467,20130420,-9999,    9
 18563, 99467,20130421,-9999,    9
 18563, 99467,20130422,-9999,    9
 18563, 99467,20130423,-9999,    9
 18563, 99467,20130424,-9999,    9
 18563, 99467,20130425,-9999,    9
 18563, 99467,20130426,-9999,    9
 18563, 99467,20130427,-9999,    9
 18563, 99467,20130428,-9999,    9
 18563, 99467,20130429,-9999,    9
 18563, 99467,20130430,-9999,    9
 18563, 99467,20130501,-9999,    9
 18563, 99467,20130502,-9999,    9
 18563, 99467,20130503,-9999,    9
 18563, 99467,20130504,-9999,    9
 18563, 99467,20130505,-9999,    9
 18563, 99467,20130506,-9999,    9
 18563, 99467,20130507,-9999,    9
 18563, 99467,20130508,  115,    0
 18563, 99467,20130509,  115,    0
 18563, 99467,20130510,-9999,    9
 18563, 99467,20130511,-9999,    9
 18563, 99467,20130512,   71,    0
 18563, 99467,20130513,   64,    0
 18563, 99467,20130514,   61,    0
 18563, 99467,20130515,   81,    0
 18563, 99467,20130516,  150,    0
 18563, 99467,20130517,-9999,    9
 18563, 99467,20130518,-9999,    9
 18563, 99467,20130519,-9999,    9
 18563, 99467,20130520,-9999,    9
 18563, 99467,20130521,-9999,    9
 18563, 99467,20130522,  122,    0
 18563, 99467,20130523,   99,    0
 18563, 99467,20130524,  113,    0
 18563, 99467,20130525,  144,    0
 18563, 99467,20130526,  153,    0
 18563, 99467,20130527,-9999,    9
 18563, 99467,20130528,-9999,    9
 18563, 99467,20130529,  168,    0
 18563, 99467,20130530,-9999,    9
 18563, 99467,20130531,  174,    0
 18563, 99467,20130601,-9999,    9
 18563, 99467,20130602,  151,    0
 18563, 99467,20130603,  115,    0
 18563, 99467,20130604,   83,    0
 18563, 99467,20130605,-9999,    9
 18563, 99467,20130606,-9999,    9
 18563, 99467,20130607,  127,    0
 18563, 99467,20130608,  125,    0
 18563, 99467,20130609,  103,    0
 18563, 99467,20130610,-9999,    9
 18563, 99467,20130611,-9999,    9
 18563, 99467,20130612,-9999,    9
 18563, 99467,20130613,  124,    0
 18563, 99467,20130614,  148,    0
 18563, 99467,20130615,-9999,    9
 18563, 99467,20130616,  120,    0
 18563, 99467,20130617,  137,    0
 18563, 99467,20130618,-9999,    9
 18563, 99467,20130619,-9999,    9
 18563, 99467,20130620,-9999,    9
 18563, 99467,20130621,-9999,    9
 18563, 99467,20130622,-9999,    9
 18563, 99467,20130623,-9999,    9
 18563, 99467,20130624,-9999,    9
 18563, 99467,20130625,-9999,    9
 18563, 99467,20130626,-9999,    9
 18563, 99467,20130627,-9999,    9
