EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV30 MOSENGET, NORWAY (STAID: 18568)
Blended and updated with sources:99474 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18568, 99474,20130101,-9999,    9
 18568, 99474,20130102,-9999,    9
 18568, 99474,20130103,-9999,    9
 18568, 99474,20130104,    4,    0
 18568, 99474,20130105,    1,    0
 18568, 99474,20130106,    3,    0
 18568, 99474,20130107,  -31,    0
 18568, 99474,20130108,  -40,    0
 18568, 99474,20130109,  -67,    0
 18568, 99474,20130110, -144,    0
 18568, 99474,20130111, -260,    0
 18568, 99474,20130112, -297,    0
 18568, 99474,20130113, -321,    0
 18568, 99474,20130114, -316,    0
 18568, 99474,20130115, -296,    0
 18568, 99474,20130116, -252,    0
 18568, 99474,20130117, -313,    0
 18568, 99474,20130118, -293,    0
 18568, 99474,20130119,-9999,    9
 18568, 99474,20130120,-9999,    9
 18568, 99474,20130121,-9999,    9
 18568, 99474,20130122, -304,    0
 18568, 99474,20130123,-9999,    9
 18568, 99474,20130124,-9999,    9
 18568, 99474,20130125,-9999,    9
 18568, 99474,20130126,-9999,    9
 18568, 99474,20130127,-9999,    9
 18568, 99474,20130128,-9999,    9
 18568, 99474,20130129,  -29,    0
 18568, 99474,20130130,  -17,    0
 18568, 99474,20130131,  -46,    0
 18568, 99474,20130201,  -93,    0
 18568, 99474,20130202,  -25,    0
 18568, 99474,20130203, -155,    0
 18568, 99474,20130204, -123,    0
 18568, 99474,20130205,  -80,    0
 18568, 99474,20130206,  -72,    0
 18568, 99474,20130207,  -99,    0
 18568, 99474,20130208, -129,    0
 18568, 99474,20130209, -220,    0
 18568, 99474,20130210, -151,    0
 18568, 99474,20130211,  -73,    0
 18568, 99474,20130212, -138,    0
 18568, 99474,20130213, -105,    0
 18568, 99474,20130214,-9999,    9
 18568, 99474,20130215,-9999,    9
 18568, 99474,20130216,-9999,    9
 18568, 99474,20130217,-9999,    9
 18568, 99474,20130218,  -31,    0
 18568, 99474,20130219, -114,    0
 18568, 99474,20130220, -202,    0
 18568, 99474,20130221,  -99,    0
 18568, 99474,20130222,  -52,    0
 18568, 99474,20130223,-9999,    9
 18568, 99474,20130224,-9999,    9
 18568, 99474,20130225,-9999,    9
 18568, 99474,20130226,-9999,    9
 18568, 99474,20130227,-9999,    9
 18568, 99474,20130228,-9999,    9
 18568, 99474,20130301,-9999,    9
 18568, 99474,20130302,-9999,    9
 18568, 99474,20130303,-9999,    9
 18568, 99474,20130304,-9999,    9
 18568, 99474,20130305,-9999,    9
 18568, 99474,20130306,-9999,    9
 18568, 99474,20130307,-9999,    9
 18568, 99474,20130308,-9999,    9
 18568, 99474,20130309,-9999,    9
 18568, 99474,20130310,-9999,    9
 18568, 99474,20130311,-9999,    9
 18568, 99474,20130312,-9999,    9
 18568, 99474,20130313,-9999,    9
 18568, 99474,20130314,-9999,    9
