EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GEITHUS, NORWAY (STAID: 18586)
Blended and updated with sources:99505 100783 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18586,100783,19570101,  -51,    0
 18586,100783,19570102,  -94,    0
 18586,100783,19570103, -100,    0
 18586,100783,19570104,  -76,    0
 18586,100783,19570105,  -14,    0
 18586,100783,19570106,   12,    0
 18586,100783,19570107,   15,    0
 18586,100783,19570108,   64,    0
 18586,100783,19570109,   67,    0
 18586,100783,19570110,   12,    0
 18586,100783,19570111,  -10,    0
 18586,100783,19570112,   -8,    0
 18586,100783,19570113,  -49,    0
 18586,100783,19570114, -156,    0
 18586,100783,19570115, -150,    0
 18586,100783,19570116, -109,    0
 18586,100783,19570117, -107,    0
 18586,100783,19570118, -117,    0
 18586,100783,19570119,  -59,    0
 18586,100783,19570120,   58,    0
 18586,100783,19570121,   47,    0
 18586,100783,19570122,   19,    0
 18586,100783,19570123,  -38,    0
 18586,100783,19570124,  -12,    0
 18586,100783,19570125,   -9,    0
 18586,100783,19570126,    3,    0
 18586,100783,19570127,   -3,    0
 18586,100783,19570128,  -32,    0
 18586,100783,19570129,   47,    0
 18586,100783,19570130,  -38,    0
 18586,100783,19570131,  -83,    0
 18586,100783,19570201,    3,    0
 18586,100783,19570202,   26,    0
 18586,100783,19570203,  -34,    0
 18586,100783,19570204,   10,    0
 18586,100783,19570205,   38,    0
 18586,100783,19570206,   28,    0
 18586,100783,19570207,   13,    0
 18586,100783,19570208,  -43,    0
 18586,100783,19570209,  -15,    0
 18586,100783,19570210,   -8,    0
 18586,100783,19570211, -101,    0
 18586,100783,19570212, -105,    0
 18586,100783,19570213,  -56,    0
 18586,100783,19570214,  -49,    0
 18586,100783,19570215,  -45,    0
 18586,100783,19570216,  -40,    0
 18586,100783,19570217,  -42,    0
 18586,100783,19570218,  -65,    0
 18586,100783,19570219,  -72,    0
 18586,100783,19570220,  -74,    0
 18586,100783,19570221,  -71,    0
 18586,100783,19570222, -118,    0
 18586,100783,19570223,  -96,    0
 18586,100783,19570224,  -89,    0
 18586,100783,19570225, -147,    0
 18586,100783,19570226,  -71,    0
 18586,100783,19570227,  -37,    0
 18586,100783,19570228, -115,    0
 18586,100783,19570301,  -94,    0
 18586,100783,19570302,  -78,    0
 18586,100783,19570303,  -22,    0
 18586,100783,19570304,  -19,    0
 18586,100783,19570305,  -47,    0
 18586,100783,19570306, -102,    0
 18586,100783,19570307,  -21,    0
 18586,100783,19570308,  -17,    0
 18586,100783,19570309,  -15,    0
 18586,100783,19570310,  -10,    0
 18586,100783,19570311,    8,    0
 18586,100783,19570312,   23,    0
 18586,100783,19570313,   16,    0
 18586,100783,19570314,   25,    0
 18586,100783,19570315,   -9,    0
 18586,100783,19570316,  -78,    0
 18586,100783,19570317,  -81,    0
 18586,100783,19570318,  -56,    0
 18586,100783,19570319,  -47,    0
 18586,100783,19570320,  -65,    0
 18586,100783,19570321,  -57,    0
 18586,100783,19570322,    7,    0
 18586,100783,19570323,  -36,    0
 18586,100783,19570324,  -76,    0
 18586,100783,19570325,  -88,    0
 18586,100783,19570326,  -16,    0
 18586,100783,19570327,   12,    0
 18586,100783,19570328,   46,    0
 18586,100783,19570329,   60,    0
 18586,100783,19570330,   35,    0
 18586,100783,19570331,   19,    0
 18586,100783,19570401,   25,    0
 18586,100783,19570402,   38,    0
 18586,100783,19570403,   40,    0
 18586,100783,19570404,   57,    0
 18586,100783,19570405,   75,    0
 18586,100783,19570406,   57,    0
 18586,100783,19570407,   43,    0
 18586,100783,19570408,   60,    0
 18586,100783,19570409,   32,    0
 18586,100783,19570410,   21,    0
 18586,100783,19570411,   -6,    0
 18586,100783,19570412,  -14,    0
 18586,100783,19570413,   -5,    0
 18586,100783,19570414,    2,    0
 18586,100783,19570415,    1,    0
 18586,100783,19570416,   24,    0
 18586,100783,19570417,   34,    0
 18586,100783,19570418,   43,    0
 18586,100783,19570419,   72,    0
 18586,100783,19570420,   59,    0
 18586,100783,19570421,   56,    0
 18586,100783,19570422,   56,    0
 18586,100783,19570423,   33,    0
 18586,100783,19570424,   63,    0
 18586,100783,19570425,   79,    0
 18586,100783,19570426,   75,    0
 18586,100783,19570427,   83,    0
 18586,100783,19570428,   86,    0
 18586,100783,19570429,   90,    0
 18586,100783,19570430,   64,    0
 18586,100783,19570501,   40,    0
 18586,100783,19570502,   77,    0
 18586,100783,19570503,   67,    0
 18586,100783,19570504,   49,    0
 18586,100783,19570505,   54,    0
 18586,100783,19570506,   37,    0
 18586,100783,19570507,   30,    0
 18586,100783,19570508,   46,    0
 18586,100783,19570509,   33,    0
 18586,100783,19570510,   29,    0
 18586,100783,19570511,   50,    0
 18586,100783,19570512,   85,    0
 18586,100783,19570513,   93,    0
 18586,100783,19570514,  114,    0
 18586,100783,19570515,   89,    0
 18586,100783,19570516,  102,    0
 18586,100783,19570517,   97,    0
 18586,100783,19570518,  127,    0
 18586,100783,19570519,  121,    0
 18586,100783,19570520,  109,    0
 18586,100783,19570521,   78,    0
 18586,100783,19570522,  105,    0
 18586,100783,19570523,  123,    0
 18586,100783,19570524,  114,    0
 18586,100783,19570525,  124,    0
 18586,100783,19570526,  130,    0
 18586,100783,19570527,  133,    0
 18586,100783,19570528,  133,    0
 18586,100783,19570529,  140,    0
 18586,100783,19570530,  141,    0
 18586,100783,19570531,  146,    0
 18586,100783,19570601,  146,    0
 18586,100783,19570602,  145,    0
 18586,100783,19570603,  165,    0
 18586,100783,19570604,  131,    0
 18586,100783,19570605,  108,    0
 18586,100783,19570606,   95,    0
 18586,100783,19570607,  114,    0
 18586,100783,19570608,  122,    0
 18586,100783,19570609,   95,    0
 18586,100783,19570610,  141,    0
 18586,100783,19570611,  143,    0
 18586,100783,19570612,  127,    0
 18586,100783,19570613,  175,    0
 18586,100783,19570614,  174,    0
 18586,100783,19570615,  189,    0
 18586,100783,19570616,  191,    0
 18586,100783,19570617,  210,    0
 18586,100783,19570618,  168,    0
 18586,100783,19570619,  142,    0
 18586,100783,19570620,  120,    0
 18586,100783,19570621,  104,    0
 18586,100783,19570622,  112,    0
 18586,100783,19570623,   86,    0
 18586,100783,19570624,  105,    0
 18586,100783,19570625,  111,    0
 18586,100783,19570626,  134,    0
 18586,100783,19570627,  139,    0
 18586,100783,19570628,  152,    0
 18586,100783,19570629,  134,    0
 18586,100783,19570630,  170,    0
 18586,100783,19570701,  134,    0
