EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV50 VESTREDALEN, NORWAY (STAID: 18590)
Blended and updated with sources:99511 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18590, 99511,20140101,-9999,    9
 18590, 99511,20140102,-9999,    9
 18590, 99511,20140103,  -26,    0
 18590, 99511,20140104,  -20,    0
 18590, 99511,20140105,  -21,    0
 18590, 99511,20140106,  -28,    0
 18590, 99511,20140107,    0,    0
 18590, 99511,20140108,   -7,    0
 18590, 99511,20140109,  -49,    0
 18590, 99511,20140110,  -55,    0
 18590, 99511,20140111,  -44,    0
 18590, 99511,20140112, -127,    0
 18590, 99511,20140113, -167,    0
 18590, 99511,20140114, -157,    0
 18590, 99511,20140115, -144,    0
 18590, 99511,20140116, -128,    0
 18590, 99511,20140117, -133,    0
 18590, 99511,20140118, -140,    0
 18590, 99511,20140119, -130,    0
 18590, 99511,20140120, -136,    0
 18590, 99511,20140121, -162,    0
 18590, 99511,20140122,-9999,    9
 18590, 99511,20140123, -148,    0
 18590, 99511,20140124, -154,    0
 18590, 99511,20140125, -108,    0
 18590, 99511,20140126, -138,    0
 18590, 99511,20140127, -122,    0
 18590, 99511,20140128,  -93,    0
 18590, 99511,20140129, -110,    0
 18590, 99511,20140130, -139,    0
 18590, 99511,20140131, -126,    0
 18590, 99511,20140201, -114,    0
 18590, 99511,20140202,-9999,    9
 18590, 99511,20140203,-9999,    9
 18590, 99511,20140204,  -51,    0
 18590, 99511,20140205,  -62,    0
 18590, 99511,20140206,  -68,    0
 18590, 99511,20140207,  -50,    0
 18590, 99511,20140208,  -43,    0
 18590, 99511,20140209,  -35,    0
 18590, 99511,20140210,-9999,    9
 18590, 99511,20140211,-9999,    9
 18590, 99511,20140212,  -58,    0
 18590, 99511,20140213,  -50,    0
 18590, 99511,20140214,  -32,    0
 18590, 99511,20140215,  -42,    0
 18590, 99511,20140216,  -27,    0
 18590, 99511,20140217,-9999,    9
 18590, 99511,20140218,-9999,    9
 18590, 99511,20140219, -100,    0
 18590, 99511,20140220, -122,    0
 18590, 99511,20140221,  -60,    0
 18590, 99511,20140222,  -29,    0
 18590, 99511,20140223,   -3,    0
 18590, 99511,20140224,    6,    0
 18590, 99511,20140225,  -13,    0
 18590, 99511,20140226,  -28,    0
 18590, 99511,20140227,  -30,    0
 18590, 99511,20140228,  -32,    0
 18590, 99511,20140301,  -39,    0
 18590, 99511,20140302,  -50,    0
 18590, 99511,20140303,  -44,    0
 18590, 99511,20140304,  -46,    0
 18590, 99511,20140305,  -23,    0
 18590, 99511,20140306,   -4,    0
 18590, 99511,20140307,  -11,    0
 18590, 99511,20140308,  -34,    0
 18590, 99511,20140309,    4,    0
 18590, 99511,20140310,  -35,    0
 18590, 99511,20140311,  -29,    0
 18590, 99511,20140312,  -35,    0
 18590, 99511,20140313,  -23,    0
 18590, 99511,20140314,  -26,    0
 18590, 99511,20140315,  -57,    0
 18590, 99511,20140316,-9999,    9
 18590, 99511,20140317,-9999,    9
 18590, 99511,20140318,-9999,    9
 18590, 99511,20140319,-9999,    9
 18590, 99511,20140320,-9999,    9
 18590, 99511,20140321,  -39,    0
 18590, 99511,20140322,  -42,    0
 18590, 99511,20140323,  -47,    0
 18590, 99511,20140324,  -72,    0
 18590, 99511,20140325,  -94,    0
 18590, 99511,20140326,  -63,    0
 18590, 99511,20140327,  -13,    0
 18590, 99511,20140328,    0,    0
 18590, 99511,20140329,   14,    0
 18590, 99511,20140330,-9999,    9
 18590, 99511,20140331,  -16,    0
