EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV42 TVERRA, NORWAY (STAID: 18604)
Blended and updated with sources:99540 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18604, 99540,20131001,-9999,    9
 18604, 99540,20131002,-9999,    9
 18604, 99540,20131003,-9999,    9
 18604, 99540,20131004,-9999,    9
 18604, 99540,20131005,-9999,    9
 18604, 99540,20131006,-9999,    9
 18604, 99540,20131007,-9999,    9
 18604, 99540,20131008,-9999,    9
 18604, 99540,20131009,-9999,    9
 18604, 99540,20131010,-9999,    9
 18604, 99540,20131011,-9999,    9
 18604, 99540,20131012,-9999,    9
 18604, 99540,20131013,-9999,    9
 18604, 99540,20131014,-9999,    9
 18604, 99540,20131015,   25,    0
 18604, 99540,20131016,   37,    0
 18604, 99540,20131017,   50,    0
 18604, 99540,20131018,   -3,    0
 18604, 99540,20131019,   10,    0
 18604, 99540,20131020,-9999,    9
 18604, 99540,20131021,-9999,    9
 18604, 99540,20131022,   83,    0
 18604, 99540,20131023,-9999,    9
 18604, 99540,20131024,-9999,    9
 18604, 99540,20131025,-9999,    9
 18604, 99540,20131026,-9999,    9
 18604, 99540,20131027,-9999,    9
 18604, 99540,20131028,-9999,    9
 18604, 99540,20131029,-9999,    9
 18604, 99540,20131030,-9999,    9
 18604, 99540,20131031,-9999,    9
 18604, 99540,20131101,-9999,    9
 18604, 99540,20131102,-9999,    9
 18604, 99540,20131103,-9999,    9
 18604, 99540,20131104,-9999,    9
 18604, 99540,20131105,-9999,    9
 18604, 99540,20131106,-9999,    9
 18604, 99540,20131107,-9999,    9
 18604, 99540,20131108,-9999,    9
 18604, 99540,20131109,-9999,    9
 18604, 99540,20131110,-9999,    9
 18604, 99540,20131111,-9999,    9
 18604, 99540,20131112,-9999,    9
 18604, 99540,20131113,-9999,    9
 18604, 99540,20131114,-9999,    9
 18604, 99540,20131115,-9999,    9
 18604, 99540,20131116,-9999,    9
 18604, 99540,20131117,-9999,    9
 18604, 99540,20131118,-9999,    9
 18604, 99540,20131119,-9999,    9
 18604, 99540,20131120,-9999,    9
 18604, 99540,20131121,-9999,    9
 18604, 99540,20131122,-9999,    9
 18604, 99540,20131123,    0,    0
 18604, 99540,20131124,   -7,    0
 18604, 99540,20131125,    2,    0
 18604, 99540,20131126,   15,    0
 18604, 99540,20131127,   68,    0
 18604, 99540,20131128,-9999,    9
 18604, 99540,20131129,  -11,    0
 18604, 99540,20131130,    2,    0
 18604, 99540,20131201,   29,    0
 18604, 99540,20131202,    7,    0
 18604, 99540,20131203,   51,    0
 18604, 99540,20131204,   14,    0
 18604, 99540,20131205,-9999,    9
 18604, 99540,20131206,  -31,    0
 18604, 99540,20131207,  -99,    0
 18604, 99540,20131208,    6,    0
 18604, 99540,20131209,   10,    0
 18604, 99540,20131210,   12,    0
 18604, 99540,20131211,   11,    0
 18604, 99540,20131212,   18,    0
 18604, 99540,20131213,    7,    0
 18604, 99540,20131214,   22,    0
 18604, 99540,20131215,   31,    0
 18604, 99540,20131216,   50,    0
 18604, 99540,20131217,   18,    0
 18604, 99540,20131218,   17,    0
 18604, 99540,20131219,   20,    0
 18604, 99540,20131220,    9,    0
 18604, 99540,20131221,   50,    0
 18604, 99540,20131222,   16,    0
 18604, 99540,20131223,   11,    0
 18604, 99540,20131224,   44,    0
 18604, 99540,20131225,   23,    0
 18604, 99540,20131226,   21,    0
 18604, 99540,20131227,   24,    0
 18604, 99540,20131228,   32,    0
 18604, 99540,20131229,   16,    0
 18604, 99540,20131230,   23,    0
 18604, 99540,20131231,   32,    0
 18604, 99540,20140101,   12,    0
 18604, 99540,20140102,   17,    0
 18604, 99540,20140103,   24,    0
 18604, 99540,20140104,   27,    0
 18604, 99540,20140105,   10,    0
 18604, 99540,20140106,   20,    0
