EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV615 HYEN, NORWAY (STAID: 18614)
Blended and updated with sources:99560 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18614, 99560,20140101,   66,    0
 18614, 99560,20140102,-9999,    9
 18614, 99560,20140103,-9999,    9
 18614, 99560,20140104,   88,    0
 18614, 99560,20140105,   89,    0
 18614, 99560,20140106,   90,    0
 18614, 99560,20140107,-9999,    9
 18614, 99560,20140108,-9999,    9
 18614, 99560,20140109,   56,    0
 18614, 99560,20140110,   32,    0
 18614, 99560,20140111,    0,    0
 18614, 99560,20140112,  -14,    0
 18614, 99560,20140113,  -35,    0
 18614, 99560,20140114,    2,    0
 18614, 99560,20140115,  -27,    0
 18614, 99560,20140116,    8,    0
 18614, 99560,20140117,   26,    0
 18614, 99560,20140118,-9999,    9
 18614, 99560,20140119,   16,    0
 18614, 99560,20140120,-9999,    9
 18614, 99560,20140121,   13,    0
 18614, 99560,20140122,-9999,    9
 18614, 99560,20140123,   37,    0
 18614, 99560,20140124,   36,    0
 18614, 99560,20140125,   42,    0
 18614, 99560,20140126,   31,    0
 18614, 99560,20140127,   11,    0
 18614, 99560,20140128,   26,    0
 18614, 99560,20140129,   37,    0
 18614, 99560,20140130,-9999,    9
 18614, 99560,20140131,-9999,    9
 18614, 99560,20140201,-9999,    9
 18614, 99560,20140202,-9999,    9
 18614, 99560,20140203,-9999,    9
 18614, 99560,20140204,   51,    0
 18614, 99560,20140205,   46,    0
 18614, 99560,20140206,   57,    0
 18614, 99560,20140207,   70,    0
 18614, 99560,20140208,   57,    0
 18614, 99560,20140209,   99,    0
 18614, 99560,20140210,-9999,    9
 18614, 99560,20140211,   74,    0
 18614, 99560,20140212,   59,    0
 18614, 99560,20140213,-9999,    9
 18614, 99560,20140214,-9999,    9
 18614, 99560,20140215,   75,    0
 18614, 99560,20140216,   54,    0
 18614, 99560,20140217,-9999,    9
 18614, 99560,20140218,-9999,    9
 18614, 99560,20140219,  -22,    0
 18614, 99560,20140220,  -13,    0
 18614, 99560,20140221,   52,    0
 18614, 99560,20140222,-9999,    9
