EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RV15 TOTLAND, NORWAY (STAID: 18629)
Blended and updated with sources:99594 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18629, 99594,20170701,-9999,    9
 18629, 99594,20170702,-9999,    9
 18629, 99594,20170703,-9999,    9
 18629, 99594,20170704,-9999,    9
 18629, 99594,20170705,-9999,    9
 18629, 99594,20170706,-9999,    9
 18629, 99594,20170707,-9999,    9
 18629, 99594,20170708,-9999,    9
 18629, 99594,20170709,-9999,    9
 18629, 99594,20170710,-9999,    9
 18629, 99594,20170711,-9999,    9
 18629, 99594,20170712,  105,    0
 18629, 99594,20170713,  113,    0
 18629, 99594,20170714,  125,    0
 18629, 99594,20170715,  137,    0
 18629, 99594,20170716,  118,    0
 18629, 99594,20170717,  103,    0
 18629, 99594,20170718,  121,    0
 18629, 99594,20170719,  140,    0
 18629, 99594,20170720,  160,    0
 18629, 99594,20170721,  160,    0
 18629, 99594,20170722,  175,    0
 18629, 99594,20170723,  157,    0
 18629, 99594,20170724,  158,    0
 18629, 99594,20170725,  166,    0
 18629, 99594,20170726,  157,    0
 18629, 99594,20170727,  153,    0
 18629, 99594,20170728,  140,    0
 18629, 99594,20170729,  141,    0
 18629, 99594,20170730,  156,    0
 18629, 99594,20170731,  139,    0
 18629, 99594,20170801,  139,    0
 18629, 99594,20170802,  137,    0
 18629, 99594,20170803,  143,    0
 18629, 99594,20170804,  151,    0
 18629, 99594,20170805,  142,    0
 18629, 99594,20170806,  146,    0
 18629, 99594,20170807,  134,    0
 18629, 99594,20170808,  130,    0
 18629, 99594,20170809,  141,    0
 18629, 99594,20170810,  130,    0
 18629, 99594,20170811,  141,    0
 18629, 99594,20170812,  118,    0
 18629, 99594,20170813,   98,    0
 18629, 99594,20170814,  116,    0
 18629, 99594,20170815,  129,    0
 18629, 99594,20170816,  131,    0
 18629, 99594,20170817,  148,    0
 18629, 99594,20170818,  143,    0
 18629, 99594,20170819,  137,    0
 18629, 99594,20170820,  122,    0
 18629, 99594,20170821,  129,    0
 18629, 99594,20170822,  127,    0
 18629, 99594,20170823,  118,    0
 18629, 99594,20170824,  121,    0
 18629, 99594,20170825,  113,    0
 18629, 99594,20170826,  110,    0
 18629, 99594,20170827,  125,    0
 18629, 99594,20170828,  148,    0
 18629, 99594,20170829,  129,    0
 18629, 99594,20170830,  114,    0
 18629, 99594,20170831,  115,    0
 18629, 99594,20170901,  109,    0
 18629, 99594,20170902,  116,    0
 18629, 99594,20170903,  113,    0
 18629, 99594,20170904,  131,    0
 18629, 99594,20170905,  124,    0
 18629, 99594,20170906,  127,    0
 18629, 99594,20170907,  109,    0
 18629, 99594,20170908,  123,    0
 18629, 99594,20170909,  112,    0
 18629, 99594,20170910,  117,    0
 18629, 99594,20170911,  104,    0
 18629, 99594,20170912,  108,    0
 18629, 99594,20170913,  109,    0
 18629, 99594,20170914,  104,    0
 18629, 99594,20170915,  107,    0
 18629, 99594,20170916,-9999,    9
 18629, 99594,20170917,   96,    0
 18629, 99594,20170918,  110,    0
 18629, 99594,20170919,  114,    0
 18629, 99594,20170920,   94,    0
 18629, 99594,20170921,  107,    0
 18629, 99594,20170922,  133,    0
 18629, 99594,20170923,  121,    0
 18629, 99594,20170924,  109,    0
 18629, 99594,20170925,  123,    0
 18629, 99594,20170926,  111,    0
 18629, 99594,20170927,  133,    0
 18629, 99594,20170928,  159,    0
 18629, 99594,20170929,  150,    0
 18629, 99594,20170930,  141,    0
 18629, 99594,20171001,  135,    0
 18629, 99594,20171002,  109,    0
 18629, 99594,20171003,   96,    0
 18629, 99594,20171004,-9999,    9
 18629, 99594,20171005,   73,    0
 18629, 99594,20171006,   77,    0
 18629, 99594,20171007,   57,    0
 18629, 99594,20171008,   56,    0
 18629, 99594,20171009,   44,    0
 18629, 99594,20171010,   75,    0
 18629, 99594,20171011,   89,    0
 18629, 99594,20171012,   67,    0
 18629, 99594,20171013,   97,    0
 18629, 99594,20171014,-9999,    9
 18629, 99594,20171015,  108,    0
 18629, 99594,20171016,   77,    0
 18629, 99594,20171017,-9999,    9
 18629, 99594,20171018,-9999,    9
 18629, 99594,20171019,-9999,    9
 18629, 99594,20171020,-9999,    9
 18629, 99594,20171021,-9999,    9
 18629, 99594,20171022,-9999,    9
 18629, 99594,20171023,-9999,    9
 18629, 99594,20171024,-9999,    9
 18629, 99594,20171025,-9999,    9
 18629, 99594,20171026,-9999,    9
 18629, 99594,20171027,-9999,    9
 18629, 99594,20171028,-9999,    9
 18629, 99594,20171029,-9999,    9
 18629, 99594,20171030,   20,    0
 18629, 99594,20171031,   63,    0
 18629, 99594,20171101,-9999,    9
 18629, 99594,20171102,-9999,    9
 18629, 99594,20171103,   73,    0
 18629, 99594,20171104,   67,    0
 18629, 99594,20171105,   43,    0
 18629, 99594,20171106,   33,    0
 18629, 99594,20171107,   95,    0
 18629, 99594,20171108,   68,    0
 18629, 99594,20171109,   64,    0
 18629, 99594,20171110,   20,    0
 18629, 99594,20171111,   26,    0
 18629, 99594,20171112,-9999,    9
 18629, 99594,20171113,-9999,    9
 18629, 99594,20171114,-9999,    9
 18629, 99594,20171115,-9999,    9
 18629, 99594,20171116,-9999,    9
 18629, 99594,20171117,-9999,    9
 18629, 99594,20171118,-9999,    9
 18629, 99594,20171119,-9999,    9
 18629, 99594,20171120,-9999,    9
 18629, 99594,20171121,-9999,    9
 18629, 99594,20171122,    9,    0
 18629, 99594,20171123,   31,    0
 18629, 99594,20171124,   42,    0
 18629, 99594,20171125,   25,    0
 18629, 99594,20171126,   18,    0
 18629, 99594,20171127,  -13,    0
 18629, 99594,20171128,-9999,    9
 18629, 99594,20171129,-9999,    9
 18629, 99594,20171130,  -64,    0
 18629, 99594,20171201,  -37,    0
 18629, 99594,20171202,   39,    0
