EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E6 KVAENANGSFJELLET, NORWAY (STAID: 18631)
Blended and updated with sources:99597 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18631, 99597,20150401,-9999,    9
 18631, 99597,20150402,-9999,    9
 18631, 99597,20150403,-9999,    9
 18631, 99597,20150404,-9999,    9
 18631, 99597,20150405,-9999,    9
 18631, 99597,20150406,-9999,    9
 18631, 99597,20150407,-9999,    9
 18631, 99597,20150408,-9999,    9
 18631, 99597,20150409,-9999,    9
 18631, 99597,20150410,-9999,    9
 18631, 99597,20150411,  -19,    0
 18631, 99597,20150412,   19,    0
 18631, 99597,20150413,-9999,    9
 18631, 99597,20150414,    0,    0
 18631, 99597,20150415,   10,    0
 18631, 99597,20150416,   17,    0
 18631, 99597,20150417,   22,    0
 18631, 99597,20150418,   31,    0
 18631, 99597,20150419,    8,    0
 18631, 99597,20150420,   27,    0
 18631, 99597,20150421,   35,    0
 18631, 99597,20150422,-9999,    9
 18631, 99597,20150423,-9999,    9
 18631, 99597,20150424,  -17,    0
 18631, 99597,20150425,  -19,    0
 18631, 99597,20150426,-9999,    9
 18631, 99597,20150427,-9999,    9
 18631, 99597,20150428,  -35,    0
 18631, 99597,20150429,  -29,    0
 18631, 99597,20150430,  -17,    0
 18631, 99597,20150501,-9999,    9
 18631, 99597,20150502,-9999,    9
 18631, 99597,20150503,  -14,    0
 18631, 99597,20150504,-9999,    9
 18631, 99597,20150505,-9999,    9
 18631, 99597,20150506,-9999,    9
 18631, 99597,20150507,   57,    0
 18631, 99597,20150508,   73,    0
 18631, 99597,20150509,   37,    0
 18631, 99597,20150510,   39,    0
 18631, 99597,20150511,   28,    0
 18631, 99597,20150512,   57,    0
 18631, 99597,20150513,   62,    0
 18631, 99597,20150514,    9,    0
 18631, 99597,20150515,-9999,    9
 18631, 99597,20150516,   -1,    0
 18631, 99597,20150517,-9999,    9
 18631, 99597,20150518,   36,    0
 18631, 99597,20150519,   40,    0
 18631, 99597,20150520,   38,    0
 18631, 99597,20150521,   29,    0
 18631, 99597,20150522,   57,    0
 18631, 99597,20150523,   14,    0
 18631, 99597,20150524,    5,    0
 18631, 99597,20150525,    8,    0
 18631, 99597,20150526,-9999,    9
 18631, 99597,20150527,-9999,    9
 18631, 99597,20150528,   55,    0
 18631, 99597,20150529,   44,    0
 18631, 99597,20150530,   75,    0
 18631, 99597,20150531,   99,    0
 18631, 99597,20150601,   89,    0
 18631, 99597,20150602,-9999,    9
 18631, 99597,20150603,   48,    0
 18631, 99597,20150604,   20,    0
 18631, 99597,20150605,   22,    0
 18631, 99597,20150606,   30,    0
 18631, 99597,20150607,   33,    0
 18631, 99597,20150608,   31,    0
 18631, 99597,20150609,   62,    0
 18631, 99597,20150610,   49,    0
 18631, 99597,20150611,   25,    0
 18631, 99597,20150612,   30,    0
 18631, 99597,20150613,   43,    0
 18631, 99597,20150614,   62,    0
 18631, 99597,20150615,   67,    0
 18631, 99597,20150616,   46,    0
 18631, 99597,20150617,   36,    0
 18631, 99597,20150618,   59,    0
 18631, 99597,20150619,   41,    0
 18631, 99597,20150620,   51,    0
 18631, 99597,20150621,   75,    0
 18631, 99597,20150622,   81,    0
 18631, 99597,20150623,-9999,    9
 18631, 99597,20150624,-9999,    9
 18631, 99597,20150625,-9999,    9
 18631, 99597,20150626,   39,    0
 18631, 99597,20150627,   48,    0
 18631, 99597,20150628,   62,    0
 18631, 99597,20150629,   43,    0
 18631, 99597,20150630,   49,    0
 18631, 99597,20150701,   59,    0
 18631, 99597,20150702,   91,    0
 18631, 99597,20150703,   67,    0
 18631, 99597,20150704,   47,    0
 18631, 99597,20150705,-9999,    9
 18631, 99597,20150706,-9999,    9
 18631, 99597,20150707,-9999,    9
 18631, 99597,20150708,-9999,    9
 18631, 99597,20150709,-9999,    9
 18631, 99597,20150710,-9999,    9
 18631, 99597,20150711,-9999,    9
 18631, 99597,20150712,-9999,    9
 18631, 99597,20150713,-9999,    9
 18631, 99597,20150714,-9999,    9
 18631, 99597,20150715,-9999,    9
 18631, 99597,20150716,-9999,    9
 18631, 99597,20150717,-9999,    9
 18631, 99597,20150718,-9999,    9
 18631, 99597,20150719,-9999,    9
 18631, 99597,20150720,-9999,    9
 18631, 99597,20150721,-9999,    9
 18631, 99597,20150722,-9999,    9
 18631, 99597,20150723,-9999,    9
 18631, 99597,20150724,-9999,    9
 18631, 99597,20150725,-9999,    9
 18631, 99597,20150726,-9999,    9
 18631, 99597,20150727,-9999,    9
 18631, 99597,20150728,-9999,    9
 18631, 99597,20150729,-9999,    9
 18631, 99597,20150730,-9999,    9
 18631, 99597,20150731,-9999,    9
 18631, 99597,20150801,-9999,    9
 18631, 99597,20150802,-9999,    9
 18631, 99597,20150803,-9999,    9
 18631, 99597,20150804,   83,    0
 18631, 99597,20150805,  159,    0
 18631, 99597,20150806,  140,    0
 18631, 99597,20150807,  123,    0
 18631, 99597,20150808,  115,    0
 18631, 99597,20150809,  103,    0
 18631, 99597,20150810,  130,    0
 18631, 99597,20150811,  158,    0
 18631, 99597,20150812,  116,    0
 18631, 99597,20150813,   79,    0
 18631, 99597,20150814,   74,    0
 18631, 99597,20150815,  113,    0
 18631, 99597,20150816,  150,    0
 18631, 99597,20150817,  156,    0
 18631, 99597,20150818,-9999,    9
 18631, 99597,20150819,  164,    0
 18631, 99597,20150820,  163,    0
 18631, 99597,20150821,  154,    0
 18631, 99597,20150822,  170,    0
 18631, 99597,20150823,  157,    0
 18631, 99597,20150824,  103,    0
 18631, 99597,20150825,   94,    0
 18631, 99597,20150826,  108,    0
 18631, 99597,20150827,  118,    0
 18631, 99597,20150828,  117,    0
 18631, 99597,20150829,  106,    0
 18631, 99597,20150830,  131,    0
 18631, 99597,20150831,   92,    0
 18631, 99597,20150901,   53,    0
 18631, 99597,20150902,   51,    0
 18631, 99597,20150903,   61,    0
 18631, 99597,20150904,   50,    0
 18631, 99597,20150905,   58,    0
 18631, 99597,20150906,-9999,    9
 18631, 99597,20150907,-9999,    9
 18631, 99597,20150908,   68,    0
 18631, 99597,20150909,-9999,    9
 18631, 99597,20150910,-9999,    9
 18631, 99597,20150911,-9999,    9
 18631, 99597,20150912,-9999,    9
 18631, 99597,20150913,-9999,    9
 18631, 99597,20150914,-9999,    9
 18631, 99597,20150915,-9999,    9
 18631, 99597,20150916,-9999,    9
 18631, 99597,20150917,-9999,    9
 18631, 99597,20150918,-9999,    9
 18631, 99597,20150919,-9999,    9
 18631, 99597,20150920,-9999,    9
 18631, 99597,20150921,-9999,    9
 18631, 99597,20150922,-9999,    9
 18631, 99597,20150923,-9999,    9
 18631, 99597,20150924,-9999,    9
 18631, 99597,20150925,-9999,    9
 18631, 99597,20150926,-9999,    9
 18631, 99597,20150927,-9999,    9
 18631, 99597,20150928,-9999,    9
 18631, 99597,20150929,-9999,    9
 18631, 99597,20150930,-9999,    9
 18631, 99597,20151001,-9999,    9
 18631, 99597,20151002,-9999,    9
 18631, 99597,20151003,-9999,    9
 18631, 99597,20151004,-9999,    9
 18631, 99597,20151005,-9999,    9
 18631, 99597,20151006,-9999,    9
 18631, 99597,20151007,-9999,    9
 18631, 99597,20151008,-9999,    9
 18631, 99597,20151009,-9999,    9
 18631, 99597,20151010,-9999,    9
 18631, 99597,20151011,-9999,    9
 18631, 99597,20151012,-9999,    9
 18631, 99597,20151013,-9999,    9
 18631, 99597,20151014,-9999,    9
 18631, 99597,20151015,-9999,    9
 18631, 99597,20151016,-9999,    9
 18631, 99597,20151017,-9999,    9
 18631, 99597,20151018,-9999,    9
 18631, 99597,20151019,-9999,    9
 18631, 99597,20151020,-9999,    9
 18631, 99597,20151021,-9999,    9
 18631, 99597,20151022,-9999,    9
 18631, 99597,20151023,-9999,    9
 18631, 99597,20151024,-9999,    9
 18631, 99597,20151025,-9999,    9
 18631, 99597,20151026,-9999,    9
 18631, 99597,20151027,-9999,    9
 18631, 99597,20151028,-9999,    9
 18631, 99597,20151029,-9999,    9
 18631, 99597,20151030,-9999,    9
 18631, 99597,20151031,-9999,    9
 18631, 99597,20151101,-9999,    9
 18631, 99597,20151102,-9999,    9
 18631, 99597,20151103,-9999,    9
 18631, 99597,20151104,-9999,    9
 18631, 99597,20151105,-9999,    9
 18631, 99597,20151106,-9999,    9
 18631, 99597,20151107,-9999,    9
 18631, 99597,20151108,-9999,    9
 18631, 99597,20151109,-9999,    9
 18631, 99597,20151110,-9999,    9
 18631, 99597,20151111,-9999,    9
 18631, 99597,20151112,-9999,    9
 18631, 99597,20151113,-9999,    9
 18631, 99597,20151114,-9999,    9
 18631, 99597,20151115,-9999,    9
 18631, 99597,20151116,-9999,    9
 18631, 99597,20151117,-9999,    9
 18631, 99597,20151118,-9999,    9
 18631, 99597,20151119,-9999,    9
 18631, 99597,20151120,-9999,    9
 18631, 99597,20151121,-9999,    9
 18631, 99597,20151122,-9999,    9
 18631, 99597,20151123,-9999,    9
 18631, 99597,20151124,-9999,    9
 18631, 99597,20151125,-9999,    9
 18631, 99597,20151126,-9999,    9
 18631, 99597,20151127,-9999,    9
 18631, 99597,20151128,-9999,    9
 18631, 99597,20151129,-9999,    9
 18631, 99597,20151130,-9999,    9
 18631, 99597,20151201,-9999,    9
 18631, 99597,20151202,-9999,    9
 18631, 99597,20151203,-9999,    9
 18631, 99597,20151204,-9999,    9
 18631, 99597,20151205,-9999,    9
 18631, 99597,20151206,-9999,    9
 18631, 99597,20151207,-9999,    9
 18631, 99597,20151208,-9999,    9
 18631, 99597,20151209,-9999,    9
 18631, 99597,20151210,-9999,    9
 18631, 99597,20151211,-9999,    9
 18631, 99597,20151212,-9999,    9
 18631, 99597,20151213,-9999,    9
 18631, 99597,20151214,-9999,    9
 18631, 99597,20151215,-9999,    9
 18631, 99597,20151216,-9999,    9
 18631, 99597,20151217,-9999,    9
 18631, 99597,20151218,-9999,    9
 18631, 99597,20151219,-9999,    9
 18631, 99597,20151220,-9999,    9
 18631, 99597,20151221,-9999,    9
 18631, 99597,20151222,-9999,    9
 18631, 99597,20151223,-9999,    9
 18631, 99597,20151224,-9999,    9
 18631, 99597,20151225,-9999,    9
 18631, 99597,20151226,-9999,    9
 18631, 99597,20151227,-9999,    9
 18631, 99597,20151228,-9999,    9
 18631, 99597,20151229,-9999,    9
 18631, 99597,20151230,-9999,    9
 18631, 99597,20151231,-9999,    9
 18631, 99597,20160101,-9999,    9
 18631, 99597,20160102,-9999,    9
 18631, 99597,20160103,-9999,    9
 18631, 99597,20160104,-9999,    9
 18631, 99597,20160105,-9999,    9
 18631, 99597,20160106,-9999,    9
 18631, 99597,20160107,-9999,    9
 18631, 99597,20160108,-9999,    9
 18631, 99597,20160109,-9999,    9
 18631, 99597,20160110,-9999,    9
 18631, 99597,20160111,-9999,    9
 18631, 99597,20160112,-9999,    9
 18631, 99597,20160113,-9999,    9
 18631, 99597,20160114,-9999,    9
 18631, 99597,20160115,-9999,    9
 18631, 99597,20160116,-9999,    9
 18631, 99597,20160117,-9999,    9
 18631, 99597,20160118,-9999,    9
 18631, 99597,20160119,-9999,    9
 18631, 99597,20160120,-9999,    9
 18631, 99597,20160121,-9999,    9
 18631, 99597,20160122,-9999,    9
 18631, 99597,20160123,-9999,    9
 18631, 99597,20160124,-9999,    9
 18631, 99597,20160125,-9999,    9
 18631, 99597,20160126,-9999,    9
 18631, 99597,20160127,-9999,    9
 18631, 99597,20160128,-9999,    9
 18631, 99597,20160129,-9999,    9
