EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV848 FORNES, NORWAY (STAID: 18632)
Blended and updated with sources:99600 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18632, 99600,20140101,-9999,    9
 18632, 99600,20140102,-9999,    9
 18632, 99600,20140103,-9999,    9
 18632, 99600,20140104,-9999,    9
 18632, 99600,20140105,-9999,    9
 18632, 99600,20140106,-9999,    9
 18632, 99600,20140107,-9999,    9
 18632, 99600,20140108,-9999,    9
 18632, 99600,20140109,-9999,    9
 18632, 99600,20140110,-9999,    9
 18632, 99600,20140111,-9999,    9
 18632, 99600,20140112,-9999,    9
 18632, 99600,20140113,-9999,    9
 18632, 99600,20140114,-9999,    9
 18632, 99600,20140115,-9999,    9
 18632, 99600,20140116,-9999,    9
 18632, 99600,20140117,-9999,    9
 18632, 99600,20140118,-9999,    9
 18632, 99600,20140119,-9999,    9
 18632, 99600,20140120,-9999,    9
 18632, 99600,20140121,-9999,    9
 18632, 99600,20140122,-9999,    9
 18632, 99600,20140123,-9999,    9
 18632, 99600,20140124,-9999,    9
 18632, 99600,20140125,-9999,    9
 18632, 99600,20140126,  -79,    0
 18632, 99600,20140127,  -84,    0
 18632, 99600,20140128,  -54,    0
 18632, 99600,20140129,  -60,    0
 18632, 99600,20140130,-9999,    9
 18632, 99600,20140131,-9999,    9
 18632, 99600,20140201,  -72,    0
 18632, 99600,20140202,-9999,    9
 18632, 99600,20140203,-9999,    9
 18632, 99600,20140204,   43,    0
 18632, 99600,20140205,    0,    0
 18632, 99600,20140206,  -16,    0
 18632, 99600,20140207,  -12,    0
 18632, 99600,20140208,    1,    0
 18632, 99600,20140209,   23,    0
 18632, 99600,20140210,-9999,    9
 18632, 99600,20140211,   37,    0
 18632, 99600,20140212,   -6,    0
 18632, 99600,20140213,-9999,    9
 18632, 99600,20140214,-9999,    9
 18632, 99600,20140215,   11,    0
 18632, 99600,20140216,   13,    0
 18632, 99600,20140217,-9999,    9
 18632, 99600,20140218,    6,    0
 18632, 99600,20140219,-9999,    9
 18632, 99600,20140220,  -47,    0
 18632, 99600,20140221,  -48,    0
 18632, 99600,20140222,  -11,    0
 18632, 99600,20140223,-9999,    9
 18632, 99600,20140224,-9999,    9
 18632, 99600,20140225,   53,    0
 18632, 99600,20140226,   31,    0
 18632, 99600,20140227,   16,    0
 18632, 99600,20140228,   19,    0
 18632, 99600,20140301,    3,    0
 18632, 99600,20140302,   12,    0
 18632, 99600,20140303,   -5,    0
 18632, 99600,20140304,-9999,    9
 18632, 99600,20140305,-9999,    9
 18632, 99600,20140306,-9999,    9
 18632, 99600,20140307,-9999,    9
 18632, 99600,20140308,-9999,    9
 18632, 99600,20140309,   42,    0
 18632, 99600,20140310,   43,    0
 18632, 99600,20140311,-9999,    9
 18632, 99600,20140312,-9999,    9
 18632, 99600,20140313,-9999,    9
 18632, 99600,20140314,-9999,    9
 18632, 99600,20140315,  -12,    0
 18632, 99600,20140316,  -46,    0
 18632, 99600,20140317,  -71,    0
 18632, 99600,20140318,  -78,    0
 18632, 99600,20140319,-9999,    9
 18632, 99600,20140320,-9999,    9
 18632, 99600,20140321,-9999,    9
 18632, 99600,20140322,-9999,    9
 18632, 99600,20140323,-9999,    9
 18632, 99600,20140324,-9999,    9
 18632, 99600,20140325,-9999,    9
 18632, 99600,20140326,-9999,    9
 18632, 99600,20140327,-9999,    9
 18632, 99600,20140328,-9999,    9
 18632, 99600,20140329,-9999,    9
 18632, 99600,20140330,-9999,    9
 18632, 99600,20140331,-9999,    9
 18632, 99600,20140401,-9999,    9
 18632, 99600,20140402,-9999,    9
 18632, 99600,20140403,-9999,    9
 18632, 99600,20140404,-9999,    9
 18632, 99600,20140405,-9999,    9
 18632, 99600,20140406,-9999,    9
 18632, 99600,20140407,-9999,    9
 18632, 99600,20140408,-9999,    9
 18632, 99600,20140409,-9999,    9
 18632, 99600,20140410,-9999,    9
 18632, 99600,20140411,-9999,    9
 18632, 99600,20140412,-9999,    9
 18632, 99600,20140413,-9999,    9
 18632, 99600,20140414,-9999,    9
 18632, 99600,20140415,-9999,    9
 18632, 99600,20140416,-9999,    9
 18632, 99600,20140417,-9999,    9
 18632, 99600,20140418,-9999,    9
 18632, 99600,20140419,-9999,    9
 18632, 99600,20140420,-9999,    9
 18632, 99600,20140421,-9999,    9
 18632, 99600,20140422,-9999,    9
 18632, 99600,20140423,-9999,    9
 18632, 99600,20140424,-9999,    9
 18632, 99600,20140425,-9999,    9
 18632, 99600,20140426,-9999,    9
 18632, 99600,20140427,-9999,    9
 18632, 99600,20140428,-9999,    9
 18632, 99600,20140429,-9999,    9
 18632, 99600,20140430,-9999,    9
 18632, 99600,20140501,-9999,    9
 18632, 99600,20140502,-9999,    9
 18632, 99600,20140503,-9999,    9
 18632, 99600,20140504,-9999,    9
 18632, 99600,20140505,-9999,    9
 18632, 99600,20140506,-9999,    9
 18632, 99600,20140507,-9999,    9
 18632, 99600,20140508,-9999,    9
 18632, 99600,20140509,-9999,    9
 18632, 99600,20140510,-9999,    9
 18632, 99600,20140511,-9999,    9
 18632, 99600,20140512,-9999,    9
 18632, 99600,20140513,-9999,    9
 18632, 99600,20140514,-9999,    9
 18632, 99600,20140515,-9999,    9
 18632, 99600,20140516,-9999,    9
 18632, 99600,20140517,-9999,    9
 18632, 99600,20140518,-9999,    9
 18632, 99600,20140519,-9999,    9
 18632, 99600,20140520,-9999,    9
 18632, 99600,20140521,-9999,    9
 18632, 99600,20140522,-9999,    9
 18632, 99600,20140523,-9999,    9
 18632, 99600,20140524,-9999,    9
 18632, 99600,20140525,-9999,    9
 18632, 99600,20140526,-9999,    9
 18632, 99600,20140527,-9999,    9
 18632, 99600,20140528,-9999,    9
 18632, 99600,20140529,-9999,    9
 18632, 99600,20140530,-9999,    9
 18632, 99600,20140531,-9999,    9
 18632, 99600,20140601,-9999,    9
 18632, 99600,20140602,-9999,    9
 18632, 99600,20140603,-9999,    9
 18632, 99600,20140604,-9999,    9
 18632, 99600,20140605,-9999,    9
 18632, 99600,20140606,-9999,    9
 18632, 99600,20140607,-9999,    9
 18632, 99600,20140608,-9999,    9
 18632, 99600,20140609,-9999,    9
 18632, 99600,20140610,-9999,    9
 18632, 99600,20140611,-9999,    9
 18632, 99600,20140612,-9999,    9
 18632, 99600,20140613,-9999,    9
 18632, 99600,20140614,-9999,    9
 18632, 99600,20140615,-9999,    9
 18632, 99600,20140616,-9999,    9
 18632, 99600,20140617,-9999,    9
 18632, 99600,20140618,-9999,    9
 18632, 99600,20140619,-9999,    9
 18632, 99600,20140620,-9999,    9
 18632, 99600,20140621,-9999,    9
 18632, 99600,20140622,-9999,    9
 18632, 99600,20140623,-9999,    9
 18632, 99600,20140624,-9999,    9
 18632, 99600,20140625,-9999,    9
