EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV33 TONSASEN, NORWAY (STAID: 18642)
Blended and updated with sources:99618 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18642, 99618,20151101,-9999,    9
 18642, 99618,20151102,-9999,    9
 18642, 99618,20151103,-9999,    9
 18642, 99618,20151104,-9999,    9
 18642, 99618,20151105,-9999,    9
 18642, 99618,20151106,-9999,    9
 18642, 99618,20151107,-9999,    9
 18642, 99618,20151108,-9999,    9
 18642, 99618,20151109,-9999,    9
 18642, 99618,20151110,-9999,    9
 18642, 99618,20151111,-9999,    9
 18642, 99618,20151112,-9999,    9
 18642, 99618,20151113,-9999,    9
 18642, 99618,20151114,-9999,    9
 18642, 99618,20151115,-9999,    9
 18642, 99618,20151116,-9999,    9
 18642, 99618,20151117,-9999,    9
 18642, 99618,20151118,  -36,    0
 18642, 99618,20151119,  -48,    0
 18642, 99618,20151120,  -79,    0
 18642, 99618,20151121,-9999,    9
 18642, 99618,20151122,  -94,    0
 18642, 99618,20151123,  -47,    0
 18642, 99618,20151124,-9999,    9
 18642, 99618,20151125,  -53,    0
 18642, 99618,20151126,-9999,    9
 18642, 99618,20151127,   61,    0
 18642, 99618,20151128,  -16,    0
 18642, 99618,20151129,  -30,    0
 18642, 99618,20151130,  -47,    0
 18642, 99618,20151201,  -28,    0
 18642, 99618,20151202,  -31,    0
 18642, 99618,20151203,  -37,    0
 18642, 99618,20151204,  -34,    0
 18642, 99618,20151205,   17,    0
 18642, 99618,20151206,    8,    0
 18642, 99618,20151207,  -22,    0
 18642, 99618,20151208,   -6,    0
 18642, 99618,20151209,    6,    0
 18642, 99618,20151210,    8,    0
 18642, 99618,20151211,  -23,    0
 18642, 99618,20151212,  -25,    0
 18642, 99618,20151213,  -58,    0
 18642, 99618,20151214,  -86,    0
 18642, 99618,20151215,  -56,    0
 18642, 99618,20151216,-9999,    9
 18642, 99618,20151217,  -44,    0
 18642, 99618,20151218,   13,    0
 18642, 99618,20151219,   37,    0
 18642, 99618,20151220,-9999,    9
 18642, 99618,20151221,-9999,    9
 18642, 99618,20151222,-9999,    9
 18642, 99618,20151223,   -8,    0
 18642, 99618,20151224,   14,    0
 18642, 99618,20151225,   -6,    0
 18642, 99618,20151226,  -77,    0
 18642, 99618,20151227, -102,    0
 18642, 99618,20151228,  -93,    0
 18642, 99618,20151229,  -61,    0
 18642, 99618,20151230,  -27,    0
 18642, 99618,20151231,  -33,    0
 18642, 99618,20160101,-9999,    9
 18642, 99618,20160102,-9999,    9
 18642, 99618,20160103,-9999,    9
 18642, 99618,20160104,-9999,    9
 18642, 99618,20160105,-9999,    9
