EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV660 VISTDALSHEIA, NORWAY (STAID: 18644)
Blended and updated with sources:99620 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18644, 99620,20151101,-9999,    9
 18644, 99620,20151102,-9999,    9
 18644, 99620,20151103,-9999,    9
 18644, 99620,20151104,-9999,    9
 18644, 99620,20151105,-9999,    9
 18644, 99620,20151106,-9999,    9
 18644, 99620,20151107,-9999,    9
 18644, 99620,20151108,-9999,    9
 18644, 99620,20151109,-9999,    9
 18644, 99620,20151110,-9999,    9
 18644, 99620,20151111,-9999,    9
 18644, 99620,20151112,-9999,    9
 18644, 99620,20151113,-9999,    9
 18644, 99620,20151114,-9999,    9
 18644, 99620,20151115,-9999,    9
 18644, 99620,20151116,-9999,    9
 18644, 99620,20151117,-9999,    9
 18644, 99620,20151118,   -4,    0
 18644, 99620,20151119,  -25,    0
 18644, 99620,20151120,  -24,    0
 18644, 99620,20151121,-9999,    9
 18644, 99620,20151122,  -20,    0
 18644, 99620,20151123,   29,    0
 18644, 99620,20151124,   34,    0
 18644, 99620,20151125,   10,    0
 18644, 99620,20151126,   37,    0
 18644, 99620,20151127,   57,    0
 18644, 99620,20151128,-9999,    9
 18644, 99620,20151129,   14,    0
 18644, 99620,20151130,   -5,    0
 18644, 99620,20151201,    0,    0
 18644, 99620,20151202,   31,    0
 18644, 99620,20151203,-9999,    9
 18644, 99620,20151204,-9999,    9
 18644, 99620,20151205,   25,    0
 18644, 99620,20151206,-9999,    9
 18644, 99620,20151207,    4,    0
 18644, 99620,20151208,-9999,    9
 18644, 99620,20151209,   39,    0
 18644, 99620,20151210,   28,    0
 18644, 99620,20151211,   13,    0
 18644, 99620,20151212,   -5,    0
 18644, 99620,20151213,  -22,    0
 18644, 99620,20151214,  -10,    0
 18644, 99620,20151215,   10,    0
 18644, 99620,20151216,  -22,    0
 18644, 99620,20151217,   58,    0
 18644, 99620,20151218,   54,    0
 18644, 99620,20151219,   57,    0
