EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E6 KIRKENES SYD, NORWAY (STAID: 18645)
Blended and updated with sources:99621 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18645, 99621,20150401,-9999,    9
 18645, 99621,20150402,-9999,    9
 18645, 99621,20150403,-9999,    9
 18645, 99621,20150404,-9999,    9
 18645, 99621,20150405,-9999,    9
 18645, 99621,20150406,-9999,    9
 18645, 99621,20150407,-9999,    9
 18645, 99621,20150408,-9999,    9
 18645, 99621,20150409,-9999,    9
 18645, 99621,20150410,-9999,    9
 18645, 99621,20150411,-9999,    9
 18645, 99621,20150412,-9999,    9
 18645, 99621,20150413,-9999,    9
 18645, 99621,20150414,-9999,    9
 18645, 99621,20150415,-9999,    9
 18645, 99621,20150416,   11,    0
 18645, 99621,20150417,   21,    0
 18645, 99621,20150418,   35,    0
 18645, 99621,20150419,   33,    0
 18645, 99621,20150420,   19,    0
 18645, 99621,20150421,   38,    0
 18645, 99621,20150422,-9999,    9
 18645, 99621,20150423,-9999,    9
 18645, 99621,20150424,  -11,    0
 18645, 99621,20150425,    4,    0
 18645, 99621,20150426,-9999,    9
 18645, 99621,20150427,-9999,    9
 18645, 99621,20150428,  -14,    0
 18645, 99621,20150429,  -14,    0
 18645, 99621,20150430,    1,    0
 18645, 99621,20150501,-9999,    9
 18645, 99621,20150502,-9999,    9
 18645, 99621,20150503,    5,    0
 18645, 99621,20150504,-9999,    9
 18645, 99621,20150505,-9999,    9
 18645, 99621,20150506,-9999,    9
 18645, 99621,20150507,   95,    0
 18645, 99621,20150508,  103,    0
 18645, 99621,20150509,   91,    0
 18645, 99621,20150510,   50,    0
 18645, 99621,20150511,   67,    0
 18645, 99621,20150512,   61,    0
 18645, 99621,20150513,   50,    0
 18645, 99621,20150514,   20,    0
 18645, 99621,20150515,-9999,    9
 18645, 99621,20150516,   20,    0
 18645, 99621,20150517,-9999,    9
 18645, 99621,20150518,   32,    0
 18645, 99621,20150519,   63,    0
 18645, 99621,20150520,   90,    0
 18645, 99621,20150521,   77,    0
 18645, 99621,20150522,  100,    0
 18645, 99621,20150523,   87,    0
 18645, 99621,20150524,   49,    0
 18645, 99621,20150525,   44,    0
 18645, 99621,20150526,-9999,    9
 18645, 99621,20150527,-9999,    9
 18645, 99621,20150528,-9999,    9
 18645, 99621,20150529,-9999,    9
 18645, 99621,20150530,-9999,    9
 18645, 99621,20150531,-9999,    9
 18645, 99621,20150601,-9999,    9
 18645, 99621,20150602,-9999,    9
 18645, 99621,20150603,-9999,    9
 18645, 99621,20150604,-9999,    9
 18645, 99621,20150605,-9999,    9
 18645, 99621,20150606,-9999,    9
