EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E8 GALGO, NORWAY (STAID: 18650)
Blended and updated with sources:99388 99627 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18650, 99388,20091101,-9999,    9
 18650, 99388,20091102,-9999,    9
 18650, 99388,20091103,-9999,    9
 18650, 99388,20091104,-9999,    9
 18650, 99388,20091105,-9999,    9
 18650, 99388,20091106,-9999,    9
 18650, 99388,20091107,-9999,    9
 18650, 99388,20091108,-9999,    9
 18650, 99388,20091109,-9999,    9
 18650, 99388,20091110,-9999,    9
 18650, 99388,20091111,-9999,    9
 18650, 99388,20091112,-9999,    9
 18650, 99388,20091113,-9999,    9
 18650, 99388,20091114,-9999,    9
 18650, 99388,20091115,-9999,    9
 18650, 99388,20091116,-9999,    9
 18650, 99388,20091117,-9999,    9
 18650, 99388,20091118,-9999,    9
 18650, 99388,20091119,-9999,    9
 18650, 99388,20091120,-9999,    9
 18650, 99388,20091121,-9999,    9
 18650, 99388,20091122,-9999,    9
 18650, 99388,20091123,-9999,    9
 18650, 99388,20091124,-9999,    9
 18650, 99388,20091125,-9999,    9
 18650, 99388,20091126,  -17,    0
 18650, 99388,20091127,   -5,    0
 18650, 99388,20091128,  -25,    0
 18650, 99388,20091129,  -75,    0
 18650, 99388,20091130,  -98,    0
 18650, 99388,20091201,-9999,    9
 18650, 99388,20091202,   -9,    0
 18650, 99388,20091203,  -51,    0
 18650, 99388,20091204,  -64,    0
 18650, 99388,20091205,  -75,    0
 18650, 99388,20091206,  -58,    0
 18650, 99388,20091207,  -30,    0
 18650, 99388,20091208,  -74,    0
 18650, 99388,20091209,  -70,    0
 18650, 99388,20091210,  -89,    0
 18650, 99388,20091211,  -38,    0
