EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E39 REGEVIK, NORWAY (STAID: 18660)
Blended and updated with sources:99644 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18660, 99644,20130101,-9999,    9
 18660, 99644,20130102,-9999,    9
 18660, 99644,20130103,-9999,    9
 18660, 99644,20130104,   73,    0
 18660, 99644,20130105,   52,    0
 18660, 99644,20130106,   40,    0
 18660, 99644,20130107,   16,    0
 18660, 99644,20130108,    8,    0
 18660, 99644,20130109,    7,    0
 18660, 99644,20130110,  -32,    0
 18660, 99644,20130111,  -51,    0
 18660, 99644,20130112,  -79,    0
 18660, 99644,20130113,  -78,    0
 18660, 99644,20130114,  -52,    0
 18660, 99644,20130115,  -56,    0
 18660, 99644,20130116,  -70,    0
 18660, 99644,20130117,  -66,    0
 18660, 99644,20130118,  -49,    0
 18660, 99644,20130119,-9999,    9
 18660, 99644,20130120,-9999,    9
 18660, 99644,20130121,-9999,    9
 18660, 99644,20130122,  -63,    0
 18660, 99644,20130123,-9999,    9
 18660, 99644,20130124,-9999,    9
 18660, 99644,20130125,  -49,    0
 18660, 99644,20130126,-9999,    9
 18660, 99644,20130127,-9999,    9
 18660, 99644,20130128,-9999,    9
 18660, 99644,20130129,   27,    0
 18660, 99644,20130130,-9999,    9
 18660, 99644,20130131,   20,    0
 18660, 99644,20130201,-9999,    9
 18660, 99644,20130202,-9999,    9
 18660, 99644,20130203,-9999,    9
 18660, 99644,20130204,-9999,    9
 18660, 99644,20130205,-9999,    9
 18660, 99644,20130206,-9999,    9
 18660, 99644,20130207,-9999,    9
 18660, 99644,20130208,-9999,    9
 18660, 99644,20130209,-9999,    9
 18660, 99644,20130210,-9999,    9
 18660, 99644,20130211,-9999,    9
 18660, 99644,20130212,-9999,    9
 18660, 99644,20130213,-9999,    9
 18660, 99644,20130214,-9999,    9
 18660, 99644,20130215,-9999,    9
 18660, 99644,20130216,-9999,    9
 18660, 99644,20130217,-9999,    9
 18660, 99644,20130218,-9999,    9
 18660, 99644,20130219,-9999,    9
 18660, 99644,20130220,-9999,    9
 18660, 99644,20130221,-9999,    9
 18660, 99644,20130222,-9999,    9
 18660, 99644,20130223,-9999,    9
 18660, 99644,20130224,-9999,    9
 18660, 99644,20130225,-9999,    9
 18660, 99644,20130226,-9999,    9
 18660, 99644,20130227,   14,    0
 18660, 99644,20130228,-9999,    9
 18660, 99644,20130301,   17,    0
 18660, 99644,20130302,   31,    0
 18660, 99644,20130303,-9999,    9
 18660, 99644,20130304,-9999,    9
 18660, 99644,20130305,-9999,    9
 18660, 99644,20130306,-9999,    9
 18660, 99644,20130307,   22,    0
 18660, 99644,20130308,    0,    0
 18660, 99644,20130309,  -23,    0
 18660, 99644,20130310,  -52,    0
 18660, 99644,20130311,  -49,    0
 18660, 99644,20130312,-9999,    9
 18660, 99644,20130313,-9999,    9
 18660, 99644,20130314,-9999,    9
 18660, 99644,20130315,-9999,    9
 18660, 99644,20130316,-9999,    9
 18660, 99644,20130317,-9999,    9
 18660, 99644,20130318,-9999,    9
 18660, 99644,20130319,-9999,    9
 18660, 99644,20130320,  -48,    0
 18660, 99644,20130321,-9999,    9
 18660, 99644,20130322,-9999,    9
 18660, 99644,20130323,-9999,    9
 18660, 99644,20130324,-9999,    9
 18660, 99644,20130325,-9999,    9
 18660, 99644,20130326,-9999,    9
 18660, 99644,20130327,-9999,    9
 18660, 99644,20130328,-9999,    9
 18660, 99644,20130329,-9999,    9
 18660, 99644,20130330,-9999,    9
 18660, 99644,20130331,-9999,    9
 18660, 99644,20130401,-9999,    9
 18660, 99644,20130402,-9999,    9
 18660, 99644,20130403,-9999,    9
 18660, 99644,20130404,-9999,    9
 18660, 99644,20130405,-9999,    9
 18660, 99644,20130406,-9999,    9
