EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E18 LANNER, NORWAY (STAID: 18662)
Blended and updated with sources:99646 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18662, 99646,20130101,-9999,    9
 18662, 99646,20130102,-9999,    9
 18662, 99646,20130103,-9999,    9
 18662, 99646,20130104,   -3,    0
 18662, 99646,20130105,  -15,    0
 18662, 99646,20130106,  -20,    0
 18662, 99646,20130107,   -6,    0
 18662, 99646,20130108,  -26,    0
 18662, 99646,20130109,  -16,    0
 18662, 99646,20130110,  -10,    0
 18662, 99646,20130111,  -42,    0
 18662, 99646,20130112, -102,    0
 18662, 99646,20130113,  -91,    0
 18662, 99646,20130114,  -83,    0
 18662, 99646,20130115,  -71,    0
 18662, 99646,20130116,  -79,    0
 18662, 99646,20130117,  -69,    0
 18662, 99646,20130118,  -74,    0
 18662, 99646,20130119,-9999,    9
 18662, 99646,20130120,-9999,    9
 18662, 99646,20130121,-9999,    9
 18662, 99646,20130122, -125,    0
 18662, 99646,20130123,-9999,    9
 18662, 99646,20130124,-9999,    9
 18662, 99646,20130125, -104,    0
 18662, 99646,20130126,-9999,    9
 18662, 99646,20130127,-9999,    9
 18662, 99646,20130128,-9999,    9
 18662, 99646,20130129,-9999,    9
 18662, 99646,20130130,-9999,    9
 18662, 99646,20130131,-9999,    9
 18662, 99646,20130201,-9999,    9
 18662, 99646,20130202,-9999,    9
 18662, 99646,20130203,-9999,    9
 18662, 99646,20130204,-9999,    9
 18662, 99646,20130205,-9999,    9
 18662, 99646,20130206,-9999,    9
 18662, 99646,20130207,-9999,    9
 18662, 99646,20130208,-9999,    9
 18662, 99646,20130209,  -81,    0
 18662, 99646,20130210,-9999,    9
 18662, 99646,20130211,-9999,    9
 18662, 99646,20130212,  -48,    0
 18662, 99646,20130213,  -51,    0
 18662, 99646,20130214,-9999,    9
 18662, 99646,20130215,-9999,    9
 18662, 99646,20130216,-9999,    9
 18662, 99646,20130217,-9999,    9
 18662, 99646,20130218,    5,    0
 18662, 99646,20130219,  -25,    0
 18662, 99646,20130220,-9999,    9
 18662, 99646,20130221,  -99,    0
 18662, 99646,20130222,  -52,    0
 18662, 99646,20130223,-9999,    9
 18662, 99646,20130224,-9999,    9
 18662, 99646,20130225,-9999,    9
 18662, 99646,20130226,-9999,    9
 18662, 99646,20130227,  -40,    0
 18662, 99646,20130228,-9999,    9
 18662, 99646,20130301,    6,    0
 18662, 99646,20130302,   22,    0
 18662, 99646,20130303,-9999,    9
 18662, 99646,20130304,-9999,    9
 18662, 99646,20130305,-9999,    9
 18662, 99646,20130306,-9999,    9
 18662, 99646,20130307,   -4,    0
 18662, 99646,20130308,  -19,    0
 18662, 99646,20130309,  -44,    0
 18662, 99646,20130310,  -71,    0
 18662, 99646,20130311,  -75,    0
 18662, 99646,20130312,-9999,    9
 18662, 99646,20130313,-9999,    9
 18662, 99646,20130314,-9999,    9
 18662, 99646,20130315,-9999,    9
 18662, 99646,20130316,-9999,    9
 18662, 99646,20130317,-9999,    9
 18662, 99646,20130318,-9999,    9
 18662, 99646,20130319,-9999,    9
 18662, 99646,20130320,  -60,    0
 18662, 99646,20130321,-9999,    9
 18662, 99646,20130322,-9999,    9
 18662, 99646,20130323,-9999,    9
 18662, 99646,20130324,-9999,    9
 18662, 99646,20130325,-9999,    9
 18662, 99646,20130326,-9999,    9
 18662, 99646,20130327,-9999,    9
 18662, 99646,20130328,-9999,    9
 18662, 99646,20130329,-9999,    9
 18662, 99646,20130330,-9999,    9
 18662, 99646,20130331,-9999,    9
 18662, 99646,20130401,-9999,    9
 18662, 99646,20130402,-9999,    9
 18662, 99646,20130403,-9999,    9
 18662, 99646,20130404,-9999,    9
 18662, 99646,20130405,-9999,    9
 18662, 99646,20130406,-9999,    9
 18662, 99646,20130407,-9999,    9
 18662, 99646,20130408,-9999,    9
 18662, 99646,20130409,-9999,    9
 18662, 99646,20130410,-9999,    9
 18662, 99646,20130411,   -8,    0
 18662, 99646,20130412,    4,    0
 18662, 99646,20130413,   21,    0
 18662, 99646,20130414,-9999,    9
 18662, 99646,20130415,-9999,    9
 18662, 99646,20130416,-9999,    9
 18662, 99646,20130417,   56,    0
 18662, 99646,20130418,-9999,    9
 18662, 99646,20130419,-9999,    9
 18662, 99646,20130420,-9999,    9
 18662, 99646,20130421,-9999,    9
 18662, 99646,20130422,-9999,    9
 18662, 99646,20130423,-9999,    9
 18662, 99646,20130424,   56,    0
 18662, 99646,20130425,   57,    0
 18662, 99646,20130426,   57,    0
 18662, 99646,20130427,-9999,    9
 18662, 99646,20130428,-9999,    9
 18662, 99646,20130429,-9999,    9
 18662, 99646,20130430,   66,    0
 18662, 99646,20130501,   42,    0
 18662, 99646,20130502,-9999,    9
 18662, 99646,20130503,-9999,    9
 18662, 99646,20130504,   55,    0
 18662, 99646,20130505,   71,    0
 18662, 99646,20130506,-9999,    9
 18662, 99646,20130507,-9999,    9
 18662, 99646,20130508,-9999,    9
 18662, 99646,20130509,   93,    0
 18662, 99646,20130510,-9999,    9
 18662, 99646,20130511,   73,    0
 18662, 99646,20130512,   75,    0
 18662, 99646,20130513,   57,    0
 18662, 99646,20130514,-9999,    9
 18662, 99646,20130515,   71,    0
 18662, 99646,20130516,   99,    0
 18662, 99646,20130517,-9999,    9
 18662, 99646,20130518,-9999,    9
 18662, 99646,20130519,-9999,    9
 18662, 99646,20130520,-9999,    9
 18662, 99646,20130521,-9999,    9
 18662, 99646,20130522,-9999,    9
 18662, 99646,20130523,   82,    0
 18662, 99646,20130524,   97,    0
 18662, 99646,20130525,-9999,    9
 18662, 99646,20130526,-9999,    9
 18662, 99646,20130527,-9999,    9
 18662, 99646,20130528,-9999,    9
 18662, 99646,20130529,  134,    0
 18662, 99646,20130530,-9999,    9
 18662, 99646,20130531,-9999,    9
 18662, 99646,20130601,  161,    0
 18662, 99646,20130602,  150,    0
 18662, 99646,20130603,  140,    0
 18662, 99646,20130604,-9999,    9
 18662, 99646,20130605,  110,    0
 18662, 99646,20130606,-9999,    9
 18662, 99646,20130607,  128,    0
 18662, 99646,20130608,  131,    0
 18662, 99646,20130609,-9999,    9
 18662, 99646,20130610,-9999,    9
 18662, 99646,20130611,-9999,    9
 18662, 99646,20130612,-9999,    9
 18662, 99646,20130613,  124,    0
 18662, 99646,20130614,  141,    0
 18662, 99646,20130615,-9999,    9
 18662, 99646,20130616,   99,    0
 18662, 99646,20130617,  137,    0
 18662, 99646,20130618,-9999,    9
 18662, 99646,20130619,-9999,    9
 18662, 99646,20130620,-9999,    9
 18662, 99646,20130621,-9999,    9
 18662, 99646,20130622,-9999,    9
 18662, 99646,20130623,-9999,    9
 18662, 99646,20130624,-9999,    9
 18662, 99646,20130625,-9999,    9
 18662, 99646,20130626,-9999,    9
 18662, 99646,20130627,-9999,    9
 18662, 99646,20130628,-9999,    9
 18662, 99646,20130629,-9999,    9
 18662, 99646,20130630,-9999,    9
 18662, 99646,20130701,-9999,    9
 18662, 99646,20130702,-9999,    9
 18662, 99646,20130703,-9999,    9
 18662, 99646,20130704,-9999,    9
 18662, 99646,20130705,-9999,    9
 18662, 99646,20130706,-9999,    9
 18662, 99646,20130707,-9999,    9
 18662, 99646,20130708,-9999,    9
 18662, 99646,20130709,-9999,    9
 18662, 99646,20130710,-9999,    9
 18662, 99646,20130711,-9999,    9
 18662, 99646,20130712,-9999,    9
 18662, 99646,20130713,-9999,    9
 18662, 99646,20130714,-9999,    9
 18662, 99646,20130715,-9999,    9
 18662, 99646,20130716,-9999,    9
 18662, 99646,20130717,-9999,    9
 18662, 99646,20130718,-9999,    9
 18662, 99646,20130719,-9999,    9
 18662, 99646,20130720,-9999,    9
 18662, 99646,20130721,-9999,    9
 18662, 99646,20130722,-9999,    9
 18662, 99646,20130723,-9999,    9
 18662, 99646,20130724,-9999,    9
 18662, 99646,20130725,-9999,    9
 18662, 99646,20130726,-9999,    9
 18662, 99646,20130727,-9999,    9
 18662, 99646,20130728,-9999,    9
 18662, 99646,20130729,-9999,    9
 18662, 99646,20130730,-9999,    9
 18662, 99646,20130731,-9999,    9
 18662, 99646,20130801,-9999,    9
 18662, 99646,20130802,-9999,    9
 18662, 99646,20130803,-9999,    9
 18662, 99646,20130804,-9999,    9
 18662, 99646,20130805,-9999,    9
 18662, 99646,20130806,-9999,    9
 18662, 99646,20130807,-9999,    9
 18662, 99646,20130808,-9999,    9
 18662, 99646,20130809,-9999,    9
 18662, 99646,20130810,-9999,    9
 18662, 99646,20130811,-9999,    9
 18662, 99646,20130812,-9999,    9
 18662, 99646,20130813,-9999,    9
 18662, 99646,20130814,-9999,    9
 18662, 99646,20130815,-9999,    9
 18662, 99646,20130816,-9999,    9
 18662, 99646,20130817,-9999,    9
 18662, 99646,20130818,-9999,    9
 18662, 99646,20130819,-9999,    9
 18662, 99646,20130820,-9999,    9
 18662, 99646,20130821,-9999,    9
 18662, 99646,20130822,-9999,    9
 18662, 99646,20130823,-9999,    9
 18662, 99646,20130824,-9999,    9
 18662, 99646,20130825,-9999,    9
 18662, 99646,20130826,-9999,    9
 18662, 99646,20130827,-9999,    9
 18662, 99646,20130828,-9999,    9
 18662, 99646,20130829,-9999,    9
 18662, 99646,20130830,-9999,    9
 18662, 99646,20130831,-9999,    9
 18662, 99646,20130901,-9999,    9
 18662, 99646,20130902,-9999,    9
 18662, 99646,20130903,-9999,    9
 18662, 99646,20130904,-9999,    9
 18662, 99646,20130905,-9999,    9
 18662, 99646,20130906,-9999,    9
 18662, 99646,20130907,-9999,    9
 18662, 99646,20130908,-9999,    9
 18662, 99646,20130909,-9999,    9
 18662, 99646,20130910,-9999,    9
 18662, 99646,20130911,-9999,    9
 18662, 99646,20130912,-9999,    9
 18662, 99646,20130913,-9999,    9
 18662, 99646,20130914,-9999,    9
 18662, 99646,20130915,-9999,    9
 18662, 99646,20130916,-9999,    9
 18662, 99646,20130917,-9999,    9
 18662, 99646,20130918,   88,    0
 18662, 99646,20130919,-9999,    9
 18662, 99646,20130920,-9999,    9
 18662, 99646,20130921,-9999,    9
 18662, 99646,20130922,-9999,    9
 18662, 99646,20130923,-9999,    9
 18662, 99646,20130924,-9999,    9
 18662, 99646,20130925,   66,    0
 18662, 99646,20130926,-9999,    9
 18662, 99646,20130927,-9999,    9
 18662, 99646,20130928,-9999,    9
 18662, 99646,20130929,-9999,    9
 18662, 99646,20130930,-9999,    9
 18662, 99646,20131001,-9999,    9
 18662, 99646,20131002,-9999,    9
 18662, 99646,20131003,-9999,    9
 18662, 99646,20131004,   85,    0
 18662, 99646,20131005,   93,    0
 18662, 99646,20131006,   90,    0
 18662, 99646,20131007,  122,    0
 18662, 99646,20131008,  131,    0
