EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV770 ROERVIK, NORWAY (STAID: 18667)
Blended and updated with sources:99659 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18667, 99659,20150901,-9999,    9
 18667, 99659,20150902,-9999,    9
 18667, 99659,20150903,-9999,    9
 18667, 99659,20150904,-9999,    9
 18667, 99659,20150905,-9999,    9
 18667, 99659,20150906,-9999,    9
 18667, 99659,20150907,-9999,    9
 18667, 99659,20150908,-9999,    9
 18667, 99659,20150909,-9999,    9
 18667, 99659,20150910,-9999,    9
 18667, 99659,20150911,-9999,    9
 18667, 99659,20150912,  157,    0
 18667, 99659,20150913,  162,    0
 18667, 99659,20150914,  162,    0
 18667, 99659,20150915,  163,    0
 18667, 99659,20150916,  142,    0
 18667, 99659,20150917,  125,    0
 18667, 99659,20150918,  131,    0
 18667, 99659,20150919,  109,    0
 18667, 99659,20150920,   99,    0
 18667, 99659,20150921,  108,    0
 18667, 99659,20150922,  116,    0
 18667, 99659,20150923,  117,    0
 18667, 99659,20150924,  143,    0
 18667, 99659,20150925,  113,    0
 18667, 99659,20150926,  105,    0
 18667, 99659,20150927,   99,    0
 18667, 99659,20150928,  106,    0
 18667, 99659,20150929,  126,    0
 18667, 99659,20150930,  109,    0
 18667, 99659,20151001,  102,    0
 18667, 99659,20151002,   91,    0
 18667, 99659,20151003,-9999,    9
 18667, 99659,20151004,   82,    0
 18667, 99659,20151005,   61,    0
 18667, 99659,20151006,-9999,    9
 18667, 99659,20151007,-9999,    9
 18667, 99659,20151008,   80,    0
 18667, 99659,20151009,   77,    0
 18667, 99659,20151010,   88,    0
 18667, 99659,20151011,   90,    0
 18667, 99659,20151012,   62,    0
 18667, 99659,20151013,   88,    0
 18667, 99659,20151014,   92,    0
 18667, 99659,20151015,   99,    0
 18667, 99659,20151016,   94,    0
 18667, 99659,20151017,   91,    0
 18667, 99659,20151018,   77,    0
 18667, 99659,20151019,   74,    0
 18667, 99659,20151020,   75,    0
 18667, 99659,20151021,   78,    0
 18667, 99659,20151022,-9999,    9
 18667, 99659,20151023,-9999,    9
 18667, 99659,20151024,-9999,    9
 18667, 99659,20151025,-9999,    9
 18667, 99659,20151026,-9999,    9
 18667, 99659,20151027,-9999,    9
 18667, 99659,20151028,-9999,    9
 18667, 99659,20151029,-9999,    9
 18667, 99659,20151030,-9999,    9
 18667, 99659,20151031,-9999,    9
 18667, 99659,20151101,-9999,    9
 18667, 99659,20151102,-9999,    9
 18667, 99659,20151103,-9999,    9
 18667, 99659,20151104,-9999,    9
 18667, 99659,20151105,-9999,    9
 18667, 99659,20151106,-9999,    9
 18667, 99659,20151107,-9999,    9
 18667, 99659,20151108,-9999,    9
 18667, 99659,20151109,-9999,    9
 18667, 99659,20151110,-9999,    9
 18667, 99659,20151111,-9999,    9
 18667, 99659,20151112,-9999,    9
 18667, 99659,20151113,-9999,    9
 18667, 99659,20151114,-9999,    9
 18667, 99659,20151115,-9999,    9
 18667, 99659,20151116,-9999,    9
 18667, 99659,20151117,-9999,    9
 18667, 99659,20151118,-9999,    9
 18667, 99659,20151119,    3,    0
 18667, 99659,20151120,   -4,    0
 18667, 99659,20151121,-9999,    9
