EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV72 INNSMOEN, NORWAY (STAID: 18683)
Blended and updated with sources:99686 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18683, 99686,20140101,  -14,    0
 18683, 99686,20140102,    4,    0
 18683, 99686,20140103,    8,    0
 18683, 99686,20140104,    6,    0
 18683, 99686,20140105,   -8,    0
 18683, 99686,20140106,    0,    0
 18683, 99686,20140107,   12,    0
 18683, 99686,20140108,-9999,    9
 18683, 99686,20140109,  -63,    0
 18683, 99686,20140110, -122,    0
 18683, 99686,20140111, -159,    0
 18683, 99686,20140112, -203,    0
 18683, 99686,20140113, -175,    0
 18683, 99686,20140114, -134,    0
 18683, 99686,20140115, -142,    0
 18683, 99686,20140116, -107,    0
 18683, 99686,20140117, -119,    0
 18683, 99686,20140118, -120,    0
 18683, 99686,20140119, -104,    0
 18683, 99686,20140120, -137,    0
 18683, 99686,20140121, -169,    0
 18683, 99686,20140122,-9999,    9
 18683, 99686,20140123, -153,    0
 18683, 99686,20140124, -151,    0
 18683, 99686,20140125,  -77,    0
 18683, 99686,20140126,  -88,    0
 18683, 99686,20140127,  -82,    0
 18683, 99686,20140128,  -75,    0
 18683, 99686,20140129,  -73,    0
 18683, 99686,20140130,-9999,    9
 18683, 99686,20140131,-9999,    9
 18683, 99686,20140201,-9999,    9
 18683, 99686,20140202,-9999,    9
 18683, 99686,20140203,-9999,    9
 18683, 99686,20140204,  -48,    0
 18683, 99686,20140205,-9999,    9
 18683, 99686,20140206,-9999,    9
 18683, 99686,20140207,  -31,    0
 18683, 99686,20140208,  -27,    0
 18683, 99686,20140209,   -5,    0
 18683, 99686,20140210,-9999,    9
 18683, 99686,20140211,  -28,    0
 18683, 99686,20140212,  -33,    0
 18683, 99686,20140213,-9999,    9
 18683, 99686,20140214,-9999,    9
 18683, 99686,20140215,-9999,    9
 18683, 99686,20140216,    7,    0
 18683, 99686,20140217,-9999,    9
 18683, 99686,20140218,-9999,    9
 18683, 99686,20140219,-9999,    9
 18683, 99686,20140220,  -56,    0
 18683, 99686,20140221,  -54,    0
 18683, 99686,20140222,  -30,    0
 18683, 99686,20140223,   39,    0
 18683, 99686,20140224,   59,    0
 18683, 99686,20140225,   29,    0
 18683, 99686,20140226,    3,    0
 18683, 99686,20140227,   15,    0
 18683, 99686,20140228,-9999,    9
 18683, 99686,20140301,   -4,    0
 18683, 99686,20140302,   -7,    0
 18683, 99686,20140303,-9999,    9
 18683, 99686,20140304,  -10,    0
 18683, 99686,20140305,   26,    0
 18683, 99686,20140306,   36,    0
 18683, 99686,20140307,-9999,    9
 18683, 99686,20140308,-9999,    9
 18683, 99686,20140309,   38,    0
 18683, 99686,20140310,    4,    0
 18683, 99686,20140311,-9999,    9
 18683, 99686,20140312,-9999,    9
 18683, 99686,20140313,-9999,    9
 18683, 99686,20140314,-9999,    9
 18683, 99686,20140315,  -45,    0
 18683, 99686,20140316,-9999,    9
 18683, 99686,20140317,  -45,    0
 18683, 99686,20140318,  -90,    0
 18683, 99686,20140319,-9999,    9
 18683, 99686,20140320,-9999,    9
 18683, 99686,20140321,-9999,    9
 18683, 99686,20140322,-9999,    9
 18683, 99686,20140323,-9999,    9
 18683, 99686,20140324,-9999,    9
 18683, 99686,20140325,-9999,    9
 18683, 99686,20140326,-9999,    9
 18683, 99686,20140327,-9999,    9
 18683, 99686,20140328,-9999,    9
 18683, 99686,20140329,-9999,    9
 18683, 99686,20140330,-9999,    9
 18683, 99686,20140331,-9999,    9
 18683, 99686,20140401,-9999,    9
 18683, 99686,20140402,-9999,    9
 18683, 99686,20140403,-9999,    9
 18683, 99686,20140404,-9999,    9
 18683, 99686,20140405,-9999,    9
 18683, 99686,20140406,-9999,    9
 18683, 99686,20140407,-9999,    9
 18683, 99686,20140408,-9999,    9
 18683, 99686,20140409,-9999,    9
 18683, 99686,20140410,-9999,    9
 18683, 99686,20140411,-9999,    9
 18683, 99686,20140412,-9999,    9
 18683, 99686,20140413,-9999,    9
 18683, 99686,20140414,-9999,    9
 18683, 99686,20140415,-9999,    9
 18683, 99686,20140416,-9999,    9
 18683, 99686,20140417,-9999,    9
 18683, 99686,20140418,-9999,    9
 18683, 99686,20140419,-9999,    9
 18683, 99686,20140420,-9999,    9
 18683, 99686,20140421,-9999,    9
 18683, 99686,20140422,-9999,    9
 18683, 99686,20140423,-9999,    9
 18683, 99686,20140424,-9999,    9
 18683, 99686,20140425,-9999,    9
 18683, 99686,20140426,-9999,    9
 18683, 99686,20140427,-9999,    9
 18683, 99686,20140428,-9999,    9
 18683, 99686,20140429,-9999,    9
 18683, 99686,20140430,-9999,    9
 18683, 99686,20140501,-9999,    9
 18683, 99686,20140502,-9999,    9
 18683, 99686,20140503,-9999,    9
 18683, 99686,20140504,-9999,    9
 18683, 99686,20140505,-9999,    9
 18683, 99686,20140506,-9999,    9
 18683, 99686,20140507,-9999,    9
 18683, 99686,20140508,-9999,    9
 18683, 99686,20140509,-9999,    9
 18683, 99686,20140510,-9999,    9
 18683, 99686,20140511,-9999,    9
 18683, 99686,20140512,-9999,    9
 18683, 99686,20140513,-9999,    9
 18683, 99686,20140514,-9999,    9
 18683, 99686,20140515,-9999,    9
 18683, 99686,20140516,-9999,    9
