EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPOERTEGGBU, NORWAY (STAID: 18685)
Blended and updated with sources:99689 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18685, 99689,20170501,-9999,    9
 18685, 99689,20170502,-9999,    9
 18685, 99689,20170503,-9999,    9
 18685, 99689,20170504,-9999,    9
 18685, 99689,20170505,-9999,    9
 18685, 99689,20170506,-9999,    9
 18685, 99689,20170507,-9999,    9
 18685, 99689,20170508,-9999,    9
 18685, 99689,20170509,-9999,    9
 18685, 99689,20170510,-9999,    9
 18685, 99689,20170511,-9999,    9
 18685, 99689,20170512,-9999,    9
 18685, 99689,20170513,-9999,    9
 18685, 99689,20170514,-9999,    9
 18685, 99689,20170515,-9999,    9
 18685, 99689,20170516,-9999,    9
 18685, 99689,20170517,-9999,    9
 18685, 99689,20170518,-9999,    9
 18685, 99689,20170519,-9999,    9
 18685, 99689,20170520,   46,    0
 18685, 99689,20170521,   12,    0
 18685, 99689,20170522,    0,    0
 18685, 99689,20170523,   16,    0
 18685, 99689,20170524,   11,    0
 18685, 99689,20170525,   14,    0
 18685, 99689,20170526,   42,    0
 18685, 99689,20170527,   72,    0
 18685, 99689,20170528,   68,    0
 18685, 99689,20170529,   62,    0
 18685, 99689,20170530,   40,    0
 18685, 99689,20170531,   -6,    0
 18685, 99689,20170601,  -24,    0
 18685, 99689,20170602,    8,    0
 18685, 99689,20170603,   36,    0
 18685, 99689,20170604,   27,    0
 18685, 99689,20170605,    5,    0
 18685, 99689,20170606,   17,    0
 18685, 99689,20170607,   37,    0
 18685, 99689,20170608,   20,    0
 18685, 99689,20170609,   28,    0
 18685, 99689,20170610,   43,    0
 18685, 99689,20170611,   34,    0
 18685, 99689,20170612,   24,    0
 18685, 99689,20170613,   27,    0
 18685, 99689,20170614,   30,    0
 18685, 99689,20170615,   41,    0
 18685, 99689,20170616,   37,    0
 18685, 99689,20170617,   27,    0
 18685, 99689,20170618,   25,    0
 18685, 99689,20170619,    8,    0
 18685, 99689,20170620,   -8,    0
 18685, 99689,20170621,    3,    0
 18685, 99689,20170622,   24,    0
 18685, 99689,20170623,   40,    0
 18685, 99689,20170624,    8,    0
 18685, 99689,20170625,    7,    0
 18685, 99689,20170626,   -8,    0
 18685, 99689,20170627,    4,    0
 18685, 99689,20170628,   58,    0
 18685, 99689,20170629,   67,    0
 18685, 99689,20170630,   88,    0
 18685, 99689,20170701,   85,    0
 18685, 99689,20170702,   27,    0
 18685, 99689,20170703,   13,    0
 18685, 99689,20170704,   14,    0
 18685, 99689,20170705,   18,    0
 18685, 99689,20170706,   44,    0
 18685, 99689,20170707,   45,    0
 18685, 99689,20170708,   37,    0
 18685, 99689,20170709,   12,    0
 18685, 99689,20170710,   30,    0
 18685, 99689,20170711,   33,    0
 18685, 99689,20170712,    6,    0
 18685, 99689,20170713,    8,    0
 18685, 99689,20170714,   31,    0
 18685, 99689,20170715,   47,    0
 18685, 99689,20170716,   29,    0
 18685, 99689,20170717,    1,    0
 18685, 99689,20170718,   19,    0
 18685, 99689,20170719,   60,    0
 18685, 99689,20170720,  110,    0
 18685, 99689,20170721,   83,    0
 18685, 99689,20170722,  105,    0
 18685, 99689,20170723,   97,    0
 18685, 99689,20170724,   56,    0
 18685, 99689,20170725,   82,    0
 18685, 99689,20170726,   77,    0
 18685, 99689,20170727,   63,    0
 18685, 99689,20170728,   44,    0
 18685, 99689,20170729,   46,    0
 18685, 99689,20170730,   56,    0
 18685, 99689,20170731,   41,    0
 18685, 99689,20170801,   35,    0
 18685, 99689,20170802,   35,    0
 18685, 99689,20170803,   41,    0
 18685, 99689,20170804,   53,    0
 18685, 99689,20170805,   57,    0
 18685, 99689,20170806,   48,    0
 18685, 99689,20170807,   32,    0
 18685, 99689,20170808,   34,    0
 18685, 99689,20170809,   57,    0
 18685, 99689,20170810,   44,    0
 18685, 99689,20170811,   41,    0
 18685, 99689,20170812,   33,    0
 18685, 99689,20170813,    1,    0
 18685, 99689,20170814,   16,    0
 18685, 99689,20170815,   35,    0
