EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E18 HASLESTAD, NORWAY (STAID: 18693)
Blended and updated with sources:99700 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18693, 99700,20131201,-9999,    9
 18693, 99700,20131202,-9999,    9
 18693, 99700,20131203,-9999,    9
 18693, 99700,20131204,-9999,    9
 18693, 99700,20131205,-9999,    9
 18693, 99700,20131206,-9999,    9
 18693, 99700,20131207,-9999,    9
 18693, 99700,20131208,-9999,    9
 18693, 99700,20131209,-9999,    9
 18693, 99700,20131210,-9999,    9
 18693, 99700,20131211,-9999,    9
 18693, 99700,20131212,-9999,    9
 18693, 99700,20131213,-9999,    9
 18693, 99700,20131214,-9999,    9
 18693, 99700,20131215,-9999,    9
 18693, 99700,20131216,-9999,    9
 18693, 99700,20131217,-9999,    9
 18693, 99700,20131218,-9999,    9
 18693, 99700,20131219,-9999,    9
 18693, 99700,20131220,   -1,    0
 18693, 99700,20131221,   65,    0
 18693, 99700,20131222,-9999,    9
 18693, 99700,20131223,   23,    0
 18693, 99700,20131224,   68,    0
 18693, 99700,20131225,-9999,    9
 18693, 99700,20131226,-9999,    9
 18693, 99700,20131227,-9999,    9
 18693, 99700,20131228,   55,    0
 18693, 99700,20131229,   20,    0
 18693, 99700,20131230,-9999,    9
