EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV572 EDDEGJELET, NORWAY (STAID: 18701)
Blended and updated with sources:99712 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18701, 99712,20150901,-9999,    9
 18701, 99712,20150902,-9999,    9
 18701, 99712,20150903,-9999,    9
 18701, 99712,20150904,-9999,    9
 18701, 99712,20150905,-9999,    9
 18701, 99712,20150906,-9999,    9
 18701, 99712,20150907,-9999,    9
 18701, 99712,20150908,-9999,    9
 18701, 99712,20150909,-9999,    9
 18701, 99712,20150910,-9999,    9
 18701, 99712,20150911,-9999,    9
 18701, 99712,20150912,-9999,    9
 18701, 99712,20150913,-9999,    9
 18701, 99712,20150914,-9999,    9
 18701, 99712,20150915,-9999,    9
 18701, 99712,20150916,-9999,    9
 18701, 99712,20150917,  137,    0
 18701, 99712,20150918,  138,    0
 18701, 99712,20150919,  118,    0
 18701, 99712,20150920,  112,    0
 18701, 99712,20150921,  104,    0
 18701, 99712,20150922,  123,    0
 18701, 99712,20150923,  117,    0
 18701, 99712,20150924,  146,    0
 18701, 99712,20150925,   95,    0
 18701, 99712,20150926,  101,    0
 18701, 99712,20150927,   98,    0
 18701, 99712,20150928,   91,    0
 18701, 99712,20150929,  102,    0
 18701, 99712,20150930,  110,    0
 18701, 99712,20151001,  124,    0
 18701, 99712,20151002,  120,    0
 18701, 99712,20151003,-9999,    9
 18701, 99712,20151004,   91,    0
 18701, 99712,20151005,  131,    0
 18701, 99712,20151006,-9999,    9
 18701, 99712,20151007,-9999,    9
 18701, 99712,20151008,  106,    0
 18701, 99712,20151009,  110,    0
 18701, 99712,20151010,   98,    0
 18701, 99712,20151011,   86,    0
 18701, 99712,20151012,   99,    0
 18701, 99712,20151013,   79,    0
 18701, 99712,20151014,   56,    0
 18701, 99712,20151015,   48,    0
 18701, 99712,20151016,   44,    0
 18701, 99712,20151017,   38,    0
 18701, 99712,20151018,   36,    0
 18701, 99712,20151019,   31,    0
 18701, 99712,20151020,   52,    0
 18701, 99712,20151021,   68,    0
 18701, 99712,20151022,  101,    0
 18701, 99712,20151023,-9999,    9
 18701, 99712,20151024,-9999,    9
 18701, 99712,20151025,   57,    0
 18701, 99712,20151026,   62,    0
 18701, 99712,20151027,   75,    0
 18701, 99712,20151028,  103,    0
 18701, 99712,20151029,-9999,    9
 18701, 99712,20151030,-9999,    9
 18701, 99712,20151031,  124,    0
 18701, 99712,20151101,  114,    0
 18701, 99712,20151102,   93,    0
 18701, 99712,20151103,   78,    0
 18701, 99712,20151104,   85,    0
 18701, 99712,20151105,-9999,    9
 18701, 99712,20151106,-9999,    9
 18701, 99712,20151107,   96,    0
 18701, 99712,20151108,   87,    0
 18701, 99712,20151109,   69,    0
 18701, 99712,20151110,   72,    0
 18701, 99712,20151111,-9999,    9
 18701, 99712,20151112,   54,    0
 18701, 99712,20151113,   65,    0
 18701, 99712,20151114,   22,    0
 18701, 99712,20151115,   51,    0
 18701, 99712,20151116,   67,    0
 18701, 99712,20151117,   36,    0
 18701, 99712,20151118,   44,    0
 18701, 99712,20151119,   44,    0
 18701, 99712,20151120,   -1,    0
 18701, 99712,20151121,-9999,    9
 18701, 99712,20151122,  -37,    0
 18701, 99712,20151123,  -14,    0
 18701, 99712,20151124,   14,    0
 18701, 99712,20151125,   23,    0
 18701, 99712,20151126,   15,    0
 18701, 99712,20151127,   40,    0
 18701, 99712,20151128,   21,    0
 18701, 99712,20151129,    4,    0
 18701, 99712,20151130,   13,    0
 18701, 99712,20151201,   16,    0
 18701, 99712,20151202,   23,    0
 18701, 99712,20151203,   28,    0
 18701, 99712,20151204,   31,    0
 18701, 99712,20151205,   48,    0
 18701, 99712,20151206,   39,    0
 18701, 99712,20151207,   46,    0
 18701, 99712,20151208,   85,    0
 18701, 99712,20151209,   45,    0
 18701, 99712,20151210,   53,    0
 18701, 99712,20151211,    9,    0
 18701, 99712,20151212,   13,    0
 18701, 99712,20151213,    0,    0
 18701, 99712,20151214,   -5,    0
 18701, 99712,20151215,  -25,    0
 18701, 99712,20151216,   -9,    0
 18701, 99712,20151217,   25,    0
 18701, 99712,20151218,   53,    0
 18701, 99712,20151219,-9999,    9
 18701, 99712,20151220,-9999,    9
 18701, 99712,20151221,-9999,    9
 18701, 99712,20151222,-9999,    9
 18701, 99712,20151223,   47,    0
 18701, 99712,20151224,   55,    0
 18701, 99712,20151225,   46,    0
 18701, 99712,20151226,    1,    0
 18701, 99712,20151227,    4,    0
 18701, 99712,20151228,   23,    0
 18701, 99712,20151229,   56,    0
 18701, 99712,20151230,   96,    0
 18701, 99712,20151231,   83,    0
 18701, 99712,20160101,-9999,    9
 18701, 99712,20160102,-9999,    9
 18701, 99712,20160103,-9999,    9
 18701, 99712,20160104,-9999,    9
 18701, 99712,20160105,-9999,    9
 18701, 99712,20160106,-9999,    9
 18701, 99712,20160107,-9999,    9
 18701, 99712,20160108,-9999,    9
 18701, 99712,20160109,-9999,    9
 18701, 99712,20160110,-9999,    9
 18701, 99712,20160111,-9999,    9
 18701, 99712,20160112,-9999,    9
 18701, 99712,20160113,-9999,    9
 18701, 99712,20160114,-9999,    9
 18701, 99712,20160115,-9999,    9
 18701, 99712,20160116,-9999,    9
 18701, 99712,20160117,-9999,    9
 18701, 99712,20160118,-9999,    9
 18701, 99712,20160119,-9999,    9
 18701, 99712,20160120,-9999,    9
 18701, 99712,20160121,-9999,    9
 18701, 99712,20160122,-9999,    9
 18701, 99712,20160123,-9999,    9
 18701, 99712,20160124,-9999,    9
 18701, 99712,20160125,-9999,    9
 18701, 99712,20160126,-9999,    9
 18701, 99712,20160127,-9999,    9
 18701, 99712,20160128,-9999,    9
 18701, 99712,20160129,-9999,    9
 18701, 99712,20160130,-9999,    9
 18701, 99712,20160131,-9999,    9
 18701, 99712,20160201,-9999,    9
 18701, 99712,20160202,-9999,    9
 18701, 99712,20160203,-9999,    9
 18701, 99712,20160204,-9999,    9
 18701, 99712,20160205,-9999,    9
 18701, 99712,20160206,-9999,    9
 18701, 99712,20160207,-9999,    9
 18701, 99712,20160208,-9999,    9
 18701, 99712,20160209,-9999,    9
 18701, 99712,20160210,-9999,    9
 18701, 99712,20160211,-9999,    9
 18701, 99712,20160212,-9999,    9
 18701, 99712,20160213,-9999,    9
 18701, 99712,20160214,-9999,    9
 18701, 99712,20160215,-9999,    9
 18701, 99712,20160216,-9999,    9
 18701, 99712,20160217,-9999,    9
 18701, 99712,20160218,-9999,    9
 18701, 99712,20160219,-9999,    9
 18701, 99712,20160220,-9999,    9
 18701, 99712,20160221,-9999,    9
 18701, 99712,20160222,-9999,    9
 18701, 99712,20160223,-9999,    9
 18701, 99712,20160224,-9999,    9
 18701, 99712,20160225,-9999,    9
 18701, 99712,20160226,-9999,    9
 18701, 99712,20160227,-9999,    9
 18701, 99712,20160228,-9999,    9
 18701, 99712,20160229,-9999,    9
 18701, 99712,20160301,-9999,    9
 18701, 99712,20160302,-9999,    9
 18701, 99712,20160303,-9999,    9
 18701, 99712,20160304,-9999,    9
 18701, 99712,20160305,-9999,    9
 18701, 99712,20160306,-9999,    9
 18701, 99712,20160307,-9999,    9
 18701, 99712,20160308,-9999,    9
 18701, 99712,20160309,-9999,    9
 18701, 99712,20160310,-9999,    9
 18701, 99712,20160311,-9999,    9
 18701, 99712,20160312,-9999,    9
 18701, 99712,20160313,-9999,    9
 18701, 99712,20160314,-9999,    9
 18701, 99712,20160315,-9999,    9
 18701, 99712,20160316,-9999,    9
 18701, 99712,20160317,-9999,    9
 18701, 99712,20160318,-9999,    9
 18701, 99712,20160319,-9999,    9
 18701, 99712,20160320,-9999,    9
 18701, 99712,20160321,-9999,    9
 18701, 99712,20160322,-9999,    9
 18701, 99712,20160323,-9999,    9
 18701, 99712,20160324,-9999,    9
 18701, 99712,20160325,-9999,    9
 18701, 99712,20160326,-9999,    9
 18701, 99712,20160327,-9999,    9
 18701, 99712,20160328,-9999,    9
 18701, 99712,20160329,-9999,    9
 18701, 99712,20160330,-9999,    9
 18701, 99712,20160331,-9999,    9
 18701, 99712,20160401,-9999,    9
 18701, 99712,20160402,-9999,    9
 18701, 99712,20160403,-9999,    9
 18701, 99712,20160404,-9999,    9
 18701, 99712,20160405,-9999,    9
 18701, 99712,20160406,-9999,    9
 18701, 99712,20160407,-9999,    9
 18701, 99712,20160408,-9999,    9
 18701, 99712,20160409,-9999,    9
 18701, 99712,20160410,-9999,    9
 18701, 99712,20160411,-9999,    9
 18701, 99712,20160412,-9999,    9
 18701, 99712,20160413,-9999,    9
 18701, 99712,20160414,-9999,    9
 18701, 99712,20160415,-9999,    9
 18701, 99712,20160416,-9999,    9
 18701, 99712,20160417,-9999,    9
 18701, 99712,20160418,-9999,    9
 18701, 99712,20160419,-9999,    9
 18701, 99712,20160420,-9999,    9
 18701, 99712,20160421,-9999,    9
 18701, 99712,20160422,-9999,    9
 18701, 99712,20160423,-9999,    9
 18701, 99712,20160424,-9999,    9
 18701, 99712,20160425,-9999,    9
 18701, 99712,20160426,-9999,    9
 18701, 99712,20160427,-9999,    9
 18701, 99712,20160428,-9999,    9
 18701, 99712,20160429,-9999,    9
 18701, 99712,20160430,-9999,    9
 18701, 99712,20160501,-9999,    9
 18701, 99712,20160502,-9999,    9
 18701, 99712,20160503,-9999,    9
 18701, 99712,20160504,-9999,    9
 18701, 99712,20160505,-9999,    9
 18701, 99712,20160506,-9999,    9
 18701, 99712,20160507,-9999,    9
 18701, 99712,20160508,-9999,    9
 18701, 99712,20160509,-9999,    9
 18701, 99712,20160510,-9999,    9
 18701, 99712,20160511,-9999,    9
 18701, 99712,20160512,-9999,    9
 18701, 99712,20160513,-9999,    9
 18701, 99712,20160514,-9999,    9
 18701, 99712,20160515,-9999,    9
 18701, 99712,20160516,-9999,    9
 18701, 99712,20160517,-9999,    9
 18701, 99712,20160518,-9999,    9
 18701, 99712,20160519,-9999,    9
 18701, 99712,20160520,-9999,    9
 18701, 99712,20160521,-9999,    9
 18701, 99712,20160522,-9999,    9
 18701, 99712,20160523,-9999,    9
 18701, 99712,20160524,-9999,    9
 18701, 99712,20160525,-9999,    9
 18701, 99712,20160526,-9999,    9
 18701, 99712,20160527,-9999,    9
 18701, 99712,20160528,-9999,    9
 18701, 99712,20160529,-9999,    9
 18701, 99712,20160530,-9999,    9
 18701, 99712,20160531,-9999,    9
 18701, 99712,20160601,-9999,    9
 18701, 99712,20160602,-9999,    9
 18701, 99712,20160603,-9999,    9
 18701, 99712,20160604,-9999,    9
 18701, 99712,20160605,-9999,    9
 18701, 99712,20160606,-9999,    9
 18701, 99712,20160607,-9999,    9
 18701, 99712,20160608,-9999,    9
 18701, 99712,20160609,-9999,    9
 18701, 99712,20160610,-9999,    9
 18701, 99712,20160611,-9999,    9
 18701, 99712,20160612,-9999,    9
 18701, 99712,20160613,-9999,    9
 18701, 99712,20160614,-9999,    9
 18701, 99712,20160615,-9999,    9
 18701, 99712,20160616,-9999,    9
 18701, 99712,20160617,-9999,    9
 18701, 99712,20160618,-9999,    9
 18701, 99712,20160619,-9999,    9
 18701, 99712,20160620,-9999,    9
 18701, 99712,20160621,-9999,    9
 18701, 99712,20160622,-9999,    9
 18701, 99712,20160623,-9999,    9
 18701, 99712,20160624,-9999,    9
 18701, 99712,20160625,-9999,    9
 18701, 99712,20160626,-9999,    9
 18701, 99712,20160627,-9999,    9
 18701, 99712,20160628,-9999,    9
 18701, 99712,20160629,-9999,    9
 18701, 99712,20160630,-9999,    9
 18701, 99712,20160701,-9999,    9
 18701, 99712,20160702,-9999,    9
 18701, 99712,20160703,-9999,    9
 18701, 99712,20160704,-9999,    9
 18701, 99712,20160705,-9999,    9
 18701, 99712,20160706,-9999,    9
 18701, 99712,20160707,-9999,    9
 18701, 99712,20160708,-9999,    9
 18701, 99712,20160709,-9999,    9
 18701, 99712,20160710,-9999,    9
 18701, 99712,20160711,-9999,    9
 18701, 99712,20160712,-9999,    9
 18701, 99712,20160713,-9999,    9
 18701, 99712,20160714,-9999,    9
 18701, 99712,20160715,-9999,    9
 18701, 99712,20160716,-9999,    9
 18701, 99712,20160717,-9999,    9
 18701, 99712,20160718,-9999,    9
 18701, 99712,20160719,-9999,    9
 18701, 99712,20160720,-9999,    9
 18701, 99712,20160721,-9999,    9
 18701, 99712,20160722,-9999,    9
 18701, 99712,20160723,-9999,    9
 18701, 99712,20160724,-9999,    9
 18701, 99712,20160725,-9999,    9
 18701, 99712,20160726,-9999,    9
 18701, 99712,20160727,-9999,    9
 18701, 99712,20160728,-9999,    9
 18701, 99712,20160729,-9999,    9
 18701, 99712,20160730,-9999,    9
 18701, 99712,20160731,-9999,    9
 18701, 99712,20160801,-9999,    9
 18701, 99712,20160802,-9999,    9
 18701, 99712,20160803,-9999,    9
 18701, 99712,20160804,-9999,    9
 18701, 99712,20160805,-9999,    9
 18701, 99712,20160806,-9999,    9
 18701, 99712,20160807,-9999,    9
 18701, 99712,20160808,-9999,    9
 18701, 99712,20160809,-9999,    9
 18701, 99712,20160810,-9999,    9
 18701, 99712,20160811,-9999,    9
 18701, 99712,20160812,-9999,    9
 18701, 99712,20160813,-9999,    9
 18701, 99712,20160814,-9999,    9
 18701, 99712,20160815,-9999,    9
 18701, 99712,20160816,-9999,    9
 18701, 99712,20160817,-9999,    9
 18701, 99712,20160818,-9999,    9
 18701, 99712,20160819,-9999,    9
 18701, 99712,20160820,-9999,    9
 18701, 99712,20160821,-9999,    9
 18701, 99712,20160822,-9999,    9
 18701, 99712,20160823,-9999,    9
 18701, 99712,20160824,-9999,    9
 18701, 99712,20160825,-9999,    9
 18701, 99712,20160826,-9999,    9
 18701, 99712,20160827,-9999,    9
 18701, 99712,20160828,-9999,    9
 18701, 99712,20160829,-9999,    9
 18701, 99712,20160830,-9999,    9
 18701, 99712,20160831,-9999,    9
 18701, 99712,20160901,-9999,    9
 18701, 99712,20160902,-9999,    9
 18701, 99712,20160903,-9999,    9
 18701, 99712,20160904,-9999,    9
 18701, 99712,20160905,-9999,    9
 18701, 99712,20160906,-9999,    9
 18701, 99712,20160907,-9999,    9
 18701, 99712,20160908,-9999,    9
 18701, 99712,20160909,-9999,    9
 18701, 99712,20160910,-9999,    9
 18701, 99712,20160911,-9999,    9
 18701, 99712,20160912,-9999,    9
 18701, 99712,20160913,-9999,    9
 18701, 99712,20160914,-9999,    9
 18701, 99712,20160915,-9999,    9
 18701, 99712,20160916,-9999,    9
 18701, 99712,20160917,-9999,    9
 18701, 99712,20160918,-9999,    9
 18701, 99712,20160919,-9999,    9
 18701, 99712,20160920,-9999,    9
 18701, 99712,20160921,-9999,    9
 18701, 99712,20160922,-9999,    9
 18701, 99712,20160923,-9999,    9
 18701, 99712,20160924,-9999,    9
 18701, 99712,20160925,-9999,    9
 18701, 99712,20160926,-9999,    9
 18701, 99712,20160927,-9999,    9
 18701, 99712,20160928,-9999,    9
 18701, 99712,20160929,-9999,    9
 18701, 99712,20160930,-9999,    9
 18701, 99712,20161001,-9999,    9
 18701, 99712,20161002,-9999,    9
 18701, 99712,20161003,-9999,    9
 18701, 99712,20161004,-9999,    9
 18701, 99712,20161005,-9999,    9
 18701, 99712,20161006,-9999,    9
 18701, 99712,20161007,-9999,    9
 18701, 99712,20161008,-9999,    9
 18701, 99712,20161009,-9999,    9
 18701, 99712,20161010,-9999,    9
 18701, 99712,20161011,-9999,    9
 18701, 99712,20161012,-9999,    9
 18701, 99712,20161013,-9999,    9
 18701, 99712,20161014,-9999,    9
 18701, 99712,20161015,-9999,    9
 18701, 99712,20161016,-9999,    9
 18701, 99712,20161017,-9999,    9
 18701, 99712,20161018,-9999,    9
 18701, 99712,20161019,-9999,    9
 18701, 99712,20161020,-9999,    9
 18701, 99712,20161021,-9999,    9
 18701, 99712,20161022,-9999,    9
 18701, 99712,20161023,-9999,    9
 18701, 99712,20161024,-9999,    9
 18701, 99712,20161025,-9999,    9
 18701, 99712,20161026,-9999,    9
 18701, 99712,20161027,-9999,    9
 18701, 99712,20161028,-9999,    9
 18701, 99712,20161029,-9999,    9
 18701, 99712,20161030,-9999,    9
 18701, 99712,20161031,-9999,    9
 18701, 99712,20161101,-9999,    9
 18701, 99712,20161102,-9999,    9
 18701, 99712,20161103,-9999,    9
 18701, 99712,20161104,-9999,    9
 18701, 99712,20161105,-9999,    9
 18701, 99712,20161106,-9999,    9
 18701, 99712,20161107,-9999,    9
 18701, 99712,20161108,-9999,    9
 18701, 99712,20161109,-9999,    9
 18701, 99712,20161110,-9999,    9
 18701, 99712,20161111,-9999,    9
 18701, 99712,20161112,-9999,    9
 18701, 99712,20161113,-9999,    9
 18701, 99712,20161114,-9999,    9
 18701, 99712,20161115,-9999,    9
 18701, 99712,20161116,-9999,    9
 18701, 99712,20161117,-9999,    9
 18701, 99712,20161118,-9999,    9
 18701, 99712,20161119,-9999,    9
 18701, 99712,20161120,-9999,    9
 18701, 99712,20161121,-9999,    9
 18701, 99712,20161122,-9999,    9
 18701, 99712,20161123,-9999,    9
 18701, 99712,20161124,-9999,    9
 18701, 99712,20161125,-9999,    9
 18701, 99712,20161126,-9999,    9
 18701, 99712,20161127,-9999,    9
 18701, 99712,20161128,-9999,    9
 18701, 99712,20161129,-9999,    9
 18701, 99712,20161130,-9999,    9
 18701, 99712,20161201,-9999,    9
 18701, 99712,20161202,-9999,    9
 18701, 99712,20161203,-9999,    9
 18701, 99712,20161204,-9999,    9
 18701, 99712,20161205,-9999,    9
 18701, 99712,20161206,-9999,    9
 18701, 99712,20161207,-9999,    9
 18701, 99712,20161208,-9999,    9
 18701, 99712,20161209,-9999,    9
 18701, 99712,20161210,-9999,    9
 18701, 99712,20161211,-9999,    9
 18701, 99712,20161212,-9999,    9
 18701, 99712,20161213,-9999,    9
 18701, 99712,20161214,-9999,    9
 18701, 99712,20161215,-9999,    9
 18701, 99712,20161216,-9999,    9
 18701, 99712,20161217,-9999,    9
 18701, 99712,20161218,-9999,    9
 18701, 99712,20161219,-9999,    9
 18701, 99712,20161220,-9999,    9
 18701, 99712,20161221,-9999,    9
 18701, 99712,20161222,-9999,    9
 18701, 99712,20161223,-9999,    9
 18701, 99712,20161224,-9999,    9
 18701, 99712,20161225,-9999,    9
 18701, 99712,20161226,-9999,    9
 18701, 99712,20161227,-9999,    9
 18701, 99712,20161228,-9999,    9
 18701, 99712,20161229,-9999,    9
 18701, 99712,20161230,-9999,    9
 18701, 99712,20161231,-9999,    9
 18701, 99712,20170101,-9999,    9
 18701, 99712,20170102,-9999,    9
 18701, 99712,20170103,-9999,    9
 18701, 99712,20170104,-9999,    9
 18701, 99712,20170105,-9999,    9
 18701, 99712,20170106,-9999,    9
 18701, 99712,20170107,-9999,    9
 18701, 99712,20170108,-9999,    9
 18701, 99712,20170109,-9999,    9
 18701, 99712,20170110,-9999,    9
 18701, 99712,20170111,-9999,    9
 18701, 99712,20170112,-9999,    9
 18701, 99712,20170113,-9999,    9
 18701, 99712,20170114,-9999,    9
 18701, 99712,20170115,-9999,    9
 18701, 99712,20170116,-9999,    9
 18701, 99712,20170117,-9999,    9
 18701, 99712,20170118,-9999,    9
 18701, 99712,20170119,-9999,    9
 18701, 99712,20170120,-9999,    9
 18701, 99712,20170121,-9999,    9
 18701, 99712,20170122,-9999,    9
 18701, 99712,20170123,-9999,    9
 18701, 99712,20170124,-9999,    9
 18701, 99712,20170125,-9999,    9
 18701, 99712,20170126,-9999,    9
 18701, 99712,20170127,-9999,    9
 18701, 99712,20170128,-9999,    9
 18701, 99712,20170129,-9999,    9
 18701, 99712,20170130,-9999,    9
 18701, 99712,20170131,-9999,    9
 18701, 99712,20170201,-9999,    9
 18701, 99712,20170202,-9999,    9
 18701, 99712,20170203,-9999,    9
 18701, 99712,20170204,-9999,    9
 18701, 99712,20170205,-9999,    9
 18701, 99712,20170206,-9999,    9
 18701, 99712,20170207,-9999,    9
 18701, 99712,20170208,-9999,    9
 18701, 99712,20170209,-9999,    9
 18701, 99712,20170210,-9999,    9
 18701, 99712,20170211,-9999,    9
 18701, 99712,20170212,-9999,    9
 18701, 99712,20170213,-9999,    9
 18701, 99712,20170214,-9999,    9
 18701, 99712,20170215,-9999,    9
 18701, 99712,20170216,-9999,    9
 18701, 99712,20170217,-9999,    9
 18701, 99712,20170218,-9999,    9
 18701, 99712,20170219,-9999,    9
 18701, 99712,20170220,-9999,    9
 18701, 99712,20170221,-9999,    9
 18701, 99712,20170222,-9999,    9
 18701, 99712,20170223,-9999,    9
 18701, 99712,20170224,-9999,    9
 18701, 99712,20170225,-9999,    9
 18701, 99712,20170226,-9999,    9
 18701, 99712,20170227,-9999,    9
 18701, 99712,20170228,-9999,    9
 18701, 99712,20170301,-9999,    9
 18701, 99712,20170302,-9999,    9
 18701, 99712,20170303,-9999,    9
 18701, 99712,20170304,-9999,    9
 18701, 99712,20170305,-9999,    9
 18701, 99712,20170306,-9999,    9
 18701, 99712,20170307,-9999,    9
