EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RV4 EINA, NORWAY (STAID: 18720)
Blended and updated with sources:99739 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18720, 99739,20130101,-9999,    9
 18720, 99739,20130102,-9999,    9
 18720, 99739,20130103,-9999,    9
 18720, 99739,20130104,    4,    0
 18720, 99739,20130105,  -18,    0
 18720, 99739,20130106,  -34,    0
 18720, 99739,20130107,  -24,    0
 18720, 99739,20130108,  -58,    0
 18720, 99739,20130109,  -72,    0
 18720, 99739,20130110,  -74,    0
 18720, 99739,20130111, -104,    0
 18720, 99739,20130112, -197,    0
 18720, 99739,20130113, -224,    0
 18720, 99739,20130114, -208,    0
 18720, 99739,20130115, -170,    0
 18720, 99739,20130116, -191,    0
 18720, 99739,20130117, -128,    0
 18720, 99739,20130118, -176,    0
 18720, 99739,20130119,-9999,    9
 18720, 99739,20130120,-9999,    9
 18720, 99739,20130121,-9999,    9
 18720, 99739,20130122, -234,    0
 18720, 99739,20130123,-9999,    9
 18720, 99739,20130124,-9999,    9
 18720, 99739,20130125, -199,    0
 18720, 99739,20130126,-9999,    9
 18720, 99739,20130127,-9999,    9
 18720, 99739,20130128,-9999,    9
 18720, 99739,20130129,   -5,    0
 18720, 99739,20130130,    0,    0
 18720, 99739,20130131,  -40,    0
 18720, 99739,20130201, -154,    0
 18720, 99739,20130202,  -64,    0
 18720, 99739,20130203, -120,    0
 18720, 99739,20130204,  -59,    0
 18720, 99739,20130205,  -96,    0
 18720, 99739,20130206,  -28,    0
 18720, 99739,20130207,  -86,    0
 18720, 99739,20130208, -103,    0
 18720, 99739,20130209, -137,    0
 18720, 99739,20130210,  -98,    0
 18720, 99739,20130211,  -95,    0
 18720, 99739,20130212,  -76,    0
 18720, 99739,20130213,  -70,    0
 18720, 99739,20130214,-9999,    9
 18720, 99739,20130215,-9999,    9
 18720, 99739,20130216,-9999,    9
 18720, 99739,20130217,-9999,    9
 18720, 99739,20130218,  -29,    0
 18720, 99739,20130219,  -71,    0
 18720, 99739,20130220, -115,    0
 18720, 99739,20130221, -171,    0
 18720, 99739,20130222,  -56,    0
 18720, 99739,20130223,-9999,    9
 18720, 99739,20130224,-9999,    9
 18720, 99739,20130225,-9999,    9
 18720, 99739,20130226,-9999,    9
 18720, 99739,20130227,  -38,    0
 18720, 99739,20130228,   14,    0
 18720, 99739,20130301,    8,    0
 18720, 99739,20130302,   12,    0
 18720, 99739,20130303,   -8,    0
 18720, 99739,20130304,   -2,    0
 18720, 99739,20130305,  -18,    0
 18720, 99739,20130306,  -11,    0
 18720, 99739,20130307,  -80,    0
 18720, 99739,20130308, -109,    0
 18720, 99739,20130309,  -91,    0
 18720, 99739,20130310, -154,    0
 18720, 99739,20130311, -100,    0
 18720, 99739,20130312,  -40,    0
 18720, 99739,20130313,-9999,    9
 18720, 99739,20130314,-9999,    9
 18720, 99739,20130315,-9999,    9
 18720, 99739,20130316,-9999,    9
 18720, 99739,20130317,-9999,    9
 18720, 99739,20130318,-9999,    9
 18720, 99739,20130319,-9999,    9
 18720, 99739,20130320,-9999,    9
 18720, 99739,20130321,-9999,    9
 18720, 99739,20130322,-9999,    9
 18720, 99739,20130323,-9999,    9
 18720, 99739,20130324,-9999,    9
 18720, 99739,20130325,-9999,    9
 18720, 99739,20130326,-9999,    9
 18720, 99739,20130327,-9999,    9
 18720, 99739,20130328,-9999,    9
 18720, 99739,20130329,-9999,    9
 18720, 99739,20130330,-9999,    9
 18720, 99739,20130331,-9999,    9
 18720, 99739,20130401,-9999,    9
 18720, 99739,20130402,-9999,    9
 18720, 99739,20130403,-9999,    9
 18720, 99739,20130404,-9999,    9
 18720, 99739,20130405,-9999,    9
 18720, 99739,20130406,-9999,    9
 18720, 99739,20130407,-9999,    9
 18720, 99739,20130408,-9999,    9
 18720, 99739,20130409,-9999,    9
 18720, 99739,20130410,-9999,    9
 18720, 99739,20130411,-9999,    9
 18720, 99739,20130412,-9999,    9
 18720, 99739,20130413,-9999,    9
 18720, 99739,20130414,-9999,    9
 18720, 99739,20130415,-9999,    9
 18720, 99739,20130416,-9999,    9
 18720, 99739,20130417,-9999,    9
 18720, 99739,20130418,-9999,    9
 18720, 99739,20130419,-9999,    9
 18720, 99739,20130420,-9999,    9
 18720, 99739,20130421,-9999,    9
 18720, 99739,20130422,-9999,    9
 18720, 99739,20130423,-9999,    9
 18720, 99739,20130424,-9999,    9
 18720, 99739,20130425,-9999,    9
 18720, 99739,20130426,-9999,    9
 18720, 99739,20130427,-9999,    9
 18720, 99739,20130428,-9999,    9
 18720, 99739,20130429,-9999,    9
 18720, 99739,20130430,-9999,    9
 18720, 99739,20130501,-9999,    9
 18720, 99739,20130502,-9999,    9
 18720, 99739,20130503,-9999,    9
 18720, 99739,20130504,-9999,    9
 18720, 99739,20130505,-9999,    9
 18720, 99739,20130506,-9999,    9
 18720, 99739,20130507,-9999,    9
 18720, 99739,20130508,   98,    0
 18720, 99739,20130509,   99,    0
 18720, 99739,20130510,-9999,    9
 18720, 99739,20130511,-9999,    9
 18720, 99739,20130512,   64,    0
 18720, 99739,20130513,   46,    0
 18720, 99739,20130514,   44,    0
 18720, 99739,20130515,   53,    0
 18720, 99739,20130516,  129,    0
 18720, 99739,20130517,-9999,    9
 18720, 99739,20130518,-9999,    9
 18720, 99739,20130519,-9999,    9
 18720, 99739,20130520,-9999,    9
 18720, 99739,20130521,-9999,    9
 18720, 99739,20130522,-9999,    9
