EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E134 FJAERA, NORWAY (STAID: 18724)
Blended and updated with sources:99747 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18724, 99747,20180601,-9999,    9
 18724, 99747,20180602,-9999,    9
 18724, 99747,20180603,-9999,    9
 18724, 99747,20180604,-9999,    9
 18724, 99747,20180605,  189,    0
 18724, 99747,20180606,-9999,    9
 18724, 99747,20180607,  184,    0
 18724, 99747,20180608,  193,    0
 18724, 99747,20180609,  196,    0
 18724, 99747,20180610,  168,    0
 18724, 99747,20180611,  125,    0
 18724, 99747,20180612,  139,    0
 18724, 99747,20180613,  141,    0
 18724, 99747,20180614,  131,    0
 18724, 99747,20180615,  118,    0
 18724, 99747,20180616,  134,    0
 18724, 99747,20180617,  140,    0
 18724, 99747,20180618,  122,    0
 18724, 99747,20180619,  108,    0
 18724, 99747,20180620,  100,    0
 18724, 99747,20180621,  113,    0
 18724, 99747,20180622,  125,    0
 18724, 99747,20180623,  128,    0
 18724, 99747,20180624,  137,    0
 18724, 99747,20180625,  149,    0
 18724, 99747,20180626,  156,    0
 18724, 99747,20180627,  165,    0
 18724, 99747,20180628,  178,    0
 18724, 99747,20180629,  177,    0
 18724, 99747,20180630,  188,    0
 18724, 99747,20180701,  188,    0
 18724, 99747,20180702,  184,    0
 18724, 99747,20180703,  176,    0
 18724, 99747,20180704,  187,    0
 18724, 99747,20180705,  168,    0
 18724, 99747,20180706,  164,    0
 18724, 99747,20180707,  165,    0
 18724, 99747,20180708,-9999,    9
 18724, 99747,20180709,  177,    0
 18724, 99747,20180710,  219,    0
 18724, 99747,20180711,  198,    0
 18724, 99747,20180712,  186,    0
 18724, 99747,20180713,  155,    0
 18724, 99747,20180714,  165,    0
 18724, 99747,20180715,  185,    0
 18724, 99747,20180716,  209,    0
 18724, 99747,20180717,  189,    0
 18724, 99747,20180718,  185,    0
 18724, 99747,20180719,  178,    0
 18724, 99747,20180720,  186,    0
 18724, 99747,20180721,  170,    0
 18724, 99747,20180722,  177,    0
 18724, 99747,20180723,  194,    0
 18724, 99747,20180724,  189,    0
 18724, 99747,20180725,  189,    0
 18724, 99747,20180726,  188,    0
 18724, 99747,20180727,  239,    0
 18724, 99747,20180728,  258,    0
 18724, 99747,20180729,  203,    0
 18724, 99747,20180730,  222,    0
 18724, 99747,20180731,  192,    0
 18724, 99747,20180801,  177,    0
 18724, 99747,20180802,  163,    0
 18724, 99747,20180803,  167,    0
 18724, 99747,20180804,  166,    0
 18724, 99747,20180805,  149,    0
 18724, 99747,20180806,  135,    0
 18724, 99747,20180807,  177,    0
 18724, 99747,20180808,  169,    0
 18724, 99747,20180809,  142,    0
 18724, 99747,20180810,  135,    0
 18724, 99747,20180811,  138,    0
 18724, 99747,20180812,  137,    0
 18724, 99747,20180813,  146,    0
 18724, 99747,20180814,  158,    0
 18724, 99747,20180815,  157,    0
 18724, 99747,20180816,  151,    0
 18724, 99747,20180817,  129,    0
 18724, 99747,20180818,  136,    0
 18724, 99747,20180819,  137,    0
 18724, 99747,20180820,  137,    0
 18724, 99747,20180821,  134,    0
 18724, 99747,20180822,  145,    0
 18724, 99747,20180823,  137,    0
 18724, 99747,20180824,  116,    0
 18724, 99747,20180825,  112,    0
 18724, 99747,20180826,  121,    0
 18724, 99747,20180827,  149,    0
 18724, 99747,20180828,  144,    0
 18724, 99747,20180829,  139,    0
 18724, 99747,20180830,  125,    0
 18724, 99747,20180831,  126,    0
 18724, 99747,20180901,  135,    0
 18724, 99747,20180902,  148,    0
 18724, 99747,20180903,  138,    0
 18724, 99747,20180904,  142,    0
 18724, 99747,20180905,  150,    0
 18724, 99747,20180906,  147,    0
 18724, 99747,20180907,  197,    0
 18724, 99747,20180908,  171,    0
 18724, 99747,20180909,  132,    0
 18724, 99747,20180910,  120,    0
 18724, 99747,20180911,  116,    0
 18724, 99747,20180912,  112,    0
 18724, 99747,20180913,  107,    0
 18724, 99747,20180914,  100,    0
 18724, 99747,20180915,   95,    0
 18724, 99747,20180916,  100,    0
 18724, 99747,20180917,  107,    0
 18724, 99747,20180918,  152,    0
 18724, 99747,20180919,  148,    0
 18724, 99747,20180920,   94,    0
 18724, 99747,20180921,  111,    0
 18724, 99747,20180922,   94,    0
 18724, 99747,20180923,   83,    0
 18724, 99747,20180924,   67,    0
 18724, 99747,20180925,   77,    0
 18724, 99747,20180926,-9999,    9
 18724, 99747,20180927,-9999,    9
 18724, 99747,20180928,-9999,    9
 18724, 99747,20180929,-9999,    9
 18724, 99747,20180930,-9999,    9
 18724, 99747,20181001,-9999,    9
 18724, 99747,20181002,-9999,    9
 18724, 99747,20181003,-9999,    9
 18724, 99747,20181004,   76,    0
 18724, 99747,20181005,   61,    0
 18724, 99747,20181006,   51,    0
 18724, 99747,20181007,   51,    0
 18724, 99747,20181008,   81,    0
 18724, 99747,20181009,  102,    0
 18724, 99747,20181010,  114,    0
 18724, 99747,20181011,-9999,    9
 18724, 99747,20181012,  178,    0
 18724, 99747,20181013,  140,    0
 18724, 99747,20181014,  133,    0
 18724, 99747,20181015,   92,    0
 18724, 99747,20181016,   94,    0
 18724, 99747,20181017,-9999,    9
 18724, 99747,20181018,-9999,    9
 18724, 99747,20181019,   80,    0
 18724, 99747,20181020,   85,    0
 18724, 99747,20181021,   98,    0
 18724, 99747,20181022,-9999,    9
 18724, 99747,20181023,   86,    0
 18724, 99747,20181024,   62,    0
 18724, 99747,20181025,   76,    0
 18724, 99747,20181026,   53,    0
 18724, 99747,20181027,   34,    0
 18724, 99747,20181028,   24,    0
 18724, 99747,20181029,   30,    0
 18724, 99747,20181030,   64,    0
 18724, 99747,20181031,   77,    0
 18724, 99747,20181101,   78,    0
 18724, 99747,20181102,   71,    0
 18724, 99747,20181103,   66,    0
 18724, 99747,20181104,   95,    0
 18724, 99747,20181105,   89,    0
 18724, 99747,20181106,  127,    0
 18724, 99747,20181107,  146,    0
 18724, 99747,20181108,  113,    0
 18724, 99747,20181109,  101,    0
 18724, 99747,20181110,  124,    0
 18724, 99747,20181111,   97,    0
 18724, 99747,20181112,   87,    0
 18724, 99747,20181113,   81,    0
 18724, 99747,20181114,   81,    0
 18724, 99747,20181115,   92,    0
 18724, 99747,20181116,  100,    0
 18724, 99747,20181117,   58,    0
 18724, 99747,20181118,   43,    0
 18724, 99747,20181119,   20,    0
 18724, 99747,20181120,  -10,    0
 18724, 99747,20181121,   72,    0
 18724, 99747,20181122,   12,    0
 18724, 99747,20181123,   -2,    0
 18724, 99747,20181124,    3,    0
 18724, 99747,20181125,    0,    0
 18724, 99747,20181126,  -21,    0
 18724, 99747,20181127,   -2,    0
 18724, 99747,20181128,   54,    0
 18724, 99747,20181129,   63,    0
 18724, 99747,20181130,   65,    0
 18724, 99747,20181201,   38,    0
 18724, 99747,20181202,   55,    0
 18724, 99747,20181203,   65,    0
 18724, 99747,20181204,   29,    0
 18724, 99747,20181205,   10,    0
 18724, 99747,20181206,   32,    0
 18724, 99747,20181207,   49,    0
 18724, 99747,20181208,   46,    0
 18724, 99747,20181209,   34,    0
 18724, 99747,20181210,   39,    0
 18724, 99747,20181211,   15,    0
 18724, 99747,20181212,    7,    0
 18724, 99747,20181213,    1,    0
 18724, 99747,20181214,   -6,    0
 18724, 99747,20181215,   30,    0
 18724, 99747,20181216,   56,    0
 18724, 99747,20181217,   18,    0
 18724, 99747,20181218,   38,    0
 18724, 99747,20181219,-9999,    9
 18724, 99747,20181220,   75,    0
 18724, 99747,20181221,   50,    0
 18724, 99747,20181222,   25,    0
 18724, 99747,20181223,    4,    0
 18724, 99747,20181224,    9,    0
 18724, 99747,20181225,   70,    0
 18724, 99747,20181226,   44,    0
 18724, 99747,20181227,   64,    0
 18724, 99747,20181228,   49,    0
 18724, 99747,20181229,   43,    0
 18724, 99747,20181230,   20,    0
 18724, 99747,20181231,   54,    0
 18724, 99747,20190101,   57,    0
 18724, 99747,20190102,   20,    0
 18724, 99747,20190103,    2,    0
 18724, 99747,20190104,   23,    0
 18724, 99747,20190105,   54,    0
 18724, 99747,20190106,   48,    0
 18724, 99747,20190107,   27,    0
