EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MESTERVIK, NORWAY (STAID: 18732)
Blended and updated with sources:100571 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18732,100571,19641101,   59,    0
 18732,100571,19641102,   40,    0
 18732,100571,19641103,  -24,    0
 18732,100571,19641104,   -4,    0
 18732,100571,19641105,  -45,    0
 18732,100571,19641106, -103,    0
 18732,100571,19641107,  -54,    0
 18732,100571,19641108,  -80,    0
 18732,100571,19641109,   -4,    0
 18732,100571,19641110,   32,    0
 18732,100571,19641111,  -11,    0
 18732,100571,19641112,  -27,    0
 18732,100571,19641113,   24,    0
 18732,100571,19641114,   12,    0
 18732,100571,19641115,   39,    0
 18732,100571,19641116,   35,    0
 18732,100571,19641117,   26,    0
 18732,100571,19641118,   19,    0
 18732,100571,19641119,  -29,    0
 18732,100571,19641120,  -19,    0
 18732,100571,19641121,  -38,    0
 18732,100571,19641122,  -29,    0
 18732,100571,19641123,  -36,    0
 18732,100571,19641124,  -15,    0
 18732,100571,19641125,  -12,    0
 18732,100571,19641126,  -27,    0
 18732,100571,19641127,  -51,    0
 18732,100571,19641128,  -58,    0
 18732,100571,19641129,  -81,    0
 18732,100571,19641130, -143,    0
 18732,100571,19641201,  -96,    0
 18732,100571,19641202,  -61,    0
 18732,100571,19641203,  -30,    0
 18732,100571,19641204,  -11,    0
 18732,100571,19641205,  -77,    0
 18732,100571,19641206,  -56,    0
 18732,100571,19641207,  -15,    0
 18732,100571,19641208,  -46,    0
 18732,100571,19641209,   27,    0
 18732,100571,19641210,   50,    0
 18732,100571,19641211,   28,    0
 18732,100571,19641212,   20,    0
 18732,100571,19641213,   23,    0
 18732,100571,19641214,  -89,    0
 18732,100571,19641215,  -68,    0
 18732,100571,19641216,  -27,    0
 18732,100571,19641217,   10,    0
 18732,100571,19641218,  -46,    0
 18732,100571,19641219,  -65,    0
 18732,100571,19641220,  -47,    0
 18732,100571,19641221,    6,    0
 18732,100571,19641222,   28,    0
 18732,100571,19641223,   11,    0
 18732,100571,19641224,  -10,    0
 18732,100571,19641225,  -26,    0
 18732,100571,19641226,  -22,    0
 18732,100571,19641227,  -45,    0
 18732,100571,19641228,  -46,    0
 18732,100571,19641229,   -7,    0
 18732,100571,19641230,  -50,    0
 18732,100571,19641231,  -24,    0
 18732,100571,19650101,  -59,    0
 18732,100571,19650102,  -43,    0
 18732,100571,19650103,  -61,    0
 18732,100571,19650104,  -45,    0
 18732,100571,19650105,  -46,    0
 18732,100571,19650106,  -55,    0
 18732,100571,19650107,  -90,    0
 18732,100571,19650108, -114,    0
 18732,100571,19650109,  -89,    0
 18732,100571,19650110, -195,    0
 18732,100571,19650111,  -85,    0
 18732,100571,19650112,  -31,    0
 18732,100571,19650113,   21,    0
 18732,100571,19650114,   15,    0
 18732,100571,19650115,    4,    0
 18732,100571,19650116,  -18,    0
 18732,100571,19650117,  -14,    0
 18732,100571,19650118,  -33,    0
 18732,100571,19650119,  -44,    0
 18732,100571,19650120,  -89,    0
 18732,100571,19650121,  -42,    0
 18732,100571,19650122,  -27,    0
 18732,100571,19650123,  -47,    0
 18732,100571,19650124,  -71,    0
 18732,100571,19650125,  -59,    0
 18732,100571,19650126,  -54,    0
 18732,100571,19650127,  -69,    0
 18732,100571,19650128,   -2,    0
 18732,100571,19650129,  -17,    0
 18732,100571,19650130,  -84,    0
 18732,100571,19650131,  -70,    0
 18732,100571,19650201,  -34,    0
 18732,100571,19650202,  -31,    0
 18732,100571,19650203,  -12,    0
 18732,100571,19650204,    8,    0
 18732,100571,19650205,   15,    0
 18732,100571,19650206,   21,    0
 18732,100571,19650207,  -14,    0
 18732,100571,19650208,  -43,    0
 18732,100571,19650209,    0,    0
 18732,100571,19650210,  -28,    0
 18732,100571,19650211,  -42,    0
 18732,100571,19650212, -109,    0
 18732,100571,19650213,  -86,    0
 18732,100571,19650214,  -96,    0
 18732,100571,19650215, -144,    0
 18732,100571,19650216,  -73,    0
 18732,100571,19650217,   22,    0
 18732,100571,19650218,   36,    0
 18732,100571,19650219,    1,    0
 18732,100571,19650220,   10,    0
 18732,100571,19650221,  -53,    0
 18732,100571,19650222,  -66,    0
 18732,100571,19650223,  -39,    0
 18732,100571,19650224,  -66,    0
 18732,100571,19650225, -103,    0
 18732,100571,19650226, -156,    0
 18732,100571,19650227, -155,    0
 18732,100571,19650228,  -70,    0
 18732,100571,19650301,  -54,    0
 18732,100571,19650302,  -82,    0
 18732,100571,19650303,  -79,    0
 18732,100571,19650304, -101,    0
 18732,100571,19650305, -137,    0
 18732,100571,19650306, -108,    0
 18732,100571,19650307,    5,    0
 18732,100571,19650308,  -27,    0
 18732,100571,19650309,  -83,    0
 18732,100571,19650310,  -61,    0
 18732,100571,19650311,  -16,    0
 18732,100571,19650312,   45,    0
 18732,100571,19650313,  -44,    0
 18732,100571,19650314,  -40,    0
 18732,100571,19650315,  -22,    0
 18732,100571,19650316,  -64,    0
 18732,100571,19650317,  -70,    0
 18732,100571,19650318,  -66,    0
 18732,100571,19650319,  -49,    0
 18732,100571,19650320,  -51,    0
 18732,100571,19650321,  -26,    0
 18732,100571,19650322,  -43,    0
 18732,100571,19650323,  -79,    0
 18732,100571,19650324,  -46,    0
 18732,100571,19650325,  -42,    0
 18732,100571,19650326,  -32,    0
 18732,100571,19650327,  -36,    0
 18732,100571,19650328,  -43,    0
 18732,100571,19650329,  -18,    0
 18732,100571,19650330,  -13,    0
 18732,100571,19650331,  -34,    0
 18732,100571,19650401,  -57,    0
 18732,100571,19650402,  -41,    0
 18732,100571,19650403,  -25,    0
 18732,100571,19650404,  -23,    0
 18732,100571,19650405,  -16,    0
 18732,100571,19650406,  -38,    0
 18732,100571,19650407,  -54,    0
 18732,100571,19650408,  -55,    0
 18732,100571,19650409,  -37,    0
 18732,100571,19650410,  -24,    0
 18732,100571,19650411,    9,    0
 18732,100571,19650412,   34,    0
 18732,100571,19650413,   48,    0
 18732,100571,19650414,   43,    0
 18732,100571,19650415,   47,    0
 18732,100571,19650416,   46,    0
 18732,100571,19650417,   32,    0
 18732,100571,19650418,   53,    0
 18732,100571,19650419,   61,    0
 18732,100571,19650420,   56,    0
 18732,100571,19650421,   23,    0
 18732,100571,19650422,   29,    0
 18732,100571,19650423,   39,    0
 18732,100571,19650424,   78,    0
 18732,100571,19650425,   82,    0
 18732,100571,19650426,   63,    0
 18732,100571,19650427,   57,    0
 18732,100571,19650428,   46,    0
 18732,100571,19650429,   30,    0
 18732,100571,19650430,   29,    0
 18732,100571,19650501,   16,    0
 18732,100571,19650502,   30,    0
 18732,100571,19650503,   41,    0
 18732,100571,19650504,   40,    0
 18732,100571,19650505,   33,    0
 18732,100571,19650506,   30,    0
 18732,100571,19650507,   34,    0
 18732,100571,19650508,   30,    0
 18732,100571,19650509,   35,    0
 18732,100571,19650510,   16,    0
 18732,100571,19650511,   15,    0
 18732,100571,19650512,   18,    0
 18732,100571,19650513,   24,    0
 18732,100571,19650514,   18,    0
 18732,100571,19650515,   13,    0
 18732,100571,19650516,   14,    0
 18732,100571,19650517,   16,    0
 18732,100571,19650518,   35,    0
 18732,100571,19650519,   16,    0
 18732,100571,19650520,   19,    0
 18732,100571,19650521,   17,    0
 18732,100571,19650522,   27,    0
 18732,100571,19650523,   44,    0
 18732,100571,19650524,   64,    0
 18732,100571,19650525,   48,    0
 18732,100571,19650526,   24,    0
 18732,100571,19650527,   29,    0
 18732,100571,19650528,   32,    0
 18732,100571,19650529,   30,    0
 18732,100571,19650530,   36,    0
 18732,100571,19650531,   60,    0
 18732,100571,19650601,   65,    0
 18732,100571,19650602,   43,    0
 18732,100571,19650603,   65,    0
 18732,100571,19650604,   80,    0
 18732,100571,19650605,   75,    0
 18732,100571,19650606,  115,    0
 18732,100571,19650607,  153,    0
 18732,100571,19650608,  159,    0
 18732,100571,19650609,   72,    0
 18732,100571,19650610,   69,    0
 18732,100571,19650611,   49,    0
 18732,100571,19650612,   72,    0
 18732,100571,19650613,   75,    0
 18732,100571,19650614,   96,    0
 18732,100571,19650615,   70,    0
 18732,100571,19650616,   89,    0
 18732,100571,19650617,  105,    0
 18732,100571,19650618,  133,    0
 18732,100571,19650619,  117,    0
 18732,100571,19650620,   82,    0
 18732,100571,19650621,   92,    0
 18732,100571,19650622,  108,    0
 18732,100571,19650623,   95,    0
 18732,100571,19650624,  116,    0
 18732,100571,19650625,  159,    0
 18732,100571,19650626,  181,    0
 18732,100571,19650627,  172,    0
 18732,100571,19650628,  118,    0
 18732,100571,19650629,   96,    0
 18732,100571,19650630,   80,    0
 18732,100571,19650701,   70,    0
 18732,100571,19650702,   68,    0
 18732,100571,19650703,   45,    0
 18732,100571,19650704,   79,    0
 18732,100571,19650705,  110,    0
 18732,100571,19650706,  108,    0
 18732,100571,19650707,   84,    0
 18732,100571,19650708,   79,    0
 18732,100571,19650709,   49,    0
 18732,100571,19650710,   72,    0
 18732,100571,19650711,   81,    0
 18732,100571,19650712,  116,    0
 18732,100571,19650713,  165,    0
 18732,100571,19650714,  121,    0
 18732,100571,19650715,   75,    0
 18732,100571,19650716,   80,    0
 18732,100571,19650717,   93,    0
 18732,100571,19650718,  102,    0
 18732,100571,19650719,  102,    0
 18732,100571,19650720,  110,    0
 18732,100571,19650721,  102,    0
 18732,100571,19650722,  111,    0
 18732,100571,19650723,  132,    0
 18732,100571,19650724,  103,    0
 18732,100571,19650725,   76,    0
 18732,100571,19650726,   90,    0
 18732,100571,19650727,  152,    0
 18732,100571,19650728,  187,    0
 18732,100571,19650729,  150,    0
 18732,100571,19650730,  151,    0
 18732,100571,19650731,  117,    0
 18732,100571,19650801,  108,    0
 18732,100571,19650802,   82,    0
 18732,100571,19650803,   91,    0
 18732,100571,19650804,   93,    0
 18732,100571,19650805,   74,    0
 18732,100571,19650806,   92,    0
 18732,100571,19650807,   96,    0
 18732,100571,19650808,   89,    0
 18732,100571,19650809,   92,    0
 18732,100571,19650810,   92,    0
 18732,100571,19650811,  103,    0
 18732,100571,19650812,  101,    0
 18732,100571,19650813,   89,    0
 18732,100571,19650814,   87,    0
 18732,100571,19650815,   97,    0
 18732,100571,19650816,   93,    0
 18732,100571,19650817,   98,    0
 18732,100571,19650818,  133,    0
 18732,100571,19650819,  155,    0
 18732,100571,19650820,  119,    0
 18732,100571,19650821,  119,    0
 18732,100571,19650822,  135,    0
 18732,100571,19650823,  104,    0
 18732,100571,19650824,  139,    0
 18732,100571,19650825,  155,    0
 18732,100571,19650826,  161,    0
 18732,100571,19650827,  169,    0
 18732,100571,19650828,  127,    0
 18732,100571,19650829,  140,    0
 18732,100571,19650830,  136,    0
 18732,100571,19650831,  137,    0
 18732,100571,19650901,  106,    0
 18732,100571,19650902,  121,    0
 18732,100571,19650903,  120,    0
 18732,100571,19650904,  129,    0
 18732,100571,19650905,  121,    0
 18732,100571,19650906,  129,    0
 18732,100571,19650907,  143,    0
 18732,100571,19650908,  141,    0
 18732,100571,19650909,  123,    0
 18732,100571,19650910,  117,    0
 18732,100571,19650911,  103,    0
 18732,100571,19650912,   78,    0
 18732,100571,19650913,   65,    0
 18732,100571,19650914,   72,    0
 18732,100571,19650915,   75,    0
 18732,100571,19650916,   83,    0
 18732,100571,19650917,   74,    0
 18732,100571,19650918,   77,    0
 18732,100571,19650919,   81,    0
 18732,100571,19650920,   76,    0
 18732,100571,19650921,   87,    0
 18732,100571,19650922,   79,    0
 18732,100571,19650923,   69,    0
 18732,100571,19650924,   92,    0
 18732,100571,19650925,  100,    0
 18732,100571,19650926,  105,    0
 18732,100571,19650927,   74,    0
 18732,100571,19650928,   69,    0
 18732,100571,19650929,   72,    0
 18732,100571,19650930,   56,    0
 18732,100571,19651001,   31,    0
 18732,100571,19651002,   33,    0
 18732,100571,19651003,   38,    0
 18732,100571,19651004,   22,    0
 18732,100571,19651005,   38,    0
 18732,100571,19651006,   24,    0
 18732,100571,19651007,   48,    0
 18732,100571,19651008,   20,    0
 18732,100571,19651009,    8,    0
 18732,100571,19651010,   -8,    0
 18732,100571,19651011,  -31,    0
 18732,100571,19651012,   19,    0
 18732,100571,19651013,   32,    0
 18732,100571,19651014,    1,    0
 18732,100571,19651015,   30,    0
 18732,100571,19651016,   29,    0
 18732,100571,19651017,  -12,    0
 18732,100571,19651018,  -20,    0
 18732,100571,19651019,   -3,    0
 18732,100571,19651020,   60,    0
 18732,100571,19651021,   72,    0
 18732,100571,19651022,   37,    0
 18732,100571,19651023,   74,    0
 18732,100571,19651024,   90,    0
 18732,100571,19651025,   86,    0
 18732,100571,19651026,   52,    0
 18732,100571,19651027,   74,    0
 18732,100571,19651028,   58,    0
 18732,100571,19651029,   30,    0
 18732,100571,19651030,    2,    0
 18732,100571,19651031,   -1,    0
 18732,100571,19651101,   23,    0
 18732,100571,19651102,   46,    0
 18732,100571,19651103,   23,    0
 18732,100571,19651104,  -25,    0
 18732,100571,19651105,   54,    0
 18732,100571,19651106,   -6,    0
 18732,100571,19651107,   18,    0
 18732,100571,19651108,   24,    0
 18732,100571,19651109,    0,    0
 18732,100571,19651110,  -20,    0
 18732,100571,19651111,  -34,    0
 18732,100571,19651112,  -59,    0
 18732,100571,19651113,    2,    0
 18732,100571,19651114,  -41,    0
 18732,100571,19651115,  -56,    0
 18732,100571,19651116,    4,    0
 18732,100571,19651117,  -68,    0
 18732,100571,19651118, -109,    0
 18732,100571,19651119, -147,    0
 18732,100571,19651120, -152,    0
 18732,100571,19651121,  -91,    0
 18732,100571,19651122, -126,    0
 18732,100571,19651123, -100,    0
 18732,100571,19651124,  -81,    0
 18732,100571,19651125,  -89,    0
 18732,100571,19651126, -113,    0
 18732,100571,19651127,  -61,    0
 18732,100571,19651128,  -31,    0
 18732,100571,19651129,  -74,    0
 18732,100571,19651130,  -67,    0
 18732,100571,19651201,  -44,    0
 18732,100571,19651202,  -47,    0
 18732,100571,19651203,  -56,    0
 18732,100571,19651204,  -47,    0
 18732,100571,19651205,  -32,    0
 18732,100571,19651206,  -54,    0
 18732,100571,19651207,  -49,    0
 18732,100571,19651208,  -57,    0
 18732,100571,19651209,  -49,    0
 18732,100571,19651210,  -99,    0
 18732,100571,19651211, -153,    0
 18732,100571,19651212,  -91,    0
 18732,100571,19651213,  -60,    0
 18732,100571,19651214, -127,    0
 18732,100571,19651215,  -67,    0
 18732,100571,19651216,  -42,    0
 18732,100571,19651217,  -60,    0
 18732,100571,19651218,  -62,    0
 18732,100571,19651219,  -72,    0
 18732,100571,19651220,  -95,    0
 18732,100571,19651221,  -42,    0
