EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOEYLANDET - DRAGEIDET, NORWAY (STAID: 18742)
Blended and updated with sources:99080 100582 100723 901295 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18742,100723,19540601,   67,    0
 18742,100723,19540602,   68,    0
 18742,100723,19540603,   68,    0
 18742,100723,19540604,   91,    0
 18742,100723,19540605,   79,    0
 18742,100723,19540606,   79,    0
 18742,100723,19540607,   94,    0
 18742,100723,19540608,   88,    0
 18742,100723,19540609,  122,    0
 18742,100723,19540610,  116,    0
 18742,100723,19540611,  141,    0
 18742,100723,19540612,   86,    0
 18742,100723,19540613,   69,    0
 18742,100723,19540614,   79,    0
 18742,100723,19540615,   99,    0
 18742,100723,19540616,  112,    0
 18742,100723,19540617,  120,    0
 18742,100723,19540618,  169,    0
 18742,100723,19540619,  183,    0
 18742,100723,19540620,  156,    0
 18742,100723,19540621,  155,    0
 18742,100723,19540622,  136,    0
 18742,100723,19540623,  131,    0
 18742,100723,19540624,  135,    0
 18742,100723,19540625,  114,    0
 18742,100723,19540626,  167,    0
 18742,100723,19540627,  173,    0
 18742,100723,19540628,  130,    0
 18742,100723,19540629,   98,    0
 18742,100723,19540630,  111,    0
 18742,100723,19540701,  111,    0
 18742,100723,19540702,  120,    0
 18742,100723,19540703,  133,    0
 18742,100723,19540704,  188,    0
 18742,100723,19540705,  181,    0
 18742,100723,19540706,  154,    0
 18742,100723,19540707,  143,    0
 18742,100723,19540708,  163,    0
 18742,100723,19540709,  159,    0
 18742,100723,19540710,  181,    0
 18742,100723,19540711,  212,    0
 18742,100723,19540712,  224,    0
 18742,100723,19540713,  230,    0
 18742,100723,19540714,  182,    0
 18742,100723,19540715,  148,    0
 18742,100723,19540716,  133,    0
 18742,100723,19540717,  138,    0
 18742,100723,19540718,  160,    0
 18742,100723,19540719,  113,    0
 18742,100723,19540720,  119,    0
 18742,100723,19540721,  128,    0
 18742,100723,19540722,  111,    0
 18742,100723,19540723,  111,    0
 18742,100723,19540724,  136,    0
 18742,100723,19540725,  207,    0
 18742,100723,19540726,  162,    0
 18742,100723,19540727,  181,    0
 18742,100723,19540728,  180,    0
 18742,100723,19540729,  158,    0
 18742,100723,19540730,  168,    0
 18742,100723,19540731,  174,    0
 18742,100723,19540801,  169,    0
 18742,100723,19540802,  170,    0
 18742,100723,19540803,  138,    0
 18742,100723,19540804,  137,    0
 18742,100723,19540805,  128,    0
 18742,100723,19540806,  136,    0
 18742,100723,19540807,  192,    0
 18742,100723,19540808,  160,    0
 18742,100723,19540809,  173,    0
 18742,100723,19540810,  162,    0
 18742,100723,19540811,  175,    0
 18742,100723,19540812,  132,    0
 18742,100723,19540813,  128,    0
 18742,100723,19540814,  131,    0
 18742,100723,19540815,  133,    0
 18742,100723,19540816,  122,    0
 18742,100723,19540817,  107,    0
 18742,100723,19540818,  119,    0
 18742,100723,19540819,  113,    0
 18742,100723,19540820,  105,    0
 18742,100723,19540821,  116,    0
 18742,100723,19540822,  129,    0
 18742,100723,19540823,  126,    0
 18742,100723,19540824,  154,    0
 18742,100723,19540825,  110,    0
 18742,100723,19540826,  112,    0
 18742,100723,19540827,  125,    0
 18742,100723,19540828,  124,    0
 18742,100723,19540829,  109,    0
 18742,100723,19540830,  112,    0
 18742,100723,19540831,  104,    0
 18742,100723,19540901,  109,    0
 18742,100723,19540902,  119,    0
 18742,100723,19540903,  119,    0
 18742,100723,19540904,  112,    0
 18742,100723,19540905,  100,    0
 18742,100723,19540906,  105,    0
 18742,100723,19540907,  112,    0
 18742,100723,19540908,  117,    0
 18742,100723,19540909,  135,    0
 18742,100723,19540910,  144,    0
 18742,100723,19540911,  121,    0
 18742,100723,19540912,  104,    0
 18742,100723,19540913,  104,    0
 18742,100723,19540914,   91,    0
 18742,100723,19540915,   87,    0
