EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BASTAD, NORWAY (STAID: 18758)
Blended and updated with sources:99548 100603 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18758,100603,19610901,  136,    0
 18758,100603,19610902,  136,    0
 18758,100603,19610903,  127,    0
 18758,100603,19610904,   86,    0
 18758,100603,19610905,  101,    0
 18758,100603,19610906,   99,    0
 18758,100603,19610907,  107,    0
 18758,100603,19610908,  101,    0
 18758,100603,19610909,  102,    0
 18758,100603,19610910,   93,    0
 18758,100603,19610911,  125,    0
 18758,100603,19610912,  121,    0
 18758,100603,19610913,   92,    0
 18758,100603,19610914,  123,    0
 18758,100603,19610915,  103,    0
 18758,100603,19610916,  129,    0
 18758,100603,19610917,  149,    0
 18758,100603,19610918,  134,    0
 18758,100603,19610919,   80,    0
 18758,100603,19610920,   82,    0
 18758,100603,19610921,   84,    0
 18758,100603,19610922,  112,    0
 18758,100603,19610923,   89,    0
 18758,100603,19610924,  106,    0
 18758,100603,19610925,  103,    0
 18758,100603,19610926,   60,    0
 18758,100603,19610927,  110,    0
 18758,100603,19610928,  106,    0
 18758,100603,19610929,  119,    0
 18758,100603,19610930,   63,    0
 18758,100603,19611001,  120,    0
 18758,100603,19611002,   74,    0
 18758,100603,19611003,  106,    0
 18758,100603,19611004,   96,    0
 18758,100603,19611005,  123,    0
 18758,100603,19611006,  123,    0
 18758,100603,19611007,  115,    0
 18758,100603,19611008,   99,    0
 18758,100603,19611009,  114,    0
 18758,100603,19611010,  135,    0
 18758,100603,19611011,  127,    0
 18758,100603,19611012,   96,    0
 18758,100603,19611013,   57,    0
 18758,100603,19611014,   81,    0
 18758,100603,19611015,   77,    0
 18758,100603,19611016,   83,    0
 18758,100603,19611017,   54,    0
 18758,100603,19611018,   64,    0
 18758,100603,19611019,   83,    0
 18758,100603,19611020,  103,    0
 18758,100603,19611021,   95,    0
 18758,100603,19611022,   97,    0
 18758,100603,19611023,   82,    0
 18758,100603,19611024,   80,    0
 18758,100603,19611025,   73,    0
 18758,100603,19611026,   55,    0
 18758,100603,19611027,   84,    0
 18758,100603,19611028,   83,    0
 18758,100603,19611029,   77,    0
 18758,100603,19611030,   25,    0
 18758,100603,19611031,   38,    0
 18758,100603,19611101,   13,    0
 18758,100603,19611102,   80,    0
 18758,100603,19611103,   35,    0
 18758,100603,19611104,    2,    0
 18758,100603,19611105,  -31,    0
 18758,100603,19611106,   34,    0
 18758,100603,19611107,   11,    0
 18758,100603,19611108,   65,    0
 18758,100603,19611109,   69,    0
 18758,100603,19611110,   63,    0
 18758,100603,19611111,   60,    0
 18758,100603,19611112,   32,    0
 18758,100603,19611113,   10,    0
