EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OLDEN - VANGBERG, NORWAY (STAID: 18768)
Blended and updated with sources:100613 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18768,100613,19730701,  193,    0
 18768,100613,19730702,  168,    0
 18768,100613,19730703,  145,    0
 18768,100613,19730704,  140,    0
 18768,100613,19730705,  154,    0
 18768,100613,19730706,  184,    0
 18768,100613,19730707,  236,    0
 18768,100613,19730708,  121,    0
 18768,100613,19730709,  121,    0
 18768,100613,19730710,  124,    0
 18768,100613,19730711,  121,    0
 18768,100613,19730712,  145,    0
 18768,100613,19730713,  135,    0
 18768,100613,19730714,  146,    0
 18768,100613,19730715,  172,    0
 18768,100613,19730716,  166,    0
 18768,100613,19730717,  143,    0
 18768,100613,19730718,  126,    0
 18768,100613,19730719,  131,    0
 18768,100613,19730720,  153,    0
 18768,100613,19730721,  130,    0
 18768,100613,19730722,  152,    0
 18768,100613,19730723,  159,    0
 18768,100613,19730724,  162,    0
 18768,100613,19730725,  165,    0
 18768,100613,19730726,  147,    0
 18768,100613,19730727,  161,    0
 18768,100613,19730728,  177,    0
 18768,100613,19730729,  161,    0
 18768,100613,19730730,  155,    0
 18768,100613,19730731,  135,    0
 18768,100613,19730801,  120,    0
 18768,100613,19730802,  134,    0
 18768,100613,19730803,  137,    0
 18768,100613,19730804,  145,    0
 18768,100613,19730805,  130,    0
 18768,100613,19730806,  110,    0
 18768,100613,19730807,   94,    0
 18768,100613,19730808,  103,    0
 18768,100613,19730809,   97,    0
 18768,100613,19730810,  126,    0
 18768,100613,19730811,  118,    0
 18768,100613,19730812,  109,    0
 18768,100613,19730813,  134,    0
 18768,100613,19730814,  163,    0
 18768,100613,19730815,  158,    0
 18768,100613,19730816,  164,    0
 18768,100613,19730817,  165,    0
 18768,100613,19730818,  114,    0
 18768,100613,19730819,   97,    0
 18768,100613,19730820,   87,    0
 18768,100613,19730821,   81,    0
 18768,100613,19730822,   81,    0
 18768,100613,19730823,   81,    0
 18768,100613,19730824,  103,    0
 18768,100613,19730825,   89,    0
 18768,100613,19730826,  111,    0
 18768,100613,19730827,  109,    0
 18768,100613,19730828,  115,    0
 18768,100613,19730829,  122,    0
 18768,100613,19730830,  118,    0
 18768,100613,19730831,  114,    0
 18768,100613,19730901,  104,    0
 18768,100613,19730902,  100,    0
