EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LESJASKOG, NORWAY (STAID: 18773)
Blended and updated with sources:100618 100975 901231 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18773,100975,19190401,-9999,    9
 18773,100975,19190402,-9999,    9
 18773,100975,19190403,-9999,    9
 18773,100975,19190404,-9999,    9
 18773,100975,19190405,-9999,    9
 18773,100975,19190406,-9999,    9
 18773,100975,19190407,-9999,    9
 18773,100975,19190408,-9999,    9
 18773,100975,19190409,-9999,    9
 18773,100975,19190410,-9999,    9
 18773,100975,19190411,-9999,    9
 18773,100975,19190412,-9999,    9
 18773,100975,19190413,-9999,    9
 18773,100975,19190414,-9999,    9
 18773,100975,19190415,-9999,    9
 18773,100975,19190416,-9999,    9
 18773,100975,19190417,   27,    1
 18773,100975,19190418,   59,    1
 18773,100975,19190419,   24,    1
 18773,100975,19190420,   11,    1
 18773,100975,19190421,   33,    1
 18773,100975,19190422,   56,    1
 18773,100975,19190423,   29,    1
 18773,100975,19190424,   -6,    0
 18773,100975,19190425,   14,    1
 18773,100975,19190426,   11,    1
 18773,100975,19190427,   16,    1
 18773,100975,19190428,    4,    1
 18773,100975,19190429,   14,    1
 18773,100975,19190430,   29,    1
 18773,100975,19190501,   54,    1
 18773,100975,19190502,   28,    1
 18773,100975,19190503,   38,    1
 18773,100975,19190504,   56,    1
 18773,100975,19190505,   86,    1
 18773,100975,19190506,   70,    1
 18773,100975,19190507,   62,    1
 18773,100975,19190508,   53,    1
 18773,100975,19190509,   60,    1
 18773,100975,19190510,   70,    1
 18773,100975,19190511,   67,    1
 18773,100975,19190512,   71,    1
 18773,100975,19190513,   86,    1
 18773,100975,19190514,   98,    1
 18773,100975,19190515,   69,    1
 18773,100975,19190516,   70,    1
 18773,100975,19190517,   83,    1
 18773,100975,19190518,   78,    1
 18773,100975,19190519,   93,    1
 18773,100975,19190520,  107,    1
 18773,100975,19190521,  126,    1
 18773,100975,19190522,  143,    1
 18773,100975,19190523,  132,    1
 18773,100975,19190524,  123,    1
 18773,100975,19190525,  145,    1
 18773,100975,19190526,   83,    1
 18773,100975,19190527,   84,    1
 18773,100975,19190528,   75,    1
 18773,100975,19190529,   56,    1
 18773,100975,19190530,   90,    1
 18773,100975,19190531,   97,    1
 18773,100975,19190601,   40,    1
 18773,100975,19190602,   44,    1
 18773,100975,19190603,   57,    1
 18773,100975,19190604,   79,    1
 18773,100975,19190605,  113,    1
 18773,100975,19190606,  116,    1
 18773,100975,19190607,  120,    1
 18773,100975,19190608,  121,    1
 18773,100975,19190609,  103,    1
 18773,100975,19190610,   82,    1
 18773,100975,19190611,   74,    1
 18773,100975,19190612,  115,    1
 18773,100975,19190613,  100,    1
 18773,100975,19190614,   82,    1
 18773,100975,19190615,  112,    1
 18773,100975,19190616,  128,    1
 18773,100975,19190617,  103,    1
 18773,100975,19190618,  109,    1
 18773,100975,19190619,  106,    1
 18773,100975,19190620,   99,    1
 18773,100975,19190621,   98,    1
 18773,100975,19190622,   82,    1
 18773,100975,19190623,  101,    1
 18773,100975,19190624,   80,    1
 18773,100975,19190625,   83,    1
 18773,100975,19190626,   94,    1
 18773,100975,19190627,  109,    1
 18773,100975,19190628,   81,    1
 18773,100975,19190629,   55,    1
 18773,100975,19190630,  104,    1
 18773,100975,19190701,  105,    1
 18773,100975,19190702,  113,    1
 18773,100975,19190703,  143,    1
 18773,100975,19190704,  154,    1
 18773,100975,19190705,  127,    1
 18773,100975,19190706,  159,    1
 18773,100975,19190707,  134,    1
 18773,100975,19190708,  175,    1
 18773,100975,19190709,  149,    1
 18773,100975,19190710,  173,    1
 18773,100975,19190711,  132,    1
 18773,100975,19190712,  120,    1
 18773,100975,19190713,   82,    1
 18773,100975,19190714,   95,    1
 18773,100975,19190715,  152,    1
 18773,100975,19190716,  141,    1
 18773,100975,19190717,  128,    1
 18773,100975,19190718,  146,    1
 18773,100975,19190719,  166,    1
 18773,100975,19190720,  137,    1
 18773,100975,19190721,  154,    1
 18773,100975,19190722,  156,    1
 18773,100975,19190723,  177,    1
 18773,100975,19190724,  144,    1
 18773,100975,19190725,  103,    1
 18773,100975,19190726,  101,    1
 18773,100975,19190727,  121,    1
 18773,100975,19190728,  111,    1
 18773,100975,19190729,  105,    1
 18773,100975,19190730,  119,    1
 18773,100975,19190731,  132,    1
 18773,100975,19190801,  108,    1
 18773,100975,19190802,  107,    1
 18773,100975,19190803,   97,    1
 18773,100975,19190804,   89,    1
 18773,100975,19190805,   99,    1
 18773,100975,19190806,   74,    1
 18773,100975,19190807,   81,    1
 18773,100975,19190808,   76,    1
 18773,100975,19190809,   85,    1
 18773,100975,19190810,   87,    1
 18773,100975,19190811,   65,    1
 18773,100975,19190812,   83,    1
 18773,100975,19190813,   95,    1
 18773,100975,19190814,   59,    1
 18773,100975,19190815,   59,    1
 18773,100975,19190816,   83,    1
 18773,100975,19190817,   85,    1
 18773,100975,19190818,   87,    1
 18773,100975,19190819,   89,    1
 18773,100975,19190820,   82,    1
 18773,100975,19190821,   51,    1
 18773,100975,19190822,   67,    1
 18773,100975,19190823,   71,    1
 18773,100975,19190824,   70,    1
 18773,100975,19190825,   68,    1
 18773,100975,19190826,   69,    1
 18773,100975,19190827,   73,    1
 18773,100975,19190828,   94,    1
 18773,100975,19190829,   72,    1
 18773,100975,19190830,   84,    1
 18773,100975,19190831,   69,    1
 18773,100975,19190901,   84,    1
 18773,100975,19190902,   75,    1
