EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KIRKENES LUFTHAVN - HOEYDE 212, NORWAY (STAID: 18791)
Blended and updated with sources:100639 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18791,100639,20120601,-9999,    9
 18791,100639,20120602,-9999,    9
 18791,100639,20120603,-9999,    9
 18791,100639,20120604,-9999,    9
 18791,100639,20120605,-9999,    9
 18791,100639,20120606,-9999,    9
 18791,100639,20120607,-9999,    9
 18791,100639,20120608,-9999,    9
 18791,100639,20120609,-9999,    9
 18791,100639,20120610,-9999,    9
 18791,100639,20120611,-9999,    9
 18791,100639,20120612,-9999,    9
 18791,100639,20120613,-9999,    9
 18791,100639,20120614,-9999,    9
 18791,100639,20120615,-9999,    9
 18791,100639,20120616,-9999,    9
 18791,100639,20120617,-9999,    9
 18791,100639,20120618,-9999,    9
 18791,100639,20120619,-9999,    9
 18791,100639,20120620,    3,    0
 18791,100639,20120621,-9999,    9
 18791,100639,20120622,-9999,    9
 18791,100639,20120623,-9999,    9
 18791,100639,20120624,-9999,    9
 18791,100639,20120625,-9999,    9
 18791,100639,20120626,-9999,    9
 18791,100639,20120627,-9999,    9
 18791,100639,20120628,-9999,    9
 18791,100639,20120629,-9999,    9
 18791,100639,20120630,-9999,    9
 18791,100639,20120701,-9999,    9
 18791,100639,20120702,-9999,    9
 18791,100639,20120703,-9999,    9
 18791,100639,20120704,-9999,    9
 18791,100639,20120705,-9999,    9
 18791,100639,20120706,-9999,    9
 18791,100639,20120707,-9999,    9
 18791,100639,20120708,-9999,    9
 18791,100639,20120709,-9999,    9
 18791,100639,20120710,-9999,    9
 18791,100639,20120711,-9999,    9
 18791,100639,20120712,-9999,    9
 18791,100639,20120713,-9999,    9
 18791,100639,20120714,-9999,    9
 18791,100639,20120715,-9999,    9
 18791,100639,20120716,-9999,    9
 18791,100639,20120717,-9999,    9
 18791,100639,20120718,-9999,    9
 18791,100639,20120719,-9999,    9
 18791,100639,20120720,-9999,    9
 18791,100639,20120721,-9999,    9
 18791,100639,20120722,-9999,    9
 18791,100639,20120723,-9999,    9
 18791,100639,20120724,-9999,    9
 18791,100639,20120725,-9999,    9
 18791,100639,20120726,-9999,    9
 18791,100639,20120727,-9999,    9
 18791,100639,20120728,-9999,    9
 18791,100639,20120729,-9999,    9
 18791,100639,20120730,-9999,    9
 18791,100639,20120731,-9999,    9
 18791,100639,20120801,-9999,    9
 18791,100639,20120802,-9999,    9
 18791,100639,20120803,-9999,    9
 18791,100639,20120804,-9999,    9
 18791,100639,20120805,-9999,    9
 18791,100639,20120806,-9999,    9
 18791,100639,20120807,-9999,    9
 18791,100639,20120808,-9999,    9
 18791,100639,20120809,-9999,    9
 18791,100639,20120810,-9999,    9
 18791,100639,20120811,-9999,    9
 18791,100639,20120812,-9999,    9
 18791,100639,20120813,-9999,    9
 18791,100639,20120814,-9999,    9
 18791,100639,20120815,-9999,    9
 18791,100639,20120816,-9999,    9
 18791,100639,20120817,-9999,    9
 18791,100639,20120818,-9999,    9
 18791,100639,20120819,-9999,    9
 18791,100639,20120820,-9999,    9
 18791,100639,20120821,-9999,    9
 18791,100639,20120822,-9999,    9
 18791,100639,20120823,-9999,    9
 18791,100639,20120824,-9999,    9
 18791,100639,20120825,-9999,    9
 18791,100639,20120826,-9999,    9
 18791,100639,20120827,-9999,    9
 18791,100639,20120828,-9999,    9
 18791,100639,20120829,-9999,    9
 18791,100639,20120830,-9999,    9
 18791,100639,20120831,-9999,    9
 18791,100639,20120901,-9999,    9
 18791,100639,20120902,-9999,    9
 18791,100639,20120903,-9999,    9
 18791,100639,20120904,-9999,    9
 18791,100639,20120905,-9999,    9
 18791,100639,20120906,-9999,    9
 18791,100639,20120907,-9999,    9
 18791,100639,20120908,-9999,    9
 18791,100639,20120909,-9999,    9
 18791,100639,20120910,-9999,    9
 18791,100639,20120911,-9999,    9
 18791,100639,20120912,-9999,    9
 18791,100639,20120913,-9999,    9
 18791,100639,20120914,-9999,    9
 18791,100639,20120915,-9999,    9
 18791,100639,20120916,-9999,    9
 18791,100639,20120917,-9999,    9
 18791,100639,20120918,-9999,    9
 18791,100639,20120919,-9999,    9
 18791,100639,20120920,-9999,    9
 18791,100639,20120921,-9999,    9
 18791,100639,20120922,-9999,    9
 18791,100639,20120923,-9999,    9
 18791,100639,20120924,-9999,    9
 18791,100639,20120925,-9999,    9
 18791,100639,20120926,-9999,    9
 18791,100639,20120927,-9999,    9
 18791,100639,20120928,-9999,    9
 18791,100639,20120929,-9999,    9
 18791,100639,20120930,-9999,    9
 18791,100639,20121001,-9999,    9
 18791,100639,20121002,-9999,    9
 18791,100639,20121003,-9999,    9
 18791,100639,20121004,-9999,    9
 18791,100639,20121005,-9999,    9
 18791,100639,20121006,-9999,    9
 18791,100639,20121007,-9999,    9
 18791,100639,20121008,-9999,    9
 18791,100639,20121009,-9999,    9
 18791,100639,20121010,-9999,    9
 18791,100639,20121011,-9999,    9
 18791,100639,20121012,-9999,    9
 18791,100639,20121013,-9999,    9
 18791,100639,20121014,-9999,    9
 18791,100639,20121015,-9999,    9
 18791,100639,20121016,-9999,    9
 18791,100639,20121017,-9999,    9
 18791,100639,20121018,-9999,    9
 18791,100639,20121019,-9999,    9
 18791,100639,20121020,-9999,    9
 18791,100639,20121021,-9999,    9
 18791,100639,20121022,-9999,    9
 18791,100639,20121023,-9999,    9
 18791,100639,20121024,-9999,    9
 18791,100639,20121025,-9999,    9
 18791,100639,20121026,-9999,    9
 18791,100639,20121027,-9999,    9
 18791,100639,20121028,-9999,    9
 18791,100639,20121029,-9999,    9
 18791,100639,20121030,-9999,    9
 18791,100639,20121031,-9999,    9
 18791,100639,20121101,-9999,    9
 18791,100639,20121102,-9999,    9
 18791,100639,20121103,-9999,    9
 18791,100639,20121104,-9999,    9
 18791,100639,20121105,-9999,    9
 18791,100639,20121106,-9999,    9
 18791,100639,20121107,-9999,    9
 18791,100639,20121108,-9999,    9
 18791,100639,20121109,-9999,    9
 18791,100639,20121110,-9999,    9
 18791,100639,20121111,-9999,    9
 18791,100639,20121112,-9999,    9
 18791,100639,20121113,-9999,    9
 18791,100639,20121114,-9999,    9
 18791,100639,20121115,-9999,    9
 18791,100639,20121116,-9999,    9
 18791,100639,20121117,-9999,    9
 18791,100639,20121118,-9999,    9
 18791,100639,20121119,-9999,    9
 18791,100639,20121120,-9999,    9
 18791,100639,20121121,-9999,    9
 18791,100639,20121122,-9999,    9
 18791,100639,20121123,-9999,    9
 18791,100639,20121124,-9999,    9
 18791,100639,20121125,-9999,    9
 18791,100639,20121126,-9999,    9
 18791,100639,20121127,-9999,    9
 18791,100639,20121128,-9999,    9
 18791,100639,20121129,-9999,    9
 18791,100639,20121130,-9999,    9
 18791,100639,20121201,-9999,    9
 18791,100639,20121202,-9999,    9
 18791,100639,20121203,-9999,    9
 18791,100639,20121204,-9999,    9
 18791,100639,20121205,-9999,    9
 18791,100639,20121206,-9999,    9
 18791,100639,20121207,-9999,    9
 18791,100639,20121208,-9999,    9
