EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SVANDALSFLONA, NORWAY (STAID: 18801)
Blended and updated with sources:100650 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18801,100650,19200701,   52,    1
 18801,100650,19200702,   61,    1
 18801,100650,19200703,   71,    1
 18801,100650,19200704,  114,    1
 18801,100650,19200705,  105,    1
 18801,100650,19200706,   89,    1
 18801,100650,19200707,   75,    1
 18801,100650,19200708,  119,    1
 18801,100650,19200709,  110,    1
 18801,100650,19200710,   88,    1
 18801,100650,19200711,   82,    1
 18801,100650,19200712,  104,    1
 18801,100650,19200713,   84,    1
 18801,100650,19200714,   73,    1
 18801,100650,19200715,   73,    1
 18801,100650,19200716,   69,    1
 18801,100650,19200717,   63,    1
 18801,100650,19200718,   73,    1
 18801,100650,19200719,   57,    1
 18801,100650,19200720,   54,    1
 18801,100650,19200721,   48,    1
 18801,100650,19200722,   53,    1
 18801,100650,19200723,   45,    1
 18801,100650,19200724,   61,    1
 18801,100650,19200725,   43,    1
 18801,100650,19200726,   53,    1
 18801,100650,19200727,   43,    1
 18801,100650,19200728,   40,    1
 18801,100650,19200729,   52,    1
 18801,100650,19200730,   58,    1
 18801,100650,19200731,   59,    1
 18801,100650,19200801,   63,    1
 18801,100650,19200802,   65,    1
 18801,100650,19200803,   61,    1
 18801,100650,19200804,   48,    1
 18801,100650,19200805,   55,    1
 18801,100650,19200806,   81,    1
 18801,100650,19200807,   46,    1
 18801,100650,19200808,   53,    1
 18801,100650,19200809,   88,    1
 18801,100650,19200810,   99,    1
 18801,100650,19200811,  115,    1
 18801,100650,19200812,   85,    1
 18801,100650,19200813,   67,    1
 18801,100650,19200814,   64,    1
 18801,100650,19200815,   45,    1
 18801,100650,19200816,   51,    1
 18801,100650,19200817,   44,    1
 18801,100650,19200818,   36,    1
 18801,100650,19200819,   54,    1
 18801,100650,19200820,   60,    1
 18801,100650,19200821,   76,    1
 18801,100650,19200822,   83,    1
 18801,100650,19200823,   99,    1
 18801,100650,19200824,  102,    1
 18801,100650,19200825,   94,    1
 18801,100650,19200826,   77,    1
 18801,100650,19200827,   77,    1
 18801,100650,19200828,   91,    1
 18801,100650,19200829,   79,    1
 18801,100650,19200830,   68,    1
 18801,100650,19200831,  103,    1
 18801,100650,19200901,   87,    1
 18801,100650,19200902,   70,    1
 18801,100650,19200903,   70,    1
 18801,100650,19200904,   69,    1
 18801,100650,19200905,   84,    1
 18801,100650,19200906,   77,    1
 18801,100650,19200907,   63,    1
 18801,100650,19200908,   51,    1
 18801,100650,19200909,   83,    1
 18801,100650,19200910,   62,    1
 18801,100650,19200911,   37,    1
 18801,100650,19200912,   49,    1
 18801,100650,19200913,   55,    1
 18801,100650,19200914,   73,    1
 18801,100650,19200915,   57,    1
 18801,100650,19200916,   46,    1
 18801,100650,19200917,   37,    1
 18801,100650,19200918,   40,    1
 18801,100650,19200919,   40,    1
 18801,100650,19200920,   14,    1
 18801,100650,19200921,   43,    1
 18801,100650,19200922,   47,    1
 18801,100650,19200923,   36,    1
 18801,100650,19200924,   54,    1
 18801,100650,19200925,   60,    1
 18801,100650,19200926,   62,    1
 18801,100650,19200927,   66,    1
 18801,100650,19200928,   79,    1
 18801,100650,19200929,   77,    1
 18801,100650,19200930,   68,    1
 18801,100650,19201001,   49,    1
 18801,100650,19201002,    2,    1
 18801,100650,19201003,   -1,    1
 18801,100650,19201004,   -8,    0
 18801,100650,19201005,    6,    1
 18801,100650,19201006,   32,    1
 18801,100650,19201007,   43,    1
 18801,100650,19201008,   50,    1
 18801,100650,19201009,   72,    1
 18801,100650,19201010,   88,    1
 18801,100650,19201011,   95,    1
