EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VARDEN - FILEFJELL, NORWAY (STAID: 18810)
Blended and updated with sources:99631 100660 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18810,100660,19670201, -120,    0
 18810,100660,19670202, -128,    0
 18810,100660,19670203, -127,    0
 18810,100660,19670204,  -24,    0
 18810,100660,19670205,   -3,    0
 18810,100660,19670206,  -37,    0
 18810,100660,19670207,  -78,    0
 18810,100660,19670208,  -87,    0
 18810,100660,19670209,  -69,    0
 18810,100660,19670210,  -29,    0
 18810,100660,19670211,  -24,    0
 18810,100660,19670212,  -32,    0
 18810,100660,19670213,  -59,    0
 18810,100660,19670214,  -92,    0
 18810,100660,19670215, -107,    0
 18810,100660,19670216, -103,    0
 18810,100660,19670217, -107,    0
 18810,100660,19670218, -111,    0
 18810,100660,19670219,  -68,    0
 18810,100660,19670220,  -38,    0
 18810,100660,19670221,  -28,    0
 18810,100660,19670222,  -51,    0
 18810,100660,19670223,  -61,    0
 18810,100660,19670224,  -44,    0
 18810,100660,19670225,  -97,    0
 18810,100660,19670226,  -90,    0
 18810,100660,19670227,  -52,    0
 18810,100660,19670228,  -25,    0
 18810,100660,19670301,  -53,    0
 18810,100660,19670302,  -54,    0
 18810,100660,19670303,  -34,    0
 18810,100660,19670304,    3,    0
 18810,100660,19670305,    1,    0
 18810,100660,19670306,   -6,    0
 18810,100660,19670307,    5,    0
 18810,100660,19670308,  -14,    0
 18810,100660,19670309,  -37,    0
 18810,100660,19670310,  -20,    0
 18810,100660,19670311,  -27,    0
 18810,100660,19670312,  -26,    0
 18810,100660,19670313,  -67,    0
 18810,100660,19670314,  -57,    0
 18810,100660,19670315,  -29,    0
 18810,100660,19670316,  -48,    0
 18810,100660,19670317,  -82,    0
 18810,100660,19670318,  -57,    0
 18810,100660,19670319,  -52,    0
 18810,100660,19670320,  -54,    0
 18810,100660,19670321,  -10,    0
 18810,100660,19670322,  -55,    0
 18810,100660,19670323,  -68,    0
 18810,100660,19670324, -104,    0
 18810,100660,19670325,  -96,    0
 18810,100660,19670326,  -48,    0
 18810,100660,19670327,  -40,    0
 18810,100660,19670328,  -68,    0
 18810,100660,19670329,  -78,    0
 18810,100660,19670330,  -62,    0
 18810,100660,19670331,  -61,    0
 18810,100660,19670401,  -79,    0
 18810,100660,19670402,  -75,    0
 18810,100660,19670403,  -32,    0
 18810,100660,19670404,  -25,    0
 18810,100660,19670405,  -23,    0
 18810,100660,19670406,  -35,    0
 18810,100660,19670407,  -48,    0
 18810,100660,19670408,  -23,    0
 18810,100660,19670409,  -13,    0
 18810,100660,19670410,  -41,    0
 18810,100660,19670411,  -12,    0
 18810,100660,19670412,  -22,    0
 18810,100660,19670413,  -16,    0
 18810,100660,19670414,    4,    0
 18810,100660,19670415,   -8,    0
 18810,100660,19670416,    3,    0
 18810,100660,19670417,  -46,    0
 18810,100660,19670418,  -83,    0
 18810,100660,19670419,  -69,    0
 18810,100660,19670420,  -55,    0
 18810,100660,19670421,  -70,    0
 18810,100660,19670422,  -75,    0
 18810,100660,19670423,  -48,    0
 18810,100660,19670424,  -69,    0
 18810,100660,19670425,  -48,    0
 18810,100660,19670426,    7,    0
 18810,100660,19670427,   10,    0
 18810,100660,19670428,    2,    0
 18810,100660,19670429,  -31,    0
 18810,100660,19670430,  -46,    0
 18810,100660,19670501,  -50,    0
 18810,100660,19670502,  -62,    0
 18810,100660,19670503,  -50,    0
 18810,100660,19670504,  -37,    0
 18810,100660,19670505,  -32,    0
 18810,100660,19670506,   -8,    0
