EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MOESSTRAND, NORWAY (STAID: 18823)
Blended and updated with sources:99658 100677 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18823,100677,19631201,  -22,    0
 18823,100677,19631202,  -42,    0
 18823,100677,19631203,  -63,    0
 18823,100677,19631204,  -54,    0
 18823,100677,19631205,  -79,    0
 18823,100677,19631206,  -26,    0
 18823,100677,19631207,  -77,    0
 18823,100677,19631208,  -56,    0
 18823,100677,19631209,  -35,    0
 18823,100677,19631210,  -16,    0
 18823,100677,19631211,  -32,    0
 18823,100677,19631212,  -64,    0
 18823,100677,19631213,  -89,    0
 18823,100677,19631214,  -43,    0
 18823,100677,19631215,  -74,    0
 18823,100677,19631216,  -42,    0
 18823,100677,19631217,  -94,    0
 18823,100677,19631218,  -92,    0
 18823,100677,19631219, -115,    0
 18823,100677,19631220, -157,    0
 18823,100677,19631221, -169,    0
 18823,100677,19631222, -102,    0
 18823,100677,19631223,  -39,    0
 18823,100677,19631224,  -28,    0
 18823,100677,19631225, -110,    0
 18823,100677,19631226,  -26,    0
 18823,100677,19631227,  -27,    0
 18823,100677,19631228,   13,    0
 18823,100677,19631229,    8,    0
 18823,100677,19631230,   -3,    0
 18823,100677,19631231,    0,    0
 18823,100677,19640101,  -39,    0
 18823,100677,19640102,  -85,    0
 18823,100677,19640103,   -3,    0
 18823,100677,19640104,    8,    0
 18823,100677,19640105,  -30,    0
 18823,100677,19640106, -175,    0
 18823,100677,19640107,  -37,    0
 18823,100677,19640108,    1,    0
 18823,100677,19640109,  -22,    0
 18823,100677,19640110,  -62,    0
 18823,100677,19640111,  -87,    0
 18823,100677,19640112,   -5,    0
 18823,100677,19640113, -125,    0
 18823,100677,19640114, -194,    0
 18823,100677,19640115, -160,    0
 18823,100677,19640116, -153,    0
 18823,100677,19640117, -147,    0
 18823,100677,19640118, -107,    0
 18823,100677,19640119,  -73,    0
 18823,100677,19640120,  -10,    0
 18823,100677,19640121,    3,    0
 18823,100677,19640122,  -30,    0
 18823,100677,19640123,    1,    0
 18823,100677,19640124,  -49,    0
 18823,100677,19640125,  -58,    0
 18823,100677,19640126,  -38,    0
 18823,100677,19640127, -120,    0
 18823,100677,19640128,  -57,    0
 18823,100677,19640129,  -11,    0
 18823,100677,19640130,  -21,    0
 18823,100677,19640131,  -52,    0
 18823,100677,19640201,  -40,    0
 18823,100677,19640202,  -40,    0
 18823,100677,19640203,  -16,    0
 18823,100677,19640204,  -69,    0
 18823,100677,19640205, -110,    0
 18823,100677,19640206,  -96,    0
 18823,100677,19640207,    4,    0
 18823,100677,19640208,    3,    0
 18823,100677,19640209,  -14,    0
 18823,100677,19640210,  -29,    0
 18823,100677,19640211,  -58,    0
 18823,100677,19640212,  -74,    0
 18823,100677,19640213,  -56,    0
 18823,100677,19640214,  -67,    0
 18823,100677,19640215,  -87,    0
 18823,100677,19640216, -151,    0
 18823,100677,19640217, -159,    0
 18823,100677,19640218, -173,    0
 18823,100677,19640219,  -91,    0
 18823,100677,19640220,  -78,    0
 18823,100677,19640221,  -39,    0
 18823,100677,19640222,  -66,    0
 18823,100677,19640223,  -93,    0
 18823,100677,19640224, -130,    0
 18823,100677,19640225,  -75,    0
 18823,100677,19640226,  -49,    0
 18823,100677,19640227,  -44,    0
 18823,100677,19640228,  -18,    0
 18823,100677,19640229,  -15,    0
 18823,100677,19640301,  -59,    0
 18823,100677,19640302,  -84,    0
 18823,100677,19640303,  -44,    0
 18823,100677,19640304,  -43,    0
 18823,100677,19640305,  -60,    0
 18823,100677,19640306, -136,    0
 18823,100677,19640307, -118,    0
 18823,100677,19640308,    4,    0
 18823,100677,19640309,    7,    0
 18823,100677,19640310,  -45,    0
 18823,100677,19640311,  -63,    0
 18823,100677,19640312, -101,    0
 18823,100677,19640313,  -67,    0
 18823,100677,19640314,  -99,    0
 18823,100677,19640315, -106,    0
 18823,100677,19640316, -130,    0
 18823,100677,19640317, -145,    0
 18823,100677,19640318,  -98,    0
 18823,100677,19640319, -141,    0
 18823,100677,19640320, -116,    0
 18823,100677,19640321,  -97,    0
 18823,100677,19640322,  -78,    0
 18823,100677,19640323,  -61,    0
 18823,100677,19640324,  -71,    0
 18823,100677,19640325,  -90,    0
 18823,100677,19640326,  -71,    0
 18823,100677,19640327, -103,    0
 18823,100677,19640328,  -99,    0
 18823,100677,19640329,  -77,    0
 18823,100677,19640330,  -56,    0
 18823,100677,19640331,  -89,    0
 18823,100677,19640401, -107,    0
 18823,100677,19640402,  -87,    0
 18823,100677,19640403, -100,    0
 18823,100677,19640404,  -65,    0
 18823,100677,19640405,  -52,    0
 18823,100677,19640406,  -78,    0
 18823,100677,19640407,  -55,    0
 18823,100677,19640408,  -60,    0
 18823,100677,19640409,  -22,    0
 18823,100677,19640410,   18,    0
 18823,100677,19640411,   -1,    0
 18823,100677,19640412,   -7,    0
 18823,100677,19640413,   -3,    0
 18823,100677,19640414,  -21,    0
 18823,100677,19640415,   -8,    0
 18823,100677,19640416,   -2,    0
 18823,100677,19640417,   21,    0
 18823,100677,19640418,   36,    0
 18823,100677,19640419,   61,    0
 18823,100677,19640420,   34,    0
 18823,100677,19640421,   46,    0
 18823,100677,19640422,   31,    0
 18823,100677,19640423,   16,    0
 18823,100677,19640424,    8,    0
 18823,100677,19640425,  -15,    0
 18823,100677,19640426,  -12,    0
 18823,100677,19640427,   43,    0
 18823,100677,19640428,   25,    0
 18823,100677,19640429,   29,    0
 18823,100677,19640430,   27,    0
 18823,100677,19640501,   25,    0
 18823,100677,19640502,   18,    0
 18823,100677,19640503,   -7,    0
 18823,100677,19640504,   28,    0
 18823,100677,19640505,   25,    0
 18823,100677,19640506,   22,    0
 18823,100677,19640507,   30,    0
 18823,100677,19640508,   22,    0
 18823,100677,19640509,   36,    0
 18823,100677,19640510,   17,    0
 18823,100677,19640511,   26,    0
 18823,100677,19640512,   54,    0
 18823,100677,19640513,   49,    0
 18823,100677,19640514,   34,    0
 18823,100677,19640515,   13,    0
 18823,100677,19640516,   36,    0
 18823,100677,19640517,   20,    0
 18823,100677,19640518,   48,    0
 18823,100677,19640519,   28,    0
 18823,100677,19640520,   74,    0
 18823,100677,19640521,   60,    0
 18823,100677,19640522,   59,    0
 18823,100677,19640523,   78,    0
 18823,100677,19640524,   95,    0
 18823,100677,19640525,   69,    0
 18823,100677,19640526,   77,    0
 18823,100677,19640527,   86,    0
 18823,100677,19640528,  107,    0
 18823,100677,19640529,   87,    0
 18823,100677,19640530,   53,    0
 18823,100677,19640531,   31,    0
 18823,100677,19640601,   18,    0
 18823,100677,19640602,   37,    0
 18823,100677,19640603,   14,    0
 18823,100677,19640604,   74,    0
 18823,100677,19640605,   76,    0
 18823,100677,19640606,   72,    0
 18823,100677,19640607,   54,    0
 18823,100677,19640608,   82,    0
 18823,100677,19640609,   86,    0
 18823,100677,19640610,   56,    0
 18823,100677,19640611,   90,    0
 18823,100677,19640612,   91,    0
 18823,100677,19640613,   95,    0
 18823,100677,19640614,  128,    0
 18823,100677,19640615,   62,    0
 18823,100677,19640616,   38,    0
 18823,100677,19640617,   66,    0
 18823,100677,19640618,   75,    0
 18823,100677,19640619,   43,    0
 18823,100677,19640620,   82,    0
 18823,100677,19640621,   71,    0
 18823,100677,19640622,   78,    0
 18823,100677,19640623,   67,    0
 18823,100677,19640624,   79,    0
 18823,100677,19640625,  110,    0
 18823,100677,19640626,  116,    0
 18823,100677,19640627,   94,    0
 18823,100677,19640628,   54,    0
 18823,100677,19640629,   53,    0
 18823,100677,19640630,   58,    0
 18823,100677,19640701,   82,    0
 18823,100677,19640702,   74,    0
 18823,100677,19640703,   60,    0
 18823,100677,19640704,   77,    0
 18823,100677,19640705,   61,    0
 18823,100677,19640706,   52,    0
 18823,100677,19640707,   54,    0
 18823,100677,19640708,   77,    0
 18823,100677,19640709,   43,    0
 18823,100677,19640710,   59,    0
 18823,100677,19640711,   67,    0
 18823,100677,19640712,   69,    0
 18823,100677,19640713,   92,    0
 18823,100677,19640714,   98,    0
 18823,100677,19640715,   92,    0
 18823,100677,19640716,  126,    0
 18823,100677,19640717,  121,    0
 18823,100677,19640718,  142,    0
 18823,100677,19640719,  112,    0
 18823,100677,19640720,  108,    0
 18823,100677,19640721,  131,    0
 18823,100677,19640722,  105,    0
 18823,100677,19640723,  109,    0
 18823,100677,19640724,  109,    0
 18823,100677,19640725,  103,    0
 18823,100677,19640726,   69,    0
 18823,100677,19640727,   66,    0
 18823,100677,19640728,   72,    0
 18823,100677,19640729,   58,    0
 18823,100677,19640730,   68,    0
 18823,100677,19640731,   93,    0
 18823,100677,19640801,   64,    0
 18823,100677,19640802,   83,    0
 18823,100677,19640803,   79,    0
 18823,100677,19640804,   85,    0
 18823,100677,19640805,  113,    0
 18823,100677,19640806,  102,    0
 18823,100677,19640807,  115,    0
 18823,100677,19640808,  122,    0
 18823,100677,19640809,  115,    0
 18823,100677,19640810,  141,    0
 18823,100677,19640811,  138,    0
 18823,100677,19640812,  125,    0
 18823,100677,19640813,  135,    0
 18823,100677,19640814,  141,    0
 18823,100677,19640815,   96,    0
 18823,100677,19640816,   58,    0
 18823,100677,19640817,   51,    0
 18823,100677,19640818,   93,    0
 18823,100677,19640819,   91,    0
 18823,100677,19640820,   61,    0
 18823,100677,19640821,   49,    0
 18823,100677,19640822,   52,    0
 18823,100677,19640823,   72,    0
 18823,100677,19640824,   85,    0
 18823,100677,19640825,  103,    0
 18823,100677,19640826,  114,    0
 18823,100677,19640827,  114,    0
 18823,100677,19640828,  100,    0
 18823,100677,19640829,   63,    0
 18823,100677,19640830,   43,    0
 18823,100677,19640831,   61,    0
 18823,100677,19640901,   91,    0
 18823,100677,19640902,  115,    0
 18823,100677,19640903,  103,    0
 18823,100677,19640904,   94,    0
 18823,100677,19640905,   96,    0
 18823,100677,19640906,   93,    0
 18823,100677,19640907,  106,    0
 18823,100677,19640908,   71,    0
 18823,100677,19640909,   20,    0
 18823,100677,19640910,   28,    0
 18823,100677,19640911,   19,    0
 18823,100677,19640912,   20,    0
 18823,100677,19640913,   33,    0
 18823,100677,19640914,   57,    0
 18823,100677,19640915,   79,    0
 18823,100677,19640916,   58,    0
 18823,100677,19640917,   52,    0
 18823,100677,19640918,   61,    0
 18823,100677,19640919,   38,    0
 18823,100677,19640920,   21,    0
 18823,100677,19640921,   31,    0
 18823,100677,19640922,   21,    0
 18823,100677,19640923,   70,    0
 18823,100677,19640924,  111,    0
 18823,100677,19640925,   73,    0
 18823,100677,19640926,   64,    0
 18823,100677,19640927,   53,    0
 18823,100677,19640928,   66,    0
 18823,100677,19640929,   44,    0
 18823,100677,19640930,   19,    0
 18823,100677,19641001,   34,    0
 18823,100677,19641002,   38,    0
 18823,100677,19641003,   37,    0
 18823,100677,19641004,   56,    0
 18823,100677,19641005,   52,    0
 18823,100677,19641006,   30,    0
 18823,100677,19641007,   43,    0
 18823,100677,19641008,   40,    0
 18823,100677,19641009,   37,    0
 18823,100677,19641010,   14,    0
 18823,100677,19641011,   13,    0
 18823,100677,19641012,   18,    0
 18823,100677,19641013,   13,    0
 18823,100677,19641014,    8,    0
 18823,100677,19641015,   11,    0
 18823,100677,19641016,   -4,    0
 18823,100677,19641017,   -1,    0
 18823,100677,19641018,  -14,    0
 18823,100677,19641019,   33,    0
 18823,100677,19641020,   61,    0
 18823,100677,19641021,   14,    0
 18823,100677,19641022,    2,    0
 18823,100677,19641023,   -3,    0
 18823,100677,19641024,   -3,    0
 18823,100677,19641025,  -50,    0
 18823,100677,19641026,  -46,    0
 18823,100677,19641027,    1,    0
 18823,100677,19641028,   -4,    0
 18823,100677,19641029,   -2,    0
 18823,100677,19641030,   21,    0
 18823,100677,19641031,    0,    0
 18823,100677,19641101,  -31,    0
 18823,100677,19641102,    1,    0
 18823,100677,19641103,   42,    0
 18823,100677,19641104,   33,    0
 18823,100677,19641105,    9,    0
 18823,100677,19641106,  -17,    0
 18823,100677,19641107,  -30,    0
 18823,100677,19641108,   17,    0
 18823,100677,19641109,    6,    0
 18823,100677,19641110,   17,    0
 18823,100677,19641111,    4,    0
 18823,100677,19641112,  -30,    0
 18823,100677,19641113,  -22,    0
 18823,100677,19641114,   15,    0
 18823,100677,19641115,    2,    0
 18823,100677,19641116,  -17,    0
 18823,100677,19641117,  -50,    0
 18823,100677,19641118,  -55,    0
 18823,100677,19641119,  -24,    0
 18823,100677,19641120,   32,    0
 18823,100677,19641121,   25,    0
 18823,100677,19641122,    4,    0
 18823,100677,19641123,   12,    0
 18823,100677,19641124,   -9,    0
 18823,100677,19641125,  -17,    0
 18823,100677,19641126,  -34,    0
 18823,100677,19641127,  -23,    0
 18823,100677,19641128,  -47,    0
 18823,100677,19641129,  -71,    0
 18823,100677,19641130, -139,    0
 18823,100677,19641201,  -77,    0
 18823,100677,19641202,  -41,    0
 18823,100677,19641203,  -46,    0
 18823,100677,19641204,  -65,    0
 18823,100677,19641205,  -99,    0
 18823,100677,19641206, -116,    0
 18823,100677,19641207,    4,    0
 18823,100677,19641208,    0,    0
 18823,100677,19641209,    6,    0
 18823,100677,19641210,  -10,    0
 18823,100677,19641211,  -18,    0
 18823,100677,19641212,  -16,    0
 18823,100677,19641213,  -34,    0
 18823,100677,19641214,  -73,    0
 18823,100677,19641215,  -42,    0
 18823,100677,19641216,  -72,    0
 18823,100677,19641217,  -89,    0
 18823,100677,19641218,  -87,    0
 18823,100677,19641219, -127,    0
 18823,100677,19641220,  -26,    0
