EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station YME, NORWAY (STAID: 18829)
Blended and updated with sources:100686 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18829,100686,20000101,   79,    0
 18829,100686,20000102,   74,    0
 18829,100686,20000103,   75,    0
 18829,100686,20000104,   70,    0
 18829,100686,20000105,   78,    0
 18829,100686,20000106,   84,    0
 18829,100686,20000107,   87,    0
 18829,100686,20000108,   77,    0
 18829,100686,20000109,   65,    0
 18829,100686,20000110,   73,    0
 18829,100686,20000111,   80,    0
 18829,100686,20000112,   70,    0
 18829,100686,20000113,   52,    0
 18829,100686,20000114,   41,    0
 18829,100686,20000115,   62,    0
 18829,100686,20000116,   78,    0
 18829,100686,20000117,   79,    0
 18829,100686,20000118,   63,    0
 18829,100686,20000119,   63,    0
 18829,100686,20000120,   72,    0
 18829,100686,20000121,   47,    0
 18829,100686,20000122,   46,    0
 18829,100686,20000123,   38,    0
 18829,100686,20000124,   54,    0
 18829,100686,20000125,   60,    0
 18829,100686,20000126,   67,    0
 18829,100686,20000127,   66,    0
 18829,100686,20000128,   59,    0
 18829,100686,20000129,   70,    0
 18829,100686,20000130,   37,    0
 18829,100686,20000131,   68,    0
 18829,100686,20000201,   67,    0
 18829,100686,20000202,   59,    0
 18829,100686,20000203,   60,    0
 18829,100686,20000204,   78,    0
 18829,100686,20000205,   83,    0
 18829,100686,20000206,   79,    0
 18829,100686,20000207,   67,    0
 18829,100686,20000208,   63,    0
 18829,100686,20000209,   67,    0
 18829,100686,20000210,   77,    0
 18829,100686,20000211,   68,    0
 18829,100686,20000212,   62,    0
 18829,100686,20000213,   46,    0
 18829,100686,20000214,   55,    0
 18829,100686,20000215,   60,    0
 18829,100686,20000216,   37,    0
 18829,100686,20000217,   40,    0
 18829,100686,20000218,   43,    0
 18829,100686,20000219,   38,    0
 18829,100686,20000220,   35,    0
 18829,100686,20000221,   48,    0
 18829,100686,20000222,   53,    0
 18829,100686,20000223,   51,    0
 18829,100686,20000224,   65,    0
 18829,100686,20000225,   57,    0
 18829,100686,20000226,   68,    0
 18829,100686,20000227,   83,    0
 18829,100686,20000228,   62,    0
 18829,100686,20000229,   54,    0
 18829,100686,20000301,   48,    0
 18829,100686,20000302,   50,    0
 18829,100686,20000303,   36,    0
 18829,100686,20000304,    9,    0
 18829,100686,20000305,   34,    0
 18829,100686,20000306,   72,    0
 18829,100686,20000307,   51,    0
 18829,100686,20000308,   70,    0
 18829,100686,20000309,   46,    0
 18829,100686,20000310,   42,    0
 18829,100686,20000311,   53,    0
 18829,100686,20000312,   61,    0
 18829,100686,20000313,   66,    0
 18829,100686,20000314,   44,    0
 18829,100686,20000315,   42,    0
 18829,100686,20000316,   61,    0
 18829,100686,20000317,   75,    0
 18829,100686,20000318,   62,    0
 18829,100686,20000319,   66,    0
 18829,100686,20000320,   73,    0
 18829,100686,20000321,   65,    0
 18829,100686,20000322,   63,    0
 18829,100686,20000323,   49,    0
 18829,100686,20000324,   46,    0
 18829,100686,20000325,   51,    0
 18829,100686,20000326,   46,    0
 18829,100686,20000327,   43,    0
 18829,100686,20000328,   44,    0
 18829,100686,20000329,   53,    0
 18829,100686,20000330,   55,    0
 18829,100686,20000331,   66,    0
 18829,100686,20000401,   63,    0
 18829,100686,20000402,   41,    0
 18829,100686,20000403,   23,    0
 18829,100686,20000404,   27,    0
 18829,100686,20000405,   38,    0
 18829,100686,20000406,   71,    0
 18829,100686,20000407,   80,    0
 18829,100686,20000408,   68,    0
