EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SAELI II, NORWAY (STAID: 18843)
Blended and updated with sources:100701 100889 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18843,100889,19640901,   79,    1
 18843,100889,19640902,   77,    1
 18843,100889,19640903,   94,    1
 18843,100889,19640904,   90,    1
 18843,100889,19640905,  105,    1
 18843,100889,19640906,   98,    1
 18843,100889,19640907,  102,    1
 18843,100889,19640908,   99,    1
 18843,100889,19640909,   40,    1
 18843,100889,19640910,   35,    1
 18843,100889,19640911,   25,    1
 18843,100889,19640912,   39,    1
 18843,100889,19640913,   42,    1
 18843,100889,19640914,   81,    1
 18843,100889,19640915,   88,    1
 18843,100889,19640916,   67,    1
 18843,100889,19640917,   69,    1
 18843,100889,19640918,   47,    1
 18843,100889,19640919,   49,    1
 18843,100889,19640920,   39,    1
 18843,100889,19640921,   54,    1
 18843,100889,19640922,   24,    1
 18843,100889,19640923,   98,    1
 18843,100889,19640924,   93,    1
 18843,100889,19640925,   53,    1
 18843,100889,19640926,   49,    1
 18843,100889,19640927,   64,    1
 18843,100889,19640928,   73,    1
 18843,100889,19640929,   66,    1
 18843,100889,19640930,   42,    1
 18843,100889,19641001,   33,    1
 18843,100889,19641002,   58,    1
 18843,100889,19641003,   22,    1
 18843,100889,19641004,   44,    1
 18843,100889,19641005,   27,    1
 18843,100889,19641006,   29,    1
 18843,100889,19641007,   69,    1
 18843,100889,19641008,   58,    1
 18843,100889,19641009,   58,    1
 18843,100889,19641010,   38,    1
 18843,100889,19641011,   38,    1
 18843,100889,19641012,   43,    1
 18843,100889,19641013,   29,    1
 18843,100889,19641014,   14,    1
 18843,100889,19641015,   17,    1
 18843,100889,19641016,   13,    1
 18843,100889,19641017,   13,    1
 18843,100889,19641018,   -3,    1
 18843,100889,19641019,   42,    1
 18843,100889,19641020,   84,    1
 18843,100889,19641021,   19,    1
 18843,100889,19641022,    4,    1
 18843,100889,19641023,   10,    1
 18843,100889,19641024,   15,    1
 18843,100889,19641025,  -22,    1
 18843,100889,19641026,  -42,    1
 18843,100889,19641027,    8,    1
 18843,100889,19641028,   -9,    1
 18843,100889,19641029,  -15,    1
 18843,100889,19641030,    0,    1
 18843,100889,19641031,  -14,    1
 18843,100701,19641101,    8,    0
 18843,100701,19641102,   32,    0
 18843,100701,19641103,   40,    0
 18843,100701,19641104,   35,    0
 18843,100701,19641105,   29,    0
 18843,100701,19641106,   20,    0
 18843,100701,19641107,   -9,    0
 18843,100701,19641108,   36,    0
 18843,100701,19641109,    2,    0
 18843,100701,19641110,   15,    0
 18843,100701,19641111,   15,    0
 18843,100701,19641112,  -14,    0
 18843,100701,19641113,   -3,    0
 18843,100701,19641114,   33,    0
 18843,100701,19641115,   17,    0
 18843,100701,19641116,   -5,    0
 18843,100701,19641117,  -13,    0
 18843,100701,19641118,  -21,    0
 18843,100701,19641119,  -18,    0
 18843,100701,19641120,   41,    0
 18843,100701,19641121,   37,    0
 18843,100701,19641122,   14,    0
 18843,100701,19641123,   19,    0
 18843,100701,19641124,   10,    0
 18843,100701,19641125,   -1,    0
 18843,100701,19641126,  -11,    0
 18843,100701,19641127,  -14,    0
 18843,100701,19641128,  -32,    0
 18843,100889,19641129,  -57,    1
 18843,100889,19641130,  -70,    1
 18843,100889,19641201,  -49,    1
 18843,100701,19641202,  -15,    0
 18843,100701,19641203,  -23,    0
 18843,100701,19641204,  -39,    0
 18843,100889,19641205, -108,    1
 18843,100889,19641206,  -83,    1
 18843,100701,19641207,   10,    0
 18843,100701,19641208,   17,    0
 18843,100701,19641209,   32,    0
 18843,100701,19641210,  -13,    0
 18843,100701,19641211,  -22,    0
 18843,100701,19641212,    6,    0
 18843,100701,19641213,  -19,    0
 18843,100701,19641214,  -60,    0
 18843,100701,19641215,  -40,    0
 18843,100701,19641216,  -56,    0
 18843,100701,19641217,  -70,    0
 18843,100701,19641218,  -77,    0
 18843,100889,19641219, -116,    1
 18843,100701,19641220,   -5,    0
 18843,100889,19641221, -120,    1
 18843,100701,19641222,  -68,    0
 18843,100701,19641223,  -46,    0
 18843,100701,19641224,  -38,    0
 18843,100701,19641225,  -88,    0
 18843,100889,19641226, -187,    1
 18843,100889,19641227, -196,    1
 18843,100889,19641228, -187,    1
 18843,100701,19641229,  -77,    0
 18843,100701,19641230,  -23,    0
 18843,100701,19641231,   -7,    0
 18843,100701,19650101,  -33,    0
 18843,100701,19650102,  -51,    0
 18843,100701,19650103, -134,    0
 18843,100701,19650104,  -38,    0
 18843,100701,19650105,  -31,    0
 18843,100701,19650106,  -49,    0
 18843,100701,19650107,  -41,    0
 18843,100701,19650108,   -5,    0
 18843,100701,19650109, -104,    0
 18843,100701,19650110, -148,    0
 18843,100701,19650111,  -11,    0
 18843,100701,19650112,   15,    0
 18843,100701,19650113,    1,    0
 18843,100701,19650114,   -5,    0
 18843,100701,19650115,  -22,    0
 18843,100701,19650116,  -30,    0
 18843,100701,19650117,  -28,    0
 18843,100701,19650118,  -95,    0
 18843,100701,19650119,  -55,    0
 18843,100701,19650120,  -73,    0
 18843,100701,19650121,  -58,    0
 18843,100701,19650122, -104,    0
 18843,100701,19650123,  -75,    0
 18843,100701,19650124,  -66,    0
 18843,100701,19650125,  -48,    0
 18843,100701,19650126,  -67,    0
 18843,100701,19650127,  -86,    0
 18843,100701,19650128,  -92,    0
 18843,100701,19650129, -132,    0
 18843,100701,19650130,  -98,    0
 18843,100701,19650131,  -74,    0
 18843,100701,19650201,  -57,    0
 18843,100701,19650202,  -32,    0
 18843,100701,19650203,   -9,    0
 18843,100701,19650204,   -7,    0
 18843,100701,19650205,   -1,    0
 18843,100701,19650206,   19,    0
