EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BOLNA, NORWAY (STAID: 18852)
Blended and updated with sources:100711 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18852,100711,19671001,   56,    0
 18852,100711,19671002,   65,    0
 18852,100711,19671003,   33,    0
 18852,100711,19671004,   50,    0
 18852,100711,19671005,   63,    0
 18852,100711,19671006,    2,    0
 18852,100711,19671007,   17,    0
 18852,100711,19671008,   -9,    0
 18852,100711,19671009,   13,    0
 18852,100711,19671010,   21,    0
 18852,100711,19671011,   17,    0
 18852,100711,19671012,   22,    0
 18852,100711,19671013,   27,    0
 18852,100711,19671014,   25,    0
 18852,100711,19671015,   53,    0
 18852,100711,19671016,   12,    0
 18852,100711,19671017,  -70,    0
 18852,100711,19671018,  -53,    0
 18852,100711,19671019,  -26,    0
 18852,100711,19671020,  -91,    0
 18852,100711,19671021,  -67,    0
 18852,100711,19671022,  -36,    0
 18852,100711,19671023,  -55,    0
 18852,100711,19671024,  -34,    0
 18852,100711,19671025,  -31,    0
 18852,100711,19671026,  -26,    0
 18852,100711,19671027,    0,    0
 18852,100711,19671028,   10,    0
 18852,100711,19671029,  -21,    0
 18852,100711,19671030,  -27,    0
 18852,100711,19671031,  -27,    0
 18852,100711,19671101,  -38,    0
 18852,100711,19671102,  -36,    0
 18852,100711,19671103,  -12,    0
 18852,100711,19671104,   28,    0
 18852,100711,19671105,   16,    0
 18852,100711,19671106,   18,    0
 18852,100711,19671107,   21,    0
 18852,100711,19671108,   16,    0
 18852,100711,19671109,  -26,    0
 18852,100711,19671110,    3,    0
 18852,100711,19671111,   -6,    0
 18852,100711,19671112,    7,    0
 18852,100711,19671113,  -24,    0
 18852,100711,19671114,  -18,    0
 18852,100711,19671115,  -35,    0
 18852,100711,19671116,  -19,    0
 18852,100711,19671117,  -22,    0
 18852,100711,19671118,  -81,    0
 18852,100711,19671119,  -16,    0
 18852,100711,19671120,   25,    0
 18852,100711,19671121,  -17,    0
 18852,100711,19671122,  -24,    0
 18852,100711,19671123,   -1,    0
 18852,100711,19671124,   22,    0
 18852,100711,19671125,   18,    0
 18852,100711,19671126,  -23,    0
 18852,100711,19671127,  -25,    0
 18852,100711,19671128,  -20,    0
 18852,100711,19671129,  -20,    0
 18852,100711,19671130,    4,    0
 18852,100711,19671201,  -24,    0
 18852,100711,19671202,  -38,    0
 18852,100711,19671203,  -36,    0
 18852,100711,19671204,  -34,    0
 18852,100711,19671205, -109,    0
 18852,100711,19671206, -117,    0
 18852,100711,19671207, -153,    0
 18852,100711,19671208, -173,    0
 18852,100711,19671209, -147,    0
 18852,100711,19671210, -123,    0
 18852,100711,19671211, -201,    0
 18852,100711,19671212, -132,    0
 18852,100711,19671213, -183,    0
 18852,100711,19671214,  -70,    0
 18852,100711,19671215,  -52,    0
 18852,100711,19671216, -134,    0
 18852,100711,19671217, -224,    0
 18852,100711,19671218, -148,    0
 18852,100711,19671219, -208,    0
 18852,100711,19671220, -219,    0
 18852,100711,19671221, -209,    0
 18852,100711,19671222, -149,    0
 18852,100711,19671223, -182,    0
 18852,100711,19671224, -215,    0
 18852,100711,19671225, -217,    0
 18852,100711,19671226, -159,    0
 18852,100711,19671227, -158,    0
 18852,100711,19671228,  -97,    0
 18852,100711,19671229, -185,    0
 18852,100711,19671230, -129,    0
 18852,100711,19671231, -152,    0
 18852,100711,19680101,  -87,    0
 18852,100711,19680102,  -72,    0
 18852,100711,19680103, -111,    0
 18852,100711,19680104, -152,    0
 18852,100711,19680105, -203,    0
 18852,100711,19680106, -177,    0
 18852,100711,19680107, -212,    0
 18852,100711,19680108, -172,    0
 18852,100711,19680109, -147,    0
 18852,100711,19680110, -221,    0
 18852,100711,19680111, -198,    0
 18852,100711,19680112, -154,    0
 18852,100711,19680113, -245,    0
 18852,100711,19680114, -168,    0
 18852,100711,19680115,  -78,    0
 18852,100711,19680116, -174,    0
 18852,100711,19680117, -165,    0
 18852,100711,19680118, -166,    0
 18852,100711,19680119,  -96,    0
 18852,100711,19680120,   13,    0
 18852,100711,19680121,  -17,    0
 18852,100711,19680122,  -51,    0
 18852,100711,19680123,  -68,    0
 18852,100711,19680124,  -81,    0
 18852,100711,19680125, -100,    0
 18852,100711,19680126, -193,    0
 18852,100711,19680127, -154,    0
 18852,100711,19680128, -111,    0
 18852,100711,19680129, -162,    0
 18852,100711,19680130,  -90,    0
 18852,100711,19680131,  -87,    0
 18852,100711,19680201,  -71,    0
 18852,100711,19680202, -151,    0
 18852,100711,19680203, -140,    0
 18852,100711,19680204, -167,    0
 18852,100711,19680205, -192,    0
 18852,100711,19680206, -195,    0
 18852,100711,19680207, -111,    0
 18852,100711,19680208, -158,    0
 18852,100711,19680209, -125,    0
 18852,100711,19680210,  -74,    0
 18852,100711,19680211,  -62,    0
 18852,100711,19680212,  -31,    0
 18852,100711,19680213,  -64,    0
 18852,100711,19680214, -134,    0
 18852,100711,19680215, -128,    0
 18852,100711,19680216, -128,    0
 18852,100711,19680217, -133,    0
 18852,100711,19680218, -106,    0
 18852,100711,19680219, -105,    0
 18852,100711,19680220,  -79,    0
 18852,100711,19680221, -186,    0
 18852,100711,19680222, -230,    0
 18852,100711,19680223, -161,    0
 18852,100711,19680224, -195,    0
 18852,100711,19680225,  -47,    0
 18852,100711,19680226,    0,    0
 18852,100711,19680227,   11,    0
 18852,100711,19680228,   11,    0
 18852,100711,19680229,    0,    0
 18852,100711,19680301,    0,    0
 18852,100711,19680302,  -36,    0
 18852,100711,19680303,  -38,    0
 18852,100711,19680304,  -57,    0
 18852,100711,19680305,  -34,    0
 18852,100711,19680306,  -89,    0
 18852,100711,19680307,  -15,    0
 18852,100711,19680308,  -17,    0
 18852,100711,19680309,  -80,    0
 18852,100711,19680310,  -85,    0
 18852,100711,19680311, -173,    0
 18852,100711,19680312, -102,    0
 18852,100711,19680313,  -79,    0
 18852,100711,19680314, -138,    0
 18852,100711,19680315, -115,    0
 18852,100711,19680316,  -88,    0
 18852,100711,19680317, -101,    0
 18852,100711,19680318, -119,    0
 18852,100711,19680319,  -99,    0
 18852,100711,19680320,  -86,    0
 18852,100711,19680321,  -54,    0
 18852,100711,19680322,  -44,    0
 18852,100711,19680323,  -49,    0
 18852,100711,19680324,  -29,    0
 18852,100711,19680325,    6,    0
 18852,100711,19680326,  -38,    0
 18852,100711,19680327,   -6,    0
 18852,100711,19680328,  -13,    0
 18852,100711,19680329,  -27,    0
 18852,100711,19680330,  -24,    0
 18852,100711,19680331,  -41,    0
 18852,100711,19680401,  -32,    0
 18852,100711,19680402,  -40,    0
 18852,100711,19680403,  -72,    0
 18852,100711,19680404,  -41,    0
 18852,100711,19680405,  -81,    0
 18852,100711,19680406,  -92,    0
 18852,100711,19680407,  -97,    0
 18852,100711,19680408,  -51,    0
 18852,100711,19680409,  -44,    0
 18852,100711,19680410,  -38,    0
 18852,100711,19680411,    0,    0
 18852,100711,19680412,   13,    0
